,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24N,25C,26H,27C,28H,29N,30H,31C,32O,33O,34H
1N,0.0,1.0208254842676059,1.4706492519477803,2.1262872898381198,2.445598546899007,3.327070038728797,3.0229510592270024,2.40319469221816,2.802242247502005,3.370573377774538,1.4735692172830799,2.1159964353795973,2.113896905331952,2.4595113797629016,2.7512646632857876,3.6627517496446598,3.958735309748649,4.910652383150569,5.08600947341197,5.391152357792762,4.770523502836749,5.572814639789668,6.765876902836287,7.173826129416016,7.959282157728396,8.316658431523217,8.471080765422446,9.224820286181544,8.938329868737672,9.921201798732053,6.042270900014069,6.1824777354269385,7.161851632534051,7.860879140968025
2H,0.0,0.0,2.008340458072388,2.812526281830283,3.023588320288588,3.696956829664928,3.812113509370097,2.8124298650656168,2.8160744128794017,3.8502998437599794,2.0457555543886703,2.268150308887176,2.9210492960575367,2.3281138400196366,2.144662251626788,3.6549027101608926,4.190054018715098,4.687144837482407,4.7146182888995956,5.035707287315487,4.278246516509739,5.3674297755445535,6.303217304372548,6.575773461847074,7.544240534902181,7.996259814864824,7.865615926233634,8.560169866731188,8.425162553554939,9.412655786742333,5.984476294102748,6.3189917319467765,6.995071672521974,7.780369981249256
3C,0.0,0.0,0.0,1.0998518836870437,1.569959142928246,2.23314226166497,2.193826277685135,2.439629643464158,2.8693841240662477,3.402794604050096,2.376254329334365,3.2882823049826664,2.8853873536362524,1.5364169873400233,2.4256539869113545,2.4468219723436953,2.58817269921446,3.830531968098654,4.131054973733666,4.583683472239046,4.231928608875419,4.725389737236769,6.002201436702256,6.507213766243765,7.164449224149812,7.486873950511326,7.796895214261657,8.602511659047634,8.192260960211858,9.17017647517561,4.763521712301993,4.80057969832013,5.934890553278359,6.557294181060058
4H,0.0,0.0,0.0,0.0,2.1982865958653255,2.8269663737751576,2.3325253443063594,3.2995901854887872,3.895622971406513,4.119956580924437,3.083721528784885,4.054686905198889,3.259060894901472,2.1540222891783602,3.221940423809507,2.572971346024801,2.339286072216276,4.008166586506594,4.564162858578109,4.641817474586369,4.418671695968103,4.525714240683448,6.124282403949474,6.837904044464806,7.148177238857954,7.312723379263512,8.07846031442099,8.967823559914997,8.295961451970825,9.234542885031653,4.739143883468021,4.536464741563543,6.021011546013854,6.539803178470529
5C,0.0,0.0,0.0,0.0,0.0,1.0949732294570327,1.0968161408498842,1.5370013952394568,2.175010120767127,2.2075376548204675,2.3835369846831016,3.3669425477035575,2.7863984069519305,2.5637329913320115,3.3341910266383903,3.2322186256625196,3.2248544436708997,4.527376799455892,4.641226554785245,5.631215146021621,5.425791785229633,5.868831081233316,6.952960900476303,7.3140861858601545,8.145716917827494,8.524488716922567,8.596927944433103,9.324062109447096,9.090097478653961,10.071974542501144,5.187150073175422,5.143503909960975,6.250015067097097,6.7772853721545605
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.766522705768153,2.214599531454514,2.449211584353775,2.7405255869021263,3.3536318690264353,4.234668372434009,3.8515988673212718,2.619285431161696,3.367733012616866,2.967304888954801,2.9848592393219544,4.060746381650602,4.066282023947446,5.370791838876601,5.323064140319415,5.7051610092504275,6.57342593926847,6.850861810849365,7.7613198994724515,8.193172548987436,8.095810612177775,8.780780125220286,8.628101131539799,9.598169516172351,4.545542494919378,4.559358087401308,5.487782324195891,5.979579427375638
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176657568831185,3.0627950083109736,2.438826767428874,2.821708678126526,3.8808194403058125,2.7930674033554226,3.4069856615537844,4.321450140006371,3.8553433796524246,3.5660139309367533,5.212357926061309,5.471798558532225,6.311094435936427,6.190061772160788,6.392998764457972,7.679950488826859,8.161361434709265,8.791343387271702,9.06542474830135,9.422007900783694,10.195894089414056,9.812701608713464,10.771996389227427,5.6651741646103115,5.388446725466119,6.7924094412098714,7.201101511193871
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969800810958363,1.095979818079082,1.537608084742973,2.2199535371462056,2.175971402380657,3.369165757905016,3.6681582308425575,4.3847309559435725,4.598392722474879,5.567614844233304,5.463758295279475,6.567841147662255,6.160698506194561,6.936312115888217,7.824442140295924,7.997963000247541,9.103685613912845,9.58223052458042,9.301868654724512,9.929924100599356,9.94740330051971,10.951157889872878,6.426494628372896,6.545244657689407,7.384942349955108,7.999314881334017
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7772375825054505,2.171192989583328,2.466333872352869,3.0666638566696256,3.3127912543005573,3.279988427377434,4.385536029926517,4.807567198004537,5.356108094992022,5.046102975581108,6.356588847514273,5.904750558434999,6.887162844058519,7.481417199352962,7.474908128432404,8.81294100263023,9.400430313708075,8.76300104675261,9.301069929744928,9.53157188445604,10.538961605546284,6.313544171108687,6.626791285978755,7.127035049135202,7.813530727645134
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2197849814067294,2.740396228886206,2.4650851823820488,4.402042547825949,4.735314589748162,5.3110816545724395,5.41919392158143,6.4904495610184005,6.366589687724109,7.578807346177444,7.222781887803465,7.932365735816908,8.822192546918222,8.971902563209186,10.094352694732502,10.566949569789251,10.264757832425174,10.86635263709172,10.9264536319484,11.926695247675202,7.217928112555039,7.254827155097649,8.144312427423642,8.692644316096152
