 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,H4,H4,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,H6,H6,H7,H7,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,H9,H9,H10,H10,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,H12,H12,H13,H13,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,H17,H17,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,H19,H19,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,H21,H21,H22,H22,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,H26,H26,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,H28,H28,N29,N29,N29,N29,N29,N29,N29,N29,N29,N29,N29,N29,N29,N29,H30,H30,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,H34,H34
1N1S,N1,0.0,0.02389483348004373,3.710916129673336e-05,0.0016728590390417963,0.000429049871169207,0.00032954555992770196,2.225806160138788e-05,0.003160369060305479,0.0009572721512765003,7.010908117396908e-05,1.3910659052429608e-06,4.571223868068963e-05,2.1421113558101057e-05,2.0185634668171137e-05,0.008185817344299462,0.0011410943368442839,0.0010751622519708237,0.002067705909743367,0.0030911190724784987,0.005657205785577268,0.000561477576799474,0.0005055826873789915,0.00014997914607506324,0.0005667195979499606,2.411920352329844e-07,3.538875418923615e-05,0.0005472240268697415,2.9740078899831435e-06,0.0003777483037059881,6.452856015060071e-05,0.00035043282723057345,8.374293813950828e-08,1.6644116507258389e-06,3.4740906825536655e-05,4.5998551250425734e-05,5.330114787627238e-05,4.582941037334365e-06,3.071287905287434e-05,2.6191479465920153e-05,6.923527151414532e-05,4.654896759181959e-05,3.018519264263997e-06,1.3950103288015714e-05,1.2186134999203624e-05,2.5354212503242435e-05,1.0460712352916568e-05,4.2311037750097924e-05,2.2502601813911838e-05,2.3593893061502058e-08,4.903352168739161e-09,1.792169450620662e-07,1.973251847120494e-05,1.7120405535253624e-05,4.568111259484198e-06,9.818647499426625e-05,3.259363057095399e-05,6.075584134457301e-06,8.310112660758762e-05,5.016181165884426e-05,1.0214970073030294e-05,8.909360221798224e-09,2.1473774021174563e-06,1.218145092071743e-05,5.9541535105886445e-05,4.7480741949268435e-06,3.763263072276146e-07,5.260172409382591e-05,1.5643116482166874e-05,0.0010755018373191927,0.002100345821675287,4.6940234431191996e-05,1.2305563987125012e-05,0.0091165263107984,0.0005148367548095667,2.74139468681156e-06,4.375893884400739e-05,0.0007902432073163546,0.00025152184655172216,1.1438399957763856e-07,2.6700082483704923e-05,0.0006867791842317394,5.814111703764113e-05,0.00016224799903796772,1.8734400227815584e-05,0.00027834839564189195,1.2760882461826384e-07,2.399150395709926e-06,3.7107560392435346e-05,2.18199223023241e-06,7.064908577403273e-05,1.1977240170546466e-05,3.346202085774408e-05,2.2102264099377322e-05,0.0001930446821638565,6.710400043274944e-05,3.057859318095213e-05,1.7319053596809297e-07,3.220647394330811e-06,1.1644092984985921e-05,1.9116621820969293e-05,8.023372986248889e-06,1.59805319634998e-05,7.1404027555121985e-06,0.00018920190992077757,2.6143991131766242e-05,3.7804006465247397e-06,4.203051298112825e-06,2.7111460389361852e-05,1.9087718217125627e-06,3.389250993190984e-07,2.4960753582659034e-06,2.900660650839715e-07,1.2285629215486038e-06,8.747727330907229e-07,1.3166192885938344e-06,1.3732465279359118e-05,1.3529148332747098e-06,8.328949054003942e-06,9.381687161358343e-06,2.9831689087878033e-06,5.690746747166742e-07,9.328249761519913e-06,6.416999622782527e-07,2.3222822715662783e-06,3.624879491292976e-07,1.0636433680211166e-06,1.4313771693752475e-06,2.5297789935097015e-06,4.848552542346951e-06,7.339585045285091e-07,2.0669895051117493e-07,2.38438838362498e-06,7.37832446251474e-08,2.0331995267408587e-06,4.970020827999022e-06,1.2805164817386583e-07,2.921114647946865e-07,1.6421786082077006e-06,3.461192941145441e-07,9.88711634786199e-09,5.597524427303213e-08,6.62113202321013e-08,1.3691701716833649e-08,5.677110820334619e-08,5.089668864144414e-08,1.3685519113515454e-06,2.048498903839402e-08,2.7637837796135045e-08,6.222704107550214e-08,4.68897154437542e-08,3.366591627695925e-08,1.8520823985568313e-08,4.59086002546627e-08,7.883227404192894e-11,2.342260794208073e-07,3.5071912041217956e-10,1.1282147327484893e-08,2.43278097666888e-09,2.2179972358760125e-08,1.7440177774163956e-08,2.1682446949000678e-09,1.3731227610502827e-07,4.937206199429056e-11,5.45199085877357e-09,1.1595893717464278e-08,1.1156731982708834e-08,3.678771864912278e-08,1.4089840405517862e-10,5.657817703230705e-08,6.100679961207334e-10,1.5586805179879093e-09,1.2765588586205467e-10,9.215517238203574e-12,1.1979833791642136e-10,7.812890889802304e-10,1.894732398755039e-09,4.940917591733651e-09,3.535299913925982e-09,2.775187579739935e-10,1.1786447373651754e-09,5.149811688198724e-10,5.290783811062738e-09,6.162940824339103e-09,1.3949286170600317e-11,1.986188991054405e-12,4.38906311295284e-09,3.232480949577621e-11,8.385779570740937e-10,2.638156360035282e-11,3.127173242578607e-10,3.05089287166993e-13,9.472150841460802e-10,2.096265105944184e-09,1.0703813391188532e-09,1.0315203358146618e-08,2.158666645435403e-08,7.673972568511545e-11,1.8288546232980707e-09,5.177260842259557e-09,1.7937406227019892e-08,1.819633332900139e-11,1.38311584407802e-12,7.578404848107567e-10,2.6714271073036144e-09,3.08905317991659e-10,4.4857839665013444e-11,1.446398556481654e-12,2.577065227882258e-10,3.6693120764041964e-11,5.905054223376283e-12,9.291341029893374e-10,3.0497930847417365e-09,7.713345517856851e-10,5.067435360217587e-11,6.920886086447808e-10,8.016955987955043e-10,1.1642797836941554e-11,4.077044257755347e-12,2.853828284798965e-13,1.9579060595020792e-11,8.082750579951892e-10,5.217256904277434e-10,7.593525808147206e-11,1.8222556796843037e-10,5.105948858163956e-10,1.0132081840197316e-09,1.7894572490462224e-09,1.1301057867285635e-08,3.243605384284365e-11,1.3100631690576847e-13,1.088543921667906e-09,3.2129923166479557e-09,2.5024049499222656e-10,9.998256667032024e-10,8.368716830631229e-11,7.343181618324479e-12,2.830659873165331e-10,1.6988879747437124e-10,5.503044686605563e-10,4.1725845001394646e-10,3.01898233356912e-08,1.2645572367020463e-07,1.7122031370497837e-07,1.0052003962535139e-07,1.0404744177350267e-08,8.704781451207566e-08,4.794455599199665e-08,2.0917390042285433e-10,1.1754557849297242e-07,2.0525218191735917e-08,1.0528374116969275e-08,3.460956493617218e-08,6.963512988455989e-09,7.23518345235874e-08,8.936229117795236e-10,8.717346844377971e-10,8.954574415298566e-09,1.2753158173950396e-07,1.2609963517817846e-08,1.175741748404846e-08,1.2965649220930686e-08,4.394722430411946e-08,6.038531008556447e-09,1.3556659128610704e-09,6.970652721705051e-09,1.7288367959444884e-10,2.3660962078508874e-10,2.3502894075377867e-11,1.7534053264878224e-08,5.506744193972679e-08,2.616040717384749e-11,1.0404292205556942e-07,8.911972271263835e-09,1.1157519352877898e-09,6.413457764864461e-09,3.02681435471186e-10,2.3139891336398932e-08,4.670670378237318e-09,9.823886482074329e-09,2.355497324968425e-10,9.703687395279381e-09,1.6019608417572329e-09,1.945536909353507e-08,3.210937038478079e-08
2N1S,N1,0.0,0.0,0.0016454562282559593,0.026055899693782525,0.006656828749044497,0.2792840067128237,0.0016237365307953944,0.044349104083777124,0.01415988146260272,0.0013554026349344994,0.0004472277788774015,0.001158694149880013,0.0009661634460176316,0.0010351904462266859,0.10771037116614401,0.15037733310349743,0.003258834998823845,0.004693988364913526,0.03115250734645425,0.05366476546592214,0.004524157977908061,0.035985382409064126,0.0752955300078555,0.14312616283835355,0.010063043810044192,0.0016204992352275571,0.028485215731734126,0.00023608570260491568,0.02015244634626545,0.003432955133023885,0.008163928711156565,2.8014921205077314e-05,0.00010034357430988017,0.00046311085478212277,0.0025402331225148345,0.003808344613703607,0.00021331770244925607,6.714321688017222e-05,1.9338068008245557e-05,4.7883225677836094e-06,0.0017142813366071152,8.890352309331995e-05,3.3351046766494363e-06,0.0001797180554323763,0.00031182859429645937,2.056912328685101e-06,0.0018122684211840934,0.0010170510770635133,6.371216320033568e-05,2.344240290774735e-07,0.00010211453113151414,0.0003204892470187737,0.00040904305569222643,2.755716759761384e-05,0.006993412344986183,5.577371152298838e-05,0.00011415679692161618,0.0019935412458718105,0.00038669543885205826,4.869014134101235e-05,4.1208387009383785e-06,0.00012350485663303878,0.0001461457576996672,0.0002007003378214911,5.410677621364712e-05,0.00012621658616662756,0.0023588518436770123,0.001010995070143128,0.003006751307779165,0.004252479404094345,0.0004321032555432147,0.00014669578570636332,0.09162283951848904,0.03354172557391255,0.0010478679860215223,0.00019146535823821864,0.19984503174103674,0.014718016892573793,3.405747040829965e-06,0.001437274496274954,0.03369407545436287,0.0026274132682380102,0.003974570750990392,0.0001827548948982738,0.0069288494800301415,1.3916635577704284e-05,7.939778750132298e-05,0.0003660845343627095,3.342737424194553e-06,0.002951743330840806,0.00033443252571885296,6.519727447606982e-05,5.7698481855439354e-05,0.0005976596761692043,0.0007978804352037905,0.0002267979041647994,4.5907104194720105e-05,6.166003263530229e-10,5.777596305533983e-05,5.383836635841632e-06,3.48146812316763e-05,0.00019203476391327357,4.6370197426703896e-05,0.00514387343621836,0.001007433170559846,0.0003451244709720136,2.9470481686111327e-06,0.0042965423192198315,0.0011472871612179247,1.7027997278873386e-07,0.00024481267924403305,2.8773134504112008e-05,4.089106500293482e-06,4.776828786146048e-05,7.309690944978797e-06,0.00010073637672958213,6.972849449971008e-05,0.0002440073926144315,0.00025459964450469386,6.138043143488758e-05,1.5697386451574147e-05,1.5797461618838327e-06,0.00019775598503501968,8.776721234338147e-05,3.388758460665109e-05,7.482272369552234e-05,7.564545277993773e-05,1.0556180579879282e-05,0.00015107163380445598,3.173437847481253e-05,5.406921452344449e-06,4.759154445777014e-05,1.3105332770102507e-06,8.431255473917432e-05,0.00018601662770167948,9.138768408689657e-09,5.728246632585865e-06,6.240855490169395e-06,3.398751772909492e-06,5.398848665238987e-06,7.671739527648214e-06,6.931287055866875e-06,6.208471170499053e-07,2.239437639550701e-06,3.2056871468455483e-07,2.8794490545713813e-05,6.729661361504213e-08,7.09612582028285e-08,3.6372745046975297e-06,1.0385366553400388e-06,4.378627391332657e-06,1.1982124670240069e-07,8.075672388585531e-07,2.192522745581016e-07,6.100269533071412e-06,1.6060099450321275e-07,8.42549459090236e-07,1.2980098818005104e-07,7.924277223292364e-07,1.4650361435109005e-06,4.160677269382518e-08,6.831034188969909e-06,9.366160824697545e-08,4.585531296896761e-07,8.580103294519859e-08,8.089259115884317e-07,1.8231808169844044e-06,6.638306615514011e-08,2.8228033412958098e-06,1.2439834140565154e-07,2.548557129777862e-07,2.246012265061381e-09,9.943437229154029e-08,3.093935663223135e-08,2.723126679704535e-08,4.7532471514344365e-08,3.886905419747677e-07,2.1007353345758872e-07,5.391063151449771e-10,1.7146679631707684e-08,1.1696994928200866e-08,2.3592935338712095e-07,2.1598063604244544e-07,4.262217245809552e-09,4.6460868485809215e-08,1.833345142365772e-07,3.5960256994371775e-09,9.777240683739308e-08,4.836706590793938e-10,6.022302079244923e-08,2.5352364652064807e-10,5.5373145846360217e-08,6.052436329895272e-09,6.325510382154675e-08,4.4610915050924405e-07,1.0235132879010678e-06,2.187925840502203e-09,1.3539159571251957e-08,3.075286332254734e-07,6.07608533265136e-07,1.0909351111365595e-07,2.934235077134417e-10,5.0559210595935156e-08,2.129936320649506e-07,2.6393626395559977e-08,6.6981975521684944e-12,1.0871361588726813e-09,6.993984502656758e-09,2.634477080931674e-10,1.9438362031110046e-09,5.177811335244087e-08,1.5262183072906055e-07,3.070983822794915e-08,1.6113776979409522e-10,5.775611366942712e-08,7.281910763268229e-08,3.5826941413574787e-10,1.2657186410081067e-10,1.8145751567999469e-10,7.459273199117433e-10,6.989544432123296e-08,4.798532038385872e-08,5.547609926992436e-09,6.783760220230306e-09,1.8159354020497176e-09,4.620820837075712e-08,7.028896442662358e-08,4.302695426616765e-07,2.937944110215085e-09,5.11102360434279e-09,4.207648007792386e-08,1.432403977652541e-07,2.405620369572148e-08,1.117753263280008e-07,1.1459888371589955e-08,1.6012404735477048e-09,2.376255903158153e-08,1.481993505692003e-08,2.4289021460788263e-08,1.633334711925727e-08,3.4305937335332715e-07,5.120212422937698e-06,8.029776406015543e-06,7.046578682334825e-06,1.8622934305767558e-09,3.146900708017597e-06,1.1714808372254026e-06,5.09822983829622e-08,2.1476322000779646e-06,1.0258946168129057e-06,2.5630084161676336e-06,9.354874286326975e-07,3.4519078528916225e-07,4.59230616356443e-06,4.220340299454506e-08,4.5841336149266e-07,3.9901789739005267e-07,6.676836133756581e-06,2.452537581909553e-07,2.7233726385134105e-09,3.591072696984554e-07,2.791102179156013e-06,1.875201300904905e-07,2.05193077640331e-07,7.843978175881006e-07,4.073825521366814e-08,1.5699864297502586e-08,2.1992319076957756e-10,9.00628835953654e-08,2.1441404380873053e-06,4.056204261360108e-10,4.9725361304098215e-06,1.6172497385724682e-07,2.183694629565025e-07,6.830537024882233e-09,4.0223016783969e-07,7.28777646674672e-07,3.383963878000884e-07,6.626117610153415e-07,3.5043413282309643e-08,6.476829150781072e-07,2.0538089851029895e-07,1.0009941640021225e-06,1.8123201668274191e-06
3N1P+1,N1,0.0,0.0,0.0,0.020527429557743115,0.0007502141793596095,0.000943606875372538,0.2805104711485691,0.02157485778043222,0.0013054300331432067,0.019967505699472143,0.033789227187896564,0.012314920461229395,0.0038315460746189967,0.0004408763296621654,0.2969668896291515,0.17028507445083418,0.0050473699930906335,0.034502964711079276,0.04979026099600503,0.1298355213609952,0.012978397518844442,0.016959507781296512,0.003869812572483866,0.08218403779584094,0.006281807913198101,0.023149464066346992,0.0016857491107864497,0.0010101407591331935,0.01617858956952989,0.006368783491982999,0.01359573062863717,0.0022734391579799507,1.2515709802984887e-05,0.00010663408614330905,6.0740907508183284e-05,0.0009827574319589694,0.00016199553335294326,0.00025770757288468005,0.0006544880023851007,0.00040558517986699627,4.735341026140816e-05,3.6608171789076493e-05,0.00046057715750680295,0.0013307322988671544,0.003062854910042878,0.0005595566400860008,0.0020043135517746613,0.0012395992263565248,1.833471778844853e-07,0.00011881404482450009,6.403083152584088e-08,2.398960967653352e-07,0.003483555066279731,0.0008431002367785823,0.0005437658080005292,1.3546990200730136e-06,0.0009293545654074364,0.0002601695556032624,0.0007346454128831503,4.13567648382962e-05,5.708620485167515e-05,0.00029971657110738903,7.275852757215873e-05,4.997037211107447e-05,0.000344184136143344,1.879091328760296e-05,0.00010516090104628617,0.0002497138241257524,3.559294488431064e-05,5.2534751256327894e-05,0.0005018739157103269,3.1062851912011524e-05,0.0016516161408519636,9.600389177855106e-06,0.016601575656505663,0.0012768427810576632,0.0007813760843493611,0.00010287804862429972,0.001370843950134093,0.0359778810378506,0.00013886276299479583,0.0029862032101848346,0.004909278930240291,0.0007254676428418705,0.00702141915018295,0.002814139647995706,6.324471613083915e-09,0.0008436864253456022,1.6500614999692687e-05,0.0008025448873087981,0.00012007830363236494,0.0005080673860478058,0.00038856384898044993,0.00012308724278708993,9.273561167866262e-06,0.00045818610045955666,0.0013061473781001975,0.0016845807749896746,0.00032018337522021767,4.54983547917287e-05,8.444427956755263e-05,0.001637959262059674,0.0012395026754208338,0.005498649269287448,0.0037625078196699135,0.0004496600011854035,0.0003386518778603076,0.00023974186227349037,0.00043526370605517783,0.00034482586361872514,6.395754074506321e-05,2.7568067671568386e-05,0.0001956070421338385,0.000821308379228558,4.0801661762568386e-05,0.0009984318318632113,6.82989245470722e-06,0.00011031400744698772,0.0009965432140881525,0.0002875210110810933,1.1550620629297015e-05,0.00014196477049477352,0.00013996625003454,4.1009623158450026e-05,3.535939574517144e-05,9.909325696888516e-06,1.097216721923644e-07,0.00011107626416295702,1.5562096331578346e-05,0.0008440978399906207,6.969599588568798e-07,8.123680883542761e-06,9.351183494965554e-05,0.00010103683107587358,8.693417121552471e-05,8.822557675536302e-07,2.4019581239098642e-05,6.104926922700926e-05,2.0255799783708284e-05,6.9618214506572684e-06,4.8675233799144735e-06,2.060669455294928e-05,9.835447438710787e-06,1.1241703721243113e-06,7.581213283369692e-06,2.3773259200776664e-05,1.0141443966826813e-06,2.404869847705271e-05,3.581378260619772e-08,1.3022403577700459e-06,5.467339089282319e-05,4.8420260538861726e-06,2.0809392431431206e-08,1.8076784513709754e-10,7.938094759296632e-08,2.9710552240658217e-07,7.235548429296301e-07,2.126296055005028e-06,6.237286479526816e-06,1.2703019506288271e-05,5.7309755541190555e-06,1.3720221528235044e-05,2.2706391167304218e-07,1.8638482579547144e-07,2.9192926076504477e-07,6.67601327508649e-06,4.412780922891102e-06,3.583193841638632e-06,1.1493473856205583e-05,9.642233811391066e-08,1.3723457907843795e-06,4.8932602414453186e-08,2.589883814074767e-06,6.243000163497214e-07,3.302563258422708e-07,2.4298540735046004e-08,3.2458040575278346e-06,2.935361731459807e-09,3.6506182521378605e-09,1.6177272854633884e-09,5.743014157566506e-07,3.0751290580610657e-07,1.3997292214185109e-09,1.4149130755924944e-09,6.741835756329806e-08,6.989454037764631e-08,3.850137724192848e-07,3.549280469528071e-08,4.865312308588443e-08,2.3072166266402405e-07,1.2131956128591526e-07,3.030180673047056e-07,5.8203311947835346e-08,1.6502319848399338e-06,5.706387615767028e-07,1.7889160406348026e-06,1.1790164409219983e-06,4.2006001788053027e-07,8.236084134694011e-07,3.728465851615681e-07,2.105585195089077e-07,6.269713015427669e-08,2.90708579209209e-07,7.399070114377793e-07,8.778052240643319e-08,2.8777373395350025e-07,5.4650595160410376e-08,6.86324330700927e-09,6.33162366980855e-09,1.0039196940425654e-07,9.358722685703924e-10,1.030900649290345e-07,4.979594514509245e-10,6.495359805569478e-10,2.71262301509978e-09,1.9549069030233568e-09,4.662001007460503e-09,6.260900020649274e-09,1.3677821097957121e-09,2.9679171786867187e-08,3.354287847479043e-08,1.0696397656495549e-07,1.6399193114580157e-09,2.1818544304608167e-08,7.959335412976998e-09,2.716143936432047e-07,4.536004016841844e-09,1.1485260027477295e-06,2.0774861830830105e-09,1.0837649888628675e-08,9.524807609295749e-09,2.2701606994246504e-07,1.9741775192372302e-07,1.9657567551512045e-07,3.784936231099323e-08,9.889837926380096e-08,2.8873716306776487e-08,3.07898211371338e-07,1.7778814909163998e-07,1.6697479399141457e-07,7.937326129692224e-09,2.3978903285204467e-06,1.3014029667246518e-06,1.3263478573222187e-06,1.3577174939882752e-06,2.5111086618956335e-06,1.7025080358834543e-06,1.8285180174437698e-06,7.811968036897099e-07,6.339289260193226e-06,9.97901174137894e-07,1.1865329021532034e-06,5.726395131411266e-07,3.437410243112282e-07,5.772223210520622e-08,1.1613056645209952e-06,2.8061479095953246e-06,9.712155207175499e-06,1.5733509028947879e-07,1.6651570788894787e-07,1.557156905640511e-07,4.380794102143426e-06,4.1476791023953297e-07,2.62264905570575e-07,1.3827768818863717e-07,4.2734882299555466e-10,1.5699951161352033e-07,2.82142058605217e-08,1.1548011213946552e-08,3.5842848644662695e-07,1.010107239185487e-06,4.0334386097740094e-07,2.1922774706695236e-08,1.2853933784029437e-07,2.76711986657574e-09,2.954050337677927e-10,1.485980050119906e-08,2.1394920834971742e-07,2.5096260602985865e-07,1.6202252650643345e-08,1.0561230379124709e-07,3.436011475344003e-10,4.6477213944129403e-07,4.103249873210757e-08
4N1P-1,N1,0.0,0.0,0.0,0.0,0.020571092194153096,0.030726358235957818,0.01859004569684819,0.21678031462668157,0.02586746495667125,5.829239711374612e-05,0.002574583357893845,0.0007321289237076645,0.013980586952065277,0.001146294950738147,0.023448507010134456,0.0003986219891412013,0.011056721387014079,0.06372475759543494,0.11507978519435902,0.14605082642347478,0.02438555417206345,0.01651393733541706,0.05101562926367453,0.009052561957110683,0.010264174352377253,0.028107673829525615,0.016896211026653285,0.021686904026414267,0.000694768434426285,0.00509390896454498,0.0031883745500445038,0.002104620737875873,0.0003279408940501938,0.010190557370141295,0.0036610630099436214,0.0066387793930546835,0.006001550719206605,0.0023355971351155524,4.138521517216276e-05,6.114884143482158e-06,0.0016018941512156992,3.9344923319362124e-07,0.0010421593773650706,0.0027140825408877856,0.0022114930621750517,0.005372290319726414,0.0021192248718548967,0.0013169206092347174,0.00030343185879999623,0.0006695126121045725,0.0004314212266331996,0.01725566781322252,2.68211053908729e-05,0.00526714992546351,0.004763403570914537,0.0032815138792892107,2.255003097673125e-05,0.0011038060750991896,0.0017846066247133585,0.001081614918570395,0.00011375286269577067,0.0020664087658885943,5.38286071138927e-05,0.001895024045641236,0.0007297716346821304,3.433721819989799e-05,0.001378241636009303,0.002434921208739116,2.2202132334836477e-06,9.685722029928456e-05,2.782600784545508e-05,0.002167807093560903,0.0016536444067871692,0.0024553561579909733,0.0012603129567470006,0.026452942129321144,0.01414382804678116,0.0011668411216898544,0.0010431875472349805,0.0026239641185619167,5.009957876711546e-05,0.053589183145818176,0.0001484564215972206,0.00048402803544123074,0.011396750666879285,0.0025391827062426486,0.00038017014344471356,0.006815211940891963,0.001704611665696465,0.0031703717142508303,0.009547843786180898,0.00097472492359163,0.004831929852141759,0.003798521516329423,0.0006120102028903673,0.0028590096824028244,0.00011313569342785712,0.0012400200208841916,0.0009304098543412298,0.007482267620755101,5.7189369182086836e-05,0.0009624930676732646,0.0002965626535105237,0.003738185029797947,0.001354657086872102,0.00026153574404519375,0.00017875772907149923,0.0005384426728456404,1.2201545644963119e-06,0.00018457528131810008,0.00021861215007579204,0.0004888706692893763,5.937539389488933e-06,0.0008685950871010206,5.815782752982557e-05,0.0016619923480072352,0.00041418486787669906,0.00025499107405035915,0.0028703552261433174,0.00027607653760997053,9.641039860275313e-05,0.00027827833943216973,1.51791917626376e-05,0.0012247541052863298,1.6476283264843516e-05,1.0761542967863136e-06,3.8501715888594745e-05,0.0013563658877475682,0.0004284113426695768,0.00026932136060242584,1.806896502487554e-05,0.0004405996106187082,7.175385099600362e-05,0.0005366495947023431,0.0006052210489051468,1.0961354675043111e-05,0.00010936245047199478,2.708831026154712e-08,1.6121173260774668e-05,6.829467072821949e-05,0.00016821120568488723,1.0687275974641253e-05,3.648570578640431e-05,7.591982298049693e-05,9.323863726651282e-05,1.1729574831420564e-06,8.412739420649018e-07,9.574602529038856e-06,2.7011813062749468e-05,1.2270796337698897e-05,2.6445993459134343e-05,4.430106967490133e-06,8.541336580236703e-07,2.772210530466168e-05,1.018491825099943e-06,1.6261485760171723e-06,1.6876391139009073e-05,2.227466059445682e-05,2.812952905295596e-05,1.0500695716730846e-05,5.8999775220947015e-06,1.966104371486921e-05,5.5392548059529645e-06,3.612030230470964e-09,6.692697860355423e-07,1.2736368283139399e-05,9.672465870913527e-06,8.663570903788553e-06,1.5124851536540973e-05,3.145521775493876e-06,2.996633172713814e-07,2.9526178049188445e-06,6.314999190237813e-09,2.2249924791495346e-07,1.0072946698969076e-08,1.995144206068389e-06,6.7395525409352786e-06,1.0749646106589239e-07,1.0855812693222333e-08,3.187873351961912e-07,6.707115289827925e-07,3.682504289059807e-06,1.0118162441230538e-07,2.909845697729452e-10,2.863409190201338e-06,1.1356968423470448e-06,4.5007764226667746e-07,1.1429291157938337e-07,2.0695583735630407e-07,1.177541938401916e-06,3.970230078031989e-08,5.122088926334811e-07,4.66371632423801e-08,9.695538811804738e-07,6.4764247809101505e-06,9.357319402880648e-06,2.5638402956218442e-08,2.0661119481957257e-08,3.03843837023976e-06,4.956301477676561e-06,2.450947013343807e-06,9.062109462831813e-08,1.3539392429429142e-07,1.4355591961834335e-06,1.0920041537687553e-07,6.978797100209988e-07,7.514513855610971e-08,5.448540729702245e-09,1.4155560057460548e-08,4.303017417939259e-07,3.324176196528583e-07,1.7282764890325097e-06,5.316232787322406e-09,1.1493060059208915e-07,2.9847263194326956e-07,6.219119961237141e-07,2.946402677395099e-09,6.258216167509545e-11,3.283484439897677e-08,7.295630632953021e-08,4.278727472328825e-07,6.157468954715029e-07,7.11077210446831e-08,4.881257531508254e-08,1.3968087797522344e-08,3.4704992879497354e-07,2.5191319874551255e-07,2.9608297067440503e-06,1.2846644903419246e-07,4.6449735169318274e-08,8.011636820626222e-08,7.653875653268472e-07,3.0954784335790464e-07,1.258953280292019e-06,3.3968461865541144e-07,1.0221890001105294e-09,3.5874211512521015e-07,2.8112500771726445e-07,1.9566867592857307e-07,1.9059724021275315e-07,2.7403522249169754e-06,5.6148311827985964e-05,5.938922695847282e-05,4.983411269554594e-05,1.3173865469617851e-05,2.6237696185038573e-05,8.272018019006566e-06,3.663800237418968e-06,2.751894098640406e-05,1.4543433080715928e-05,3.182771732834766e-06,9.667113642031211e-06,2.748098234217622e-05,5.874008876527448e-05,7.174945571009061e-08,5.539326162207203e-07,1.6689002535485997e-07,4.020677383032023e-06,5.5519369128731455e-06,7.407083835175854e-10,2.6090396465505705e-07,6.370351745665914e-06,5.007269937795655e-06,4.405020641584656e-07,1.0223416007093533e-06,8.174371322056118e-07,4.064989590490953e-06,1.1578658827282595e-06,7.035179843128958e-07,1.7029376556898512e-05,2.259677178706454e-07,3.93565104799265e-05,1.9592353370789795e-06,2.732476613420687e-06,2.3886279487683737e-07,9.029096594836972e-07,3.200348397847108e-06,4.095775660184486e-06,4.7498601620787895e-06,4.0314910010330607e-07,1.4732153177154927e-05,1.3930016102836618e-06,9.016734176636731e-06,1.4844377446365797e-05
