 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,N24,C25,H26,C27,H28,N29,H30,C31,O32,O33,H34
N1,0.0,1.7457180003557577,2.9204070938946605,0.09494386736019034,0.1957933992567538,0.015503196958004839,0.003942278974612634,0.2344769185631862,0.0047134861164634945,0.0293381263910375,2.5761851690496274,0.08390340000569552,0.10143070381185759,0.19055966794871323,0.0662657180301558,0.026250884925057436,0.0031973986896113304,0.005643640791455379,0.00034959453479022073,0.0005960669866146712,9.675902621508747e-05,1.0318700539357906e-05,0.00016346704590916583,2.3772647388967116e-05,6.357436099782565e-05,2.543778074848291e-07,8.377049193819541e-06,2.275149375563501e-07,1.666230345896691e-05,1.2936255781026418e-06,0.0008440639174675246,0.00014285134668443056,0.0002258411791879883,5.3369843982076226e-05
H2,0.0,0.0,0.10224797434944533,0.017027776355053037,0.011069444874915568,0.00021192777929557316,0.00014061157170552896,0.0064052703625403495,0.0009009793388681242,0.00017269386399676456,0.09972076749958858,0.011081720666047179,0.024655234268290638,0.0480350855241497,0.10838809612035194,0.007910791477979129,0.0006726336476567951,0.000719496247287732,5.699164306172122e-05,8.662708681628217e-05,1.5366635447433552e-05,1.7566826904236166e-06,2.0219858177128458e-05,2.789519538581864e-06,5.976772497140459e-06,2.820644762202562e-08,9.083588252689623e-07,1.5717321444341792e-08,1.5246248661338058e-06,2.2394843957052046e-07,0.00014407816859984823,6.766100187916013e-05,2.1155214812718093e-05,5.17602346872259e-06
C3,0.0,0.0,0.0,1.9779347943911747,2.616726681647556,0.07251723519129483,0.08062661318184228,0.19516224834870782,0.0036966794328270325,0.027624950904843404,0.24911907175597986,0.02675058562729049,0.005200071871886536,2.766609550431072,0.277607631621552,0.22988359962472965,0.016618128294388246,0.035559255796534184,0.0028044367614712407,0.003612114457620802,0.0011010025581790206,8.304538281000973e-05,0.0008434645778264693,0.00011098621946398213,0.00023020919306687704,1.6254677015492547e-06,3.221111532517029e-05,7.602328979672279e-07,7.079728863404466e-05,5.226473609454274e-06,0.00435918470166935,0.0005267205528207142,0.0011654738666507652,0.0002343605471742949
H4,0.0,0.0,0.0,0.0,0.07388561656918025,0.004282245778248317,0.012323452677102109,0.016364632763884668,0.00048700827685932424,0.00016304711162118402,0.011583996332274804,0.00020655558768400972,0.0008811036159912522,0.10209626843678188,0.026266220508169957,0.012240955301893619,0.008819819988903799,0.0016326375139086302,0.0003639408194067162,0.00020786945431727766,9.70445738652792e-05,1.9345843433882237e-05,1.7506928269961364e-05,8.209342067466707e-06,6.6199475405870345e-06,1.4338648002265586e-07,2.1573250257311827e-06,1.0883109746728792e-08,2.3982952106482713e-06,2.4935748044185857e-07,6.72414583093861e-05,9.348762630778662e-05,2.8030565978109934e-05,1.130893803868993e-05
C5,0.0,0.0,0.0,0.0,0.0,1.6971458059510014,1.8912340500855382,2.844855057199583,0.08034672127842568,0.0772402691703653,0.22111487557464957,0.02815979686807779,0.007373063329325635,0.18651605645086985,0.03837996162710864,0.031132542021391374,0.0011826222952797671,0.0030200596860970874,0.0003449565409815447,0.0015355516577161693,0.00022420332779338192,2.8244649140196643e-05,0.00020288883121652446,3.2559174289320536e-05,6.93821107521364e-05,5.356777956766479e-07,1.4284091652022601e-05,1.5276774378847335e-07,1.6887640645571467e-05,1.3635726113792046e-06,0.00036823997968954414,4.597140764635993e-05,0.00011837981431646327,3.771150533238288e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.025768073896550003,0.07679577376539592,0.008848318809627331,0.0012163943915797226,0.027502891999221957,0.0013282281421456155,0.00047582314854888175,0.020289419639925033,0.0030080954729887477,0.006997752278652847,0.0006947601937927761,0.0003843086662280726,4.638149137736747e-05,0.00028313543466906843,1.8057668869531085e-05,2.5160444379057623e-06,5.0328046888648004e-05,6.271972626592515e-06,1.3016660825648785e-05,6.030199251050306e-08,2.062611273778714e-06,1.2614926858667275e-07,3.083266895131942e-06,4.867351046655699e-07,5.1387423766646734e-05,1.2270488804921875e-05,1.1005549395037839e-05,2.9434404786865542e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08046430559474738,0.03017075311815809,0.008408540952461463,0.005816107249530855,0.00024396383110714126,0.0016666032129619701,0.01790380726360996,0.004684766185851674,0.0012413888035442966,0.00010130499473248733,0.00026683918202796697,1.8052822756686737e-05,3.102421651535181e-05,1.22078594899655e-06,8.47219822297518e-07,1.7057501318085144e-06,5.181936997278314e-07,5.683624033636647e-07,1.1230565366560086e-08,1.2289161666068082e-07,1.4778636092671604e-09,2.1796686033859203e-07,1.2660579251644322e-08,6.1002795070042026e-05,4.7691829735407865e-06,1.8883436009309307e-05,4.784495338361339e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9746281092475557,1.8051897141405926,2.5895509670867063,0.0750617072877644,0.0788562412382936,0.013897581615188531,0.004295056357747393,0.0046053910132775044,0.000199324365996012,0.0005812331284553995,5.262058765231892e-05,0.00022796619312510924,1.7179678908352258e-05,4.57731682379503e-06,3.294419921784364e-05,6.76041963686147e-06,1.3447197596383464e-05,8.08668187968209e-08,2.9011532091394177e-06,2.7840733940465157e-08,3.3665376237557165e-06,1.9605954371115786e-07,7.089810013885534e-05,8.067635596784029e-06,2.3124470351340576e-05,8.478912902121216e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252408823555359,0.0799838290569097,0.007937304948501422,0.031190472266088287,0.0015431975582294033,0.0034519698724196912,0.00043374533628504075,5.908312785019021e-06,2.523071201010474e-05,3.633227561916641e-06,1.8654625600467156e-05,5.25028829434504e-06,6.985744589460552e-07,1.8618809576320672e-06,6.260483871312061e-07,1.9038090137701857e-06,3.834377260147903e-10,3.471114597974889e-07,2.3519302061458802e-09,4.2259558408197506e-07,1.1425318247049177e-08,5.180767233659012e-06,1.6120282826381782e-06,9.18468490818114e-07,2.6640299877200846e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0780335458369581,0.0012076011086030736,0.006333225152800326,0.002304162583624425,0.0005458316451996126,0.0007434600900502186,2.6024814403280416e-05,8.651575328433303e-05,1.3036693101708963e-05,4.797123549815652e-05,9.14692405817874e-07,6.833721430954398e-07,5.169606698274265e-06,1.1063904898911403e-06,2.6328435265288164e-06,1.5053136515064125e-08,7.0632320237074e-07,2.8072046909244364e-09,5.85360925509093e-07,2.302482959848362e-08,1.2718955463952852e-05,1.175453688939676e-06,3.6846113968813654e-06,1.5047722747851822e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9816958277950438,2.1104364898828276,0.02756661179375991,0.006808602068247974,0.005859616718018629,0.000751562577994469,0.0013057855943262586,3.2382790838170195e-05,0.00011110407825512536,1.3108872081168954e-05,2.035602203021014e-06,2.946065423953259e-05,3.947713189955682e-06,9.44533577826312e-06,5.431015459578248e-08,1.29413255051114e-06,4.309829471083049e-08,3.138852576994866e-06,2.209829904620264e-07,0.00020461000301569277,2.765317872298334e-05,5.8676663315965216e-05,1.8070397212577305e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024554953316274775,0.0013541131254830585,0.0002867146344879279,0.0008887979253802136,0.00017411740277828436,0.00020340492578263536,2.4081619742766236e-06,2.7492296790443405e-05,2.12765945528659e-06,5.328119174752288e-07,1.1551273606746904e-05,1.0601879121274749e-06,3.6555182434394595e-06,1.8703675053188817e-08,3.3567581225746324e-07,1.5542823694758567e-08,1.1234327219611373e-06,1.1361869223236454e-07,1.6867309458490354e-05,2.829292945150108e-06,6.257339836057696e-06,2.0030037117813038e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018830540199477053,0.0013569611871409037,0.00015805001235880134,9.816452243605056e-05,6.129932585396958e-05,1.013419438256058e-05,5.411824722134639e-06,5.737788289827961e-06,5.485629306356543e-08,8.282706711604249e-07,2.6515492579370914e-07,4.3062465615584244e-07,1.1852463455142015e-09,9.762381036892975e-08,2.141794519516793e-09,7.815146019218844e-08,3.4764358058936295e-09,1.7236638277795535e-05,3.015051791677159e-06,3.104218109006851e-06,1.2152001660492573e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2600517829225355,3.6453731330972614,0.13612057646782927,0.2730598589005391,0.01936706898484275,0.03667098376325387,0.008699623402118384,0.0006905038821476417,0.004928193026584399,0.0007869139423275495,0.0018919032138952352,1.0692186245053747e-05,0.00033971329467560873,5.694072239048609e-06,0.0004911013929309038,2.85805936589556e-05,0.029538846135656133,0.007425526568656124,0.005425709276829754,0.001310747653868738
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534727976333003,0.026442616983854528,0.06032319198470726,0.02327592871385853,0.022634915686666465,0.021286458719460777,0.0006422737347577812,0.002850883900957654,0.0005471461719906492,0.0013931470045534383,5.39382910746955e-06,0.00023816544877906798,3.1661765622637006e-06,0.00028860344213381406,1.1700006260828566e-05,0.0076858111746897495,0.003892287015495646,0.0010740037543587808,0.00032432221764411295
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5826603760980382,2.8709542860839528,0.09834756578608139,0.1887436629292485,0.008916722901054719,0.008017905754680088,0.029891098674412864,0.003700355412023598,0.006227270763910747,3.201299292898696e-05,0.0010032138066713714,2.656497940756175e-05,0.0019249162474183623,0.00015139809159070428,0.1974214879138743,0.06013540897979733,0.026702487573774067,0.005535935370015732
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09598368465732321,0.021143225821513845,0.006631154494682323,0.00014534212144634573,0.000996202291239534,0.0010206247119786127,0.0002533497000342111,0.0002614691978629624,4.173555766540105e-06,4.6063244487748456e-05,4.682978297365636e-06,8.438014062239763e-05,1.8651863233909438e-05,0.034300611698695915,0.07579471120605785,0.005557136255596173,0.00016612102866231382
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0170003945642927,2.6590253698921122,0.09590120889872744,0.07966069271593046,0.17121920010715308,0.02558395205626207,0.04537443177892239,0.0002727648703813035,0.006937478651900392,0.00011559681197215177,0.0109971161173259,0.0005127393671036096,2.689243453574936,0.2706170637225886,0.21615125392746715,0.05466312186687661
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0789585196785465,0.006228230486662101,0.031147922799076744,0.0077197665032526785,0.014258732565477827,0.0011713010936806878,7.161647976783314e-05,0.00128722428470196,2.876702874998749e-05,0.000916019738054219,6.656567056406715e-05,0.1073481153949063,0.02574704667960659,0.010953002000928524,0.0010832714170356805
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0356456743740536,2.068110798601307,2.92405346964504,0.1958392012620188,0.2566508261352292,0.004327147344274307,0.049200678116210816,0.0023731974543979018,0.04584592358788893,0.002443778314092371,0.18949963345444118,0.041897091850042006,0.023734905911661372,0.0018329999598557523
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251661805659682,0.1033471650564648,0.012885646535217177,0.041347356496396426,0.00014817038014447448,0.004202059196728225,6.127242015963041e-05,0.007452857201125318,0.0003531024563565577,0.026911346798691005,0.005550177183083704,0.0030965870577793764,0.000878392635514258
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10857921317408703,0.023111147345989735,0.01114615938298913,0.0019091987682322564,0.003501516634375923,0.000913952120196182,0.001454872029427845,0.00013268129359356173,0.010121469650294257,0.0029296223959709433,0.0007932978299102222,7.324583361323356e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5494579248461706,4.064589759258072,0.1172863566992759,0.5460967660581588,0.03691115343358797,0.5012225826622922,0.02941406470347452,0.01713057445060484,0.003731609168380237,0.016739775365647275,0.001049958670082063
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4185960366014159,0.026563046312201077,4.390821695798846,0.11275091180250207,0.5370412783839398,0.030423042313551085,0.0027261219946795034,0.0009884182685053408,0.0032658482146415285,0.0004940251952328945
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0786988162454634,0.6272570862534942,0.029483378633400337,3.3860547328819126,0.1084153368567492,0.005430104901430255,0.0013253750164823608,0.0052401801851837265,0.0011519222694075237
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030460436510032496,0.0008621163647248853,0.09709467396649196,0.004571420778920254,3.053117362927793e-05,4.8324311880953985e-06,5.4372517067635684e-05,4.4362597189095965e-06
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0577869532384763,3.5425170403587702,0.1175688759944703,0.0014431782672699456,0.0002546385271929158,0.0010422623431613764,0.00015858871055340895
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10403412685147528,0.0046949411645160755,9.47714943322353e-06,4.414307288591601e-06,2.165422268818329e-05,5.907986262432274e-07
N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7891543229987281,0.0010731069852556452,0.0002845644511756118,0.0009725516473722273,0.00028449777193584325
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6949474900163075e-05,1.3017469008280713e-06,7.006496273165297e-06,2.151525151372624e-07
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.571140824979247,3.550262845954549,0.1692555180109161
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5152341141949592,0.06712045337164052
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7553662385663167
