,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21O,22O,23C,24O,25O,26H
1N,0.0,1.0275666951314593,1.0218531780456708,1.4786376130732932,2.085899904018206,2.4405597847734715,2.6223385212569115,2.7226399578833567,4.135811177471534,4.338015532086937,2.4891205207920284,3.334016289471282,3.0315369535811696,2.746370393548566,4.124439096877695,4.11434095429308,4.707151325553654,5.207502513990065,5.590619206459978,4.060320879427939,4.8719537418901515,3.1602103363492158,5.39256772152467,5.865128920815473,6.32429433000813,7.114931864042693
2H,0.0,0.0,1.6278764648234367,2.0620527096102097,2.3570107835561216,3.3400621052786614,3.5585427646951606,3.673606728437489,4.890745637574607,4.983562557305458,2.699994660814554,3.707617508761942,2.750538869242732,2.1697177992701944,3.7258648792365503,3.8331420867358847,3.9980551309974404,4.471041109174434,4.898897423176128,3.159106782993444,3.9674289483853813,2.1811330692968207,5.106613261546419,5.62573417690147,6.05323554505631,6.875215283959164
3H,0.0,0.0,0.0,2.0428589851754273,2.9252864401615106,2.7021239334708578,3.018090316320488,2.5583000129902733,4.454825227090329,4.476551015336497,2.6144172778492516,3.1356984634005753,3.2891586748250234,3.199486372836818,4.115997176719572,3.8339687535860167,4.791589371250899,5.473185412218865,5.533430021297809,4.178302611453439,4.836623948330049,3.538898315534154,5.408394170057081,6.042824464011376,6.154067167799308,6.992501441330544
4C,0.0,0.0,0.0,0.0,1.096285680076649,1.5291075432954873,2.1505139469532346,2.1612124241450896,2.846482502848636,2.980123823588265,1.5454844247224595,2.444619887949816,2.4227779308134356,2.504575095389068,3.7442638845633303,3.9149951226916078,4.6641508720163625,5.0024997094242,5.607753647728254,4.485606213910825,5.5155893148341475,3.6444512925270764,4.697247839502667,4.940182104982958,5.753251282812214,6.409825084299643
5H,0.0,0.0,0.0,0.0,0.0,2.155666795533474,2.491323521283839,3.062144856389172,3.009010010454789,3.3428184150715214,2.1681164860853244,3.2262775373208274,2.5994485721049982,2.4457539593909425,4.045089036132302,4.476386919373853,4.777771026593139,4.881585378752937,5.813699612822038,4.598331216243124,5.713258612436671,3.5977843092156805,4.900205743263367,4.931821622918129,6.106155031347235,6.6902248059817895
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.093112744414675,1.0937182146150544,1.8436764460616006,2.3765616371526517,2.5461731143434183,2.830648199447979,3.7429734052653085,4.004211019431079,4.967174631106967,4.979103064907446,6.070590126001133,6.437217888880597,6.954213616580291,5.957109854636226,6.9339326255929175,5.148140222220483,5.719798350708314,5.881644179689914,6.676402914715163,7.256431440666998
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763468746216606,2.390978784498239,3.293978082412,3.484093458147891,3.896038920015178,4.5538260745757775,4.613409114757703,5.845036742496928,5.882934043967217,6.80334940708424,7.137164952168368,7.72894038756259,6.488734892929286,7.421861753922368,5.540363235288308,6.692740500581428,6.833835602833262,7.690268859267166,8.291772215304169
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.418334338422042,2.592766243722995,2.7673149118166234,2.650860431141272,4.077024379426543,4.458091144280591,5.081417620667886,4.856769784257155,6.271139002398159,6.7938844144870405,7.039675385153548,6.172506385975969,7.039207874332531,5.521291366311641,5.845814950443739,6.166954075175777,6.616608934535132,7.233131467092693
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3501564012699783,3.327144110003846,3.337039280154886,4.438965015155267,4.909405569538869,5.621222455946423,5.790001663512124,6.880590867990848,7.059559989492838,7.75809191669823,7.107370473136823,8.201198730885226,6.355238436226976,5.922818464317638,5.753214436141849,6.909363460094731,7.26595811655151
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7792860389761884,2.4183344753385794,3.8854647031215146,4.6016930246690295,4.825752396111794,4.931078745863645,6.233073527206013,6.463976601279772,7.000683076421591,6.70486040278231,7.784677452661727,6.172076370564189,4.917230770885289,4.780631204650878,5.781450938787932,6.084116481442456
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2380100308873079,1.354879143048956,2.048622876051944,2.433849056440117,2.582532725768337,3.6715949585288823,4.094455893996146,4.504548199421768,3.950938427351492,5.0082034443137164,3.512353995290762,3.2459513467696954,3.615036971144973,4.236536935336915,4.890680500924899
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2919451367488195,3.167385064174493,2.8236963031709736,2.6205718043022848,4.287943121413393,4.822261073597969,4.914595628551368,4.769755715425976,5.709919932398052,4.554453693624582,3.293479288779272,3.7388771332551256,3.987168198076153,4.583074102046447
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0434375997621717,1.452620421166055,2.1005499979271924,2.4447859528417237,2.749887251642418,3.3823201439210213,2.9093447394873206,4.0652301167990625,2.618233685579931,2.4646498492709665,2.8830998856776002,3.6146849057029358,4.300483361226342
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0451156908505914,2.7120758959517746,2.354985729199607,2.5562891176920974,3.4150018944563,2.3211232559879584,3.5301231445346106,1.6987326462269492,3.23310010731185,3.6128685988346336,4.37107003725149,5.084973927744703
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097699413014586,1.5548632292006446,2.164361065500196,2.175028122041348,2.6199956227822607,3.5671895853185465,2.996485149141562,1.5209756790441447,2.4546386203876858,2.3809891282702647,3.200279064639193
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18050639889045,3.0662289192519525,2.4534716717925935,2.940051652984005,3.632304375602506,3.4364258706683244,2.1188538721191565,3.22586500508589,2.43619222808946,3.3728462194177022
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0993452882153996,1.0927330252590264,1.5763445035948478,2.4052275251843134,2.41210352388935,2.5158327158137253,3.3058234166602434,3.138286600720078,3.912451021419436
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7793275608760968,2.183047834369147,3.0628870454198247,2.722503029917608,2.673511523213217,3.0790110814372267,3.4920780114057033,4.061702934016483
