 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,O21,O22,C23,O24,O25,H26
N1,0.0,1.9492576217606643,1.9053992571952216,2.8686137411034527,0.09133479269274336,0.20200938377620575,0.016144490295317393,0.00725924415874879,0.05264884742914912,0.0009768361070989773,0.24234716843981702,0.05292764806255917,0.04103957014017193,0.010537717348143238,0.004660342815819285,0.0004596762329958093,0.0015451625038571115,8.654146505526761e-05,0.0002307042439044782,0.007758891021507883,0.0036012354431068927,0.040066586241291405,0.0015897697901230967,0.0001580213158953528,0.0001720478621524621,2.0581977328237855e-05
H2,0.0,0.0,0.02912988117570392,0.10443827990446963,0.006385689222683677,0.02966390659025997,0.0008023555818164052,0.0004629300213534471,0.006029347586275713,4.205402026480343e-05,0.006813255092252279,0.00045309715934138683,0.00816962502375751,0.009699271467791037,0.0010644735500978664,4.789122005677271e-05,0.003536563914971813,0.00010109707528971335,0.00016770225023132745,0.017326441443715868,0.006769038406837735,0.1367517190174551,0.000705509566593765,5.913207845464896e-05,8.119123726424426e-05,1.89878793213083e-05
H3,0.0,0.0,0.0,0.09917168993809722,0.03641862067167412,0.009603208525831852,0.0002441733483535824,0.005032385784396132,0.001791752751357234,4.294886164224465e-05,0.013991701816383317,0.005768254349318269,0.0009005596150107875,5.217562955373012e-05,0.00012856313853093493,1.4127507609540402e-05,2.0850597429067363e-05,4.825733110669361e-06,7.245013360801522e-06,0.0002438834374687282,7.9577853916879e-05,0.00092722758111774,2.7681248017663584e-05,2.190180666117314e-05,3.6949190066470905e-06,4.2823540336023314e-07
C4,0.0,0.0,0.0,0.0,1.9448980048652351,2.8492026089229525,0.09220427845922141,0.08809525422791475,0.18588440602169404,0.005000483094208086,2.5521002800221897,0.271347901940649,0.2370743311055909,0.016378503708026737,0.03797185231979708,0.003192892875605091,0.0032559234447518542,0.0001252161355100867,0.00131064059623065,0.0010377671531308919,0.000351849340396157,0.0038195634097349107,0.005551751436434688,0.000839475333644063,0.0011186253435498117,0.00015762365561489133
H5,0.0,0.0,0.0,0.0,0.0,0.08317138742449681,0.004264342272451538,0.0347124295278638,0.015884112874594236,0.00013769381883621534,0.09215637059499993,0.02433857277130924,0.01109791771194768,0.003510884966697825,0.0017610087616490855,0.000351301924723435,9.900288216257991e-05,6.051412983820725e-06,1.237273895959845e-05,7.599076575393049e-05,5.564300186455817e-05,0.00025142896022423145,9.235479479174913e-05,2.4417238375429307e-05,1.714404532238145e-05,5.4675363341250005e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9651111114000763,1.984501311574285,2.722350641888694,0.05078673203842676,0.16295901390020445,0.04420709393248702,0.026420756686062252,0.0023425935265016795,0.005747417408970168,0.0002239059034450097,0.0007030896553906762,1.1799593753192283e-05,0.00016932168187588914,0.0003749516481787174,0.00015624701666044905,0.0012503552831985842,0.0007060410028157382,0.00011975213285396469,0.00018646891024945433,4.8587151905699066e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024488737207183364,0.08270032465669153,0.024593148215380722,0.027139469547744044,0.0037568746126638297,0.003608947200485102,0.00017945509115135927,0.00096875634518101,6.473056178246672e-05,0.00012864862354977635,1.9263283370651862e-06,4.8637817698704566e-05,2.258538336197269e-05,1.1822495496693897e-05,9.134042624758809e-05,9.656009197689386e-05,1.3095862315459783e-05,2.6068549805025043e-05,3.2780734482429352e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08919132679434072,0.005353883520642366,0.011757297174717074,0.018416942034376937,0.001827653582107569,0.00044784241026940563,0.0001372231145702063,2.2785266160951778e-05,3.312677607514303e-05,2.3215443925028723e-06,6.066499416368387e-06,1.8747569918486917e-05,1.3560258556033489e-05,8.977211607374969e-05,1.9965765511775757e-05,1.4248891194390545e-05,2.2613749849353937e-06,1.3861538561421582e-07
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8340073321192847,0.02562035375570304,0.03737218723465489,0.0033600800292556132,0.00019127421470299666,0.0007537049411463076,0.00018407316472357493,0.00012342689229980636,1.1026386854018355e-05,1.36362490286146e-05,0.00012509874713347024,7.960384374178925e-05,0.0004343531033291232,7.249740005137173e-05,2.0769546681856377e-05,1.7300281856660882e-05,2.525819217558123e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01248630210959134,0.04080815669278115,0.002949563712211889,4.481355349028604e-06,0.00036412268752994414,4.344104448694708e-05,4.569536010468056e-05,6.795735671527581e-06,1.301418244281649e-06,4.976205609352746e-06,2.9082566537219634e-06,8.609432847084264e-06,3.573406630530407e-05,1.037271305492915e-05,2.758918898226881e-06,5.407547813973679e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.908146836836599,3.6736273315497323,0.14120813711859348,0.2881609292483174,0.03064908030245772,0.029982832891915806,0.0010623343820672648,0.004057901109970619,0.004399405957048436,0.0017457327235972375,0.02213784476120116,0.03146548066353677,0.004394434064757313,0.0046328531786149485,0.0004961462485494339
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5286559247303148,0.024494785562998556,0.07109017654950825,0.0283111937236894,0.008890359610555523,0.0006356530978506303,0.0007931471563263903,0.0016823454180883435,0.0007787997322635382,0.007083556873421333,0.01982646225481871,0.0034301040426875096,0.0020365385375710754,0.00019583787431431965
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6126405564227826,2.5287102553797003,0.09189700648400323,0.1767361456588242,0.005334483436804538,0.024633200912336894,0.033001022929653595,0.009230281672326646,0.15653732882430885,0.19493713302678867,0.02777904014605624,0.028579458023505325,0.004625879039877989
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09720768376876399,0.008074182611347513,0.02494816859891069,0.002426665613107337,0.002619863428187763,0.04588000914910173,0.009832780312255651,0.33477603066649375,0.011300641433334757,0.0005532696236871804,0.002257490753587832,0.0009061310101494691
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.828688739433119,2.692849546486581,0.08412519707947785,0.09535340445675344,0.1476630848070331,0.03958750801620488,0.035407674971697806,2.7434491661650413,0.2615902270920686,0.21955927045699716,0.05471020155978612
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07767183239546427,0.0336814415598965,0.005760855504404194,0.005600030123230848,0.0022048027496373024,0.0009377410570070577,0.11390167702524456,0.025909484628329316,0.014552858414444758,0.0010757795053337738
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7766540060302047,1.6665923856564444,2.614661001605661,0.30795768117011746,0.2774466703779861,0.20624141543926794,0.04544098290945921,0.025454651232775335,0.0017291841100038896
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025207448422973844,0.08212416723135063,0.02726490701294848,0.012789454264835243,0.01504445371772789,0.0045986514039888515,0.0013368340866510842,0.00010532847572064519
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07842394450019508,0.020887201640340414,0.020482253550069274,0.006934947885850029,0.001032181413913258,0.005021569913040702,9.595004133022833e-05
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.890875452327858,3.7694856397822485,0.03251599090231386,0.00874024655887809,0.005341473712734274,0.0005707344293353067
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5713089115884689,0.013296834074440794,0.004764276985755531,0.0019626388267339756,0.00015371790435358967
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006267316654295196,0.0014746017672042089,0.0012958192431007445,0.0001176063835535146
