,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36H,37C,38O,39O,40H
1N,0.0,1.0208907916769927,1.0220166180754637,1.4659719130549869,2.0823812715428405,2.451553598270068,2.5319972416482672,2.7661433692390154,3.830959441615011,4.241226475024896,4.096011769175803,5.28005050599581,5.485368024648397,4.895286278537553,6.50187391313011,5.641011433090457,2.4826913446383387,2.854399337287493,3.609167961793824,3.8869173129316956,4.870025529484774,4.879603947519665,5.651762540969681,5.970641371053323,6.621680225814863,5.250768144569756,5.648828389629388,6.170706522060081,5.005750549412012,5.090759084527055,5.814254725370465,6.437486507097797,5.1922691769382885,5.411235864086696,5.598889355796026,6.089089086034385,5.930463439066097,6.036045728004423,7.061280178118886,7.737029252695994
2H,0.0,0.0,1.6182890858699939,2.039935558899951,2.3367990236699643,3.3416542147873356,3.473867259251496,3.7005277226808193,4.588445795483401,4.887050312584894,4.724463118049401,6.16435079883965,6.3842564797679895,5.827798412896793,7.425861564894903,6.438436563159119,2.7049655536467685,3.0712145212418975,3.6388700497746393,3.9544690138406673,4.831265481581893,4.901159051258369,5.337300517923747,5.6250394266687,6.33611702410252,4.7182036029085985,5.1276677165501185,5.792329958223005,4.280822273896021,4.403445607718108,5.148453912369169,5.824847791845439,4.305538527218372,4.445387843174316,4.758049132820737,5.20111747692723,6.043732033917388,6.248299543633406,7.151578284195457,7.890041286097455
3H,0.0,0.0,0.0,2.0169984635047076,2.9098781674354948,2.714018095400971,2.9128768018026285,2.6059085460922002,4.172351420142049,4.475433204545193,4.6623112349533455,5.465785945659695,5.82827996651799,5.19729000461015,6.777929118841831,6.154282075759457,2.564934089258206,2.4719332364915707,3.873806390386808,4.35683652632716,4.94899619893342,4.729532475645246,5.798851243852126,6.288618607851224,6.674445235327215,5.343558913761424,5.497706290123328,5.9009203898491,5.294298788670011,5.565119593491004,5.608719075309555,6.08391891738879,5.410936638948847,5.7597593139008465,5.567914650657267,6.0181026802255,6.058120421153213,6.301394030972627,7.066477831913129,7.783234095241909
4C,0.0,0.0,0.0,0.0,1.099040611392571,1.5455500154544626,2.132102525864224,2.163637002683533,2.5832426916694256,2.859823876075863,2.840314266401896,4.249470253158076,4.756178850834254,4.437457322299184,5.809929908925001,4.849159291503227,1.5404266380698644,2.4135213760688505,2.472995968618902,2.5995837596394535,3.836394430233868,4.010918134200846,4.829297988045651,5.063946267134865,5.7905428101490415,4.812162925080596,5.431386846700213,5.845415145092108,4.757584960365219,4.6874355504314895,5.940329189329705,6.665417462931122,5.332186101872512,5.678475019808342,5.897842770111455,6.5987478697223585,4.675824391120502,4.644547506541003,5.881563958555539,6.470385402382832
5H,0.0,0.0,0.0,0.0,0.0,2.1686329344541107,2.5314548635842287,3.0642521143323775,2.7510019809784962,3.081995107230888,2.5620641046996737,4.508710959226403,4.8337637724337705,4.620626510577106,5.924212521326121,4.675240266825609,2.174386221667838,3.271926041340307,2.5502934325257756,2.2937537581242897,3.998138240950373,4.442362424763988,4.803682544771045,4.797843343851012,5.835415887746425,4.8501724572722535,5.705227723806864,6.233898107437752,4.573982412852927,4.261551479268368,6.239091982400601,7.082267027990883,5.224674222423719,5.427916478280047,6.02745881370144,6.748596941808944,4.736061467887208,4.53783712332167,6.033637033625977,6.563233473168043
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0953186091464764,1.097005772270381,1.532901183809023,2.186941994244805,2.1802110665055854,2.839034247011621,3.3757588754764734,3.083271774289601,4.377475114761663,3.6916357051075996,2.5279231382960297,3.1519190439613802,3.3907966893058457,3.3808209080794294,4.613439484696908,4.6911535473871036,5.878598445501971,6.121757760575162,6.7349759222765835,6.10126055483955,6.66008740784104,6.899998715606045,6.209643846543344,6.109976755357,7.260645168806398,7.901477271569534,6.851247445329351,7.2236441800046585,7.351812315251425,8.051162310860086,5.077628830879709,4.83139620889285,6.23831440783427,6.668774403906364
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764807386495905,2.173348874347401,3.0912532365753993,2.5311175844437033,3.066311426064297,2.968905607944453,2.3951306828126464,3.971036275707048,3.2621609748001634,3.44145919197546,4.036764017633561,4.331470840123208,4.229315914094813,5.630857978619033,5.736286031354977,6.813737777986124,6.994848717352234,7.720328564751597,6.927078657891826,7.493955189406815,7.813659037818621,6.870747002351136,6.719960270967468,7.967397985185001,8.604212747301949,7.385185598855831,7.625798480524288,7.918664207963346,8.52470626488416,6.119307316010191,5.800718484538146,7.3099094066107595,7.721503680403377
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164106956438879,2.535580710418145,3.0815602952274936,3.0046057400259287,3.7798154766702705,3.4232580876700873,4.634398040042514,4.347503624674553,2.686221559979518,2.871020888882813,3.7419720555563045,3.976016061574289,4.75178314330646,4.577677117653074,6.104310006985049,6.520458266658224,6.858790734747068,6.291894690224688,6.637669617197925,6.7443659250692125,6.575747638327038,6.640479003465928,7.2168156916835065,7.727838652930025,7.162074198530403,7.639749290526021,7.4661430312747346,8.139866610630468,5.24320884618907,5.160133123588833,6.251511376833178,6.7133180791050115
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095523358234042,1.0984231228406964,1.8365109104807353,2.8260693761871165,3.066857400290543,3.783806237357518,2.9961748221425797,3.1583516538695213,3.956884164697484,3.4647301608346552,3.1472223354310316,4.529642944379518,4.796338294184686,5.883545424222469,5.972073983064339,6.657640767692074,6.461799189070566,7.1896721727569615,7.340514963734365,6.672851454691659,6.41535797181442,8.011521689072595,8.719478223685774,7.552609123452829,7.958556767198316,8.180137391272293,8.994725942181041,4.524136451487947,3.962434757530501,5.69164613803274,5.916933724857957
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7612156067139582,2.3599024070644203,3.7545184692326026,4.0918101097261745,4.606024521972307,3.9329429666311246,2.8631833943797953,3.607116492416854,2.895179998000517,2.6558677182163417,3.7068805128641853,3.972930654091729,5.139090934967668,5.276793650064684,5.80907623176596,5.891829277638776,6.607278569744775,6.648780062332547,6.292817074166021,6.083814897038194,7.565697198014478,8.263526617058105,7.294587117366578,7.81909515322809,7.878960791134054,8.770087556350333,3.520689941876128,2.9905141462723885,4.633742128735698,4.839325859858447
