 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,H36,C37,O38,O39,H40
N1,0.0,1.7081814786845255,1.6040332297367113,2.8675199625651717,0.08788839542993476,0.20012011890071216,0.02447074338874955,0.005382342626817471,0.0327267921905654,0.0008533980453467871,0.0009412246148292613,0.007755391533030821,0.0004356345581818036,0.00014458275662010411,8.536704061357092e-05,1.0766042478849158e-05,0.22987549297623627,0.05307612058470747,0.03594105901796278,0.002423906478384197,0.00640748979279937,0.0005483499857006358,0.001659946550053082,3.0588138137388476e-05,0.00029985761402029354,0.00010863711493366845,3.988718423682258e-05,2.6539873213549114e-06,0.00018100431967976727,5.8751832602288445e-06,1.6348298354215696e-05,9.667999012474837e-08,0.0001527705347716679,2.4518089055680647e-06,3.541462480260993e-05,3.009215210347804e-08,0.0004865715647744684,0.00010682192295636411,0.0001304898403973742,2.586275636429214e-05
H2,0.0,0.0,0.027035792016530946,0.10696837485262034,0.006813261344615018,0.032714488770556494,0.0013933840416420207,0.0003863583777174995,0.004517596545153935,6.865853645998676e-05,1.6489091130500455e-05,0.0019633778013363745,6.50043463870098e-05,4.116362934203366e-05,1.3079982672525858e-05,1.803438112180089e-06,0.008620108061098808,0.002553469469268488,0.0005662942545560101,3.882468791904792e-05,0.00017674406409695642,8.459529423410217e-06,3.742241951121272e-05,3.170328728652194e-06,9.99059827244686e-06,8.377059307407286e-05,6.54009216121132e-05,2.634125095823947e-08,0.0006689058501174738,5.5121667963398124e-06,4.975006399920989e-05,5.7384188512088485e-09,0.0007186427347122271,7.546669136049289e-06,0.000122509619655764,5.837728167534806e-08,2.572207936479831e-05,2.067607795974702e-06,7.536798466212247e-06,2.3836699143409135e-06
H3,0.0,0.0,0.0,0.10603542909827113,0.0364786783139317,0.008841201723452596,0.000298408461693489,0.003929634677284577,0.0010288476081246056,4.32052163326091e-05,0.00044248915176403614,0.00026390874356096994,1.186702719113697e-05,5.9704163244411745e-06,5.803105045387724e-07,2.0943821830154974e-06,0.018329069386422203,0.04479739663646298,0.003370469243338947,0.0007292022889542338,0.0005335442812188784,9.472953865996558e-05,4.26555343154833e-05,1.2620498626603194e-05,2.5125817748605783e-06,9.054532714380947e-06,5.913716560224103e-06,8.566934974751916e-07,4.687835064798307e-06,2.1909853931134649e-07,2.2357757288871127e-06,2.8056774015183805e-08,3.4807970853423242e-06,1.4960342298309115e-07,3.3716558067720115e-07,6.250237882809984e-09,4.659602832290943e-05,2.604855443455456e-05,5.328731411236021e-06,7.058275830473804e-07
C4,0.0,0.0,0.0,0.0,1.7220271536486875,2.404363707346315,0.09304920203401412,0.08588348123348277,0.15889248756952282,0.006396536256806806,0.008202557406145061,0.047074565448615754,0.0022545860385106836,0.0011923710667898213,0.0003222186766100865,4.741003400843269e-05,2.72836604545636,0.27649577758167204,0.2304511669918362,0.016917405408795605,0.03520082788126053,0.006749152438248807,0.0037202434782789284,0.00013534250067626097,0.0009662971909047968,0.00038008547702125806,0.00018829341098858254,1.7969111684390526e-05,0.00014093520522132086,1.2216303599821288e-05,2.5691488999390888e-05,2.5686796734092354e-07,3.7944051638177934e-05,1.319178422276579e-06,2.418929999764563e-05,1.3522107855656884e-07,0.0034145048781373533,0.0004052453621567753,0.0010008839702145972,0.00022063624704349305
H5,0.0,0.0,0.0,0.0,0.0,0.07980543312250354,0.0031577026177933565,0.03455405783110588,0.011150396248304384,0.00015115360109607678,0.005417312460105794,0.0022024445307576856,5.0289759339405826e-05,2.790957538634231e-06,3.663757813798796e-06,1.9587106928398157e-05,0.09288426187459264,0.022848330407472472,0.012831158484707617,0.010020293032015015,0.0020480569589185205,0.00035161506173464474,5.406082496905995e-05,1.8654206578760935e-05,6.703191450574408e-06,3.7087147541470245e-05,1.663881198799011e-05,3.5299557490375832e-06,5.40632602912261e-05,1.3753470289978864e-05,7.963651062370403e-06,4.203914283351651e-08,7.519874773098678e-06,2.0387291632673055e-07,6.27531456443009e-06,2.3483587741068845e-08,0.00015986563543313181,8.364104092328795e-05,5.709902474371198e-05,1.5050921010617557e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.024582867242863,1.7065160455329342,2.8218819280724325,0.08144296628914272,0.0817444490231205,0.19964713894291963,0.015870149896549834,0.006278394957096589,0.001602663947556593,0.0008784648452258015,0.18799501328309404,0.03753258725821981,0.028159602083241794,0.0010734225923116902,0.003582008400920683,0.00025701275003031654,0.0006353711681250512,1.773132685101153e-05,4.615727763068733e-05,0.00014087329447085017,2.5724752504896475e-05,1.2555985313689177e-06,7.332343521052054e-05,4.488302553173895e-06,4.7658900670100035e-06,6.944183272850069e-08,8.199232747641005e-06,5.135715677173636e-07,6.01236231087543e-06,4.9263682022626654e-08,0.001213774493267733,0.0003784744514600258,0.00030421892599796774,9.209299403767357e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024465787763144453,0.08223483792312858,0.03341196950187264,0.005143831684856215,0.010276516380111067,0.007265391910583507,0.009081837790128944,0.0006505089528723307,2.4318768586661932e-05,0.029323392415749883,0.005264336222817523,0.003531521018124595,8.36388803255872e-05,0.0007337937321747479,9.730825720444258e-05,4.4902116267619974e-05,3.6514484813565673e-06,1.0229770952996375e-05,6.607006747483268e-06,3.646537455326282e-06,1.7252158635017167e-07,7.1129623306909195e-06,1.901750812383085e-07,4.882484301305112e-07,1.1638243924139147e-08,1.1345863051293037e-06,5.190212615246992e-08,1.560518432253133e-06,2.417233302409727e-09,0.00022129994394504138,0.00012179590641003823,4.854925335640026e-05,1.0915439924152892e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08185683460361992,0.004716560471354159,0.033487944139186654,0.016703616764557006,0.0006599342450845924,9.77712727519009e-05,5.9532381976090676e-05,0.0002649473707887484,0.014604369870051315,0.010141403552002215,0.002082738967757569,0.00041738849344818973,0.00017848430960532014,4.1211393053908196e-05,2.8147635750430666e-05,1.6709246055679472e-06,5.752641125678082e-06,6.300479869603137e-06,3.890556940167045e-06,4.1726601573977007e-07,8.526336995329231e-06,1.2360572771985545e-06,1.4040921085811675e-06,1.3568626888726953e-08,1.3626600692262514e-06,1.0889329882246557e-08,1.0274764998818853e-06,1.1844112357550785e-09,2.90727188634321e-05,1.1287105708301937e-05,4.41103597337289e-06,9.73571447460131e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0034944838492414,1.7058465862651226,2.526819417650693,0.11551398228411641,0.006360375204339741,0.027718405949289426,0.009832360951642638,0.014454627207719561,0.00343338523553581,0.01068087199052195,0.003922173587002975,0.0008288511084792172,3.317523864654337e-05,0.0004474840722296647,9.770653162100018e-06,4.550510160394872e-05,5.299044461196112e-05,6.87488025072347e-06,1.40659300429391e-07,2.1683603980554578e-05,2.9782576997927634e-06,7.338239151333248e-06,2.4294990241813252e-08,6.416850727442025e-06,1.7476202018862352e-07,1.5318996201274526e-06,2.3074968824587927e-08,0.0013969522881040197,0.0038440865258175527,0.0004428288514543993,4.1376494940070785e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02451682501723651,0.09604766203898762,0.025151771573992066,0.0002696390761076639,0.0012402833120812584,0.00039275071177580223,0.006459820135044758,0.0002023934444398412,0.01082025349012028,0.002310539670454359,0.0007180312598793481,4.030826128054166e-05,0.0005755393090486338,6.763576553714401e-06,1.4084759762722499e-05,8.443809293079418e-05,6.049983112932367e-06,3.3883588557159783e-07,1.8489883915950855e-05,1.788550705317249e-06,8.322446688246998e-06,8.101313353492401e-08,5.153531643653508e-06,3.7497635796412965e-07,2.128430803827186e-06,1.3912279994698906e-08,0.0034650165503924413,0.012542452306432028,0.0013105634571687341,2.6462875728494595e-05
