,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26S,27H,28C,29O,30O,31H
1N,0.0,1.0177009149776193,1.0220604183501192,1.4637009338686866,2.093496430707977,2.4573496510686077,2.5310662791036616,3.3863488405811495,3.2018474859189103,4.048675062702188,3.8227754544347725,2.9564854998466394,3.204751823290614,3.428205638836702,3.471603974698393,3.6174883979070547,2.481114935460741,2.7785460548994383,3.6909651043226352,4.006356003004132,4.929086138028939,5.028943069713631,5.510165696542366,6.490637436031427,5.007354188766751,6.189551664144963,5.163888019159172,6.062938754739882,6.14898710671244,7.2314949376494075,7.928949870114133
2H,0.0,0.0,1.6361367293798017,2.049063037654278,2.230225593613832,3.2918929351578563,3.518991957519591,4.1782632650945875,3.832830461576359,4.7755495316028895,4.285494032843926,3.322485701672658,3.1962360208471416,3.8701678040260474,4.117554382747775,3.8501717018870334,2.933803905659084,3.235650000812752,4.013961619921598,4.309172374536071,5.2523650908748145,5.4996248620026185,5.599250588349864,6.6250990912942465,5.042568849738499,6.028952486513417,4.890050752432885,6.413926559959612,6.506801816016083,7.5821348723602195,8.287638455811722
3H,0.0,0.0,0.0,2.0154318184166544,2.862593642546361,2.926324695674903,2.703756782419423,3.7248260684311085,3.952887675457,4.679058440765583,4.642529026772177,3.856326767760241,4.209602966365718,4.136381159104529,3.974028461061796,4.30348611433625,2.424421413317152,2.2417815593601524,3.7727966290394432,4.31308005327197,4.7956914085882145,4.71493558665323,5.2823243502255295,6.178554928035094,4.644754604393622,6.195838298949294,5.310047294205056,6.074606429157462,6.346224442056331,7.127263129728607,7.9023983784457235
4C,0.0,0.0,0.0,0.0,1.09682172896969,1.5504089909977805,2.148389088130431,2.1965127441086723,2.583254839981591,3.5110225415551626,2.93699200615964,2.979544160700012,3.257011023554446,3.859315538724713,3.9133816700316935,4.342328395858577,1.5402706059661304,2.4250438783261874,2.467138243354775,2.6142884549747167,3.827876884601913,4.054370423018411,4.665196485611435,5.653422930508469,4.428714535250661,5.322740446183044,4.374228917682901,4.770509938872395,4.737973093255252,6.008658143030468,6.629137929908943
5H,0.0,0.0,0.0,0.0,0.0,2.1623043831084487,3.0274976731184093,2.6693083378426006,2.6499846521107067,3.7142167401157486,2.6272419605407746,2.8943443301582175,2.7914088320526913,4.040342689243264,4.344116104153621,4.469402874682051,2.165418420514251,3.2223605889989075,2.616181086891291,2.446231509282541,4.061454746220225,4.546917183657385,4.800042739418379,5.84878473780161,4.686464216520851,5.071373521535154,3.9762571934702975,4.822054399402599,4.612807732553633,6.124382828827905,6.660360869742444
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0971762217828511,1.097919783452277,1.5456814536018515,2.170407280041229,2.1673800096088693,2.586630499769407,3.3464330227640793,3.3346449997886234,3.1758974421458186,4.113256993744033,2.5291840498226255,3.3244618214062656,3.1847760762891233,3.0892457759474996,4.415565005682397,4.452188294663222,5.591074917733568,6.466198255290815,5.510141602894327,6.397273952162703,5.588851213725787,5.0521049382318415,4.822833282262767,6.278745393344752,6.77570155730828
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7617619243112494,2.1909392781895924,2.444324391714277,3.07222338539701,2.9905012300632103,3.9398969345676678,3.2889820177696762,2.8169537832990312,4.040837715031273,2.9062458319247617,3.3190036881376637,3.805061630729515,3.926897202472909,4.870263035365914,4.668607158793108,6.018005512164295,6.821224982240564,5.809373666884647,7.046735679777882,6.303456518698056,5.636726523035802,5.560692821748303,6.759096015378579,7.317559003239158
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1524632130162833,2.532570803273878,2.3985217072742486,3.49185622261458,4.190272261384325,4.3003391310374335,4.100958141180418,5.141949314419165,2.610544837845719,3.4743637626876662,2.8397264693426965,2.6198446364402774,3.8885333731238103,3.905714578345587,5.246929862783742,6.027087389768626,5.356080088934818,6.111642100230433,5.482617982866426,4.273934437206265,3.9691158717858834,5.467687108381887,5.885772347539847
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973783257824978,1.094714919933092,1.5296889146293786,2.409775516026105,2.461657496546202,2.6096175584398646,3.3547771671063136,3.8849287561175547,4.774720489840173,4.378220802358284,4.0030840068032285,5.696136950483488,5.8717367132768095,6.857826515330106,7.780101448464943,6.835360756907053,7.394745563131509,6.456190691375246,6.127456475847258,5.642824791109796,7.411646841070309,7.782677275113612
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7688758175388044,2.1721240364686865,3.2192481948470166,2.607738739457969,2.507560329276135,3.611448716824266,4.68352586352228,5.47770062507165,5.157109678024849,4.780840763863211,6.366292738272352,6.418283522448009,7.637345381763133,8.493376274836274,7.645588986674673,8.289776714570152,7.429371373765053,6.691305965720595,6.166070186976902,7.917020004794183,8.23164909740265
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1072203019346887,2.513112637037713,3.285514320621447,3.6151247384258465,4.098103084480527,4.119430145901139,5.1821283067133965,4.293038506188707,3.688823806323807,5.609456893316884,5.956612538055696,6.770512469610043,7.699368756616213,6.891325320018739,7.084020251210812,6.147778800175357,5.827466865917593,5.1685053648612005,7.139341943967373,7.408331665971402
