,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17O,18O,19C,20O,21O,22H
1N,0.0,1.0263082276495041,1.0209850888277332,1.4742879511881832,2.091876915487255,2.1073775224807085,2.517065193700472,3.3799465495334773,3.0547943781015925,2.761045021764966,4.172054528357208,4.176857045009208,4.775590690581105,5.257688882419065,5.669934279091685,4.155460322331188,4.994686960768912,3.235357128310244,5.421682910999117,5.8847242156597055,6.358050370580632,7.139779214734095
2H,0.0,0.0,1.6248357865152325,2.0548326757293696,2.404463618486385,2.9557416473426747,2.7085542646833205,3.728085232498388,2.7576453482260206,2.171788292185757,3.758423778088881,3.871927866882732,4.059346327956084,4.520089726553997,4.969185349024792,3.249440552358465,4.081063322595119,2.255910187959891,5.126409000373881,5.638197791615959,6.079331575794679,6.894918612863182
3H,0.0,0.0,0.0,2.036767195970915,2.931146886631346,2.4029997150875335,2.6763366796637476,3.227850149561329,3.352062169468526,3.2379699422110186,4.214060623538329,3.95029688212056,4.904459280086098,5.566395332628754,5.661959170076597,4.301389076211918,4.9884699714644,3.621828674549161,5.492107253523442,6.116526793890399,6.243545726656546,7.074405505229947
4C,0.0,0.0,0.0,0.0,1.097826130018617,1.0950619031957733,1.5377891180294248,2.4356570806272226,2.4213497297306987,2.515835548260791,3.7421809475007763,3.9163526305782312,4.682680583306063,5.0141883513801915,5.625704959676097,4.534928574085624,5.580237078805928,3.7003997509113447,4.676226513076752,4.924162466150843,5.722131460742373,6.372241453608057
5H,0.0,0.0,0.0,0.0,0.0,1.7762530424130687,2.1752834654154096,3.2064002478369087,2.644594042506782,2.5347629054192184,4.089801700288149,4.519987084045714,4.859636795458048,4.955901880361959,5.892341663912686,4.7219313053478045,5.849562675983594,3.737500543920613,4.910439757540002,4.933342890119671,6.109020745810534,6.679208933386634
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.143134218278431,2.5532966889804043,3.317234064664026,3.5745054489375594,4.551260873418178,4.594726585382021,5.6486407522886095,6.009203279949662,6.539362473871131,5.568032686670596,6.574676247996284,4.773830943728214,5.325612526358429,5.522269658182532,6.286234408996185,6.879741339895873
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2340953693434682,1.360667999255324,2.0568607295717665,2.4339567282852164,2.588126247011122,3.6828402057311433,4.098434544842231,4.514386087294458,3.984149293278399,5.051964612560247,3.5477771419067565,3.2286357904094243,3.6063105413118834,4.208100026672395,4.858125689886414
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.292803959551006,3.1693245781436477,2.8186640801215836,2.6305841540715025,4.292045695170668,4.814353165515571,4.917814933205474,4.801170302509769,5.756260512288033,4.586462795329482,3.2593448000758696,3.712158034243225,3.93624258484277,4.524862319635921
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0416714600216979,1.4509105781358236,2.1005260075170953,2.445679637602948,2.748342007712188,3.383154242624417,2.9184027326458875,4.079089425533702,2.6279590108077486,2.462296476274779,2.8882652104538664,3.6090383201830742,4.294069859410387
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0416639417701843,2.7017049314926425,2.3592867109130693,2.5677465180448396,3.417939034824809,2.326075126582493,3.5371675799818347,1.7055117522377954,3.236794228313983,3.624838930207039,4.3728277222911265,5.087834279354956
