 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,O17,O18,C19,O20,O21,H22
N1,0.0,1.9290974516560857,2.0070640721926223,3.0496084398585674,0.09196632672295535,0.09338344608768356,0.23834514150113303,0.052228848842018276,0.0374108835595552,0.01100891002822979,0.004370903688907066,0.00039883999236944856,0.0013776893165497878,7.112273633969046e-05,0.0002276075103040398,0.006388161629054201,0.003088558391727343,0.033053124252918405,0.0014440688173618654,0.00014577406578505925,0.00016551973225227556,2.1044957661864316e-05
H2,0.0,0.0,0.02846851846264431,0.10025561948943074,0.005503640256145692,0.031824308271970914,0.008012722629998748,0.0005084406810029751,0.008722135125140973,0.010435251571926596,0.001109991696880308,5.0091725359191486e-05,0.0029721911600169015,8.459569033281156e-05,0.00017266767784085424,0.015007818506553305,0.006358085160135363,0.11506955663202267,0.0007206574782738784,5.451373834064466e-05,8.160311805605058e-05,2.2536739593403965e-05
H3,0.0,0.0,0.0,0.0976196292935898,0.0360080284409372,0.005497789649425711,0.0113383349856091,0.00469301050177906,0.0007124049664861687,9.565807948819227e-05,0.00010818683967961373,1.077656416081929e-05,1.5728324767816382e-05,3.3318979240082314e-06,4.679951028263574e-06,0.0001821738956430119,6.795234029932651e-05,0.0007387165962228215,3.458724695948323e-05,1.916724145778481e-05,4.100815589880291e-06,5.60876202815308e-07
C4,0.0,0.0,0.0,0.0,2.100425542794406,2.0870830227400585,2.788898524558895,0.2857629813529982,0.23447328255114158,0.014533451658150898,0.038696172692623904,0.003298250561227123,0.0034115210478810887,0.0001366430980709321,0.0014113384581702082,0.0009543752310612053,0.00031414272985805236,0.003289296192524993,0.005639053212818379,0.0009033825632946968,0.0011205584162700538,0.00013693075051590675
H5,0.0,0.0,0.0,0.0,0.0,0.02656913850073206,0.09253339023786711,0.028807580474583983,0.009859011020795672,0.0023935013779234904,0.0016469868758475226,0.000328774352339245,9.560234389205391e-05,7.179964040870956e-06,1.2081903153937645e-05,4.3138657723318374e-05,3.118013187708435e-05,0.00014494878978299486,0.00012118862391519158,4.2050364040369104e-05,1.6026447951511535e-05,4.565103305598228e-06
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.1015376267742294,0.018010952605851727,0.02233086658757233,0.0018568303951260745,0.003725913831782446,5.132588538159233e-05,0.0004730384979356739,5.639034192483905e-06,9.45960062705975e-05,0.00022189193679977848,5.761416825988963e-05,0.0006511932963998435,0.0004945347771070363,8.415627552882388e-05,0.00013697041377125352,5.19908351561682e-05
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.885411372986932,3.5806615949951954,0.1357872434610996,0.28179383024480065,0.030828738175745274,0.029849252622855538,0.0010702058436935502,0.004037072774064621,0.004331588539022158,0.0016141577394877538,0.02046954398452902,0.030847097993830064,0.004383025596218781,0.004425166469769648,0.0004553188218219262
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340200409833887,0.02394575228118101,0.07271267610955867,0.028217555003023254,0.009191328366167942,0.0006536656076919778,0.0008098693011359126,0.0017336586293860146,0.0007649569903958736,0.0067142246824588026,0.022893007806129656,0.00401461771635505,0.0022814711366717366,0.000191258958888052
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4784421087201336,2.842177465350413,0.09454661938591435,0.17087404970028497,0.005538569883216216,0.024230632751752967,0.03364605981463231,0.009138737925643126,0.15434021205647977,0.19761801937699977,0.028368691645366692,0.028422156293472695,0.004669274615705876
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09925738201333323,0.007728811068751007,0.024727273065967115,0.002310174492386352,0.0025932053341444217,0.045688776880944415,0.009855539610403752,0.3380924410577699,0.011945474487656593,0.000603904707032421,0.0023253837206826944,0.0009567957510006053
