,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20H,21H,22C,23O,24O,25C,26O,27O,28H
1N,0.0,1.0238211422552403,1.0217682733272293,1.4690659759329578,2.087862216566325,2.4537985313639483,2.684389372570222,2.7156148547511325,3.4147619314580004,2.4922348800305674,2.8282139119981515,3.6344922945486386,3.8732845087632097,4.915948806683217,5.0785903620098685,6.051285269202787,5.891815830590438,6.276574399476783,7.381814748869052,8.186477973525585,7.733787333023394,7.649183015240008,6.795020676434563,8.852543076308352,5.454748309747085,5.537104634785869,6.336139876565712,6.839143137810313
2H,0.0,0.0,1.6103327707016724,2.0002546266177044,2.8940239147751776,2.7371058893920592,3.1446445264608838,2.5851872154689666,3.706814247755499,2.511622155103432,2.3759428338108446,3.82331142700967,4.290385025113576,4.920878335001725,5.0000119022098,6.229874179343011,6.213852179687912,6.50507811881695,7.4621114864401346,8.350125443414832,7.687001387457706,7.698682158385188,6.882392659790495,8.85529721952156,5.249438399862998,5.34907343808131,5.977010419681327,6.411943771025165
3H,0.0,0.0,0.0,2.0324040513633896,2.313700859052231,3.332909762818881,3.58644874304572,3.668769522016289,4.183523971112381,2.7288291586216182,3.058676548230141,3.707056176580222,3.9448532841967103,4.912894907353928,4.896034108679909,5.991771172404656,5.694796020780183,6.366085686629093,7.249657569262307,8.061192548116255,7.693708216097114,7.321060325389483,6.3496871639655685,8.50859188884398,5.677524603872121,5.9582519113735435,6.4771135995612665,7.093228876398188
4C,0.0,0.0,0.0,0.0,1.0988720672401275,1.536042369336836,2.170465699906717,2.166793740294988,2.1864986747241977,1.5442426141948085,2.411701102538637,2.4599260804270484,2.5705758555367892,3.8534356052867635,4.274679657716636,4.862474128071674,4.776992305409731,4.9407385619163335,6.2823559574185355,7.013375493630029,6.635671096712051,6.77879396123951,6.080233282993311,8.0065021392492,4.384707461303447,4.358543929134068,5.4559763173169795,5.950145798896706
5H,0.0,0.0,0.0,0.0,0.0,2.1605851194554986,2.496538125089663,3.068047350096641,2.5203772725552223,2.180001750684658,3.267089915311575,2.5650675058226735,2.271346286699568,4.021792283049778,4.47769720702514,4.7255127148603435,4.427708101085858,4.768729212965965,6.199875336932111,6.810501490159711,6.712655471141908,6.687439655411467,5.956520918222202,7.9362200452104705,4.818762687635236,4.840556168555546,5.967556154617896,6.541098450979437
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0951605608633799,1.0962939896714032,1.0959579620930402,2.504906191969069,3.1582586669468355,3.292362292771268,3.3136672007547494,4.564052137346916,5.211458239191101,5.50806583952603,5.619162925306033,5.304673555547626,6.949504936980815,7.611204154257501,7.157012673805129,7.708954918019284,7.19326191638664,8.910794475555994,4.668602650830374,4.231135817131125,5.816007158737306,6.0866039725543075
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7799663278866986,1.790112430964015,3.4652016407131154,4.1285558128383935,4.2303998487924614,4.096710987279796,5.57222975860482,6.206131032517605,6.421439188430212,6.428240781018563,6.172404602120471,7.902102965743759,8.508473604225328,8.168477645706268,8.650222653965702,8.083995855517507,9.870196214761064,5.748159685238948,5.275981596542546,6.909846167826908,7.173429011870167
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7694001103624961,2.734503023187293,2.9505065513877353,3.726182641467616,3.9982670005899563,4.80631156384452,5.385623413049236,5.93659664520705,6.195434753515025,5.77710373800895,7.276249487424964,8.021590874881735,7.335947525370521,8.019557437652233,7.542499712615541,9.176065192536054,4.624741484943785,4.126386645183834,5.621134020047553,5.7681628642402245
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.746502940484465,3.5353053501517753,3.1090881569678737,2.975763049058459,4.257841038729125,5.0860226984923775,4.993775494256491,5.195277397567774,4.601521297701113,6.439410937764555,7.000972680699351,6.620343070826717,7.384838214675955,7.024050663872845,8.562709364859396,4.260953242226558,3.651272264572864,5.511202488389307,5.72937212674858
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2317872609403826,1.352812942774233,2.0432443780127443,2.4831509651527437,2.8336319382507043,3.7476054513474315,3.8607315796339727,4.0107791205268155,5.030332942074262,5.8816607142868795,5.28205627855532,5.487007494248721,4.866738919095004,6.677140872507937,2.9996454537903774,3.2484863101885675,3.970246171112852,4.543397994966562
