 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,H20,H21,C22,O23,O24,C25,O26,O27,H28
N1,0.0,1.8917973847004486,1.7378468887455893,3.0708480348044986,0.08596448881488294,0.19414924724982174,0.012875611415052779,0.008049883519410495,0.03137231094685067,0.21058408894280836,0.0552843067782957,0.034080998992828876,0.0027297184369783345,0.006647701044484061,0.00037361411102387887,0.000881851814460155,4.30952330479073e-05,1.3177311981138473e-05,0.00030937659336228995,7.504988674256197e-05,6.759004055778561e-06,1.9734291945322502e-05,3.196673574039355e-05,8.148140114280777e-06,0.0008826902572144912,0.00016317580868908943,7.996304917923247e-05,7.620926705587117e-06
H2,0.0,0.0,0.02703779829670272,0.10260393841577486,0.03612662081864815,0.00872358478208446,0.00016874270357924992,0.0047104167188594115,0.0002442623880960504,0.024046065355188495,0.06662999916936752,0.004374121651602114,0.0008418025020202613,0.00040667302827035456,1.9467395151684386e-05,9.994487399911378e-05,1.0588745646744613e-05,5.249864140521865e-06,1.678799572923939e-05,3.099649092952461e-06,1.4246740156487192e-06,8.711157785112889e-07,1.434774724584642e-06,2.6602581715273743e-07,0.00012385035839623804,6.218900734800137e-05,1.8184915218544262e-05,6.891588768542789e-07
H3,0.0,0.0,0.0,0.10529627334770264,0.0076260018373399685,0.03330795081957194,0.000652008701604867,0.0009219222685434847,0.002736013223189726,0.008002984236439192,0.0030229020613007362,0.0005307379994931027,4.939747187959753e-05,0.0001631435171697282,4.427588532696092e-06,8.063151650028466e-06,1.2579284092151255e-06,4.83283135954693e-07,3.863702247808298e-06,8.275205218843951e-07,3.061330160480935e-07,4.6574604173343914e-07,1.6913909667293225e-06,6.768271393342573e-07,4.068528787848358e-05,4.238681867096972e-05,5.981980901181849e-06,1.065889937645892e-06
C4,0.0,0.0,0.0,0.0,1.9589262362853013,2.6930945658137864,0.08927635667743172,0.08413178450162673,0.08697180013434536,2.4045248810781477,0.2784042487863589,0.2324425095914402,0.01849450071119929,0.03782698294894979,0.002115838309704854,0.0037927110077483894,0.00018796450419333866,5.542624311960509e-05,0.0013942942876618292,0.00022253307228847774,3.875991020230174e-05,5.706588088102982e-05,0.00010994437913425248,4.018221314962267e-05,0.00555196267928762,0.0015284507848883772,0.0008836919175484598,7.555237301304363e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08046931348033537,0.0050023757378692135,0.03554996132971744,0.004001227184105449,0.08825691393074164,0.022870980300893518,0.01205424049573689,0.010627163426683683,0.001644094811454222,7.411479248742303e-05,0.00010429442792214694,1.6674109134973136e-05,2.1765708846377407e-06,2.6012301565625506e-05,6.289610759546704e-06,1.8278959807993544e-06,2.8351687924033087e-06,6.4836765354403525e-06,5.487413656801721e-06,0.00046692964296046746,2.8912596999663975e-05,9.254775362776968e-05,2.933790605208486e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7799107807385688,2.01129693839915,2.1316187651938328,0.19290274661681192,0.03876806587778686,0.030718327273275642,0.0009928381990123025,0.003500124394622911,0.0007132152755056076,0.00037299414823460664,4.053219114807938e-05,1.6089749940162434e-05,9.335857005483839e-05,1.4838319747578765e-05,6.3582832505737485e-06,1.1937001524270352e-05,3.185450661820355e-05,1.219326390367731e-05,0.0012643044941585968,0.0010488479201001266,0.00025677545371743937,3.271194190512805e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381485191596333,0.02470218784141509,0.03083068608070172,0.006364982159827948,0.003920525166646538,0.00016296104451218874,0.0006589717335321321,0.00010901914919303479,7.541657780163469e-05,7.943964520862323e-06,2.931364147418236e-06,2.476353078217919e-05,3.3348265044974568e-06,1.8987530230329952e-06,1.3299052183946003e-06,4.651188396875838e-06,2.0334159100965365e-06,0.0003000561954866754,8.668337747286259e-05,7.507496977532391e-05,5.5294505498793e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02402517975455365,0.011271701864680184,0.007717755491321365,0.0013515673194020028,0.00011773821287652808,0.00011017460942630564,2.7320328925828363e-06,1.8286118429022835e-05,1.2259240249612446e-06,1.4722583980830706e-06,5.5883686855828785e-06,9.459530481148448e-07,4.7347623377547166e-08,3.96090547916117e-07,3.9412179719811036e-07,2.7609449704257827e-07,2.998761124017868e-05,7.249247235174838e-05,5.927064859023723e-06,2.0802039912837245e-07
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00843481444586791,0.00180247293307223,0.00417417998199765,0.0004424682733337182,0.00040145871183105974,0.000244974368145634,1.83840892873377e-05,4.323978871845213e-06,1.634787887394573e-05,3.3601438265140615e-06,1.009773453741758e-07,2.555001397119838e-07,2.7656802354947274e-06,9.040129326898239e-06,1.3001866329132028e-06,0.0003793237711724462,0.0015916469280299328,0.00016134421803060128,1.1777208456908994e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.608515562449167,3.5640454201107405,0.14020069025716708,0.2610744436095903,0.019545139291348157,0.028565785512647157,0.0016098238537900489,0.0007148837620258863,0.005776079936611667,0.0009662131083254533,0.0002852428652961869,0.0005268476397675692,0.000688206173080741,0.0003492559039394022,0.046226068663653225,0.012482619123809074,0.006176493261833921,0.000528682101708311
