 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,O23,H24,C25,H26,H27,H28,C29,O30,O31,H32
N1,0.0,2.005266449301095,1.6828681901435463,2.6697749284395944,0.08524950266614872,0.19554176103397797,0.014592632262764194,0.009501107861171976,0.03478163630544455,0.002466131166166008,0.00047706085384668917,0.002789044981804878,0.000773046954927456,0.0010856534602479706,0.21678072594959588,0.05556719753464799,0.034482255980291726,0.0025871862937081325,0.007392577087740049,0.000241070209254457,0.001124267680009991,0.0002548278108541746,0.00011889686024359192,4.359393853980986e-05,7.355658571001067e-05,4.665102282253031e-07,1.2458215965738262e-05,4.621521427994324e-06,0.0006462084958124281,0.00013596648940109035,8.333942409700923e-05,1.944968187694851e-05
H2,0.0,0.0,0.02622706264527941,0.1040863109082436,0.008542674557849184,0.03209781870622974,0.0006306955043409168,0.0010714712827908368,0.004559919059772044,0.0007833469225686507,5.476329402709368e-05,0.00020685606974801818,0.0001193438579235595,0.0001267167427224658,0.007830361168898792,0.00598704573031883,0.0006304037152051745,4.897698041106402e-05,0.00018912825332118022,3.6616969458780346e-06,1.026052830399582e-05,2.797077178540164e-06,2.5223300564869433e-06,3.531664384048838e-06,3.0835724933453434e-06,1.399258087175781e-08,9.497169111138959e-07,1.141594100140253e-06,3.7467715398697976e-05,3.617282671619648e-05,9.362524085343438e-06,1.601430285047556e-06
H3,0.0,0.0,0.0,0.10598689401256023,0.03461148919201529,0.00798265896364958,0.00018667816877493415,0.004795524893925984,0.0006318936040549117,7.334495699895527e-05,3.1714089359313746e-05,0.0008569281564548836,0.00011655232724483433,0.00024475398726597763,0.024916421111860432,0.06691990337759246,0.0040252048670258445,0.000531613144034937,0.0004703749162244808,1.976185456054047e-05,8.960387756307142e-05,1.302772175315603e-05,2.513470438103571e-05,3.1208247583958126e-06,1.2664893341063355e-05,6.924514384110125e-08,2.3534269162350796e-06,1.7649864367808021e-06,8.045632976538819e-05,3.573359409936305e-05,3.866921792883282e-06,4.833868787468276e-07
C4,0.0,0.0,0.0,0.0,1.779612494598916,2.699280663155665,0.09580494604433532,0.08289252981389095,0.1464068782325796,0.028608079338307002,0.0048127055938227414,0.01784271968247761,0.0037310116104334184,0.009826088759333107,2.67255149998906,0.27528915094803674,0.2361014019437782,0.015710307649601574,0.03727881548981185,0.001823884463694192,0.0037400693935229212,0.0013020088714044142,0.0003887536737747499,0.0002373729956980375,0.00032541711922345895,3.2672672816147497e-06,8.360578373478589e-05,3.190491323490363e-05,0.004879693983821043,0.0011429873534446189,0.0008005366475160036,0.00010161239743622374
H5,0.0,0.0,0.0,0.0,0.0,0.08113443285807209,0.006435733592010662,0.035161892964930885,0.005477152278502206,0.00037269071559609124,1.437568032502945e-05,0.009734043149686622,0.0006981288195193613,0.006629472289025995,0.09634614087897186,0.024669780889474024,0.0127427671578495,0.0048806424204412835,0.0016354765333721488,5.7598830099259146e-05,5.681445986494005e-05,1.1080438307553564e-05,4.9903947836438256e-05,8.165176766294913e-05,2.8883143013080925e-05,3.567658553027542e-07,4.8606864788691695e-05,7.829164925476917e-06,0.0006780256697815901,5.157156610580138e-05,0.00011349668252513823,2.729726122674414e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.093652245392766,1.893742409205438,2.4333109104851807,0.1005749367120452,0.08517956970214402,0.1693480786032665,0.04086291504152277,0.03078366438756347,0.17130304528385554,0.03403181278072717,0.02764041290651373,0.0009685094244835657,0.0028968538525493137,0.0006669549071827152,0.00024397407463580545,4.7339101298948805e-05,0.00021196764453350336,0.000215394885096587,0.00011210561215109494,4.2468499394932024e-06,0.00011112366187648881,7.94576869167507e-06,0.0013559393098845351,0.0009341333075132269,0.0002533917932520391,4.053939627146619e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022072039176439517,0.08433440630131606,0.0067709557163067036,0.033364519989728336,0.007221271962407849,0.00854433369557539,0.0012032991640201773,0.02963378081989032,0.00512725069262665,0.0033505041942758496,3.740308238997514e-05,0.00047854024240590043,8.814798190726059e-05,4.572126665336462e-05,1.72883213238606e-05,4.44987356514881e-05,0.00010435889383675345,1.3382197275424446e-05,1.4035121931321726e-07,3.760888451997957e-06,6.656103488378307e-07,0.0003118141228406479,0.0001565467235632445,5.666170593943143e-05,3.5399665823110382e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0850043173852515,0.004292839683563976,0.00566334343157604,0.028819599411406216,0.005207700967541529,0.0032659088589495067,0.007388942772835527,0.0021363683025514835,0.0007733963534082289,4.1565264176535166e-05,0.00012623920890897367,1.1473555038499228e-05,2.0121395256200714e-05,3.4788570852928302e-06,1.051491015857664e-05,5.407481351138443e-06,2.2051717190274545e-05,8.449709651969783e-07,3.895584488544657e-05,5.09186610653245e-07,5.6341103510160195e-05,0.0001691146938792576,1.9410593572244395e-05,1.2401143396623127e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8303743857178891,2.0666935369570942,2.6006140663914024,0.2976858616833395,0.25844230757802217,0.014052757691871115,0.0035757743445329615,0.019891779083210714,0.011422725868140748,0.0016998833996619,0.0007529136722659313,0.0002802043943481436,2.8596252831025737e-05,0.0016689847521052376,0.0017298397239321472,0.0004821915107807023,2.9650981926865327e-05,0.001051886649103162,6.2674751646341065e-06,0.002177478989577847,0.010793569261318803,0.0009536169876395578,0.00018719063218186616
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025829374108745196,0.08679336071833799,0.018222723725563883,0.0226483184919386,0.0018905410891398855,0.0009960216636968333,0.0014773484700001394,0.0008483456019161562,0.0001861039054560365,5.550634956774658e-05,2.128329588413358e-05,1.2820933819046587e-06,6.2693854045337e-05,0.00018655575623882648,1.0771063608139286e-05,6.280399147406968e-07,2.662033815714615e-05,4.432986269176098e-07,0.00011619662618400639,0.0002106642456833896,1.586685695609269e-05,1.1710904317618898e-05
