,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23O,24H,25C,26H,27H,28H,29C,30O,31O,32H
1N,0.0,1.0218734874671194,1.023503254546988,1.4720153306776114,2.0911879347761415,2.4597271265684983,2.6223928672819627,2.6559930523684527,3.8920823090033787,4.599301639324911,4.276105679974871,4.501565553875966,5.021280865676372,4.870868014879884,2.491660542831802,2.7867855232368233,3.671038803451569,3.9306477297235705,4.932197172654682,5.146912275771438,6.119244025890181,7.0131560343443144,6.425828539119609,5.849332120497987,6.320264816924922,6.404669959932274,5.6996540915786005,7.342106397582715,5.43503171447287,5.275673426496452,6.574916074296529,7.016468441858618
2H,0.0,0.0,1.6023536324412144,2.02915129751793,2.2961531920291165,3.332795748012338,3.4944152832046993,3.627438002950473,4.6447879876766045,5.450707735331953,4.972254056913682,5.035311371939267,5.561361935711854,5.201996543654965,2.7206568653553767,2.9081468847128074,3.81809123021399,4.161658229142471,5.015737822990632,5.040250597254648,6.186580286129987,7.056407098238786,6.681739318688972,6.148351799925001,6.1943340995368334,6.122005147889804,5.5818354123081635,7.231579775382196,5.7163507504109825,5.760449807763292,6.7564248924317125,7.298159530878733
3H,0.0,0.0,0.0,2.0045709976552963,2.8910569693549766,2.789469197865899,3.1567166644612716,2.587354002341728,4.206610313107402,4.864340533126652,4.395336780985122,5.073940245676075,5.714150806125343,5.418676783649148,2.5047430600284994,2.360236010821759,3.8346729715694496,4.294148901595851,4.90965379492954,5.056532066504774,6.258452223103072,7.049927370825339,6.615104164750875,6.15490860919645,6.646883259851389,6.683217978343129,6.168122849400393,7.702178355097957,5.173946403232367,4.953285527073448,6.2239964164139066,6.575822112635052
4C,0.0,0.0,0.0,0.0,1.0970225380753569,1.549623123064635,2.130223376596816,2.1585530294059563,2.6456138153082307,3.5396720151853907,2.9717547433807967,3.1689839230273456,3.8920014641849883,3.4441209339059107,1.5468505745523988,2.438927531764103,2.4318177778026198,2.5159249900264453,3.8031818161488347,4.246967198407206,4.8364851137941915,5.790394623222435,5.010459741598704,4.3921280450205,5.10805894239721,5.368029206287756,4.474202415829546,6.087009030100262,4.3852774685597185,4.2398304947865,5.636585415377263,6.117687165689727
5H,0.0,0.0,0.0,0.0,0.0,2.152403769918888,2.422016189264485,3.048720104805803,2.8917083180115832,3.8258366265111037,3.367684156677574,2.8347508202788116,3.4161502262848513,2.9729907666433832,2.1568904730350646,3.209700695719778,2.5640109386512013,2.3443781454721515,3.9961000226075374,4.433940452087104,4.751600291533238,5.784763218832555,4.924471029591632,4.201048493588097,4.713537481456162,4.997964730286896,3.9075895924147734,5.629400954019509,4.874009370676647,4.882705744180681,6.114108600073176,6.700376751531269
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0962349983519764,1.100679030973062,1.5456950140029602,2.1412508970626214,2.1790988475773125,2.5894397606254915,3.1918520847021865,3.3658169873884303,2.5771997905526596,3.4087281537867513,3.180732619299913,2.971505524133374,4.435021158661898,5.1410750774771605,5.308473861686649,6.255233867002363,5.075745404569435,4.374459922597363,5.819750876364511,6.309468284397875,5.187970668704557,6.682079614139975,4.650386812814124,4.125457400813545,5.992244122820168,6.285542521777171
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76557676506829,2.167103116725834,2.421930581579344,3.0711996477653893,2.852357058844416,3.0158962307993273,3.841057770070825,3.48515781366282,4.3045380484041065,4.102628689828805,3.7694277868433987,5.431491133400108,6.109878754541594,6.2156370024107765,7.209489066284448,5.930278568677725,5.133955896591644,6.56814472458492,7.064925945348142,5.812724568028129,7.389623612361384,5.735496649636858,5.208951237905665,7.080879737717769,7.380618103105744
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.170668257751234,2.470721777826369,2.473633615693068,3.527414352967567,4.151560996810411,4.275928036916553,2.849257638057943,3.317397201264913,3.663501693148029,3.6889047068306113,4.734139001644228,5.39209590854235,5.7838542521074245,6.622893175793171,5.57524004904773,5.005984166026282,6.491883040283726,6.931228499365281,5.988546648789389,7.387700368299543,4.629602849616413,3.921992855171702,5.904004617730556,6.053550227526463
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097287333546394,1.0945453145250508,1.5553666065737626,2.398781794785378,2.4234217253863592,3.15534579715022,4.143397286367628,3.118469112993471,2.5694677698210495,4.149017834949501,5.086818637427639,4.637544585266505,5.571351708773379,4.0410438315117725,3.284004879684138,5.273315602311428,5.990492160709741,4.69496402508729,5.965876366517987,4.283356812731272,3.6967761133452974,5.6405046291637335,5.897993851304234
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771149150523842,2.1574824912858044,2.5660702493285625,3.2330926574902668,4.157619532755326,5.042895169877419,4.186315593506317,3.637436486404372,5.124366472227426,6.093688891914292,5.545244755137882,6.422696882125607,4.771926193945659,4.038731975296604,6.247571253487862,7.021041092901644,5.680802043826579,6.860430589601898,5.058374745555429,4.286839140858545,6.378752280914008,6.504765768991516
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1978910992367013,3.265092524254858,2.5660490090076555,2.9171092026066634,3.776656077193112,2.685515593755731,2.326535434305373,3.4105136215285454,4.408915038740071,3.9331263467413247,4.758055955509529,3.3258556438652502,2.7703254229383845,4.834492302450456,5.553009417213672,4.469887842996835,5.530717057608177,3.3055349341570515,2.656971458340994,4.637450736688247,4.845005085475152
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2367863393348308,1.2978257687754924,3.737128093534164,4.921309398366713,3.306663305831596,2.376538925667595,4.362177839673275,5.288460577652302,4.41778679002851,5.447463203261412,3.750636755778769,2.7894089165970635,4.662630286599351,5.480681492653897,3.8920626601862036,5.198046204158939,4.9123089934994155,4.6296730105655906,6.221432185922475,6.642270401234343
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2583294305647525,4.760855087421744,5.943936602234519,4.455762777366647,3.520699423114854,5.569316204176045,6.460145104393425,5.554197941247378,6.589411369933123,4.838073318028669,3.853957213079949,5.625657645784453,6.4430539655513215,4.750256223565826,6.062448361863669,6.146055856323451,5.8162180507593595,7.4573728551714895,7.8635183146451375
