 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,H10,H10,H11,H11,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O14,O14,O14,O14,O14,O14,O14,O14,O14,O14,O14,O14,O14,O14,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,N17,N17,N17,N17,N17,N17,N17,N17,N17,N17,N17,N17,N17,N17,H18,H18,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,H20,H20,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,H22,H22,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,H24,H24,H25,H25,H26,H26,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,H28,H28,H29,H29,H30,H30,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,H34,H34
1N1S,N1,0.0,0.02318479617984126,7.953499113466656e-05,0.0019187747613318429,0.000198771878604731,2.638368577323469e-05,1.2245833270307926e-05,0.004418378046671334,0.000214783815843278,3.281611135091955e-05,7.692677027465455e-07,2.6362004987665055e-05,8.547516769122354e-05,1.2069978316014973e-05,0.007634770542649605,0.00129857639073927,0.0076223764056979615,0.0012570653918543284,0.0010932191972408134,0.00195861805170483,0.0020744129624676866,0.0056067362266774,0.001746881514917309,0.0006068839436939033,0.00011380230042057349,0.000703448203519752,0.00010804208003545313,0.0001078943969235191,0.00045088958698688564,5.42084807295673e-05,0.00036468691212940274,0.00020544319527079913,0.00019730845217447168,2.022735301832057e-05,4.540022861959647e-05,0.00021916370643593197,0.00022617805920943646,0.00011844508072522686,1.1229382271826793e-05,5.596025931531301e-08,0.00019216396475751907,3.0080547831934368e-05,3.351394895090287e-05,2.0318883416720057e-05,6.680967589177411e-05,2.8645800566745594e-05,1.5954747758506471e-06,1.6680887385545073e-06,0.00017420097079634544,0.00013590981643907263,1.541471417176865e-08,1.6696695870344058e-06,8.695528822544318e-06,3.698863223267068e-05,4.510279120673033e-05,1.2383753119626917e-05,5.263135718869272e-05,6.6906736146954415e-06,1.6034856131774688e-07,3.0385917022535125e-06,1.7188494026321166e-05,2.3623238542824776e-06,9.724631917229498e-07,8.4649426090877e-07,3.6569750634651843e-06,4.8928028513473e-07,5.785593461427041e-06,2.883994201230422e-07,2.0573123200584575e-06,3.1000552769278045e-07,3.539551301778854e-07,2.689314405834864e-06,1.1668968236122623e-07,5.306168942009748e-06,5.267396374630806e-07,4.2476657080570135e-08,2.612292657966364e-06,8.208315674940181e-07,5.398173371529147e-06,5.765698460336033e-07,4.176282132895004e-07,3.80209540518095e-08,2.754846351038509e-10,2.1214489866194786e-06,3.222589087248373e-08,7.740332574890374e-08,3.070121137316306e-07,8.359611358699226e-07,5.524800533951435e-06,1.2034064855726001e-09,5.129144893256665e-07,1.9083128410812833e-08,2.2102895287368085e-06,1.1175463054957646e-09,1.4303179933505827e-07,3.983652130390425e-09,4.2315491222133517e-08,2.0900798824996514e-07,2.4075523796796006e-08,1.0513858228478057e-07,9.141335044482446e-08,9.889339971369537e-07,1.6114687084733958e-06,4.34135063454022e-08,2.716207088138134e-07,1.9358410052738861e-07,1.116373796739012e-06,9.70797247451527e-08,1.9072082135807022e-08,7.885338215718463e-11,5.277786105373217e-08,3.1517183862739273e-09,5.86514663031279e-07,5.409337763495614e-06,1.9116341418712324e-06,1.562758457729352e-05,1.4435172057680745e-07,3.5420471457991987e-05,5.470848992716881e-07,0.00020704043507124847,8.808196487741782e-07,2.843415075615141e-06,8.67657837938518e-07,2.4188486067444614e-06,2.2487222579026245e-05,1.0253520366099167e-08,1.9416587443837896e-06,6.259212670167713e-06,2.5309503379755682e-06,0.0001191086120611029,1.0970857767800268e-05,7.501451970703954e-08,8.29791599876728e-08,9.301005706952026e-06,4.265520132440415e-06,1.6580739624350027e-07,2.0902773449626988e-07,9.402199721564308e-08,4.827616758573683e-07,1.5047185572547583e-07,3.4783936858628905e-07,5.282706419196259e-06,4.6966703082240713e-07,8.705664084729392e-06,1.8833291259845453e-06,1.654821695229458e-06,7.267071384653434e-07,2.3385232639228093e-08,6.985735159226181e-07,4.180346849236294e-08,3.95036560962847e-08,2.4622814898123124e-09,1.3252822902987127e-07,6.893345786962435e-07,1.9082072522103033e-06,8.901941735972585e-07,2.9868627016149674e-10,3.7319047807571337e-07,7.271417246101919e-09,1.5276932747720906e-06,3.585147623219598e-08,5.084307441727276e-07,4.933636632564742e-08,2.45402915077797e-06,3.5163729705800506e-09,2.753652861287037e-10,3.71610746063844e-08,2.7674859626181103e-10,3.762121084105452e-08,2.2078793487922965e-08,1.392199688865503e-10,1.357259755141449e-06,1.8024187975473893e-09,5.635587552177412e-10,1.6383037149125812e-08,2.675555510478489e-08,1.676550320794945e-08,4.392533892172423e-08,3.88641909765397e-08,3.474647258805419e-08,1.0899841029754498e-09,2.6998205615580417e-09,1.8023608716610795e-09,7.195878365395814e-09,2.8131857954249995e-11,6.552024756079078e-10,1.0610101908170577e-08,8.159456443834756e-09,1.9272555773497402e-10,7.070455332325309e-10,1.4775742851469431e-09,6.56254495190467e-09,9.702882941553526e-10,2.401053134093445e-09,2.3817392502678558e-11,1.0714873432959848e-10,6.043123779164716e-10,4.978742834671479e-10,1.834740692707726e-11,4.13306555646642e-10,6.374595296065877e-12,3.239831458667908e-10,2.475107452326597e-09,1.2366483392867167e-09,2.147422240028618e-10,2.7310995687201967e-09,8.596501288593572e-11,2.2697888013567535e-10,1.7124457685202543e-09,1.0876788358871181e-10,3.8837888460818704e-10,2.900346629530759e-12,9.578664084131105e-09,5.957355098118455e-08,4.155134458727616e-08,3.478643040288887e-08,5.612175169034117e-10,3.2582825326699094e-11,5.348659570802994e-10,4.183377810829114e-10,2.3135549032105018e-11,1.76062511791919e-10,5.9290869991457384e-09,1.2326663023642936e-08,3.4729652487186513e-09,3.65720964623506e-09,3.0829188091274773e-09,4.1770849157352075e-07,3.056193631501003e-10,1.0048976761822814e-08,4.23682848804674e-08,1.8707942306406267e-08,3.894260469650135e-10,6.335542135360583e-08,2.1566180397059043e-08,1.5989119916959282e-08,7.740730723071465e-09,1.0248496495890436e-10,3.889552346869607e-09,9.609890050388259e-09,4.089957705843972e-09,2.0434789416157173e-09,1.592222464985582e-10,1.0775313974420442e-10,8.088490144331217e-08,5.800755653595502e-09,2.5979458584401982e-09,4.33455094039914e-09,2.7290927073764237e-08,3.4100966495032026e-10,3.4523739422809285e-09,4.4685560807167235e-11,5.017824766806456e-10,1.417873582432172e-09,7.034296201080537e-10,5.061784325022245e-12,1.5784905396665216e-08,3.8363520360462644e-08,1.7735051205391983e-08,1.218951801718049e-07,8.35733657833515e-08,3.087407818291865e-08,2.2180521863646163e-09,1.768788004952171e-09,1.123113180234725e-08,3.2348616840760513e-09,7.67712560190148e-10,4.358802485615598e-10,1.632398938244961e-10,5.2614694823205355e-09,4.911838757948317e-08,3.411439511991077e-07
2N1S,N1,0.0,0.0,0.0033015012117978415,0.03254254632375142,0.006081176050694026,0.2617516466822276,0.0023028922313232947,0.06331264689271654,0.007245436726755816,0.000748229961811564,0.0003992321205563698,0.0007837525169049897,0.001738431318054623,0.0010034307238491191,0.09804212819834257,0.1531110466655301,0.09919355023655774,0.153502452370744,0.0031546643263042906,0.0045536339886971255,0.019594290844533457,0.0546182230137191,0.020304566090262544,0.03904617067049099,0.048520274891461046,0.1572630162872719,0.04164894290118859,0.005100688279229049,0.02177755240212731,0.003389126444042878,0.01828367110317508,0.010651592770352991,0.006469925473359783,8.373315909926404e-05,0.00025635543639057623,0.0033106968513370028,0.006427969804148503,0.0053502760086905354,0.0007453520753224474,0.00016338320535869144,0.0016040295593748866,0.00026276611433173613,1.7990843292903236e-05,6.350075833583269e-05,0.0009601742761686793,0.0005824807875864924,0.00019149611209656747,3.408585603614789e-05,0.00495694040824457,0.00032444582274226974,3.649969560681754e-05,1.3944916683605868e-06,5.966287656455904e-05,0.0007771328997399074,0.0016824717802617073,0.0004560658020684727,0.00161978292563969,0.00022996060857893852,0.0002156587944259769,2.545614859617018e-05,0.000589856869755323,4.9391421484745734e-05,3.204334959772126e-05,1.4047607332923207e-06,0.0002423150291301912,1.0439542485141118e-05,0.00011755706914629016,6.194522572222638e-06,8.159607258972912e-05,2.288683588158591e-05,3.314456490155493e-06,8.573343792050991e-05,1.7254785736220413e-05,0.00022840004391655455,9.41764853967797e-06,1.1435038234086647e-05,8.895000206532444e-05,9.75663104085811e-06,0.00011182909122098295,5.3686380453221716e-05,7.565910953521993e-06,3.016721874526951e-07,2.201912563171149e-06,0.00011794621301763897,2.1441932740451364e-07,6.326153285218794e-06,4.834208656490091e-06,4.093184473275002e-05,0.00015935145845702436,1.4405955139906723e-07,2.072430630750688e-05,7.537975927007778e-06,7.889269582994629e-05,2.466991264604701e-07,1.2699505248736642e-05,8.162230891173294e-09,3.5628543209043073e-06,1.2386537596498215e-05,2.0447016968461185e-08,6.418090823245848e-07,1.530762455903556e-06,5.097025882871975e-05,4.1390338199054355e-05,2.2288829639727226e-06,2.120697617513656e-08,2.1770041368274207e-05,2.834705360577061e-05,1.1901799172875371e-05,2.3583313784047988e-06,2.527668563345742e-08,4.518976552292386e-06,2.0994593374901172e-07,3.690601208106159e-05,9.401057643465549e-07,0.00021439969379200008,0.0008394276878473939,2.66525433678666e-05,8.990236900663362e-05,0.0004641793928858995,0.0006398167643171249,0.00020154997838917055,1.4678640845033897e-05,3.926716362245841e-05,2.4958018839171814e-05,4.746671438793371e-06,4.098763295279362e-05,2.0965171272147032e-05,4.3351231978849825e-05,8.3477933552345e-06,0.0041150000616863025,0.000157607324731579,0.0001525887934716863,7.192820552059942e-06,0.004735734981702766,1.897421925045606e-05,3.597155698620291e-05,1.641299715338107e-05,2.426795136623028e-06,1.7813805653243975e-05,0.00010701213200814408,5.019495110891725e-06,2.1365425338260025e-05,1.5002243168193985e-05,0.0003456438065687628,0.00010429527515842807,4.204224637538445e-05,3.2204822069115124e-05,0.00029488417481182694,2.1941391094237872e-05,1.4239816224392854e-05,1.4420952674232268e-06,7.93877238769447e-06,4.3559559979033935e-06,6.341106760920923e-05,8.694036992329401e-05,0.00016472184214766372,3.6079759226925745e-06,1.0592202348558288e-05,2.0996738259171366e-07,0.00012990335253126872,1.533451968072086e-06,1.8867832483060454e-06,1.5710237026844709e-06,7.094268927865244e-07,8.389494166038958e-07,4.708155689536753e-06,6.048832399851989e-06,2.690445617403725e-07,1.6967060449735172e-05,4.421952966904286e-06,1.6679468339830805e-07,3.348069328668046e-05,7.465796980632433e-08,3.1093526020598006e-07,1.5955830598990417e-06,6.359218909235409e-06,2.3759418921187603e-06,5.091404338131156e-07,1.2950744063822128e-06,2.583453512006173e-06,3.9033509224850604e-07,6.00780812431978e-07,1.809720779899493e-07,9.739906909889129e-07,2.9730902184610386e-09,3.0716389431972857e-09,8.774414492762617e-07,4.762558560855723e-07,2.998112047514212e-08,8.42479215279468e-08,3.1515102927315297e-07,1.8379551036673547e-06,1.4206106957459497e-08,2.9758768338439268e-08,2.0849859216909294e-07,4.696981021901081e-07,8.681442675850803e-09,6.598478741182134e-08,2.3064794518745657e-10,6.793570395124959e-08,5.7811311293676226e-11,1.405173233326451e-07,4.923360554798251e-07,1.3935521758767777e-07,7.834974891096635e-09,5.019495930014273e-11,4.270115461224577e-08,1.2173190899744668e-07,6.187061307727504e-09,1.772371627239977e-08,3.233190053464341e-07,9.102497200430548e-08,1.5968876443395175e-07,6.497343107980669e-07,1.142333929227135e-06,1.662313544592564e-07,5.597649899158341e-09,5.918024359452545e-08,6.835898513912753e-08,1.7559126908039957e-07,3.993324115825203e-08,1.4472568699019916e-08,2.3423844819348005e-07,2.396888159061916e-07,2.3060657516893457e-07,9.735430461788042e-08,1.1131605859304727e-08,5.477650670826506e-06,8.535113749097434e-08,1.3543528147863526e-06,4.668234657057013e-06,4.2396697748081635e-06,1.8227397147185798e-07,1.7729571428759527e-06,6.261611291691338e-07,1.1558099588526716e-07,8.552191888000493e-08,1.8866454398747123e-08,9.22417697779565e-11,1.5635554357906756e-06,1.813610073231331e-07,1.5514673790129052e-07,7.111069511012147e-10,1.6915354450475206e-08,5.098699741967749e-06,1.9083600966141034e-07,9.775967990677259e-08,1.35434761183717e-08,2.4381588974442536e-06,3.719820229619586e-08,5.374328537754991e-08,2.8120738626569164e-08,1.2521895587092047e-07,2.1970684738192858e-07,2.6482178383524513e-07,1.711668584647441e-10,4.828960920022496e-08,1.2206527579827764e-06,1.4499202385387377e-06,5.269720844136572e-06,2.6445350571613346e-06,1.259675747711242e-06,3.233700063276501e-08,5.371577431745322e-07,1.6526952784090554e-07,5.188784033549609e-07,4.300961915504331e-07,2.8148253949922264e-08,3.209490007094473e-09,6.10617458596252e-07,2.7978850551946266e-06,1.8696588729660846e-05
3N1P+1,N1,0.0,0.0,0.0,0.009391382714931229,0.0012944351530155274,0.0016558137594322453,0.27586820863986006,0.013359670451336125,0.0006100030269000634,0.04724413029720753,0.024571801070349064,7.881391659525505e-06,2.9839103071305217e-05,0.002363526340414923,0.30422046468362796,0.22156929374044143,0.022883749923838348,0.010384539058312825,0.0035869234204946032,0.023031475988371408,0.02032438493088229,0.07823541695932734,0.021545150563615945,0.011634066679584443,0.0008369259692817543,0.047700749101653006,0.011731138693719334,0.025546140569274955,8.993436483906159e-05,0.0001682298987173425,0.006949383172766943,0.007816213893447,2.0903568724861543e-06,7.941009509249142e-05,0.0002686248669576674,0.008801625406724689,0.00941644142610043,0.0013578944655692204,0.0002040808694392382,0.0010399065717283662,0.0014707395975475102,0.0008631193163965989,0.0008506058922814752,0.0013081619638000141,0.0036581186547808286,0.0013122089554484795,0.0005157916318048184,0.00012149080509926691,0.005194270699682146,0.00011398871884171768,2.0554566182440226e-07,2.2793704899104483e-05,3.525104978185922e-05,0.001157754038832337,0.0009554733832271012,0.00023018689610276866,0.0017924075167932152,9.315273611809616e-05,4.60970521931614e-05,1.2836762130152835e-05,0.00032223064435576987,0.00025706753742227306,4.50914362042365e-05,0.0002534790558923472,0.00014227912369091378,1.1711591645147124e-05,0.00017571213150757714,1.343076621207473e-05,0.00010557607294936489,9.754774676284939e-05,1.0435138895203977e-06,3.724021746487338e-05,1.1329235398704895e-06,7.56417104081919e-05,4.432650189967191e-05,6.655149924483794e-07,4.080891471724968e-05,7.179165459447745e-06,0.00016768795414279225,2.195765885937284e-05,3.05551881432109e-05,2.2578364637926285e-06,8.542636373842782e-07,0.0001308088406060115,6.526921358940285e-08,1.2162785045788382e-06,1.2600228556980397e-05,2.318048166305431e-06,0.0001410979217211228,2.103089213889575e-08,1.1941850104335572e-05,3.434847739569591e-08,4.767711613640202e-05,2.3372123814091594e-07,3.1928927022306652e-06,1.8225130755666896e-06,1.1999086193537067e-06,1.7861588713641297e-05,8.078675772793531e-08,1.4194211059859185e-06,3.3378310337894845e-08,1.8788280747195074e-05,2.137390980250231e-05,3.9517846106562615e-07,6.884812098206794e-08,7.57262241268819e-06,1.6177858726873495e-05,2.637657677828642e-06,1.9696565864979476e-06,6.047902001427019e-08,2.1669944822999554e-06,6.903694178550523e-07,5.382501087058955e-07,0.00021526090574797152,0.0007839812495160636,6.123605392094333e-05,0.00039154398200702545,2.5802073281955273e-05,7.642571584698388e-05,5.400953421075272e-05,4.302745771234129e-05,7.299054191278742e-05,0.00010390684775063441,2.895177646422553e-05,0.0005397658165224861,0.0002430034392084668,5.788253355509809e-06,0.0001346511004394202,0.00156564715600771,0.00029890862400705487,4.4154142636365634e-05,6.21588848259691e-05,0.0002979042064219506,1.6597234697712793e-09,2.457922265275414e-05,3.279474049566744e-05,0.00015166942441879883,2.3382781577652167e-07,8.394488422069912e-05,2.3631190735784458e-05,8.842019434629478e-06,0.00016109288283283618,0.0001165952070460996,0.0003450283193213721,2.1053704370554982e-05,7.307606436901537e-05,1.0009444695313618e-07,5.845687315231274e-05,5.392384059277333e-06,1.9889249949223142e-05,6.738763764624345e-05,2.077501091823919e-06,3.6354375496649993e-06,6.868705550999721e-07,3.5659038422508615e-05,1.4721455054989008e-06,5.034530370373602e-07,4.16939132596994e-06,1.8682676876657922e-06,5.934907305604753e-05,1.6992565363693757e-05,4.332564720321841e-07,1.2489760337075495e-09,1.8702687896166026e-06,1.165841552186464e-07,3.4500363434997183e-06,6.7921292719042015e-06,2.675734722679124e-08,1.7072325109168673e-08,6.8922301614815495e-06,1.1339622552064554e-06,9.26399952305701e-08,1.2638220114880028e-07,3.340703653265109e-06,3.1580895312188773e-06,3.015934193939529e-06,1.4514105006746547e-06,3.86881044089904e-07,1.629149659621021e-08,6.354267152453019e-07,1.706721495686736e-06,4.8495525373226656e-09,1.729685871865172e-06,5.678630410343999e-08,4.134978716985316e-06,6.414808217947154e-08,1.1064622640333255e-06,2.5575966233759573e-08,2.662946840814584e-08,1.0404674148922766e-06,3.81646650726708e-07,2.788615975912734e-06,4.1304970554989495e-08,2.1619323886667985e-07,2.2748301020669714e-09,4.2934146282647134e-07,2.2154473278135356e-07,4.374612228019714e-08,4.898067458292132e-07,1.2145960903708897e-08,8.579699906086091e-08,2.6175668810246577e-07,7.617106030366472e-07,4.2760352592097206e-07,1.534212286102843e-07,6.935228391569126e-08,2.3259831394284447e-08,1.5998368407821317e-08,2.9403140588968313e-08,9.511636474002216e-07,7.137039927940236e-07,3.218607660393502e-06,3.155243257779716e-07,7.945278190923943e-07,3.562567929549232e-08,1.9893987777130917e-06,4.3238497449138436e-07,2.5330484376695495e-09,2.6067234637494607e-07,2.9695590431089158e-08,1.2338041455173254e-07,3.7238551353624416e-08,1.4309959439628983e-07,1.0104806813515665e-07,3.4113438740490665e-08,3.2866858123981046e-08,9.85679391884986e-07,4.526538841087557e-06,1.8867498674524086e-09,3.5452527891166596e-07,2.4475926618805488e-08,2.407483425947987e-07,1.8104752053105244e-07,3.573170204163034e-08,2.8023241060992632e-08,1.2209187785217068e-06,1.1860396043061883e-07,2.1325929844273617e-07,2.9852340155400725e-08,4.1816223150803467e-08,6.455372902891554e-09,1.0273805051141949e-07,3.91933152599222e-10,2.6329073588016172e-08,2.23260305798334e-06,1.7723065903751944e-07,3.7268854669036955e-11,7.569882010116658e-08,9.197427468521369e-07,6.528265172889292e-08,4.339750780957274e-09,4.60103344313012e-08,2.0105273002002377e-10,3.483879851273741e-13,5.6950546500900145e-08,1.4678281257118897e-08,2.327521131384458e-08,5.951538599724415e-07,2.0051307281221398e-09,1.2072340771496215e-06,1.6162564295818527e-06,1.0272777339892514e-07,1.1140743882975812e-07,2.0430930547377102e-07,6.013878861566013e-08,1.8610057939127955e-09,1.8934036227769013e-07,3.918918856093967e-08,7.990019312842378e-09,2.2025101586997664e-07,1.2646243385816547e-06,3.127777381539687e-06
4N1P-1,N1,0.0,0.0,0.0,0.0,0.018597128910792016,0.04102598962012127,0.010550929940336129,0.19176242439865065,0.0201487219507408,0.0006707461844328577,0.0023709021378872652,0.002716221843115596,0.009576173565708723,0.001158839040383386,0.01722959523434886,0.0005899993398839065,0.0009521813138002599,0.002965909764525154,0.010877684577490054,0.05901774200674392,0.07779011724853291,0.16139819634396435,0.06804422179966885,0.01667958211967191,0.039274144891936036,0.012236094196020897,0.037532300950494424,0.008398370372051378,0.014717686290547372,0.014175664627477325,0.009463613980720265,0.020537047572076084,0.000294236959035743,2.240393529406859e-05,4.49131479784981e-07,0.0014110467811292438,1.0738289965228631e-05,0.0012338182400313258,0.0002258888969017825,0.0005316132862684952,7.89303570059019e-07,0.0001244227752885685,5.083791572157992e-06,0.0005355323436824211,0.0016987067635603204,0.0008755250783458735,0.0010090366029562592,5.525128675021307e-06,0.00048752784958638884,0.010744272660196508,3.357237583401229e-05,2.2364050900058885e-05,2.626064712130116e-05,0.0003744759523076624,0.0007703888200656372,3.059427362206435e-05,0.0005093669585622962,0.00014970783705603452,0.00012866788812937457,0.00011921513356538682,0.00015137163459311154,2.0406694626107225e-05,0.00011019703198122954,2.5916910864065557e-06,1.6541804170877583e-07,6.417841279504621e-05,1.2720765925511301e-05,9.10598099146398e-08,0.00020103624047562718,6.727928844219022e-05,3.454266579439036e-07,6.670419516296988e-06,3.913965242574591e-06,3.554926834237193e-06,4.6669737407967204e-08,1.075214658463608e-05,1.3777057583652663e-07,5.906398807375979e-06,5.600446257414404e-06,1.1115696008090481e-07,7.792835883924099e-06,3.3504445662302373e-08,2.0009562917699952e-07,4.271577286329986e-06,2.50118741274008e-08,6.057418331373299e-07,1.4894654132291407e-07,2.7873315744386673e-07,2.4231849860001375e-08,7.992265018685885e-07,1.16049285736608e-08,1.5384546347974037e-07,2.381916441862586e-09,1.3062836523580756e-07,5.283814097367667e-08,7.4186152776434255e-09,1.341545345923123e-07,3.130692793895662e-08,2.1808297856473757e-07,4.94429806918717e-06,3.2221128076770356e-07,6.445640932106755e-06,3.6336841637840678e-06,2.3757114764322296e-07,4.9857767230321315e-06,9.745063344279714e-06,8.749715512124112e-07,1.8499390774806557e-06,1.826650706249211e-07,3.9941268006327135e-06,1.2462104237442873e-07,6.77861296427551e-07,0.0006466518249670372,0.013610800042937576,0.001995058711321551,0.02265538661333588,0.00346379953890974,0.0011662618237369138,0.005876935576505815,0.00743841210290519,0.004917443422348899,0.0038090104544898917,0.0013443141960423066,0.0008864414223088701,0.008220059569441052,0.0004381378008693204,8.563368682978911e-05,0.0016098850718906377,0.0005914381332026153,0.005031956459625508,0.0019829712476382433,0.0006923304789889784,0.00018010510706245597,0.00020382837309762536,0.0009811273591284753,0.0002559292908388411,0.000578149180705978,7.492555375598897e-05,0.0010191703696218468,0.0005611890986549906,0.00010709063336711289,0.0035350778985643316,0.00030945373902468987,0.003985108307761109,0.0005797893290089284,0.00047995259532473966,0.00010890658804552089,0.0006913061493811767,0.00037566290751867015,0.0007945271238216645,0.00012620462173362768,0.0001717919327770545,0.003969923307181933,0.00018358201980794853,0.0011079338865482846,6.041356226393901e-06,3.1735289294676505e-05,0.0008844749933647478,0.00011511660079888131,0.002367295251652912,0.0001333241882295333,5.035771944461587e-05,3.5206888626682087e-06,1.8792904130648935e-06,0.00015072534205007315,2.2205730944691027e-05,9.33242290956926e-06,3.394822185320834e-05,0.0001869467363746491,0.00010226920342004675,5.3911200388778724e-05,3.0202349356578395e-05,2.969628402738067e-06,7.89811639330118e-05,8.867871364381941e-05,0.00010125268804239695,9.756679502936905e-05,1.1314866844358562e-05,1.777057073137911e-05,3.4788912337546662e-06,3.4153965779548656e-05,1.6542255063534128e-05,6.169580408554864e-05,7.90725357058264e-06,8.411760867366169e-05,5.2437922546388904e-06,4.548417734895338e-06,1.6082585174714836e-07,1.302890989096639e-06,3.93673052618837e-05,1.0591952869454246e-05,8.144840995516489e-05,4.236882970243272e-06,2.3877640202840666e-06,1.216248599611447e-07,7.229443330203367e-06,9.431583925856302e-06,7.159968062886435e-08,1.6358524403958796e-05,2.7499072847714245e-06,6.676132690230929e-06,1.3275962153613818e-05,2.7070598822565017e-05,2.259040792074174e-05,4.090928407141092e-06,3.6348350063164503e-07,2.6714303680286378e-06,2.636130957966998e-07,1.6541238911926825e-07,8.040225953465097e-06,1.2626718878472332e-05,7.370438837028814e-08,1.1459804172275767e-07,2.5194400712358345e-06,2.118164728948102e-06,6.368928207045599e-07,1.449971553046936e-06,2.368809589592402e-06,3.084391844154766e-07,1.0251947295536468e-06,3.2605253528217304e-06,4.789955945216917e-07,3.7986336920425856e-07,3.198120843705965e-07,5.252161852098425e-07,4.7241431744282636e-07,1.5133724495797196e-08,3.1668241704529976e-06,8.21804959860728e-07,1.1802470569310941e-05,4.116557218969419e-05,1.1008462927897256e-06,2.1730045712153867e-05,4.741537775299065e-06,2.377461330027586e-06,3.166018738109955e-05,6.823062754790499e-07,4.059949910484306e-05,1.1544234385540975e-05,1.0220360623147684e-05,1.7318315946646123e-05,2.1302889952723447e-05,1.58539642969302e-07,3.346697414308153e-06,4.213274377073972e-05,3.11774054129188e-07,3.2636125595786325e-05,2.9605492235518227e-07,1.4062557581961954e-05,4.579716887054275e-06,7.916682651210039e-06,1.144264683006213e-09,1.967994153195818e-06,4.589243301600376e-06,5.043913406943545e-07,1.4428389278897669e-06,1.3985095304036577e-09,1.951192096782961e-09,3.016116627563292e-07,8.267463427635846e-06,1.019912579725002e-06,5.236326927615664e-10,5.765140205227226e-07,3.2026287759556737e-06,1.586188689728374e-06,1.0297541748194305e-06,9.679573969023636e-07,6.400464847011733e-08,3.353072197675999e-08,6.272093322490235e-07,9.326753014349265e-08,5.38902256153051e-09
