 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,C23,H24,H25,H26,C27,H28,H29,H30,C31,O32,O33,H34
N1,0.0,1.6414657690738808,1.642122445540036,2.9948301367236647,0.0886654309289332,0.19282086475841592,0.04445484414248124,0.0037244989910231174,0.026193823477921443,0.0012070960513895779,0.0016577062780814833,0.002942960140744938,0.001244005746134702,0.0006187052728244408,0.20645324300574378,0.058019728046052835,0.03226047446200267,0.0024450549679488898,0.007087509326429778,0.00046288961005547247,0.001101053053886858,2.27426236254491e-05,0.0003330906849251733,7.7993674042931e-05,7.134857365476144e-06,5.4110493061809706e-06,9.193057388737214e-05,3.540808298341247e-06,3.834864510499081e-06,4.0923825590399865e-05,0.00044992405196557506,0.00020646794068585744,7.46943192083474e-05,5.1040578863070785e-05
H2,0.0,0.0,0.026160345397579388,0.10378439856602095,0.0066948515381590745,0.03491685783311771,0.0031571903815825753,0.00013963512955927904,0.004007487891214079,0.00014962815460473067,0.0004549963149100833,0.00047305848772383197,0.0003262587074253087,8.546083047455966e-05,0.012259705974998925,0.015972498509073008,0.0014231944368112703,8.807909083685672e-05,0.00025977549355726826,1.0728684992633575e-05,1.231956091152231e-05,3.490888106361112e-06,2.746360142302784e-06,3.184358847718727e-07,3.381866924279109e-07,3.5338063519851914e-07,3.160538119362233e-05,2.9890682515798517e-06,2.4673238319117274e-07,1.0644266897008592e-05,4.206014339980246e-05,1.044589752552394e-05,1.242017186164901e-05,5.9805506456012125e-06
H3,0.0,0.0,0.0,0.10237840080505345,0.03717594330959284,0.008146484950111388,0.0015965505190227436,0.0013615052043647324,0.0012954734034701376,0.00037456691331927416,0.00015883528105309352,0.00013913116885266863,5.5603375919477394e-05,0.00010584147951209211,0.018665876186645614,0.05001044126342691,0.003089929132686464,0.0005115869049088229,0.000519649643206721,7.049144163873144e-05,7.102913803869182e-05,1.1081120955713786e-05,1.2300824199895644e-05,2.1159449559160493e-06,1.9932475514572445e-07,9.743478959212126e-07,8.322199818389109e-06,2.337419260367568e-07,2.045426663821459e-06,4.639977566611719e-06,1.5821399766857702e-05,4.570213121612987e-06,8.930361907522055e-06,2.6678167233118444e-06
C4,0.0,0.0,0.0,0.0,1.7615719577849935,2.416280011451668,0.09461482474058225,0.07841348234612466,0.15351160397890456,0.016242373260616727,0.024425302979435903,0.006653967623563628,0.0031974221301249856,0.0032795200923769197,2.6081336615382886,0.28361638384217924,0.23046078336259196,0.014732590756949993,0.037985659777795666,0.005686887981338984,0.003851495834753027,0.00011249038374105957,0.0012879383484721563,0.00020451301244217568,3.1169839337152894e-05,1.8017501822065185e-05,0.0004714222109801769,1.7274798338240416e-05,4.7192338006318835e-05,0.00018177596156476739,0.0032829793614160274,0.0014114151859073443,0.0003433844190644242,0.00015573628541953877
H5,0.0,0.0,0.0,0.0,0.0,0.07402109516117306,0.0013776860616896425,0.026976335178405808,0.01997800813487771,0.011207879065197268,0.0009528218848573466,0.0009569208749329317,0.0005241448250534742,0.0006239927684389412,0.09190446531050944,0.02598834553542273,0.012645671196814812,0.003512585075684971,0.0016335738491692897,0.00013744758399392154,0.00022147411332285039,7.207332454628457e-06,2.950349662567131e-05,2.4605256863097225e-06,2.537036046357244e-06,3.1465094618710054e-07,0.0001725135587515858,2.868248021936637e-05,1.5886927467123613e-05,0.0002756442751097321,0.00043458927414397053,0.00019376315283692325,5.8436263263739185e-05,1.7987365290128565e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6614486761121936,2.016885070556807,2.8025564836581642,0.07568066617677238,0.09442835524554272,0.1707658641285561,0.04380684116577856,0.026305385253115432,0.16764884582819803,0.03561884011995055,0.025569933539481893,0.001002827622592517,0.0026992955053365963,0.0003073705515410641,0.0007301453187195384,1.0291317216859497e-05,0.00010243244266480711,2.1832924055109615e-05,1.0831346504147632e-06,3.289360638536465e-06,0.00016821732471200557,2.282011713594656e-06,8.318689800557166e-06,8.798846579405328e-05,0.0011096302730595753,0.00034640864535961935,0.0007956829396916776,0.0010270517917662092
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02516963425781582,0.09257829198782863,0.001479074968263605,0.011617880236724165,0.024980292862675446,0.0037863765391721316,0.0036531199890549315,0.024031060174006358,0.0033936845171242958,0.004973868619868149,1.2628491998345481e-05,0.0005628571028364338,0.00012897006931833488,0.00010005206743768369,1.992484768731373e-06,4.202092277250102e-06,1.8105519932198888e-06,1.1383013243104756e-07,7.333323746028242e-07,2.410107603179057e-05,7.254193470362935e-07,1.0151066391905772e-06,3.072049008068234e-06,0.000256438988596841,0.00010789391412113769,0.00024609689742516316,0.0004320239932138481
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07599859248453233,0.032290009967526956,0.0017051898226037032,0.016251364378115918,0.007978434609877905,0.001617456468991696,0.016495460849470733,0.003060957880558157,0.0014593498534587468,5.575706488714083e-05,0.0001597595503302074,4.4964245838885475e-05,3.7223965556165695e-05,2.1736902549029935e-06,8.560329998852367e-06,2.1446241857958626e-06,1.5564878741436416e-07,1.2895223955311508e-07,1.9543239273334123e-05,9.088287369340975e-07,2.9612555607627655e-07,4.5982093729746154e-05,4.402485181120852e-05,1.76320784798234e-05,7.080147750582189e-05,3.0742930511307165e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9808194271957522,1.9817887311317508,2.5008197669249643,0.30190968309649135,0.2536589248571611,0.008356347026801547,0.002688336958704643,0.0020972478193552746,0.003329186852517485,0.00044709714001184286,3.497853830092268e-05,8.165884339153551e-05,6.235244794527972e-05,1.662367171360868e-05,2.189705786026508e-06,1.1898538969656869e-06,1.5133452595517127e-06,1.6949293924192754e-05,6.5622996925363e-07,9.36210993396358e-07,6.642072386986442e-06,0.0007886906547558692,0.0003149279210938466,0.00626976821951418,0.018302592108114246
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024605310970242655,0.08484724227382023,0.029381737446122602,0.013234667489899987,0.0008887800332670892,0.00031096051484857945,0.00015989297346918896,0.00039886111864761986,3.258484482748791e-05,4.3548165649109905e-06,6.22709444764169e-06,1.5304896596735063e-06,1.1713989842565553e-06,1.1342895134269781e-07,4.511483919777959e-08,5.978198669431833e-08,1.259147635268576e-06,5.526996971205733e-08,2.2666623467060276e-08,1.4739549827336162e-06,4.1614311303561635e-05,2.7947916594772693e-05,0.00036299637914827265,0.0003772228919205478
