,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23C,24H,25H,26H,27C,28H,29H,30H,31C,32O,33O,34H
1N,0.0,1.0223561428905583,1.0234564778469777,1.4742192369294367,2.0809195396207767,2.4663377268962248,2.379585418341287,2.9918349231642565,3.7982277927302452,3.864075331340473,4.428701084546118,4.839668406136895,5.685606497924411,5.064216183452678,2.4881355738661033,2.7328610260319874,3.687732879700456,3.972042288473345,4.946527218923744,4.906185959823169,5.866506341791071,6.153029335194043,7.239436566220899,7.943496177650242,7.760116499083016,7.284985584826157,5.5004955800022435,6.414611419267287,5.499144511378307,4.662573097078528,5.970463908726085,6.8187411704126,6.272110692398857,5.7207531791642605
2H,0.0,0.0,1.5913738668812554,2.0248503034869714,2.3338781617374447,3.3443260338685654,3.369067247914615,3.8650801689990955,4.564038498357624,4.481494234165868,5.2952031269403115,5.500942954594682,6.431912632341319,5.513173914866958,2.6203743555304793,2.673124059493817,3.7797173099617476,4.205607809335813,4.9139745270609305,4.7743900183036585,5.649098172335077,6.032431217321076,6.9827926617402225,7.610573311304654,7.626539973167641,6.9584970052498045,5.0413137106723,5.901169592273848,4.9302824084195915,4.203039728875946,6.130652087804104,6.93782216426138,6.585951569764773,6.088105854001336
3H,0.0,0.0,0.0,2.009339912117494,2.8990249991896713,2.730131898016103,2.6528149125350344,2.8755542026518945,4.234985346002883,4.527337929739819,4.800860172202982,5.136596916849998,5.8222208188722995,5.443125992933295,2.5654350834141,2.4197538548579955,3.8924015674977808,4.329363721872504,4.992623700572195,4.780566426782822,6.093258017573657,6.498367123804145,7.353447968903647,8.149069322636336,7.819022967499177,7.282369506603121,5.843465681901871,6.833065477238284,5.704525777991901,5.143010651845447,5.9024085207165875,6.6116815683044985,6.302042375355344,5.881828187514177
4C,0.0,0.0,0.0,0.0,1.0982959801552135,1.5554246024159908,2.114963792440944,2.1974014135881776,2.6555208799808216,2.7631743057284774,3.516472829936476,3.4788019162533805,4.420701904512701,3.596427998418536,1.5553110063415012,2.4269378446396592,2.4529570149089097,2.5493774471470427,3.845777385459059,4.068623336364215,4.7859975311136855,4.923136824342683,6.217684931957309,6.937046676542291,6.637696346584596,6.426810093449056,4.683568904357834,5.613893477601738,4.909391174401797,3.8711393111256527,4.768433996953633,5.743818954085734,4.919066194037862,4.292292526834048
5H,0.0,0.0,0.0,0.0,0.0,2.1616810510929256,2.6535899021400557,3.040894921908367,2.683378145180571,2.346686098332481,3.609678949858944,3.5455022529805094,4.6616563049229045,3.4421060136158865,2.1622622507478173,3.1727934086633853,2.6155450627138634,2.463182629583257,4.0379543230091866,4.4354939189250295,4.647838006875856,4.622485701458545,6.161337643885693,6.737283217608114,6.651739740410788,6.4972171488738955,4.38478405293995,5.173683770452289,4.783925802558887,3.4292008378242667,5.071985572133465,6.148171364717963,5.1282666979488045,4.381123025994581
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.096848203482242,1.0988521670818943,1.5518581548643555,2.178018469354966,2.154476981092926,2.6010585015225467,3.3043697566285597,3.268610103564807,2.614378988398933,3.4681213293771447,3.202338451142681,2.95422065670494,4.540286432958018,4.899682254206905,5.643963387944366,5.606977764525713,7.0285062509049725,7.813221935635442,7.23720850005747,7.330849274766788,5.866931845805787,6.7906392474526225,6.198371147475878,5.124910153920525,5.0150001863464855,6.000448820995969,4.824205035518899,4.115369263033447
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7602462670523713,2.1587363080630815,2.6215178367215186,2.3189228962667783,3.4819987608023037,4.064132600418137,4.2639926823127565,3.4281511342523996,4.102883875398764,4.204748330270179,3.9971901412104205,5.563295405511397,5.837213481986793,6.646448811350097,6.628839090200025,8.051443237507984,8.819652154151358,8.303026613829935,8.31176501739643,6.731259273736511,7.638554151538073,7.00582667924254,5.91332067255836,6.086582454424003,7.036450235100209,5.908221503524649,5.19487919147478
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1767145420627765,3.0672484170854335,2.604147728663024,2.704793541926094,3.06244302160782,3.475353533333518,2.6974741587106545,3.3201721554529984,3.2908376115055256,3.2002816961987803,4.412207684372864,4.6644291533723,5.723761392762261,5.782552168256474,6.9715357180764075,7.859705542301054,7.0675621757577325,7.194605660164148,6.14062477839939,7.134851915730603,6.380508021365344,5.553368502589479,4.639392626243602,5.486107745670721,4.485073139901347,3.9514444417106858
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986473276730848,1.0958390839587822,1.5455601783543738,2.3922099881925134,2.4071727315806917,3.5570420250325365,4.637668593905679,3.584682318397823,2.8902384199896676,4.860301070476274,5.507343461967171,5.746053945835141,5.411421000082885,7.136787846497844,7.826772776958791,7.2331199085798765,7.651239743864199,6.135696242406157,6.923488705023568,6.706223867805913,5.400984130858729,5.118466300237389,6.221999192804433,4.555834891461067,3.65219840937478
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7758503852359222,2.1860907549338022,3.2235763419309067,2.5828868312939246,3.798692659115156,4.958376490114507,3.742844153215576,2.9649178418239037,5.0752204707936155,5.7852625728549505,5.698954078838386,5.2706052007581174,7.162329693709071,7.725281693195104,7.365919773208476,7.742294807682314,5.896093736274115,6.567087492071183,6.554547058947536,5.05564375110801,5.544405168917362,6.717466193361217,5.016516867980197,4.038532249259138
