 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,O33,H34,C35,O36,O37,H38
N1,0.0,1.9621277872121157,1.8744875860743537,3.0862111712490523,0.08409629181380085,0.19314300579505858,0.00865928640740643,0.02659739719544829,0.047752465450398726,0.000723449040306301,0.05411010175007447,0.005814051669077419,0.00025515189332003807,0.0009908888506127145,0.0009579989420347851,0.0004603724202090209,0.00010925748138590485,7.210980055537275e-05,7.379511496952151e-05,7.690415013583696e-06,3.360842180846757e-05,1.241921260608514e-06,8.18680558078988e-06,0.2115751044186694,0.05346312027266471,0.03358452290605475,0.0026454711356579397,0.0066470452485897225,0.000369185657947968,0.0015526158334853157,0.00032288863113083544,4.2142068007233746e-05,0.00012646234330720985,1.0747566147606413e-05,0.00046057017388964616,0.00024157806784104452,6.740799388089969e-05,1.0943946701424956e-05
H2,0.0,0.0,0.02844924469969201,0.10816243128708225,0.009059795752007549,0.030841319127626554,0.0009993817249525083,0.0019449451269446527,0.0017087976019938278,5.1231536244644715e-05,0.00045463464623307637,0.00028748149344126617,1.036155363753899e-05,8.019700881756187e-05,6.54550878440574e-05,3.1068867740735584e-06,1.0903162827591295e-05,1.1778954512875472e-06,1.413411405026821e-06,1.0652604265359855e-07,4.317065549042098e-06,1.3256301700792505e-07,8.048391990644888e-07,0.005437956259421339,0.0014651691908473818,0.00037105273194104615,3.9990147738366844e-05,0.00014176041354840851,1.940798145083633e-06,1.766420924875778e-05,4.304171713709337e-06,5.924049892858108e-07,2.616798158494582e-06,6.805731682657523e-07,2.499283788515161e-05,2.9910681227485192e-05,6.043979673631128e-06,1.2666674014116808e-06
H3,0.0,0.0,0.0,0.10698791337033986,0.0335984730658041,0.007011980031630172,0.00377943512621548,0.0001382177925901562,0.0006675745032638236,8.913702875079643e-05,0.0003123957987931636,9.986594127842086e-05,1.154045679108151e-05,3.6831344429888446e-05,7.583263507915383e-06,5.010797892168739e-06,2.614998692695991e-06,1.2590660919409302e-06,5.571520362845916e-07,2.0027939706679376e-07,8.391554658926381e-07,7.716121963596834e-09,1.2845694952190456e-08,0.02689913769878627,0.06594564402777803,0.004708900724571752,0.0007311778714536032,0.0005907315986116712,7.610063118312915e-05,0.00010678396697694215,1.122705298972626e-05,1.7522836135430708e-06,4.168137083115919e-05,1.1796012137299527e-05,2.7188316607196228e-05,1.0823470213749964e-05,6.539861137189185e-06,2.5314467455572753e-07
C4,0.0,0.0,0.0,0.0,1.7361965202477236,2.6056091199900147,0.08310585663073211,0.08474183580986505,0.16777997108971512,0.006439101180221618,0.014704246171964197,0.03306428132158054,0.0009783655636650401,0.0006626384263459517,0.006506959094726927,0.00015809611751127495,0.0013561716713934857,0.00015188352991352128,6.553899424910359e-05,3.680603293365614e-06,0.00038260986389507257,1.1386046071315548e-05,7.068715344560328e-05,2.523386766832698,0.28770777721985763,0.2301431446076357,0.01603886447680347,0.036227233339439696,0.004444752569905952,0.004971304051784614,0.0014605182159121988,0.00013772369208897572,0.0006210049640954785,5.1823500725411975e-05,0.0024653460818651884,0.001304542587405158,0.0006173155740461234,0.00013985848681852264
H5,0.0,0.0,0.0,0.0,0.0,0.07945350693171327,0.0349222614135456,0.003387083403236346,0.009606167969844703,0.0032051045220391483,0.0002609016993739832,0.0009439105588855412,0.00039090149041887123,4.207616939977399e-05,0.00012363745668309,2.3931760642748046e-05,4.069235268033822e-05,1.2882501824851289e-05,6.0864730369036835e-06,5.286949600336044e-07,1.1632094749525201e-05,3.8657336554059896e-07,5.812712666752873e-08,0.08867972162339566,0.02314586723634382,0.011046406566767475,0.008259649057505092,0.0019084349753080154,0.00021202126509001218,5.708787750569044e-05,7.958542044494976e-06,9.910359485942877e-06,8.877311170929492e-05,1.3201756885461435e-06,0.00023744527221025713,3.541320551347926e-05,7.235764359947439e-05,1.9129762285130525e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.748224640417443,2.105377444142343,2.683033738750338,0.08374206755583358,0.08527941099572156,0.18766131453429302,0.01079193561129288,0.006929431179751089,0.03540604873994836,0.002341455148629712,0.0061929312470914155,0.0005720538037063683,0.00020323829700052976,4.682439378278502e-05,0.0015577317138634195,5.2541299787711715e-05,0.0002102855640935264,0.20406291455023945,0.043171135191915525,0.0292013696696075,0.001111997002559817,0.003381188847756511,0.0003709428825123817,0.00042191969998736645,5.5248220084180844e-05,3.582351570674547e-05,4.5896420134014515e-05,5.616668852348461e-06,0.0028383803033077692,0.009107742792708012,0.0010043203527570072,0.00015521407266949616
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024139272058055328,0.08703976587203655,0.03353296762191249,0.0035937614840610976,0.013664075847731327,0.006454390481013705,0.0002238958672204916,0.001342856918416846,0.0003354113983291551,0.00031459075738693443,7.296044419458081e-05,2.531112093318022e-05,4.981475835830196e-06,8.244195520934472e-05,2.2790465270539073e-06,1.3358231498283857e-05,0.012416289574172845,0.00871125460771216,0.001581823599940746,5.462703823866377e-05,0.00011627440114581056,1.3745994116520777e-05,2.2027175889727246e-05,5.6566125028467695e-06,1.820150421050215e-06,4.073042971564078e-06,9.53645489243371e-07,5.572109479468068e-05,0.0002033276456174793,1.760585590493413e-05,1.057031526974228e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0838798441446389,0.005963011481219915,0.03228676513187945,0.006041668419394908,0.00017504971590764917,0.002455161703792008,0.000745988413207499,0.000825102571156755,0.0001744068116003028,7.694774813948868e-05,1.6017135287205164e-05,3.7054925292601126e-06,4.909483235471246e-05,1.8426045109709577e-06,8.516074596620626e-07,0.011659119559799036,0.002111406629502377,0.00442708582689777,0.0009068202304312045,0.0005362125318193467,0.00011914678721258731,0.000133372999882031,1.3622246433309115e-05,3.329224931292174e-06,2.927338515312794e-05,8.234400459272706e-07,0.0033240863323349412,0.022354549187978523,0.0014435961008349985,6.704534741430734e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8070375066733304,2.0539467259117523,2.7601503496325837,0.08197072789668958,0.08426208154621784,0.19058921930534958,0.025815505057309673,0.028031165435686872,0.006939079403543644,0.0036978152507008977,0.0003451269346538277,0.004811489282071729,0.00014604646645466346,0.0005296026016933242,0.029047908716865606,0.009417963373619831,0.004622840749619425,0.0002377524849661583,0.0007510569847357373,9.490975643955402e-05,6.811530697400925e-05,1.2581641911868502e-05,6.450453676531964e-06,1.0295951271957482e-05,1.9489088074475802e-06,0.0004770531434472036,0.000939165622341101,0.00017391691319511293,3.4355574656919075e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024177908195013087,0.0883489650677971,0.035044960469863495,0.0062944128718001036,0.00706052538727886,0.0016811627613322333,0.000519815781236721,0.0004399207081607903,0.0005811521033236566,3.3633955070166976e-05,0.00018193876835392864,1.2619557558712913e-05,2.1463750594863384e-05,0.0008248148735501282,0.0005185481392588898,0.00011501542770120388,7.584206278998806e-06,1.4399561940603434e-05,8.380881916680849e-06,1.5162209134889082e-06,9.122909627734543e-08,1.9303424703132066e-07,7.359007643259474e-07,1.4216971311320492e-07,1.385047240853865e-05,1.920781182340736e-05,4.4164887406106246e-06,1.1262568553327412e-06
