 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,H25,H26,C27,O28,O29,C30,O31,O32,H33
N1,0.0,2.0413818525762037,1.829370792640799,3.041015306495609,0.09356460151402157,0.19195330927968904,0.017095707624308787,0.026597189601139215,0.009764728565052241,0.001434595966200325,0.000708927912035584,0.015577459313836112,0.11728650801898806,0.005592327531371621,0.1838500675018386,0.0357188614004835,0.08487666273800187,0.14295556751186944,0.010537876993933201,0.0010686681167497714,0.0012941945729967735,6.157649950855326e-05,7.996813891397725e-05,0.00011693477147375897,6.113934768237073e-06,3.451178889291029e-05,1.742355987116584e-05,9.124236166863087e-06,1.1095479735670488e-05,0.0016057851488878727,0.00016166441698848427,0.00047715361166662806,0.0001675056069470049
H2,0.0,0.0,0.0314648931883339,0.10264379734484008,0.03849361657326544,0.012848500331924084,0.009701940508581641,0.0006717533169420253,0.0009037522670722886,8.046934790240101e-05,0.0005351727219580216,0.0006575829632126107,0.003612062105028291,0.0002968212695391159,0.009031226006296356,0.001215555422063197,0.009178139438370203,0.003714526528149964,0.0005454241268511018,5.5866755044542415e-05,2.661918409851971e-05,2.8579632272540678e-05,3.2265522702523697e-06,4.892246987409088e-06,1.039678139136413e-07,6.159312500031433e-07,7.621184396899849e-07,4.946925351578813e-07,2.3725869990887105e-07,0.00041982381344574105,6.333958023274633e-05,5.584360210375561e-05,1.9644822218056746e-05
H3,0.0,0.0,0.0,0.11626117210906417,0.006106545510045747,0.010461876132836112,0.0008516036859766984,0.0005269406054762005,0.0017380944735799764,0.00019646039883181032,6.777803915114511e-05,0.030656028429885684,0.29056876329836145,0.009239191845980543,0.02722023618578262,0.004123107424307659,0.00574884857266289,0.0023835543134891335,0.0006540607105874896,8.252816494613846e-05,8.889018829050244e-05,3.1783673046792416e-06,3.4794190728604235e-06,9.746790971543184e-06,5.224628039091073e-07,6.710695019673807e-07,9.882312145270689e-07,8.44422259005384e-07,4.788427466762002e-07,0.0002538278691038842,1.4691578422043605e-05,6.632455566579765e-05,2.6488955318093588e-05
C4,0.0,0.0,0.0,0.0,2.0806309711024724,2.808248596981679,0.08284413165619764,0.09163377039158127,0.16306824040661444,0.026486615783119616,0.015017204098899395,0.007958930776849837,0.012949950631710727,0.0028760436422134578,2.7468163743526195,0.27425901683247067,0.2282481895776593,0.021370926229023146,0.035999277162831744,0.0021656937283163202,0.0041588430613076904,0.0001338678970088658,8.769696266619498e-05,0.0014282545803892682,2.338738757878822e-05,3.41900881444257e-05,0.00029697478711451786,0.00016447448152849542,3.432551471979628e-05,0.005634244677225758,0.001284567504706749,0.000887324647468643,5.0022580835307195e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07925147329337678,0.03114998303004146,0.002076107700496932,0.01966390591812528,0.0010770391492782583,0.010704396788367543,0.0004925148926173684,0.0005622619899252612,0.0008308490174754324,0.11242216542925654,0.02699364329105658,0.019818666053438738,0.0002886862129367618,0.0016058490566586148,0.00036988605257293194,8.398408496257392e-05,2.663301446714783e-05,5.2575084132922e-06,1.3993217146124337e-05,5.893721013450204e-06,2.6915244226710655e-06,2.019332977942767e-06,9.458498378966951e-07,7.845220176827539e-07,0.000915569401866545,0.0004167221319482106,0.00011597735504786932,2.4418389616975844e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.090729834254846,2.078653098370318,2.854492705225734,0.09512249534850281,0.08149786204516296,0.13887996801141445,0.02860586675432869,0.04561956124612088,0.180170540551256,0.049402287739139475,0.0275900479955819,0.005880205546821782,0.004653639478162969,0.0002687814441247882,0.0009290583035860139,1.8046659074233418e-05,1.3804733123068402e-05,0.0002413093636709912,3.938536227821032e-06,1.3470456404096609e-05,6.408430477602978e-05,3.66077686373284e-05,7.091195836181341e-06,0.0009379073556117223,0.00011820379937671488,0.00010166720309044697,1.1068830270244412e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02465246848578695,0.07540825220735203,0.002040990140867338,0.034673899053473844,0.009896461914058463,0.004115656010112212,0.0019244322416740456,0.0039365812559974955,0.0008262210928693392,0.0003935208515348787,9.977979245889834e-05,7.836252951909373e-05,6.980847525150935e-06,1.0518205331155883e-05,1.2576799413022144e-06,4.389002377092055e-07,1.4379566311006897e-06,2.9904562892646425e-07,2.9770112552895966e-07,2.434227917014198e-07,1.6028602112250212e-07,1.7408678587571558e-07,4.511511327920381e-05,8.207561211115433e-06,6.613745205941157e-06,7.921663929266742e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09189726562641187,0.008742055533591309,0.0026324803626305293,0.025467900601150673,0.0046367411361722954,0.0041824728184070015,0.025453679822172948,0.04425548368850407,0.004533265897376015,7.108227017815771e-05,0.0004412592224649625,2.8138754586404247e-05,8.746023682371096e-05,7.899977524594703e-06,9.031436556172778e-06,2.4631378405581827e-05,4.2589264737102894e-07,7.847972411934023e-07,5.542028039151603e-06,3.0260100625234543e-06,8.48659066576829e-07,7.785288106232358e-05,3.3216056955165385e-05,1.836541475430664e-05,1.5533326802597003e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.080563758214341,2.0682101025116904,2.6845534873369323,0.27957923791118566,0.32214355583889465,0.02849109383204465,0.0057475321076150415,0.005238259684450602,0.00036896846560052765,0.0012398738992174807,1.7060302575644393e-05,0.00021065191869930333,5.33766168864247e-06,3.092006227944921e-06,7.225035495837806e-05,4.6313858681479303e-07,1.8258032252749246e-06,2.0712467581507354e-05,1.1497452569134148e-05,2.088206207145893e-06,0.00011185766558544086,2.0646699410334368e-05,1.9359710150629317e-05,2.116878150659751e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022976591882212016,0.08447497592951558,0.02613027074708474,0.022826084665354296,0.0030054821542144783,0.00037986395728473177,0.0009298402759818636,0.00010218479833379313,0.00020087236435961664,9.975965820085975e-07,4.0772329130023266e-05,1.5501706667198079e-06,7.226589746611722e-07,1.6160756899363804e-05,1.121350901023277e-08,5.386176160637746e-07,4.408356945262426e-06,2.676323561434657e-06,3.5034088985419487e-07,1.262029479098814e-05,6.230699674647511e-06,2.742666548538608e-06,9.34274122510459e-08
