,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25H,26H,27C,28O,29O,30C,31O,32O,33H
1N,0.0,1.024037456421509,1.0388479422058081,1.4727459248173262,2.0710993123675308,2.558761388784436,2.683948897695184,3.4235434247321046,3.3703793162705913,4.3718705827897635,3.662139969764872,3.53397485864882,2.8160446104802976,4.781432907729242,2.484322251650603,3.6380801685317983,2.666256136129998,2.1698553870505166,4.103720489591799,4.589648078972424,4.7344532141534605,4.510709534640655,4.647751471512867,6.250656857663178,6.755458259970413,6.584840960617517,7.155270122635877,8.369234590645245,6.7472533224608915,4.9613835264171655,5.012820483232098,6.1235331077822694,6.706729501067487
2H,0.0,0.0,1.6172966615809485,2.0223938538274964,2.9100480880262447,2.7364362585710382,2.447571842476928,3.561619223029138,3.7417341323974553,4.613985335223752,4.270465257435023,3.8578377879091255,3.1235450476946345,5.072359444519463,2.7242807347904145,3.802400569318191,2.8073452389281863,2.3943682448699324,4.143004917685263,4.439236349405081,4.6927952264268376,4.266204495375183,4.788347861751431,6.162714586918829,6.808742054614681,6.388409974953416,6.985019028260401,8.201366159782099,6.524603566924404,5.24158215684711,5.5091385090062746,6.300887638347286,6.995761529517968
3H,0.0,0.0,0.0,1.9991190752152654,2.352040068261262,2.6246867702485566,2.735885426394992,3.6576231532879078,2.9581797729068873,3.9909011756553894,3.296716844637118,2.718457579660815,1.832764557227236,3.9296757788870376,3.344407780525219,4.403884685890659,3.6864617253086758,3.1718911805092787,5.131287622547255,5.607226932003413,5.747262343133171,5.4953107729756185,5.595229218460946,7.270392481302773,7.763736756472139,7.620944273803929,8.130485892640932,9.355996254606287,7.657507109916911,5.916033087557011,5.867350340838569,7.085018307681747,7.623236371540201
4C,0.0,0.0,0.0,0.0,1.1028151695021284,1.546032021095019,2.159611078278663,2.1436312603077035,2.6193542645624954,3.5239002450216583,2.7727011421847934,3.42797488663877,3.2394383039768346,4.631643608420037,1.5444207035259772,2.4514503176366156,2.4435601734886356,2.498650726424776,3.8221766751919963,4.181829398554017,4.8823270603639495,4.899559799136749,4.9300686790991985,6.303095944342527,6.672544532059939,6.500270417910766,7.4643871144708935,8.598739944769244,7.296384688245919,4.3902788073479995,4.445037364094306,5.418029756089704,5.930240340487558
5H,0.0,0.0,0.0,0.0,0.0,2.148985373841818,3.0320232938692935,2.6155225560114683,2.6805876557699877,3.6371714129241126,2.3827670736883717,3.5017443875292904,3.408970218703071,4.625236915170772,2.100842876065295,2.8471772504863218,2.9234925767672757,2.9174341724928365,4.213330335783329,4.739168988708332,5.269923906083135,5.458201216071034,5.135275804573379,6.671104413689792,6.883475784109681,6.972650455851236,7.869205418478393,8.978904529759513,7.744268062885058,4.4423952062265135,4.20205887013727,5.530663948871532,5.876670424844239
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1013194876264671,1.0975794182786518,1.5430377253574559,2.167179207151318,2.1598771082326316,2.6935258266244517,3.0003381991046356,3.7370140696944656,2.5612217428085646,2.9130664754862248,3.7208026399176295,3.924192658783071,4.977029873636142,5.063391373557127,6.1566670646410415,6.0944053585057105,6.351269881116773,7.5035879870326045,7.913862595148586,7.533226174058255,8.700291238778433,9.80702401376497,8.556866667808759,5.5345774491795705,5.69265880213955,6.352110450805452,6.869824375510993
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763512266473719,2.1785468037407356,2.5978298831482323,3.072031888865877,2.888758920177734,3.032185418704529,3.8897244852512975,3.0065182097757313,3.4103594481150816,3.9754202483876075,4.126425241764627,5.20170878442079,5.154612927505066,6.262854819426706,6.017726917596693,6.561522968181802,7.59510844900331,8.14120019803514,7.554533349896863,8.687212935275847,9.80823379097972,8.463619968036477,6.008889938526247,6.33004597861451,6.783415595848651,7.413947876483405
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1613747857357644,2.374374107391887,2.554899598401156,3.5826417790768526,4.060699626812616,4.4688859066244015,2.5477895359644838,2.396568007831222,3.8663781963748503,4.324956163977643,4.904166354759235,4.838654257115561,6.252614775870186,6.304613591206602,6.558014062510777,7.469068471510081,7.809439346170664,7.380794574783435,8.781646929790785,9.810382142000805,8.790019609188054,5.293263975405109,5.530007757606325,5.91385506839824,6.3946616099550795
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0980316521960942,1.1038497376347018,1.5706797714618106,2.4342060497786626,2.383633433182957,3.9046580760158554,4.235270090667003,5.03294779477118,5.086772515637099,6.345503218898804,6.533942025710312,7.487613469411233,7.448698128655733,7.541593495598685,8.880903381815997,9.23131011501114,8.986029717337688,10.060001832698019,11.189170168230241,9.861691609102094,6.753336902950233,6.705175905285413,7.620878421931231,8.026428968277802
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7502916168584124,2.1587224527782602,3.2585017589906364,2.4668126080235933,4.614747340262264,4.703462358275178,5.838852501794613,6.006938112994998,7.067926225271661,7.126234599823029,8.296577272568783,8.258833262313763,8.438259963068635,9.631090555123688,9.980410459095282,9.638675801801982,10.858322372646624,11.95587578743686,10.713295536494355,7.437160532717817,7.453036352405396,8.17160342960589,8.565834903987964
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1661923990383185,2.945529512690334,2.830884741537225,3.9894249252505394,4.274883042347175,5.1146380597216945,5.174288971847262,6.383371121650702,6.690441785055758,7.554912624036401,7.659233002853247,7.501005974278422,8.931475497093391,9.157773570740524,9.108864130781587,10.16357982826953,11.268846925962055,10.024285459891503,6.558494147627316,6.329657219456122,7.451897443357372,7.733214441440656
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.268862910009907,1.252353293127762,4.91662006293959,5.506781112303508,5.808180894073808,5.601834186225975,7.223973884141077,7.503467439976299,8.150766075545441,7.969523296115706,8.09819028985133,9.62633941535945,10.055381482282527,9.827372912915145,10.643004328170994,11.835009281825192,10.26713331896003,7.786577443148404,7.687604796891066,8.784452797216877,9.227778542353745
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2622325615433247,4.753587787439128,5.586355082768923,5.378842951945179,4.9754471530528415,6.828912107724888,7.202011399013741,7.5502266658586805,7.276743879330342,7.42274791407148,9.063551917187768,9.551295823175726,9.352961465092767,9.94210244832969,11.167117080195025,9.450125604860155,7.532126891043471,7.436203776523062,8.63570016614523,9.131065583800602
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0904279209300425,6.575639461207294,7.038547158179894,6.8515671218712155,8.441741745333145,8.690301760129893,9.39838211643453,9.216619641147284,9.34259419129164,10.868255706425645,11.284959523794038,11.050167706029958,11.894245786288982,13.08481944656264,11.512612130312645,8.953222943883338,8.821283457871244,9.91474403399645,10.323229820257488
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2348942105130236,1.3594711055855817,2.025053289943684,2.45965334929217,2.7213675394134658,3.7618677044507134,3.953227871088545,4.021250807595151,5.040751583089386,5.370143358673798,5.128467146882585,6.346755761097518,7.398418919726952,6.384348404278589,3.023188024236467,3.3574790198542335,3.9395454779366728,4.535594064082933
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2713016192844986,3.145807884033131,2.792071280133704,2.711673555983709,4.300823897383228,4.62594873406207,4.719921671025159,5.324925640290156,5.545023296591681,5.212055301306413,6.768273336631705,7.693119905652603,7.0045597722641535,2.9939062356369663,3.465321495747364,3.52424466182067,4.0710050967018026
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153798496034876,1.4529024367474739,2.082842944364885,2.4691660114842757,2.666776328021284,2.70400466219572,3.859707168372772,4.2737710561225075,4.110059737662188,5.070555535580101,6.1718822133245546,5.053095616510349,2.446092780675432,2.8977100083943843,3.547262397201245,4.237116436824806
