 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,S23,H24,C25,O26,O27,H28
N1,0.0,1.9324775026773042,1.8623047072807775,2.787983586572822,0.0892258522403705,0.2099146316207103,0.036099006554109025,0.002973442237774737,0.02973162185287552,0.0060866226021766,0.005811709737716282,0.00019665368854493437,0.0012623018454516188,0.2129069632866376,0.057467401059490004,0.03355574102373861,0.002136525284082591,0.007401595037746747,0.0004933743582202776,0.0007526718582535064,4.930416897741541e-05,1.3711676549177376e-05,0.00047809690172053235,9.66799593049572e-07,0.0010594980459025793,0.00031224524097758083,0.0001951304056999545,2.8588857975409e-05
H2,0.0,0.0,0.027348246924511876,0.11439167232920366,0.01003703626219088,0.030537420146319105,0.0018638355977467214,0.00018959664601458925,0.003931587390362701,0.0004956925965537984,0.0013180883007852806,3.0138446047933698e-05,0.0002705799148634558,0.005971293430148017,0.0043332360884565935,0.0006494595972382777,5.4081414079698575e-05,0.00018971123776723164,7.734419575688989e-06,1.748805134738074e-05,9.831171754459689e-07,1.0377834629426985e-06,4.930267519798193e-06,4.1663896555022006e-08,2.8634618401413015e-05,1.042655332594844e-05,4.714060197863468e-06,1.2367713742023057e-06
H3,0.0,0.0,0.0,0.10982471126817006,0.03325497552829915,0.005239430444562321,0.00043993995750812864,0.0011807567115187378,0.0011005324376905934,0.0007740698498368559,0.00021571976928347336,3.5139181139509645e-05,1.400720644495479e-05,0.026108374940057133,0.06713295554255982,0.004435699875168675,0.000334279419446748,0.000608347116440977,6.764032113348861e-05,5.0949061485727754e-05,9.294371337009721e-06,1.2478199804544232e-06,2.1424928624558248e-05,7.648699940077108e-08,6.895043721588667e-05,3.8191015048205657e-05,5.9305906946471865e-06,9.492983115144682e-07
C4,0.0,0.0,0.0,0.0,1.7775008534081886,2.65618460175562,0.08732973545898814,0.07721217723330165,0.16542891940591922,0.0415556510957336,0.026662146938943893,0.0020192456271589387,0.00427907578640907,2.662859007006409,0.28457185686441855,0.21586832904070177,0.013392278796992674,0.035971105634238915,0.005291449300405926,0.0032515078893266547,0.0002722916727400104,8.08140936217061e-05,0.0016817053401635695,5.118679313298458e-06,0.004201016827719561,0.0010063066923003683,0.00093315801060323,0.0001549933898724598
H5,0.0,0.0,0.0,0.0,0.0,0.08141275091594957,0.0017857325810208824,0.030135992359415997,0.019877358972925308,0.021848780959322966,0.0029542194353717743,0.00027393946335552144,8.654882807324071e-05,0.09586323322566992,0.025403599641903085,0.009996141150356852,0.0035917482846750115,0.0012703590079212734,0.00017644883487077934,0.00024692382415325564,4.178875228921797e-05,7.2142411722264654e-06,3.543306186126749e-05,1.6334945847074067e-06,0.00018533712762525134,5.2774968233970654e-05,4.93780199747329e-05,1.8692877774784122e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.902836768078346,1.770982868779797,2.804840931218084,0.2867895128143395,0.22943909708853788,0.014545350548633595,0.04249658137839962,0.17770832239493103,0.03775259740345434,0.027504886601468076,0.0013207418198849519,0.002996308397260644,0.00022130095310823883,0.001153899444173101,9.275269824082777e-05,1.2443650960869412e-05,0.0002632265423282987,1.3690801885513082e-06,0.0006422149748852579,0.0001373792326888057,0.00016032342900980379,4.855116929569636e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02656402776836897,0.10855370295358102,0.030642122219065704,0.013015931263307245,0.004280817868821174,0.0007565320824718391,0.024998239387853838,0.00351468232287655,0.005672654815481404,0.0002698264837581732,0.0006847651723647097,4.166748146516852e-05,0.0002130262899440183,3.515819460897518e-06,2.325435108918583e-06,2.863632807936778e-05,1.293428153470444e-07,0.00018956292064409297,5.680059878665489e-05,4.799939865707259e-05,1.5289516685612625e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10679929131348431,0.03003056455141906,0.014317331045865633,0.0010174344575102356,0.00024950111038291034,0.017336983114004223,0.003748752621358542,0.001437149677333327,2.8194807767167873e-05,0.00015929644744550053,1.7299565068684686e-05,3.836417219016397e-05,3.7557157535061947e-06,5.96904364380535e-07,1.3589214015397033e-05,8.004775420289434e-08,3.723673326150312e-05,1.9783394792138864e-05,7.633954555275047e-06,1.8088233484370164e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.803302561006557,3.5879984621593235,0.13563845370906114,0.14470213066515325,0.009050178920639196,0.004092034847501674,0.015840184280741604,0.02721619927576291,0.0018778082745699864,0.0002639061370492968,0.0003480755296200455,6.926665881978877e-06,1.789267778296022e-05,0.00013798933863150287,3.2452469382882043e-06,0.00027158092425250135,0.00021053595480008402,3.3385496347487775e-05,6.107703324098601e-06
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5599303778110104,0.032636436503577615,0.02808296014670253,0.006543308474957432,0.0019038579574141568,0.06392988052933966,0.16883661069449707,0.00669794481286573,0.0010238003421810804,0.00042523306346174683,7.822421995706819e-06,7.112959891542037e-05,0.00025495987260251013,1.3945677713067539e-05,0.0009569975910492801,0.0007062217457589337,0.00010368131360605215,8.838364781715846e-06
