,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23S,24H,25C,26O,27O,28H
1N,0.0,1.0198631109373617,1.0222633155276575,1.4622387731836053,2.0877112284897548,2.4532983221605487,2.4578801056136874,2.920735621460267,3.77902207095984,4.246466879495477,4.808731519397852,4.8768414790251695,5.70334457620187,2.4920342100943356,2.7523144535348405,3.7106961921196504,3.983671407213963,4.939758755233614,4.9328613671233645,5.610387690295629,5.108076590832733,5.954259512066028,7.280462947047776,7.051855626327756,6.052501516805447,6.565688179740357,6.709694635617268,7.481580122026213
2H,0.0,0.0,1.6089499286987596,2.030425819421083,2.274524614778627,3.32118584043964,3.370577133628115,3.8594657928071445,4.487618042803315,4.738533232991677,5.611116662354647,5.76818851475063,6.443688929558525,2.7884924053350364,2.941361480360984,3.944537945549005,4.264257933357813,5.087613824981297,5.12106688333521,5.4811134106287165,4.816451945929592,5.8019281866286345,7.13603643196511,6.920572045507897,6.339799258053706,6.835215745103339,7.0980901513915615,7.908244723482535
3H,0.0,0.0,0.0,2.0157310497161975,2.893168047782119,2.833362729741588,2.929832604686039,2.9166937543007854,4.283735570716101,4.826089960565343,5.257479086420542,5.242667490461032,6.20017750764752,2.5014605727273027,2.321014676356857,3.8470501955828222,4.327207612887529,4.884175342305138,4.652110769504866,5.645173339690209,5.135288621691645,6.161769340296232,7.17368291559074,6.765176717461564,6.041188767615697,6.7209824054521015,6.521575579357386,7.345499621150065
4C,0.0,0.0,0.0,0.0,1.0953524639284844,1.5461172951250712,2.1393392964599323,2.193955932538058,2.5773800325718117,2.8718275244303717,3.795184121217045,4.109050430831795,4.606655069553477,1.5513166487059893,2.423565184788543,2.4698987797192866,2.5732835292762246,3.8457072757305655,4.054579172611368,4.650613101191967,4.379380718994169,4.875260097334287,6.394295792374299,6.358452381751517,4.787834631915327,5.189441446876046,5.545281627723326,6.245572254905323
5H,0.0,0.0,0.0,0.0,0.0,2.1449086223858838,2.61582181874418,3.0454714714425357,2.619645550108429,2.5498730582191835,3.8951532061895393,4.372750239363446,4.548416351847868,2.1659268771462257,3.18314877897787,2.6518051685005863,2.4534746563024217,4.069496547680494,4.521178016778025,4.6162758996995255,4.336000404579071,4.608857040171532,6.442021256813287,6.60371372138774,4.958636245027056,5.137805444683166,5.920109509758165,6.55716073609295
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.096782773689032,1.099221062631482,1.5270998289454376,2.434331288433391,2.4379527670644197,2.606135664961025,3.369035083645317,2.5585052673538717,3.41211863210111,3.1339500309470454,2.9658127853775746,4.468273083124527,4.667814814807003,5.5771678037466765,5.546134354368679,5.745429354749057,7.250879967847934,7.25017036521092,4.997943559068458,5.302904195813113,5.573707721002753,6.118770007730095
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7592840105529046,2.153901388626515,3.1772276607523686,2.65012235443785,2.491448319158945,3.6094969662343566,3.4416108190426336,4.157611409327252,4.168462888598328,3.983533365468629,5.527086883446547,5.685582162717071,6.574369601913083,6.448873733247593,6.72686083884666,8.276929488514204,8.238461101032263,6.094352746922659,6.369884416077257,6.650350437485352,7.183276693218033
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1529023639100977,3.094910684983321,2.7602223120332843,2.7454808153158288,3.7100710646490516,2.6693100383432338,3.252009266183121,3.274858645789443,3.319083372422624,4.385334964256487,4.372267860269966,5.681120175220065,5.722518787093397,6.005143493486004,7.200646629118785,7.060571678499588,4.829839097033839,5.309459411169791,5.144960286169604,5.6999403915375
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2306556038762435,1.3612419641793323,2.084481342309882,2.044258039217161,3.328767543976,4.41462347412231,3.279186848259542,2.663126808245377,4.552527246358582,5.0283594732647465,5.633994883308635,5.83028540649194,5.552281195234894,7.290723568649321,7.544942098136467,4.681808401201925,4.649658660318957,5.373908888117002,5.712264895317031
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.261074227919997,3.1745591634831625,2.4866511926964727,3.331548219463197,4.536068263280775,2.861813809986971,1.970342707213229,4.059912262088213,4.768829064292133,4.93505363128594,5.219707992118617,4.659289644271471,6.596556521688672,7.044303322738356,4.100794257539015,3.839442693552357,5.0246976378572725,5.3162016666904375
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0090451853276055,1.0109245964285642,4.582788649728453,5.580983705417951,4.526246094773191,3.8986158439498224,5.684933457027912,6.109727411357678,6.856188844826681,7.131682951964855,6.7530541726818525,8.430415588560226,8.688230999973655,5.572651238251321,5.4542175201402205,6.085703153665219,6.267078460966352
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7383100433377026,5.003354499857079,5.869153778403465,5.165497618128188,4.669078242553216,6.334111169016528,6.623640497915257,7.573259168555564,7.785053278113807,7.565785274443741,9.140481325679081,9.28272635156615,6.296285308152776,6.2986511687601086,6.681035255483148,6.893275232118218
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3095508687398505,6.370571851919822,5.038258777937155,4.277061341089411,6.1054207298943926,6.6412163339595764,7.213613908492876,7.588807243434671,6.982878908076583,8.734360407588426,9.121053374685458,5.787377350778206,5.468008597506153,6.330286644938217,6.370635551128759
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229807590895025,1.361305297549822,2.0542232223230172,2.4583037511856847,2.5320728684261247,3.3480428709012244,3.1382801365171717,3.8131564104706133,4.978391693921285,4.846057958125541,3.616523410120403,4.268139574769652,4.31107108969047,5.1249896634732455
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2817034714089512,3.17353043417494,2.80494401084082,2.3992507967421903,3.58762277892765,3.2037349291804778,4.324282568475812,4.943247773551035,4.483148457564084,4.115478621501246,4.9939200944422195,4.55161766565335,5.46702900986475
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.021051896399509,1.4570621451698147,2.0657157924606637,2.4640856867365026,2.663860992884319,2.7435670800253997,4.138716434819792,4.315906566080724,2.4185568912000615,2.93813181895871,3.3706323869413324,4.100226652723651
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157323713818434,2.96307726732807,3.000110422969471,3.3175545164907834,2.9091526127686946,4.691971168804865,5.090012510537619,2.59891417341657,2.690859037093549,3.6945782803318172,4.232260927314536
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0914486385427442,1.5411845954275278,2.1611250196693703,2.1656078217603376,2.8432271278326424,3.0232248084419706,1.5266526536107798,2.420169225739304,2.39459721033042,3.2239534918257973
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171418722717777,2.518819598703934,3.0684275569525914,3.04137981810472,2.72623666339857,2.1626313713974294,3.2822144439611924,2.4342529570441678,3.39745004301944
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0927320130774152,1.093874812814516,1.8399707531168084,2.403707659322018,2.517904811539296,3.024329621892748,3.4830319383661474,4.198224475374422
