,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30C,31H,32C,33H,34C,35H,36C,37H,38C,39H,40C,41O,42O,43H
1N,0.0,1.0210703453830736,1.0220049026960716,1.4633203899286182,2.074188230489265,2.458576860059438,2.436774761117502,2.894092542973178,3.793210230124182,4.312887639201693,3.9148456334097848,4.920376890090365,5.0371921431748055,5.684509697070698,6.294932459900054,6.161879773336051,7.044813445275702,6.486948715944351,7.5494245375412925,2.491122103020797,2.741011807341004,3.7313382601891143,4.054034154699883,4.948083376524846,4.8852487087973016,5.782435729754055,5.317251752563858,6.083010889537682,7.119707193987161,7.431617605467522,6.764410897465817,8.277103140362605,8.33311872491653,8.781461176559825,9.197099571199981,9.510530168267158,10.408682432384852,9.737692500514994,10.775670365368208,5.977869244706663,6.315407773263903,6.8238935519334625,7.550376659837775
2H,0.0,0.0,1.6073599041012891,2.017423434842571,2.429470353253168,3.328825273746346,3.438796521657426,3.7076970104746256,4.576072212713088,5.0407151219026085,4.608604607715944,5.654058041536238,5.741649639865837,6.365859182129185,6.929462403424791,6.864787865173582,7.7255382389551,7.17419905790813,8.214142014490875,2.515453691242518,2.3383599428499218,3.8632389924960457,4.385060281961726,4.889208125676209,4.680756727553967,5.58084266962356,4.973406131504954,6.010673474296238,6.826950634337542,6.976350470273094,6.209084179232558,8.075412776375273,8.24931919186557,8.301217231818253,8.629401071654351,9.247131374896197,10.19983650670011,9.350099394187911,10.36493010778163,6.0928164832091944,6.593279950767456,6.852880244761801,7.664040326315267
3H,0.0,0.0,0.0,2.029369862457323,2.9179498964425195,2.6054839846167606,2.550966757473643,2.651906958104234,4.096839860595177,4.855585954647954,4.593347696755146,5.060693697786888,4.978071283132777,6.231135705292201,6.937370974691692,6.396239463940031,7.194720816683265,6.8980143477416735,7.981016449610081,2.7619879288409437,2.880677550905069,3.9599770664575398,4.327243257892006,5.085064968660894,4.896136310222383,6.1318240232727135,5.7799079966269336,6.5145723193310126,7.390606267342361,7.641749158459666,6.966658666462706,8.54130914106576,8.630981915631091,8.945931444881326,9.322814427664396,9.728675595766768,10.628056312755213,9.912232972878602,10.925125058148934,5.970823917421029,6.346929950282443,6.679704362742733,7.370820865643227
4C,0.0,0.0,0.0,0.0,1.1000908720788607,1.5524413937590207,2.123484049958581,2.1813985947157795,2.6028194971307403,3.2334150636556642,3.1056568508895874,3.658737151541634,3.858183978496544,4.532272858802907,5.245044205900687,4.847489557303304,5.719215993110251,5.208222022527286,6.261764040966895,1.552495319932169,2.4214067349085355,2.4927780000471484,2.646766620715901,3.861296525807192,4.070060495624937,4.673043128144897,4.354596526968558,4.819421572828614,6.100107062299624,6.636611968782557,6.141771892808551,7.140007116165311,7.077333497547043,8.013767798957076,8.574154669624804,8.437842944058321,9.270200640003974,8.825275897325854,9.89154174976779,4.814485428154708,5.020047939472571,5.824356370175461,6.501208453463093
5H,0.0,0.0,0.0,0.0,0.0,2.1615906225456687,2.597376373249416,3.0529667844488917,2.679731454584674,2.8206482607512973,2.4990962945718835,3.8616041611330107,4.319075921774667,4.038784238352368,4.587110982240054,4.825874574330793,5.780364827350158,4.902620380569656,5.8965168198544164,2.1358415067291188,2.984693601533949,2.840373386025538,2.848356630321229,4.1826686402579245,4.5433532568668795,4.64921529515377,4.206999905192054,4.63642251382536,6.130076427038672,6.743819083326952,6.28667641589189,7.132242729775155,7.009546751945404,8.138680181579533,8.738078198008353,8.465467232858522,9.274009750357337,8.911852283575122,9.991112008224778,5.224297706388878,5.3469245271942345,6.345379569061803,7.02556497089995
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0969714484437598,1.097754680464025,1.5174913604395468,2.5336521367352356,2.7261368122894982,2.5494847003422914,2.758177599956469,3.8221194919786012,4.6845633005217975,3.8365374933626724,4.701259488690862,4.337580082181584,5.424490512995002,2.616039298262095,3.6491514057470296,3.0027316212541595,2.7055190995857727,4.410978927497499,4.782619957183131,5.416375820097886,5.366060412619057,5.378546961186215,6.8403084798655085,7.552501054327004,7.204461191523551,7.6873263978910416,7.4545269047090414,8.894525624052742,9.542543393296729,9.011460383710292,9.73543267584159,9.55447529451843,10.617465397475874,4.915554033519471,4.803329672470306,5.967779639800741,6.451022391689181
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7611500472946051,2.141476878245565,2.7706723405411804,2.6672560977548354,3.2829332009736185,3.5650313095091484,4.100687455646607,4.82938024034249,4.46817413923645,5.377001544470268,4.798596081024063,5.86359056246171,3.47555270912673,4.360121054771595,4.056326622373663,3.7860014519119374,5.4702288492786755,5.772115063356418,6.446770162425456,6.309104459438989,6.407952964332124,7.884397608855481,8.548687876877414,8.1348724616558,8.762310564527173,8.53066041421987,9.901972355717652,10.510582008622547,10.089229365933354,10.822603588549322,10.60700761172666,11.670885238187442,6.000739038284225,5.87292539806127,7.019284967255519,7.493166148402023
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1546616227023265,3.4281166870534068,3.7755090329399694,2.6384293314108294,2.3963883205290535,4.584734573309185,5.538794974397808,4.0320459223725,4.705556582807408,4.830039773010811,5.8975659845249035,2.7479950874014363,3.656356730960301,3.023068292336501,2.829379009483966,4.258520224854334,4.514839698969126,5.50364403312602,5.5947538985358936,5.576460557469523,6.813387974778244,7.472194198295537,7.144263043098566,7.6345965842383,7.444291225822602,8.755135749735045,9.379204803286338,8.896490036417878,9.61286333372655,9.401967114814708,10.434194799098545,4.546765650358612,4.479543385126695,5.441594861856735,5.867344287451325
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.405303324334687,2.1589844965997718,1.402038852373614,2.1582416551204204,2.4359266021499186,3.4167992130683693,2.437245887262676,3.41537824972232,2.820194048823251,3.907117226386096,3.3950041960161155,4.595980235939313,3.216830688441445,2.4700315715038355,4.552298724538279,5.223053928520184,5.338533288118535,5.441732035660402,4.998910456070267,6.7754589963848115,7.722991492152159,7.565923485327031,7.3968282830796435,6.96072193698759,9.039352299675727,9.817611443428877,8.763815261797141,9.360968892072433,9.506770534816864,10.574001104363727,4.815879864547245,4.366694132982641,6.029475844692874,6.373746529898676
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08830949720218,2.4091899028613675,3.398818285883528,1.3940404327508507,2.151524279393475,2.7866579414264616,3.873242021849697,2.420771386228555,3.406047319019795,4.215549824976747,5.384233847200956,4.105677802190753,3.3532144072516803,5.428053653757817,6.169865305965932,5.893110703914273,5.8613508660461715,5.394832615353025,7.366965083131559,8.364854816114994,8.215982975765339,7.948421598259692,7.442480886144615,9.697996244581725,10.498695022509914,9.342332841924955,9.906215755731576,10.13907500173993,11.215627629172774,5.826591337863513,5.3304115259793035,7.11586364025866,7.476939285330904
