 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,C30,H31,C32,H33,C34,H35,C36,H37,C38,H39,C40,O41,O42,H43
N1,0.0,1.6887839580746948,1.6566578348003225,2.875014710446437,0.09683040006191479,0.18759248275180346,0.03325450347305525,0.004429302856385431,0.028998913165608167,0.004624742818538398,0.00047456122024280845,0.005887623219972424,0.00020588832555412662,0.0007981231021546922,3.179434218292254e-05,0.0013729299115119303,0.00013338151643649265,0.0011799001441748919,7.825887268553267e-06,0.22187225986245177,0.055439738121239326,0.03503627252450865,0.0018566309927826596,0.007719765023758124,0.0004513100454097696,0.000535383508759743,0.00012947232370041917,1.86361270059221e-05,0.00017029196701127958,5.0063288028368014e-05,3.078238621778695e-06,4.648215813939788e-05,1.7622277076467796e-06,7.3971021117558156e-06,6.841534089252477e-07,7.495928934897478e-06,6.414094956275207e-07,2.3525646755631624e-05,3.1169754666215965e-08,0.0013756929749022956,0.00025059053493616673,0.0003532186688570693,8.678341325829564e-05
H2,0.0,0.0,0.027410345477356657,0.10659395117940629,0.0037440194881950273,0.03441449206899905,0.0023435254641592795,0.0001232547975809073,0.004571607933993471,0.0004299518182212525,3.835477607982973e-05,0.001164506810423016,5.1017552708643166e-05,5.807968046345202e-05,8.098949372703501e-06,0.0002521322448806318,4.998055739746654e-05,0.00015906872364912505,7.547126001927751e-07,0.021893660150929417,0.057873838761689056,0.003849562364649506,0.00011345618334779317,0.0005620262693374345,5.675583589570543e-05,3.051294277511829e-05,8.451765847183879e-06,5.852909443992971e-06,5.94666150632861e-06,1.6203825010663309e-06,5.857944791465286e-07,1.3414970981839858e-06,1.339345967465988e-07,4.4371508767238055e-07,3.762037614762903e-08,2.7488759513083494e-07,5.916109335757369e-08,3.5490913519176104e-07,2.212431349235544e-09,8.397243819890932e-05,4.41303348820421e-05,1.1224569451906419e-05,2.9091928055446914e-06
H3,0.0,0.0,0.0,0.10335415154265337,0.03706302720142163,0.015399331556424478,0.0022345686565128364,0.003200185593368765,0.0013872840032218559,0.0007248036726630325,9.864643286827679e-05,0.0002311039115518998,2.0395843099763056e-05,0.00017172773356199933,1.911091358741679e-05,7.60578219271002e-05,9.672437019103697e-06,3.025817959401156e-05,1.4262286562871651e-06,0.007714142264345858,0.006904037964419074,0.0008810829057527281,0.000110381446717156,0.00018722766365220078,1.4302319149894771e-05,4.894497964136324e-05,2.0526514417085195e-06,1.4513670993920869e-06,8.622195760921159e-06,2.5699040091531344e-06,2.888285117741418e-07,2.666985076671402e-06,9.182747917613199e-08,3.92460380083115e-07,4.331545166991191e-08,4.453555669803322e-07,5.279453918483057e-08,1.3585377149905042e-06,3.047294860891725e-09,8.43733782029954e-06,3.212858905810023e-06,1.6767820026908353e-06,2.5690713267856324e-07
C4,0.0,0.0,0.0,0.0,1.6354082829186547,2.6047064344493265,0.09272883815931898,0.08152157867574017,0.16917364550380812,0.036371158345177845,0.0036766469242066613,0.03359483343048468,0.0008090241269442799,0.004663083735417087,0.00011134727019390667,0.005279294584142724,0.00031435610205865494,0.01125761260707693,7.037005853272049e-05,2.6705016764434073,0.28461424015630743,0.21216687524261293,0.009107455051261315,0.03518429461676911,0.005281916948224663,0.0029651169469272765,0.0002895080123267446,8.953479400730657e-05,0.0008924632148629985,0.00016904960545331693,1.674528954076493e-05,0.00021568205294211773,7.622834031772996e-06,2.8890242290899315e-05,2.8312294975130214e-06,3.4802528632971175e-05,4.477455091134175e-06,7.842163584556583e-05,4.039915857401155e-07,0.004238916935012632,0.0006077971894864337,0.0011427207248210641,0.00022204930848856996
H5,0.0,0.0,0.0,0.0,0.0,0.07993111212430615,0.002080311626202924,0.02974609771185066,0.015622965748849582,0.011649913250509236,0.005656803995001569,0.0014767450841755014,0.0002646230000500349,0.0011934041426070463,5.865014173322969e-05,0.0008335834443332635,4.609895761942262e-05,0.0006710913147893738,2.781465134660266e-05,0.10669145820523118,0.027729027235571913,0.012475947376688001,0.000434470387526531,0.0011740390293752956,0.0001328632571238053,0.0006547140141879293,4.857318811635203e-05,6.175818634934771e-06,0.00010802709686275058,2.5089341245010388e-05,2.0867508705446625e-06,3.01917327014678e-05,1.2143008425447022e-06,3.941054372069708e-06,3.8691301629256714e-07,6.428332962049588e-06,1.2276596423888009e-06,1.1503596142548034e-05,6.713312572514951e-08,0.00019321802682248368,2.337608665470281e-05,3.385057478122455e-05,1.4699857803890382e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.966411203643711,1.843096562200549,2.8480629767349352,0.2277665426161459,0.012891593363808518,0.24027038886999322,0.015063790815205147,0.03614615611265683,0.0026060041362856445,0.03471440357841858,0.002562547811792548,0.021313072578227787,0.0005207098357777884,0.15824828127177157,0.03754321487074966,0.023458059020576155,0.005526943534960749,0.002662054445481954,0.0003600867892251669,0.0009501250063473077,4.0826580455344263e-05,7.107587173704744e-06,0.00016601529743402732,4.258784708502383e-05,4.76288427675442e-06,4.865912159685015e-05,1.479686555505566e-06,6.120706234333251e-06,4.594822136105847e-07,1.0206956826269709e-05,1.491195030345338e-06,1.9627762696219908e-05,4.859493452080699e-08,0.0003539980737257975,0.0001779040186689479,9.186626626618566e-05,2.113994661789853e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02536427383643991,0.100520063919884,0.01869986611313268,0.0021142157846358867,0.03071085759649539,0.0003192826549731631,0.0021077500339635735,3.791549175580222e-05,0.0029632860817279116,0.0003462405524001788,0.008139720525619731,1.0025746480346598e-05,0.026434703416088112,0.003709220062935392,0.003673806800633672,0.0007881764079538112,0.00036767996825304294,0.00012882202363595496,0.00015469060934547585,1.4945879316385913e-06,2.865419699293881e-07,1.9706167889488313e-05,6.073202951095702e-06,1.3839251975511502e-06,6.007810686714521e-06,1.445589470350228e-07,7.239579172813038e-07,4.917865337183969e-08,1.4190874244590646e-06,2.2005215494225183e-07,2.8128492650658643e-06,2.1563797414358987e-09,0.00011882616555491943,8.715079007048931e-05,2.3523670921954398e-05,7.385815113947203e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09695058237055432,0.022988696696985222,0.0008968286236232803,0.01861134720228641,0.008536290122726387,0.002872764108293735,0.0008462227251568866,0.0015652472864711164,6.968447478583606e-05,0.0007414926365825192,4.9904275624346184e-05,0.013293112318111033,0.001827813343228124,0.003926389860723911,0.00026303876715072505,0.0002469412298464757,3.935406002186781e-05,0.0001583326966867471,5.354280309122217e-06,6.307205331346211e-07,2.9543059936409932e-05,5.3568897460110065e-06,7.909355232982307e-07,7.5692527843340685e-06,3.4964544548543586e-07,9.947360490869528e-07,1.199750727653992e-07,1.7164359897847703e-06,3.7362870286550276e-07,2.132368539742302e-06,1.969940432999806e-08,5.319226093614127e-05,1.708380217002592e-05,1.1703080034175528e-05,3.604440318438762e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5788142151729807,0.12280038836012341,3.5947335221082586,0.12221752686367138,0.3319812731029529,0.02636371874137544,0.3325982915409096,0.0258153875068472,0.2988232573230711,0.0039404064573920206,0.008020131843487793,0.0024925141767278974,0.017442011853420675,0.04691570539960621,0.0024157873824101617,0.000514006370271991,0.00012385681729895626,7.262228631788048e-06,2.186220187549992e-05,5.185617618674865e-05,1.5552429255605293e-05,2.5938306562611757e-06,1.220403040834428e-05,5.519407715315339e-07,3.722867955843756e-06,1.4120242708415276e-07,3.4937212936292372e-06,2.7476186814645587e-07,5.400992958093376e-06,8.517293093035505e-09,0.0007365952450512636,0.0021191505410108474,0.000265476339565876,1.7478730929720854e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8385706679044411,0.3210111768469023,0.028646173758962945,3.9926095772050125,0.13051035472518624,0.31591794359505565,0.003554523398428766,0.33820227407523207,0.027063786181338312,0.0024414745066847765,0.0012548862994199994,0.0037053866337356384,0.0032686450692384073,0.0007110640477660801,0.00017105143543916235,4.794120805264035e-05,3.1105944933162988e-06,9.111498380676153e-06,1.3205039158400989e-05,3.792637093727458e-06,4.699067199798179e-07,3.323942076124964e-06,2.3148155658958558e-07,1.0241596630766736e-06,2.428237722007509e-08,1.1062122836497101e-06,8.530249040461513e-08,1.4804575761973027e-06,6.2898024566493405e-09,0.00014535794773734567,0.00028999678937953466,3.476354428180728e-05,8.417704539742665e-06
