 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,N22,C23,H24,C25,H26,N27,H28,C29,O30,O31,H32
N1,0.0,1.893433526388827,1.6694941951037292,2.6578699791040017,0.09631087952503437,0.17699462226465712,0.0255702665981008,0.004812552298259276,0.02819497323618103,0.007891108033549123,0.00765656494627847,0.21517838549144064,0.05991600216124522,0.032801454059555354,0.0021381510333966514,0.007309924854459721,0.0003108257489620181,0.001162369522991008,0.00026795894497166906,2.254369128829037e-05,0.00011862302090553944,2.3723662521152322e-05,0.00017327389162043183,5.173501760091792e-05,3.661878046376521e-05,2.4271037624146174e-07,0.00019488986441114353,0.00039715516419103203,0.0005231290097462843,6.8406511931636e-05,0.00014938196458819802,4.582992095614191e-05
H2,0.0,0.0,0.026872293309397666,0.10250254951120219,0.0031823393694738744,0.031539256588665854,0.001963796266548634,9.854880349768891e-05,0.004594000444912871,0.0018607246169912717,0.0004383957774339864,0.0272969143932974,0.07968852966650686,0.004740360545095412,0.00013869108969344346,0.0005584584401120418,5.138109216162867e-05,6.927320942073933e-05,7.194844635627362e-06,5.092296908593141e-07,4.262325828063851e-05,8.374094266905274e-06,4.642141538424571e-05,1.0001495450495668e-05,1.2010353562796894e-05,2.4716462676543927e-07,6.242282026169832e-05,0.00010498644728462736,4.133707259812436e-05,2.407725875308575e-05,9.166265072968471e-06,1.3297687406765846e-06
H3,0.0,0.0,0.0,0.1022590700322017,0.03579181052206004,0.018024643693287712,0.0022478975702244774,0.004383667657499535,0.0018196690162198825,0.0005323469719804574,0.0016234989271112221,0.007340934616127726,0.005499435192957924,0.0007450430398833197,6.300191840447056e-05,0.0001859855885317785,1.3526064357671785e-05,2.2564451326423374e-05,6.455898907242741e-06,1.487947868250572e-06,4.770267060694167e-06,2.178756114745717e-06,1.563029321227649e-05,8.970134704577859e-06,1.512534232417373e-06,3.727299002775908e-08,1.753472859700178e-05,3.531414099877672e-05,3.722350210344505e-05,6.254557216922585e-06,5.485004451633024e-06,4.767606274214131e-07
C4,0.0,0.0,0.0,0.0,1.684349025588265,2.8046668643428565,0.09226690080760469,0.07953854115825298,0.1473553680536724,0.03857436123294666,0.061910402428802566,2.499730016191177,0.27745706877315035,0.21190467416168823,0.011457705131895146,0.03533936207882657,0.0027403299592139163,0.0038549590575747417,0.0012567607309714734,5.381331574794146e-05,0.0005907761157731006,0.00010869859477390109,0.0005473035021554551,9.019478987815077e-05,0.0001431552928685964,1.539007280282334e-06,0.0008376490098234574,0.001144672704106564,0.003454179283837122,0.0006945919122631344,0.0007397215296626597,0.00012127990596777494
H5,0.0,0.0,0.0,0.0,0.0,0.08422335964071903,0.0024883131105177814,0.031728610889419695,0.02001722239365966,0.0038261380896424946,0.05375528461587198,0.11317474762115265,0.02692547218716157,0.012930051838091927,0.00046312084064425996,0.0014372221784455519,9.451050612674372e-05,0.00023116060891570367,2.0971422904692005e-05,7.482161248795194e-06,5.562544481296783e-05,3.416553433566172e-05,0.00011757052662719758,2.2597718100758613e-05,1.6095962469764302e-05,3.602119711398899e-07,5.043284247596702e-05,3.487594824269635e-05,0.0009121805140495098,0.00012861799519381378,0.00010835903923744894,1.3924755726701932e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.927530677110219,1.737669554021252,2.521701541260111,0.28281965665809994,0.28445965052825023,0.16058810231200085,0.035133154646382406,0.026203112941010312,0.009305178715119045,0.0028665822599620583,0.0009478192990848289,0.00035256736353524165,7.066195480320836e-05,8.257620875085081e-06,0.0005567473650101851,0.0004991718150155755,0.003255301621641657,0.003027900137451578,0.0006711712744222192,5.316308565150862e-06,0.0053983156564688245,0.013719294230895684,0.0007017058615887417,0.0007396316833533229,0.00017470505980010653,3.3450224536935025e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025316798934097884,0.09256200695119321,0.017341141795198523,0.02314160998713166,0.026724252109569857,0.004004104119347152,0.0048025466526964156,0.0003797808562446825,0.00046279635795953844,0.00038799552113899516,1.4846225238285271e-05,6.533569854028087e-07,1.0424469392145141e-06,4.20302195285327e-05,3.3522257908646935e-05,0.00034798846088524016,6.949044900372847e-05,2.2052050558718506e-05,1.0708406450454788e-07,0.00030134478588217384,0.0002744683835269601,0.0001793441921300598,1.8097361842328574e-05,4.1389917485368244e-05,8.783435093695502e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08389556773104756,0.017238439987376175,0.024135404688671702,0.011818220879343144,0.0015054573369341906,0.0035745688104382722,0.0003518447158372684,0.00036226309162690207,0.00013615617128315272,4.89521269073645e-05,5.570808889743262e-06,1.656087446066934e-06,6.481124075885525e-05,2.845997825118296e-05,0.0003458389776480608,0.00018048100273682088,4.4873705952630516e-05,5.968842260450913e-07,0.00011230968519737594,5.339139002025206e-06,0.0004646965350838528,0.0022003491032451805,0.00020570383582896312,2.077241899645088e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.646415187049172,4.465254321674766,0.00834260883765256,0.002228233509734945,0.016445870397382184,0.0463173473476739,0.0023700963463822167,0.0004999166396550958,0.00044974843841294465,4.7919636796400766e-05,3.390983083129129e-05,0.003031853777403115,0.0027515998804821806,0.022867017917808374,0.01213118221674736,0.0037167239202519353,8.485171118421952e-05,0.02543802962853675,0.040868006926669254,0.0002027658911115393,8.674940200548154e-05,8.022711928026838e-05,1.851476219771886e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5786722881518791,0.0029544761235008044,0.0009512726659336029,0.002419275851390054,0.002096271262611582,0.0004536537960286996,4.75085456163038e-05,0.0003632394287417101,1.5223702774624925e-05,6.353235698008941e-05,0.0032601775726168736,0.005085163343629656,0.015393890353961714,0.002257767183024173,0.013729112772783214,7.87347244852743e-05,0.1086583897448327,0.2694982266173047,0.00012458424834457804,2.5924922969419728e-05,1.995471945199362e-05,4.85797418470213e-06
