,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30O,31H,32C,33H,34H,35H,36C,37O,38O,39H
1N,0.0,1.0184225380786576,1.0185912404123272,1.4600770497920743,2.0708849347533436,2.4714603089687044,3.4057565030446737,2.581166648663943,3.1350311082316438,3.763364651667071,2.7284116305523254,4.363522696424387,4.404055155838922,5.188128325402035,5.108296373488087,6.150125362769371,5.222035527772857,4.854063132659778,5.5064147990056025,3.902566789260225,5.253986677599699,2.481859566322866,2.8476594119474354,3.631229169584848,3.8431392514392564,4.864531138635541,4.964769259025457,6.081668484219792,6.025968546113901,7.259308908129269,7.35534186050495,6.528412458038838,6.850863431844724,7.477279251360514,5.92288805108404,5.4430914432243895,5.557963137570611,6.3028960796746025,6.916047687438581
2H,0.0,0.0,1.6266034901466837,2.051748355735328,2.2659152584059203,3.340009094928151,4.152858502949193,3.4093091763752708,4.125693245940338,4.779161714363236,3.6952757544969135,5.2723174259294625,5.190815194488507,6.124078392617507,5.978594010200993,7.006095910292315,6.132481455173785,5.552048068257005,6.159111583190302,4.548567397085156,5.867085039838146,2.8245429256902046,3.20683678699212,3.7918048262525654,3.9458797990695005,4.919494900768952,4.818529866725533,6.104476000881381,5.9096598595501195,7.236140103768879,7.207655853855672,6.7439404053363265,7.174942575773139,7.6408943184496145,6.210031976348372,5.677369018617355,5.996424042148822,6.411832711548489,7.1142738481605985
3H,0.0,0.0,0.0,2.0435890238019114,2.9047270050298386,2.876767410163007,3.868406498425729,3.1596647415492076,3.0349117495559947,3.6985773212017286,2.3057158020765947,4.17200108994862,4.314002727781081,5.09916234368764,4.621433654037895,5.6906465685032765,4.639086609645804,4.223713212818604,4.74692908364982,3.240772643118103,4.737736584849174,2.551117396231935,2.4394678487329644,3.8590134514562378,4.304679002577734,4.916367464208225,4.969986611574088,6.290809960392082,6.3794439849369615,7.356532379912827,7.434582389450444,6.788119414740744,6.974516492161895,7.799526307331946,6.285364814220727,5.239579313574342,5.305742722082208,5.990351562259867,6.512662926847507
4C,0.0,0.0,0.0,0.0,1.0970579841994348,1.5527396701775695,2.1845398153159308,2.1144772492676758,2.6171027237709152,3.451837585603774,2.6603492718227186,3.539998995287152,3.3203549784688495,4.306509645402378,4.554080634285127,5.482628534181338,4.939889260227148,4.401959742773963,5.245438435306385,3.5759078676641276,4.579385254514346,1.5407346020723638,2.435133275724997,2.4712690734646645,2.5727798989702646,3.8583706922802516,4.2177650270179265,4.913902499007743,4.907930325564582,6.180603735524315,6.414138527444348,5.176191220223449,5.51761588677299,6.114554472205232,4.502313422527516,4.516097742516041,4.560078875781366,5.567538010367643,6.196057887871765
5H,0.0,0.0,0.0,0.0,0.0,2.1416150862230006,2.407483156625954,2.4187957332861068,3.515785405546015,4.248895113495787,3.710327272181919,4.369788660952958,4.014160797436841,5.005484335741364,5.515351543058531,6.379625126182535,5.962379555870554,5.3852272073973495,6.260064254270624,4.58653613006572,5.4413672886659885,2.157559903755549,3.265119224342335,2.559853740181208,2.2464304998341516,3.9776076556864237,4.301939400291671,4.764502447928949,4.528870421833761,6.1023224669848455,6.309288002006606,5.034087024253754,5.575462925636006,5.847670194492043,4.29193089642909,4.938566718185783,5.119241775532714,5.993152579219329,6.717764222686408
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0984252701609718,1.0938143962354716,1.5435057795234393,2.167404747452847,2.170511336612061,2.5933013358920447,2.6659583222542733,3.088952643644416,3.888620406555592,4.7545707433632645,4.213935161980077,4.266224733280478,5.172759216132247,3.7040660580949303,4.547237761564336,2.5696665591764107,3.286273379561657,3.3464999218966174,3.3627730647631267,4.70831222559237,5.32239538194832,5.600638380188433,5.736200822493254,6.892966340428998,7.307258818111299,5.4462794949636875,5.627139086994412,6.366243745012472,4.613041572146535,5.090841801221081,4.759342631695712,6.287578851140854,6.75805199153093
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7623434106754006,2.176580882219268,2.7320869592957973,3.0375925183738914,2.6371369911632776,2.430517263107596,2.879865843478925,4.1117103089708955,4.788213856365205,4.630783683341479,4.592050569723776,5.576044242072079,4.189798915443297,4.6688263421707905,2.8834262814238825,3.7717577495089,3.221769389801762,3.041145283161445,4.533222273682429,5.30645627087526,5.148463185926314,5.294172966075482,6.4707836792384015,6.99228912178401,4.745032466328201,4.948598318938358,5.587122317345822,3.8132615641090317,4.963953932835989,4.569620619605176,6.249977335238594,6.71568030725597
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172007023842392,2.3123184527001657,2.709575936921131,3.4504014336779183,3.6844870986094773,3.764195322547167,4.7194852698128,5.599545355573398,4.863697568863749,5.205689636059107,6.054258280160058,4.619625129743154,5.580132349194417,3.4641125871739407,4.183947521752557,4.248331302424341,4.118283220634607,5.665168542871314,6.209636569722717,6.503812178243268,6.515308048409365,7.837605815865407,8.22079701335913,6.3446466429799235,6.604155848044185,7.199656031834789,5.44077608922133,6.150266372567923,5.852548093249639,7.328328338020367,7.825110518012084
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095286138221529,1.0982652760745681,1.5484937853162417,2.202977585354405,2.1757957386221576,2.576422858261141,3.514566349495332,2.7150539313718265,3.2294843758558085,4.043015277448821,2.8733776785926897,3.759193772361261,3.100477726388989,3.2660241493149753,4.064514393433686,4.388315888580325,5.187595027019606,5.825582758672626,6.244091193753648,6.6110488038810855,7.386105062954496,7.83864769245773,6.040783144520153,5.946059441500901,7.037640494823582,5.342077067568379,5.118279097208008,4.523854367780732,6.240361427407369,6.508662997924762
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.738623616940969,2.1588664124481114,3.0323733283489385,2.32730682173667,3.0463827133688923,3.880026292925915,2.879279186306384,3.99653702384641,4.695667818525592,3.7677447787010316,4.625201217782104,4.156439030887941,4.319005240251961,5.108730812647024,5.341986797628317,6.264752640554444,6.913706176310024,7.263937036768839,7.606381551240866,8.425468872340396,8.905653699460807,6.954996047375074,6.843536187833225,7.910038102919849,6.188949226122696,6.179975513852859,5.511979412511214,7.301784198648896,7.523115811966176
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.192210411322187,2.8014102163670103,3.030285264664441,2.6306093446028913,3.7047865260481765,2.5469273121940295,2.901884883384282,3.550075458732134,2.3410535457330957,3.6169701448099767,3.005095899210966,2.822311980157272,4.200100195834356,4.688863629924135,5.233372744244625,5.698627142293323,6.489774214837499,6.860749200155203,7.554489361267159,7.897250778744532,6.520039887341712,6.418672333496698,7.566878564777625,5.936149062263829,5.095271206748831,4.621289281380187,6.061067632089258,6.322466018301857
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974611828703251,1.0956900052152683,1.5290157150861807,2.193905327187549,2.189824539736241,2.487022210947166,3.388779070204057,2.609209871978228,2.785486645682985,3.4195625882130067,3.4522771167257473,4.045024198331997,4.476425034746838,4.856841176134778,5.663571447856942,5.776623710818733,6.363919377112537,6.77146668834316,7.34956108268761,5.3595385922587875,5.017658851682694,6.348979236008336,4.79015907746346,4.443852495489847,3.5612131522437838,5.5858530390811945,5.684612398434194
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7475395134105776,2.142763198253663,2.6007533100659606,3.0586401358402684,2.5796327691292844,3.585489937430871,2.637927611326778,2.4689867126706346,2.883307133582954,3.0844474568307025,3.1974423611174343,3.6303862887854956,3.9060428420987012,4.8017364377443865,4.716718470860281,5.343273756216932,5.71105134115604,6.325710223664445,4.268383099466974,3.9361793945122137,5.268297445776819,3.747799597494916,3.5450199928689026,2.6895506885125036,4.771970352170274,4.941400775226467
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1355255140946583,2.3885517757936277,2.6511080614051665,3.3932230730320705,4.215238315421887,3.6686750869716525,3.619501557739423,4.35219258347657,4.516120730370878,4.826113478450625,5.106190581522186,5.643884828330354,6.536401835645782,6.3611621228673565,6.945427695004948,7.363649136811679,8.029385284647265,5.701358352656804,5.316233758425193,6.594253367352665,5.053371583303995,5.244075616118667,4.2673393509599125,6.422571876728268,6.469645734490089
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092644381350538,1.093462172355894,1.5161271722081462,2.130692740422099,2.1382119375899946,2.109924800649583,4.1282983572569245,3.6803297614332364,4.840223404103062,5.4933517082340195,5.342824041816078,6.035156800762913,6.411592996417098,7.143284966931565,7.179217446782642,7.706060491213956,6.13505031624819,5.601335921432942,7.154653727621472,5.790130885658203,4.535903023007369,3.5591331442787513,5.422361578128589,5.296158523829205
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7758325369981145,2.1030563765730537,2.5030944392684114,2.981884269893849,2.3477564863518894,4.948014597855828,4.525635079011062,5.456846437624503,6.0927645889636475,5.778159209069835,6.543609773740347,6.683306182183198,7.515548818206955,7.322672845982352,7.927729230302325,6.246357413746288,5.5539066218691815,7.199349620238979,5.989311501358872,4.795969792116299,3.670443369591105,5.621568281973794,5.338460839528023
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1174062032460275,2.3630985216194547,2.576350009804501,2.97650829944188,4.732699802196173,4.19789081156519,5.632908397060623,6.277559210432541,6.230745884267547,6.8353153462917815,7.388322320726392,8.067831531585313,8.18095784816689,8.657646921636102,7.171750322460086,6.6785947430834165,8.201335896917845,6.777550416510438,5.4707032954553405,4.571499189696478,6.2819397723324055,6.146785988013751
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0241699377998927,1.0433957806610656,1.0397259208194642,3.562729372377817,2.757899481675396,4.273475144314064,5.12302154345509,4.503237852881927,5.014043252164735,5.75684884002824,6.523731268467281,6.371189201801463,6.764198294076065,5.809413158450696,5.2964662590296046,6.872948331329979,5.67067805959127,3.541824340931006,2.7819159019320634,4.204269539642421,4.072824248139674
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6914743691634955,1.6870622805496385,4.392691739054261,3.4151736549565577,5.1390502403209535,6.037658708056289,5.23021969203934,5.612989484299473,6.522891150996899,7.318992101852286,6.997036201524082,7.324582013310311,6.662769875375009,6.094760808459689,7.713368949356329,6.610366778937955,4.143667873380357,3.468095826479984,4.534992830901407,4.252608294481246
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6243745863867662,2.748215421645768,1.8262877066612782,3.6629680841270695,4.531638287891392,4.053591365192178,4.442426506731182,5.450356815362152,6.086750748860235,6.17589994911721,6.4707244430728235,5.692504068509201,5.365307155702528,6.783062408151615,5.4955250480747395,3.3745710231246657,2.9174095818427968,4.071307852253596,4.164548953766866
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4892541014670013,2.8020870183649396,3.87473700777245,4.743525337134962,3.8419665574119795,4.43196083287894,4.975466460059557,5.837161137930299,5.47812813586829,5.920850810306657,5.003637500711002,4.408007623772646,6.041205177440575,5.005150647377692,2.694152614301393,1.8231042768414536,3.3735121265100685,3.1925613768535572
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.244046916366153,1.3545079211650144,2.034097146567897,2.4890440995650556,2.8634896349571766,3.785367399784406,4.000460267106939,4.909395798337786,5.123811431816165,4.255411262791889,4.480677152076489,5.278247892573292,3.85868014846522,3.023590303118944,3.227020823447949,4.028655446330675,4.675156358366998
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2661926695391568,3.1540450130290143,2.835831160503322,3.019511210676845,4.347700718859683,4.74408637071101,5.221512415381179,5.364691780946951,4.925466367250444,4.935922939296367,5.9911672399132945,4.7166039205246655,2.833464632902291,2.9987739932247117,3.5903809797537862,4.102276342390408
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125078930727207,1.4567852354702908,2.097587482578192,2.4814573833862417,2.6776868461871333,3.7102449118006664,3.9939347194778954,3.0213372461773624,3.424846022515711,3.999125081045901,2.7289552503114916,2.4847254070948455,2.924964560637411,3.5640331981979285,4.3231885390033655
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114131899222216,2.717275484098632,2.541790421537432,2.4060662478369452,3.9182953027031573,4.237212694097503,2.8850211977152114,3.5436411384545705,3.710395662086018,2.3604689826733964,3.3268752729597786,3.7140602148922457,4.4071382078389005,5.1860316244768025
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976083609141587,1.5726188646106836,2.1508732051490336,2.444206761130865,2.678614307654136,2.5985926306717566,2.8733051833696917,3.526874807290483,2.8719991098480526,1.5220909751989162,2.4522249853168905,2.348212821942962,3.2011214181541643
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1749462695361825,2.4366473304511334,2.6854187284940525,2.5079438996059915,3.512716292399454,3.8515610404266103,4.305928055442878,3.8510033220998814,2.1121020424424506,3.242058897688086,2.3641860660829552,3.3318623124024898
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1034353678246303,1.4097368613335914,1.9662855930724312,1.5257928319475385,2.1705371317399975,2.1426490512489043,2.187473597511025,2.535256199623426,3.2796538414389373,3.182169727267511,3.9339210415269625
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0799435932537853,2.289290727651611,2.1597255133360496,3.0758241419578662,2.4775075729206213,2.515600430107892,3.4519355516105334,4.2470289152481335,4.04733521979757,4.886347072000264
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709355925919944,2.357415056903723,2.6192890571925957,2.5846912052522835,3.3297596391361655,2.868448318436721,3.7158036583995813,2.9514272789959968,3.5820982786036355
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2156065625734245,3.555992854768223,3.4262300870335243,4.095164427150831,3.2325196498172586,4.266850498116177,3.0239762569357285,3.7491831549828625
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093782635952989,1.0932686030549241,1.094772768398463,3.113119360653975,3.3107684675511426,4.0304405836437045,4.545385760548979
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7734682283525265,1.775311145539104,2.810602794878783,2.711319713334007,3.7084204493967405,4.00534475503638
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7738622542953075,4.084039540994841,4.316869487742333,4.839350632803255,5.327193009180156
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52640972833779,3.5459820792474575,4.648956342166913,5.187597321993953
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.223718909073253,1.333328097376146,1.8893284091582971
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2507789703325467,2.3231790378259136
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9770796809513611
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
