 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,O30,H31,C32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,1.8353122563467108,1.6616948693383398,3.0493771923998936,0.09386954526679891,0.19825044687596682,0.028269375227318205,0.021041589395992544,0.01857056979024617,0.0013319940650895479,0.008143147519940941,0.002823775021182015,0.0002389132351837686,0.00046430729186230923,0.0003815248827799961,1.687275299577795e-05,2.494996871393873e-05,0.0004300761143909079,2.3050081625730634e-05,0.0004512061623145325,2.69465550608583e-05,0.23665825733536844,0.04924184575915798,0.039026831478783865,0.002634900448427291,0.007597640995038957,0.0004881441474912096,0.0007497264863325914,1.1306970422064744e-05,0.0003979439655574582,4.766982883586124e-05,5.367128840896851e-05,2.77932219450161e-06,5.740462699965754e-06,2.978501779615783e-05,0.0009631333935277153,0.0002676946550334361,0.00011594609054921268,1.767294526622276e-05
H2,0.0,0.0,0.02812798378260828,0.10515667823080399,0.00990320718031179,0.029433566199524752,0.0016746305572663545,0.0009536603939936938,0.00221189517444631,8.331630611602137e-05,0.001046544829150342,0.0003440180060917397,1.089347865157464e-05,0.0001108972940975228,5.662402435846481e-05,1.2381049896426077e-06,6.771235484981375e-06,2.1038736412570813e-05,1.478769280138792e-06,1.2370875626999123e-05,9.826899045606297e-07,0.005703933424582086,0.0011905667186811186,0.0003511112760817836,6.447708074941438e-05,0.00011475554462447857,3.953998606087694e-06,4.178630948925566e-06,6.731824353511939e-07,2.419984510559914e-06,1.3342509896929755e-07,2.2617605883734626e-06,2.4582791358085387e-08,4.985764676668225e-07,2.2274934532440227e-06,3.4027633650790534e-05,1.8877902331349006e-05,6.18176950739624e-06,7.124098813093838e-07
H3,0.0,0.0,0.0,0.10388790711676643,0.032139547756920184,0.005151715474066898,0.00018446742308109165,0.00013594760124990835,0.006646731068687517,0.0003995375304615134,0.009797406255560581,0.0007314796219843878,1.3521960238849218e-05,0.0002960211553155734,6.196107459810474e-05,2.031758827847341e-06,4.729667820502215e-06,0.00011542739211511943,6.386044673956093e-06,0.0005334522611044612,7.77286018838197e-06,0.02093390960094854,0.043623009686486136,0.0035466900647678212,0.0009059790963761305,0.0003646007227728898,2.729074752538807e-05,6.63477144828839e-05,9.11224359123608e-06,2.13771816557351e-05,8.681143481847897e-07,4.8162052546096845e-06,7.497183753812919e-07,8.154505364288411e-07,2.37408795533689e-06,0.0001521670501235528,0.0001635854405380721,1.2849040901152797e-05,9.7740196292051e-07
C4,0.0,0.0,0.0,0.0,1.8972464074125972,2.634980305720645,0.08692064762917773,0.10279194444341644,0.1502712264405309,0.021409777834000998,0.017060316304940537,0.009644020699921096,0.0009987257867682953,0.00048444917188894543,0.0012367213736447225,0.00020496596393893007,0.00010227839842746889,0.0009414341856554126,4.3894157926605004e-05,0.0013450816969152735,0.0001393842338605067,2.6206245567529933,0.25212257103028013,0.22560869107153192,0.0191686123401843,0.03562202652612473,0.0017328767209972007,0.003527468776628212,5.6002827736101324e-05,0.0015828724799418492,4.280503833342664e-05,0.00025928332710135893,3.192724259637458e-05,2.3688152469336643e-05,6.340022981565774e-05,0.006891706817680476,0.001508815002415717,0.0010786548869108348,6.0127427209732964e-05
H5,0.0,0.0,0.0,0.0,0.0,0.09018692444992082,0.0061315254302556355,0.00470697629193495,0.026456701194396914,0.0006656676381056048,0.002191165402396056,0.0010154245676027296,0.0002023567157731776,4.975617200786431e-05,0.00026806700831727426,4.4009704697867136e-05,3.3550430480255855e-05,8.904225530903531e-05,6.042290072283407e-06,0.00014018793011860708,5.185880003866217e-06,0.09993654414970021,0.022570146638483002,0.013143598211129759,0.011548680289164892,0.0015958532134798808,9.721161920372978e-05,0.0001070475954909611,6.187802231938377e-06,6.926338801416243e-05,1.962366296126561e-07,2.7964754921172563e-05,3.0767309922019592e-06,2.8099634485911906e-07,1.1543618598341965e-05,0.000527674052224425,5.382024595546042e-05,9.062514432855995e-05,2.395405845856402e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1237014493856043,2.0131522243147804,2.7788193851856677,0.0889597025209129,0.07934795613672208,0.17005529604359393,0.01831770210318484,0.003262625579260492,0.028772534807449957,0.0030552064959638026,0.0014853730347249572,0.0019963355733145643,0.00011608625025671948,0.0016077193761049324,4.7856995234463184e-05,0.18212009111214772,0.032212120827902604,0.02831735852420504,0.0009935289989806417,0.003432391364098869,0.0009155533107910729,0.0004598172409737422,1.0564362785014936e-05,0.0001570404156198968,3.7825378201850057e-06,0.00014027376715688988,4.36073885756727e-06,7.774367195900744e-06,0.0001226595591563573,0.0008003981628195711,0.0004513907323181743,0.0001239926683189313,8.65877568290152e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026468256106635835,0.07884599058983333,0.001497797795706024,0.025627063447182907,0.021797772666008353,0.005336644105528698,0.000830236633612591,0.0019457716372257572,5.834719584507653e-05,0.0005621002204736492,0.0001656637375563319,8.45441718255735e-06,0.00010156331464661328,9.672537735649911e-06,0.00436186142328876,0.0007574813965945948,0.002132898365517222,0.0003686998167733435,0.00018150933771798883,0.00014111102788172403,2.1783933088714846e-05,2.387606463649661e-07,8.72399976770133e-06,2.460011141680596e-06,7.295860203471172e-05,2.494957400678288e-06,9.418814781225748e-06,0.00018274526201245145,2.7370284689798297e-05,4.125949093014558e-05,5.512239401594954e-06,7.073064427487452e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08906893987515951,0.011546379102984394,0.0014192267020356475,0.021448142932738112,0.0009897882133478308,2.9976065606618363e-05,0.0031816822704746617,0.0006976133984202271,5.0975545808684686e-05,0.0003509285666372097,6.11742544953664e-06,0.0003903321944649374,8.426897223356988e-06,0.030293121961874947,0.004194713397513761,0.004231225675275452,0.0001744942593606691,0.0006002886993652368,0.0001650652574578526,0.00012041983894395258,2.1858353260739705e-07,4.0530000917415876e-05,1.6495692412021867e-07,1.1023038244517558e-05,1.740383382964339e-06,3.7286054488383513e-07,4.076986496626134e-06,0.00018531478330796602,9.894466065596408e-05,2.8198839831738987e-05,6.938373722231717e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9733064409038248,2.0518137712928484,2.8598366646073257,0.07352946600802435,0.08539232578975331,0.1699044520414407,0.026861101701086243,0.016048832980280592,0.014776342417812657,0.000682696955098927,0.01080318424633453,0.0005660776216647179,0.017280191982477877,0.01437693152816781,0.003040342217225392,0.00026704960747914175,0.0004603937308861883,6.699891561678939e-05,3.334724278669654e-05,2.3094378249766123e-06,1.240994420749486e-05,1.0515465616034447e-06,3.3601425101198457e-05,2.723089918887922e-06,4.563505096810694e-06,4.562325214663154e-05,0.0002914130505357049,0.0008722622986274547,7.239779830256476e-05,8.540943467583162e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025780848967348113,0.0872572306151832,0.022797734223455546,0.013443331822768023,0.004278196036066717,6.287382317760049e-05,0.0013512866412157543,0.001022720795859855,4.2953113394750275e-05,0.0006731751972015587,0.00020827268835899027,0.002100226861888599,0.0013660259585535073,0.0009250070075792483,2.9325857930917465e-06,0.00012377502347127312,3.710378941979009e-05,6.472731457041192e-06,1.0486416786026354e-06,2.2759459950005834e-06,4.102468380562385e-07,3.545810780547498e-06,2.663853133633154e-07,6.353658812408014e-07,1.253365144782137e-06,9.924754640522337e-05,0.0001835276650530293,2.8364458877105925e-05,3.4975519866975446e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07530134479691708,0.0019609575217587327,0.022829741323840524,0.019131963017624987,0.0016307909503772144,0.0027511183523742933,0.004145892375095661,0.00031700845964555135,0.009396977745606883,0.00013933442158364784,0.0030110275481565196,0.009493158713408723,0.0007469015954330027,9.2050962874346e-05,8.511387912690793e-05,1.3532559909990027e-05,7.675097589698865e-06,1.6173859578305638e-06,1.3100660705145373e-06,8.179737198688031e-08,9.059904766628435e-06,2.514723567159649e-07,1.7539395091858978e-06,1.0868905416572261e-05,4.345939593730641e-05,5.813551929279015e-05,5.954750524450603e-06,8.766285402028728e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7625104144708097,1.8591267490412868,2.4987793270103684,0.08602477265305175,0.08137472199721785,0.16939347312736286,0.02530784783389073,0.011528330350298432,0.007092957801680733,0.008466782717283516,0.00575671879560008,0.0025205008660533074,7.307244364884724e-05,0.0003508848303622747,9.741878051494623e-05,3.504675941737312e-05,6.594435186357828e-06,9.95989816282572e-06,1.537563298681377e-06,7.07841168229445e-05,1.2040972070526124e-05,1.0757932152882788e-05,4.995385886297221e-05,0.001954957569450605,0.010391304420817468,0.0008132759731352274,9.445505551830546e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02767285547144871,0.0952899017253368,0.0018758798378850638,0.030729072909042587,0.014928697492179954,0.0019236444236629957,0.0009325344414725656,0.003678493758442647,0.008968462052249437,0.001533788302519934,0.00397706873297754,1.9657424597641082e-05,0.0007486323810521611,0.0003494215811434831,6.006757288079534e-05,5.6675303741204885e-06,1.7024969945600432e-05,3.115446583601411e-06,0.0002079121258850014,4.97174025031466e-05,1.8738906991000448e-05,0.00015323700965574893,0.004054087626924385,0.02875354919186779,0.0016608026204835147,8.233325380713197e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10708527091578834,0.007440513456463016,0.0015197167773506326,0.02946143278793778,0.0021785074172095964,0.0007336330851421824,0.0002947240522501726,0.0005613864702973537,0.001152987989939569,5.369827386203507e-05,2.5802737191327196e-07,8.30742931645645e-06,9.262003022314502e-07,2.2530369423456875e-06,8.710865533334555e-07,2.0008082390887694e-07,1.4037843110159542e-08,1.9553471148903157e-06,8.869246952425414e-07,1.0408751638379954e-08,1.5541759175174974e-06,8.53739939052911e-05,0.00020967443812935915,2.0593291173653938e-05,7.53630006045114e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0529436823343405,1.8111019091681162,2.756077506972786,0.07672797266611897,0.07432017094039367,0.07699692001546443,0.0022521251914693896,0.006203704423360226,0.0007287644737976745,1.611260590617114e-05,0.0002685146163399488,8.626529810007444e-05,4.112770049835568e-05,2.3791500183278913e-06,4.973865080873385e-06,5.073787892051485e-07,2.7424898433103806e-05,1.330906089136441e-05,2.253814757269268e-06,1.05121446876133e-05,0.001798461028404169,0.005601299735085066,0.00029641645366150493,4.660877584983236e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026989864912080108,0.08822649194600118,0.0027375164601366464,0.02290026554734781,0.007757933630062164,0.0005231786208361733,0.001388115433436532,0.00014767924337566463,4.158664550280022e-06,2.2650890177944305e-05,1.8707768345560538e-06,1.8714334979463843e-06,2.93615816771009e-07,2.798602518616633e-07,9.203160100668129e-08,1.4451888469269036e-06,3.985614447366004e-07,8.839889420464431e-08,4.2010560741267966e-07,0.00010444700098122262,0.0002458327832310925,2.11256094908574e-05,7.423143957296929e-07
