 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,C17,H18,C19,H20,C21,H22,C23,H24,C25,H26,C27,O28,O29,H30
N1,0.0,1.922634351129609,1.9858938117049607,2.7066338725762473,0.09941989896937875,0.09161782560639975,0.22599587066417723,0.041632638046164155,0.035824397242412986,0.0026503754585718298,0.007774659821367769,0.0005284438592912943,0.0006646179282629311,2.646537195771792e-05,0.00018624143688739103,9.659490469191012e-05,4.9300944626406995e-05,5.720879768800202e-06,2.7898022184835725e-05,1.7998888051096174e-06,1.152356453339165e-05,4.008753753392824e-07,6.946406966495955e-06,9.791848332163511e-08,8.996007942921325e-06,2.8073918523219277e-08,0.0011226022828447757,0.0001167832371013755,0.00033652352203872304,0.00010259285826141884
H2,0.0,0.0,0.026564341072271125,0.10727207807486394,0.004768105395219546,0.036450302684139624,0.014669857096149319,0.03208688377610658,0.0025287269483267316,0.000752704941631821,0.00045215348316540727,5.3723631625146595e-05,1.986767294637204e-05,9.044075205633106e-06,3.203412197727573e-07,8.091714391755822e-06,3.3182698951916834e-06,3.1471958927831167e-07,2.8572267087856318e-06,3.442446034895852e-07,1.3125197365626562e-06,4.024717425998858e-08,4.2652274978571825e-07,2.8645134264593253e-08,1.2859051279345834e-07,4.377940010513726e-09,7.831519381951146e-05,2.154018292621629e-05,1.2400375118848395e-05,2.6365857985766183e-06
H3,0.0,0.0,0.0,0.10587129622857194,0.0361493199163776,0.006736526679257393,0.008877985590228676,0.00891176906608615,0.0011610311243104299,0.00012245171526892307,0.00023860933844865873,1.2105469613166164e-05,5.462869263672676e-05,1.1088933384861832e-06,1.1092881934793297e-05,8.567662824754407e-06,1.1296697780327492e-05,2.4663263433755134e-06,5.948219212403849e-06,2.0249519283588313e-07,3.004020617702885e-06,5.509231426614747e-08,2.1360703608142018e-06,1.8608454777080397e-08,2.5038433227875245e-06,1.7390309192677478e-09,1.1588845452936702e-05,6.091664648377737e-06,2.2149279363947727e-06,1.5340426462451262e-07
C4,0.0,0.0,0.0,0.0,2.085534607133873,1.9671284862696972,2.571826907048628,0.28099125099296407,0.221896905512469,0.016023365802246503,0.0364339250874908,0.006590502727081282,0.0034816885829436484,0.0001371774493694744,0.0009449168560329291,0.0005199025543112523,0.00026682252914808635,2.7780168310620468e-05,0.00017697323587267944,1.417876338671853e-05,9.035229657761157e-05,1.67943740114751e-06,6.211031277994494e-05,2.2828284751419403e-07,2.1197969667263727e-05,1.9927285621612612e-07,0.003959069763468881,0.00043356823045953563,0.0011208172005443273,0.00024171138829554017
H5,0.0,0.0,0.0,0.0,0.0,0.025889781945298784,0.10610065471044994,0.031200669782963875,0.013115098033027017,0.0005603588251341662,0.0015798774257600456,0.00015648497814257922,0.0006004725025581248,1.5272822095013794e-05,3.904107761254494e-05,0.0001995068114533094,0.0005295139387331282,7.485129116346911e-05,3.140030144610506e-05,2.3159153517138265e-06,0.00018105917721600306,7.681670652903705e-07,6.646459495240897e-05,1.3229615491994196e-07,1.4079738610339732e-05,2.8273465990658053e-07,0.0003078386140844547,2.466027521763614e-05,5.847383729551403e-05,1.8797996142350115e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.10144514739002197,0.029636788721330243,0.010445532346105124,0.006509554511294979,0.0014789770457472873,0.000112691529821074,0.0004517226373461636,9.933377931092835e-06,6.328321812709703e-05,7.331473283267442e-05,1.9309407176759663e-05,6.768038567361856e-07,2.389835722871325e-06,2.3752609434879446e-07,4.819784136023131e-06,9.984154170084025e-08,4.80944024316976e-06,3.4821823202690894e-09,1.4717443828082821e-06,2.3417570771400165e-08,0.00018590011471708578,2.329453272331694e-05,3.174853566068059e-05,5.169337270016783e-06
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.003491585627226,3.227701532582361,0.13386533910210785,0.2679050743981044,0.027858126430097663,0.034050883875336196,0.000788063912246173,0.0038353571122249352,0.0052505419081720905,0.004437451335194076,0.00036508278766400615,0.001503768139190842,4.3645812519699234e-05,0.00044598505594553584,7.149916032567205e-06,0.00039221086620169765,4.409435050423127e-06,0.00047505078507192877,4.270461759325883e-06,0.02983272025271866,0.0053064145417436315,0.005503922560727209,0.0012897284371571338
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5291196376562661,0.02586514892520342,0.06977311186760053,0.05522532728408436,0.010289365784611704,0.0010081128289926022,0.001508696317296554,0.0024919411645166756,0.0017981275333930208,0.000268788006310805,0.0027353398248840255,9.836181217615092e-05,0.00029278575818343644,1.3037774314605954e-06,0.00046067818980266573,2.3719443873471135e-06,0.00021895443663501324,2.4807508531843325e-06,0.010379632737120087,0.0035884440988474403,0.0015578035362019266,0.0003606764247316985
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.930810200773751,2.781102497325646,0.09331654944966294,0.18159145006694125,0.00737007316081606,0.026353458606887092,0.017411480356380668,0.011376724530038573,0.0024045694948315877,0.002905549987793077,0.00014759540154574147,0.0018667462932640821,2.623199666562659e-05,0.0014416239400797254,4.474188113334776e-06,0.0009706178656938291,1.187098423705013e-05,0.20281352044922785,0.04902318382581494,0.029434242846599706,0.005542898655699902
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09925223499231195,0.028983846863532614,0.004844844510767277,0.0016830047810889592,0.00010797390318040279,0.00030550309005694665,0.00019419767086303885,0.000172436798104858,0.00019292357993960785,4.743870326162636e-05,4.838115799410403e-05,7.630598259922294e-07,0.0001013560548130954,3.3494202580364174e-06,2.3536041491967197e-05,2.7219795484256792e-06,0.024070654512777123,0.05620542325122846,0.003910985027851921,0.00013839397197390468
