,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17C,18H,19C,20H,21C,22H,23C,24H,25C,26H,27C,28O,29O,30H
1N,0.0,1.0202675743171064,1.0198926722665838,1.454063837084129,2.088860793276559,2.092434597361009,2.519261123228119,2.8149813479939807,3.736392788967368,3.988521622636551,4.973182493932674,4.913312666213956,5.9889539069147455,6.332701209026279,6.9070969479467195,5.799963887952214,5.680900708532503,5.696654196561486,6.235727865087511,6.648891907462726,6.01350918361453,6.271416721026334,6.539890939648959,7.147481523336602,6.436768855210355,6.979049048178788,5.868000986567372,5.934008956389614,6.949295664835489,7.571416389350667
2H,0.0,0.0,1.6100972488883543,2.0149588664988336,2.424133748409076,2.9242044023863465,2.63204983591519,2.5538087959845375,3.9566189219033974,4.414334922046416,5.050497099505878,4.8478414536533005,5.929129176098213,6.391164292250186,6.815381585177388,5.515097847420704,5.400042089629781,5.5903863927826,5.759615807001374,6.194504254296096,5.544088456782797,5.833453615743955,5.894397660534753,6.414718790321441,5.791547955861299,6.246033242479349,6.13717604240761,6.387643704990022,7.125629120022353,7.841387096692587
3H,0.0,0.0,0.0,2.0253567315676535,2.930779096366937,2.3729340637848932,2.740909636533915,2.8478680646481966,3.958241309874392,4.240032770591239,5.061856039032908,4.874373381507383,6.262926767512389,6.684627578119152,7.088614924621365,6.2258128638304635,6.308997937642186,6.372058831742413,6.576431796751517,6.834420524410876,6.731248367587888,7.095470442540116,6.981560826286672,7.512648296794173,7.0571116777517355,7.63769563580619,5.801237904868373,5.86496568756316,6.791851921925877,7.363969880379751
4C,0.0,0.0,0.0,0.0,1.099114546544743,1.0984670379188841,1.539479502606291,2.421186059662264,2.4562201274493884,2.5835305466153975,3.826915632736492,4.022112557363706,4.792414471334246,5.003799361103372,5.7652843993149645,4.774886671919504,4.646194576990118,4.51097869108865,5.465336683988537,5.924307912961358,5.235161164142234,5.536688057529302,5.974042363537641,6.738083838384464,5.87253024983829,6.577346235697014,4.691230614802984,4.695944304406337,5.878322169790608,6.4831560086379705
5H,0.0,0.0,0.0,0.0,0.0,1.7566819427334555,2.1455641091074185,3.0464027901146387,2.7665795874412478,2.790513997987171,4.154554675676232,4.5006091323864466,4.797285133980866,4.865231195715351,5.85181248313157,4.587774453873325,4.144337870945061,3.8916321608068585,5.39380020410781,6.031577352638939,4.620365555651027,4.746825257458826,5.768499635462305,6.616567271170618,5.4243685300718285,6.076067200607554,5.130694794860152,5.124090516608867,6.361173434363543,6.991210738433068
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.173008948376814,3.1945969527958757,2.660929825566296,2.4056162992620616,4.04602300591401,4.3924892765369306,5.132671705975886,5.193404228169553,6.079017682861748,5.3925139457639935,5.29998674399051,4.991491138033554,6.218865869759701,6.615887694588204,6.04856351215707,6.321813370681145,6.8680333677835685,7.669219099074172,6.79428437602498,7.55135721856387,4.569382173362648,4.300376375525444,5.823300918975885,6.282318029764045
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246335014611014,1.3723005753759632,2.0626849497620365,2.465671374704345,2.504014346508641,3.5297057331452737,3.9792028531601953,4.4074528702850815,3.603882328573083,3.8676322637060947,3.960559063764471,4.188604675368192,4.503341707051554,4.630447828273424,5.212302314886005,4.900550171258811,5.634251689269983,5.098901793056335,5.939654657221206,3.536274331903885,3.877466985108266,4.587538862750147,5.307464189907692
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.284924035462289,3.1631720775231513,2.817224485832228,2.352846313607015,3.820773163499227,4.536649050832201,4.523834599589831,3.674923386504134,4.16139871886294,4.5476393458177125,3.8301472463383486,3.992148699032309,4.721886826631874,5.430888369856324,4.430376833383091,4.972424623208189,4.8450293680796,5.619559547066724,4.001189430463784,4.599863472618956,4.7752201343649165,5.585475883151389
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0131598280023166,1.448150881017656,2.0572486880340497,2.510682393442701,2.7721409842360623,3.420670415406444,3.044775059944199,3.4271166275356553,3.325439109798082,3.956887783471824,4.246013328622731,4.527998504363559,5.155482990196633,4.940133215180343,5.790373313219246,5.183669753534691,6.157889347296115,2.41650496793148,2.73248151805229,3.6035241503519484,4.283177666461377
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0981563298972112,2.915290048185828,3.012068278994912,2.9101213926244474,3.9204208865132646,3.7179485078602825,3.89421907400551,3.5053169568068285,4.799774608984945,5.1307567882352085,5.056670773972126,5.543482821937036,5.782662027859872,6.689690497706832,5.895016779895024,6.862008860829514,2.524987544637345,2.3744649952649453,3.8557993212452253,4.350968259082677
