 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,S33,H34,C35,O36,O37,H38
N1,0.0,1.7692790145795485,1.6288721207262578,2.9403812732809507,0.08378201791905615,0.20640115911980136,0.01508670259808953,0.009584192762912891,0.03431631445886783,0.0074038305228917856,0.00010178656537607189,0.0040360706125263796,0.002010392507954928,0.0001027258400349007,0.001215155070567825,0.0004251059758962339,7.624836334052532e-05,0.00023470929190715084,3.642151504446023e-05,0.00022002461688613167,1.1210104216008432e-06,0.00018848848196418438,7.851878023323877e-07,0.22920910316006207,0.051690636935404155,0.03590172820882116,0.002533833383765227,0.006685439865249193,0.000512003478074452,0.001034185022973061,0.00022108266800346943,7.999703548500214e-05,8.079098713347291e-05,3.0949526339529854e-06,0.000831465605937512,9.825934560072497e-05,0.00026132053375027553,7.751164786029552e-05
H2,0.0,0.0,0.027284602286282933,0.10851763083804788,0.007810969704773685,0.03221378447725787,0.0005931323459504867,0.0009948297318855825,0.0044042355997624405,0.0012535165198677145,2.0010955232407923e-05,0.0005236492318114738,0.0003394575284703105,4.093124945581117e-05,0.0001416084102061621,5.1085002757744746e-05,7.17419930618135e-06,3.325025506750734e-05,6.735906752153298e-06,3.7392930652746514e-05,9.101193931826401e-08,1.631073081709289e-05,5.500070221486908e-08,0.006963079149743812,0.002358352203416736,0.0004581401895510373,4.793449467088706e-05,0.00016576995207062684,1.8298597996624366e-05,1.6099476756514797e-05,3.3838839412769772e-06,1.6616403908376043e-06,1.183822407735402e-05,3.146216205340835e-07,1.5221261614128956e-05,2.6215251509587034e-06,5.2869832347646195e-06,1.2933876609722006e-06
H3,0.0,0.0,0.0,0.10583165874199829,0.035710052064303444,0.008005260372835221,0.00019827579085274216,0.004929990676200147,0.0006364023973044475,0.0003638713774779534,2.588101363620865e-05,7.62430916845247e-05,5.351375038553652e-05,1.019553024739217e-05,2.510624314433496e-05,2.6673132024201962e-05,8.855882496883183e-06,3.666384366884934e-06,2.931862701505139e-07,4.361899515137324e-06,1.727885265978557e-07,1.0604055702301274e-05,1.0160604668740802e-07,0.021025850339170482,0.05337819198878868,0.003698826590906368,0.0007087459168120258,0.000489536786769107,5.413332768178236e-05,4.74427266028421e-05,2.800299466088063e-06,2.7022335961968125e-05,8.43255868443471e-06,2.047591732612375e-06,7.323272035297812e-05,4.009170069196877e-05,9.765440017406313e-06,2.6808479429707432e-06
C4,0.0,0.0,0.0,0.0,1.7767111636642146,2.3907706307967205,0.09139230252483621,0.08277153968739337,0.1768335061543345,0.0502400259304531,0.0003764085538449091,0.01988305921883904,0.012862054761148156,0.0002723074191701702,0.004757518949890127,0.0021345912812833767,0.0005517933233012418,0.000742192167538569,5.2260295207551266e-05,0.0015601793758526078,3.312921520670642e-06,0.0009501619149013957,4.313675054490318e-06,2.731098384506658,0.2750377049874757,0.2310199369129681,0.01623173067240591,0.03546914114745883,0.0037832895186078463,0.003644819253942,0.0007030817402962075,0.0010470921446261716,0.0003982968040772694,1.7834969156860225e-05,0.0040123070601146005,0.0004476143146728978,0.0011425184081307188,0.00023850982344197913
H5,0.0,0.0,0.0,0.0,0.0,0.07953486113141106,0.006430341778112192,0.033193219371522975,0.007434970563634513,0.0028488285316217166,0.00027561759547478637,0.00034694053806738623,0.0004107704151325997,2.327950030478476e-05,0.00041339846891186305,0.0003602890199194686,0.00018581084481406052,4.2578983487917554e-05,4.863626374973506e-07,4.7152696641239444e-05,2.3807911471163123e-06,0.00014697104822725127,7.709269866928992e-07,0.09458289225243943,0.02386535894984876,0.012090545870879765,0.00853271593863636,0.001794984529948973,0.0003270416159142364,0.0001478184420695694,1.0150901621486241e-05,7.456761107338394e-05,3.998119917558718e-05,2.740723111571697e-06,8.83554616244453e-05,9.87850844117455e-05,3.8874735429406115e-05,1.1992546917305447e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0797959166561437,1.7814095838926174,2.7888122206327752,0.25090216087769956,0.005791143046577352,0.18994266291824685,0.04746604163837717,0.0025041031061864283,0.0334270820622872,0.015456619688831247,0.0039149138031882025,0.004979078859088604,0.0010524666335967048,0.003966133137371375,0.0001469816975319116,0.0021142398441912486,7.347251459544069e-05,0.18672337243709106,0.03612638969596582,0.030039938119475335,0.0013364971526765856,0.0034622123299229146,0.0003786806718273361,0.0009717168500009699,6.221824844665491e-05,0.00014686913076333852,0.0001546868762758863,7.540995505816994e-06,0.00059081270857822,0.00010092085484617042,0.0001847201503011181,5.567677488760303e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024218607122876046,0.10643814665069384,0.017466487887215942,0.0017520223753191289,0.02301158956556737,0.003204384294457907,0.00010256630925398191,0.0030949618580458083,0.0012461103026071285,0.00015509752144216016,0.000643059237706689,9.445893465276356e-05,0.0006545588798906321,1.6363867100244178e-05,0.00022301928991041997,4.012148422605222e-06,0.028797202284573276,0.00574193592137906,0.003229699326730673,4.3265333352637825e-05,0.0006506297285227003,3.24012931769424e-05,5.395512346784148e-05,4.079248474564423e-07,7.356013960180263e-07,9.55286646331377e-06,4.0566355785642827e-07,0.0001228248016196254,9.56866082701957e-06,3.803474177488386e-05,8.857226747815972e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10404470308441072,0.02849838369063229,0.00017170050329795572,0.011740740548360051,0.004504867230521792,0.0005799496895508849,0.0015724527761140639,0.004591825660640536,0.0050396862172528145,0.00044335238644488406,5.948472890260348e-05,0.0008882108870194028,5.637352281095964e-05,0.0005797236049508436,3.35282127406078e-05,0.008907530132264974,0.004609598869761422,0.0009681472590676865,0.0006025649620491347,0.0001114646022386534,4.2028903398660944e-05,2.398507938572436e-05,1.9718438903915114e-06,5.703743305662812e-06,4.463938815590929e-06,8.776057660586645e-07,1.2276960702939377e-05,6.982099180041779e-06,2.8936618396979696e-06,4.065174810108374e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7189085054816755,0.11467189300983693,3.0945578207937188,0.47759691542105964,0.02577823045683114,0.34638289965750557,0.2279589740911051,0.008084595403780925,0.04058161446428854,0.0037285104961037874,0.07162183673184427,0.002833381531265333,0.026370310155751586,0.00036185274396838274,0.01902998089703034,0.0036101025402342918,0.016240364414777136,0.013977974607041865,0.0012351865030953146,0.0004251775169777927,0.0006010147359410273,7.3787497597122e-05,2.4731527218380123e-05,7.274019992707659e-05,2.5098499449871525e-06,0.00027620838038133755,0.0005778690418179466,7.047446612341857e-05,2.516140621511287e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039513989692304,0.3962487896212755,3.169565499821756,0.10862901785035084,0.46051954385297106,0.11135014515909841,0.0008433377119987373,0.07588357431276216,0.0006865940429352513,0.03165413515526555,0.0009356372177227179,0.07871101003592905,0.000901948391413443,0.003965200432399063,0.0017098471206174193,0.005183475174067337,0.010853600816890574,0.0010603178862972351,0.00013601414525710176,0.00033700816406301293,4.1206159882678506e-05,1.7341494665923385e-05,2.9043529340078145e-05,1.303344681735652e-06,0.00046879530482643594,0.0010660453786836277,0.00010576025725791971,1.239460504587342e-05
