,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33S,34H,35C,36O,37O,38H
1N,0.0,1.020309843148148,1.0220471828439506,1.4626239824812102,2.086093180792654,2.4551237731278275,2.6266886377926992,2.645523145164402,3.8238169278587435,4.716670995882797,4.834858717090529,4.804898418350891,5.919212454072125,6.7492071901078905,5.986886371757523,5.142443299031519,4.592482442168775,7.197864676698851,8.109509844482803,6.485332008973202,6.997051563786474,7.390242571655014,8.42553740189895,2.492199334685209,2.8433147566312007,3.6477343859046836,3.9307495873739913,4.905061858642576,5.037147446663094,5.485542390836117,6.45353757668356,4.951532699369051,6.069375452977933,7.047036521502777,6.029719732942389,6.1287623489975065,7.2012578730701025,7.890767185421759
2H,0.0,0.0,1.6198828881222391,2.039082821673148,2.312931514498973,3.3415600405292594,3.5093490921399946,3.6222744704639296,4.5886850170811515,5.367066847473691,5.406269745558775,5.549272348829204,6.549365084737026,7.317097492072397,6.663303038697792,5.8851899239530345,5.349825501209802,7.852758636094016,8.732516346432512,7.179075640764522,7.669509856242902,8.057312360527645,9.072136396074288,2.7660049839608187,3.1019471800546983,3.761766474337492,4.069466390595121,4.983732579906218,5.260305162134124,5.2999224944267915,6.307627653246274,4.696007151857752,5.649566411787535,6.739098983212858,6.161233889390858,6.295202542262468,7.319536998140588,8.034438586109255
3H,0.0,0.0,0.0,2.0143010082821142,2.904971127990267,2.7668014375183967,3.1238940442687673,2.5478173855458435,4.130229931599355,5.222473190283192,5.505201260195408,4.873950022995077,6.325368955375233,7.224326558354206,6.1785113971141605,4.928579363097773,4.198010548313994,7.284855101572204,8.266015845934918,6.231655032990036,6.599713397881064,7.285640672373862,8.279830302503859,2.5424949046681813,2.427180315407786,3.8656565653318773,4.358631908180163,4.925864098432802,4.85705821102897,5.447642325291756,6.319553385100901,4.793153358209159,6.27975384060264,7.284165229702628,6.181764786275564,6.452532827599499,7.240470427334796,7.999697205687811
4C,0.0,0.0,0.0,0.0,1.0974365084201365,1.5554202890871818,2.1405702876431434,2.158772768708809,2.5763788526420024,3.43618083530368,3.692388815336601,3.5518272202761554,4.555581626310836,5.377188465484971,4.630476196812738,4.085071915494204,3.7817752371860265,5.850428565679888,6.722954588826164,5.399159835548406,6.047319425459389,6.1508258591281635,7.197503292825247,1.5387333302109456,2.420303626924817,2.463780241772681,2.596684833300377,3.8153728122382162,4.023878931670537,4.688141297893713,5.654411652974372,4.417340260387835,5.326778511457754,6.104195250005187,4.750248924167199,4.74588162956258,5.979052253265373,6.593299829005313
5H,0.0,0.0,0.0,0.0,0.0,2.1644361861650387,2.4445270014404756,3.053533016959111,2.835639425789942,3.2560361786463208,3.2505618765540825,3.9644393497176176,4.419728930378051,5.09297934165112,4.777184017764088,4.752452354392342,4.641772360980312,6.049582286002485,6.798659582042178,6.003291252208073,6.753881384220698,6.555443383771378,7.601498054813207,2.16604327509699,3.2599856153056526,2.5571673791654725,2.3203431507444736,4.003358031360528,4.469578628941746,4.827889456409022,5.859247652738377,4.701119364105671,5.100727024839274,5.8231487143033664,4.719287847642688,4.496031610308077,6.031449600909826,6.549520693591202
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0954360682747122,1.0977060208900233,1.503781280800991,2.5754627120336244,2.989352925656618,2.6391843154229244,3.7206599766720068,4.634590933938843,3.7744747413137087,3.3293398885778056,3.1488178971462215,5.055458367508632,5.9461812927756466,4.699760214776083,5.4340816862407335,5.40838338728097,6.487793933901884,2.5328340194796253,3.2210419991080386,3.3102841462869703,3.275534049793321,4.496655056994419,4.470792267647874,5.676703768633526,6.522964692417699,5.5301585698436355,6.514116803501955,7.094734026832978,5.172927484810356,5.037170859010644,6.354794847319792,6.859848765667573
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7573022458297403,2.1573143457110464,2.8039540745351976,2.8593189050260004,3.466681946869468,4.101003608773211,4.9193272951712235,4.42765755017423,4.2776725401849385,4.1200487209418215,5.769564342204651,6.578939033046024,5.627052927762287,6.38639397747859,6.251513234288064,7.3341773936691395,3.4558469380057555,4.162553587191131,4.215920618065239,4.040847013827955,5.492328995107985,5.542334171673823,6.6262841968090544,7.5221649681207525,6.455526041138035,7.299420830282864,7.908155192638333,6.106219811083843,5.8356341271373875,7.334158096556911,7.787688951159783
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1425652203726626,3.407687658072421,3.953807574174388,2.8033684313884777,4.371084775890992,5.346664766908099,4.1294267279571235,3.045318927168009,2.5726153001591423,5.258314188962039,6.240061382792394,4.422803723315795,4.99199316921845,5.353217551028278,6.393236199657882,2.792037218323889,3.05290237294406,3.795891831390089,4.000541116462984,4.789823169482175,4.520217702634818,5.92543535937783,6.6787753930129945,5.66049833747785,6.997165166342385,7.622721308289942,5.609486098156862,5.661176545777389,6.665561976420779,7.241368346511358
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3746494633006394,2.225995328129324,1.4454773704350408,2.261809302567366,3.2230435418567485,2.3112353882998535,2.6243428394507817,2.9605486321970536,3.652454552942334,4.481181768388457,3.8220229829693433,4.74766886520085,4.218965416639255,5.304278978313188,3.0158927021817363,3.8307892162545882,3.2224739282809955,2.9373555300738,4.179231726697881,4.163609807003661,5.5957796733807745,6.333127134693404,5.7286641284015225,6.450155770415696,6.7466903598323755,4.430301571691781,4.110495383005664,5.566825088949645,5.908760961292093
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824220206580901,2.254082410302441,1.383469758785309,2.127811681429775,2.2517530024660206,3.6476051338116493,4.20951899691698,3.625719540282246,4.166899538630895,4.595003237610127,5.628313960465164,4.585955522588046,5.614655493019912,3.9871252396488934,4.979960241717651,3.839515161442286,3.2019917377467926,4.7857839194881855,4.985712185577791,6.206707486523087,6.955993755520895,6.506858204194291,6.770278018746248,6.895451769384298,4.660509413816582,3.988568621459717,5.825595575088081,5.9666669376715955
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3192529240898745,2.143806493609423,2.513141811011765,3.2683557890474173,4.695878585232542,5.1749579118930535,4.59707499921854,5.005946257368888,5.6768115384582,6.705874452319787,5.636185658027675,6.6446714949262775,4.519632221723056,5.602424031365525,4.388020172461552,3.6328167121762296,5.479055195648066,5.817801973083966,6.795030425942839,7.625681274087976,7.071261977847854,7.119061336865806,7.285059804502699,5.35558072776591,4.563642273980864,6.582944234658554,6.689201057068859
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2545556225342054,3.225612494435967,1.422744988216957,1.4076351606219386,2.170912887111497,2.4725084227121026,3.4597588621490942,2.4114041425219654,3.3984843928356194,2.803218492243856,3.8900687367501217,3.3897199534440046,3.9305199133164033,3.3923226690030366,3.297538009025388,3.855697870540673,3.5677520698837597,5.369752052395482,5.890822221786601,5.618101123953364,6.497664858861491,6.619269306718756,3.9337796519858914,3.8028201010476903,4.82357454508897,5.136833222486447
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.007945448598497,1.379135122416685,3.5774324099905774,4.425436709613719,2.5239512463585028,2.8630763830880634,4.126488828601617,5.2123157739167265,3.7203854693181952,4.644419641079721,4.747139344268569,5.655361037280488,4.324722457950436,3.682934331591473,4.906818777376979,5.042196500166031,6.399759516092862,6.982621423745831,6.880739326248285,7.025726274236433,6.895413946224879,4.401241395220269,3.6392527200426277,5.366557398196411,5.320827145523264
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125681346460944,4.492815057492931,5.389992220452653,2.882269845573248,2.838134651778934,4.87325446711792,5.955575740667074,4.226455858350215,5.0134682590384605,5.573487732128277,6.536448783614999,4.997208133708895,4.243469379698156,5.506102794815191,5.744969475951506,6.946493867131625,7.498239688251501,7.527024520603506,7.396018488841646,7.122540942839784,4.77124256363906,3.8347074067858524,5.661156480980829,5.449280804406017
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436604892627697,3.4292078166986215,1.3997528334044518,2.173094992808378,2.768593499541771,3.8553268198125976,2.3858962044373064,3.376349423090478,4.469013608813964,5.141215919152444,4.094054811202593,3.7351246238807585,4.373663450042212,4.242387968075724,5.915397889879088,6.348476557104386,6.386537397150924,6.860551011851266,6.71480455330874,3.926944608966174,3.4943727659836608,4.6986441883502525,4.734927172927566
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08687691079542,2.8504271284594713,3.9378013480208782,1.39062672775002,2.1468316384678254,2.440310675760444,3.415575195481722,3.5494703037166997,3.6383010075056847,3.7256296337184933,3.985076914894428,3.8260428745218857,3.1569954659571637,5.221840566523197,5.561092478417726,5.366425895578978,6.661275496328436,6.823838890231237,4.133557088404331,4.38866391135458,4.746177804413416,5.196780490138764
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9371415532011,5.024505943489995,2.156505117271063,2.4798137609759534,3.426284757066831,4.311602199594431,3.219455332934775,3.0068110743720498,3.7518221872262587,4.217048586923567,3.935752568892662,3.1658280845689015,5.158365162772787,5.533129132519351,5.080341746196795,6.689006405824534,7.044688215888208,4.607043985073453,5.014249045272197,5.2383055230047955,5.834547591729282
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873744553081015,2.441301775809239,3.4151496324661106,1.3908481032671645,2.144801503845517,5.438537787352111,5.942506857969252,4.940033118936756,4.688308860748491,4.827332528764304,4.553104037935354,6.304529766803882,6.5109212204162645,6.8855628351486295,7.3554079187179955,7.012917888080111,4.136872240754089,3.8469677338549664,4.516277159864684,4.394437037215999
