 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,C25,H26,C27,H28,C29,H30,C31,H32,C33,H34,C35,O36,O37,H38
N1,0.0,2.0079039522040185,1.956207684616285,3.0464398853355883,0.08308362617001985,0.2118119349046086,0.018028621783258703,0.008705658753674683,0.035940576020237716,0.0026037702305548027,0.000449506380998832,0.0027288596897212247,0.0031405197075385083,0.0012517730245249076,0.20949948422895534,0.06539782795464164,0.03322279451092024,0.0023301558817244716,0.007365419139409801,0.0005016407647174814,0.00108647154503759,4.254097318323602e-05,0.00021480923631744808,7.426824965618695e-05,1.8099398623169782e-05,1.2024816644640168e-06,9.946060147733582e-05,2.7245892873284383e-05,9.084982082671611e-06,4.151525523354849e-08,1.9174440607561127e-05,7.639153232208429e-07,1.2375828613409023e-05,3.151224192698976e-08,0.0006303339317444701,0.00021210490274813087,0.00011623083526550448,1.0838644264765662e-05
H2,0.0,0.0,0.02680546870984335,0.10674559685825658,0.011411688043518664,0.02830380637752561,0.0005988730167436618,0.0009651061286108931,0.0038359234793085006,0.0007405361934735843,5.077917094697959e-05,0.00015701471157736346,0.00023266875540051135,0.00012350263445137788,0.005634575061334135,0.0038539311199113913,0.0006707407562041023,3.9124561979964056e-05,0.00017746650999539426,7.23913691169642e-06,1.5824338230996382e-05,9.765397337435644e-07,3.2646632033284106e-06,7.993137506989711e-06,1.3175454717240243e-06,1.950907524417289e-08,1.8875398525075582e-05,1.5969482205502317e-06,3.4939908517550577e-06,4.546097054358711e-09,1.9464330530905016e-05,3.140712052651651e-07,1.5255764480581746e-06,4.743967441100949e-10,3.475696758903357e-05,6.025379749474702e-06,8.52224814296143e-06,4.6412643794901953e-07
H3,0.0,0.0,0.0,0.10277352748284085,0.029002046271009885,0.0062053244675461805,0.00016532221742804332,0.0024466268246714495,0.0006426314433652935,0.00012018975885608185,3.9756447499872394e-05,0.0006173667223365875,0.00044254841617419327,0.00010402773789419673,0.03354927368065874,0.09400165782795222,0.005350488578554913,0.00037746055474841,0.0008391804272679382,0.00011742796121794186,0.0001240999634450901,3.164109229714107e-05,1.9112415178490494e-05,6.998061025220714e-06,2.126506917110582e-06,2.194337866967544e-07,8.889708718595735e-06,6.1232037058545075e-06,5.503881090884732e-07,1.7905081861613326e-08,2.1226861740553105e-06,2.0272763512352299e-07,9.264439235767696e-07,1.1627721008267144e-10,4.153469483170191e-05,2.324665206687726e-05,8.696450502165831e-06,1.5852098977919837e-06
C4,0.0,0.0,0.0,0.0,1.9381470045956675,2.656566456264373,0.09824720146439603,0.08321095960255764,0.1431101040723761,0.028439972083370346,0.004477855753005411,0.019401123130333764,0.028068843480852618,0.004948931094991865,2.5457102703572105,0.27123284762732786,0.22602047928628152,0.015008122300606552,0.03715370331995163,0.005698541613979202,0.0034963706872098987,0.00017542153665717208,0.0011210293605496968,0.0003702681980478906,6.441972361687087e-05,5.254976451762872e-06,0.0005661190332351684,0.0002560378013314324,8.15401435092511e-05,1.0248809223512012e-07,0.00016573183501222832,6.103634218712628e-06,2.660375692503658e-05,3.7130539976004684e-07,0.004493796702052577,0.0013380109954354708,0.0007790557996323888,3.475649659989699e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08506010849637258,0.006068161776731307,0.0350170993676131,0.006094385563616189,0.00043234606536302067,2.7036828985194106e-05,0.012139327364855346,0.028792924364659855,0.0013396069136055733,0.09807593855697916,0.024271254152782973,0.012730145879317423,0.00411122814754683,0.001579920632070797,4.7743612441975e-05,0.00015919110730866493,1.3145645284318164e-05,1.2430950334874069e-05,0.00019744857453229958,5.926937344902239e-05,1.5913942903456046e-06,0.0013419963940463076,0.0007307863233245726,0.00016110423962345521,1.079537714776535e-07,0.00041059640196916547,8.496408201441596e-06,2.7979748482120925e-05,4.426710042970683e-08,0.0006551605802500582,0.00015927734842224872,0.0001080617797144523,3.5845069950024566e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7870091629118166,1.964880109654319,2.838916124930012,0.09907722959714005,0.0844502047948188,0.15938368151914836,0.029832383243973706,0.03839772508360824,0.16858560994598706,0.033979197428244054,0.025331176616263676,0.0008498141554608152,0.0029372206950815383,0.0005957833273770863,0.00045851889173564864,1.1871770494442657e-05,6.0502954825070177e-05,8.988236906534719e-05,1.0659706425622528e-05,1.3796504769736373e-06,0.00022223880216311331,0.00028468291834216064,8.813151781486561e-06,2.6063173619306212e-08,4.109897086168601e-05,2.7631051660037542e-06,7.54235666687586e-06,7.18378015740484e-07,0.0011509248642508907,0.0002917746352416317,0.000363625426171188,2.1183362957644114e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02200458921801829,0.08523843811170684,0.006925998657506094,0.034158350507946356,0.005995804043185338,0.0008248104947864432,0.0037850075188796684,0.02944089397005123,0.004580037477346477,0.003613585398647423,0.00011480609019365318,0.0004653766230300338,0.00017664886581614248,3.383114409283294e-05,1.5696447515090028e-06,2.6749831685268788e-06,2.6538883839410943e-06,6.974998234543506e-07,1.3540710042114767e-07,1.1268670117914326e-05,9.24270444446762e-06,1.5681304414982833e-06,9.598926098419724e-10,3.3014452964774677e-06,1.1379615472151272e-08,4.277507035244099e-07,3.95090582472335e-08,0.00023454606919925958,6.431358062986003e-05,9.696507735534876e-05,6.709008461891486e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08468461220234591,0.003746084232194802,0.006171863475666894,0.029246311753890808,0.0030974036036275354,0.005272130564633715,0.007867709870069683,0.0018109174863230049,0.0007978990071386693,1.936031880078737e-05,0.00019725591898067663,7.19135084348288e-06,2.660325023118304e-05,3.5148777992599634e-06,8.660061167287125e-06,2.137069659546853e-05,3.3632793718929577e-06,5.002643872487056e-07,0.00010724735744971348,0.0001892642036058767,3.246194484995968e-06,6.739804270239347e-09,1.2685104046505913e-05,1.3056648646703195e-06,2.404363326213854e-06,3.68353047841552e-07,1.8010096110687712e-05,4.530543339598125e-06,2.6534807385125703e-05,6.80711778944243e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9905221949813,1.684040830705853,2.5734708614711996,0.2613877700681341,0.301653117404607,0.01146025445978982,0.00359491678027625,0.02075273557896952,0.01227092288877274,0.0020126404123499836,0.0005446168202191126,0.0003328592188399232,0.0001025914516364912,3.139802873397546e-05,0.00020719907042465735,4.497197179741119e-05,6.900763157569045e-06,0.0014321128220033397,0.003971716768443101,1.8111537543052947e-05,2.5331699426978105e-07,0.00015893360175960047,1.1198267034995268e-05,3.517726388717335e-05,6.08314822603262e-06,0.0007720989819265112,0.00020448452516226567,0.0022100486866054037,0.0001835578784267211
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024503949909204348,0.08394606980968122,0.023369551259166066,0.01991255299155803,0.0018795212114670612,0.0011201235516942187,0.0011622798851984584,0.0008399644401577699,0.00017895763839792522,4.839081106178256e-05,3.1187109672092816e-05,6.3436989388154785e-06,7.343730471953691e-06,7.587938137820771e-06,2.642678353037553e-06,6.831744949753471e-07,7.892242626428292e-05,0.0001853471984916144,1.0030103043678906e-06,1.487068845840156e-08,8.107449503302888e-06,7.456121668969473e-07,1.8770053120675811e-06,3.852196750475656e-07,4.409531760107832e-05,6.568745215984606e-06,6.0087399766706184e-05,1.3789601175817623e-05
