,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25C,26H,27C,28H,29C,30H,31C,32H,33C,34H,35C,36O,37O,38H
1N,0.0,1.0210986777071969,1.0235690851032915,1.473840922781371,2.100875075720927,2.4619047101296947,2.5883119755996056,2.684485432057685,3.894607287158011,4.605939787719951,4.300774901202042,4.479029164003166,4.560705225923032,5.239994250700627,2.484318201719293,2.7435459339360535,3.68698994050087,3.9422104786309546,4.897420107236289,4.8139734164404455,5.890580373350055,6.185552072652674,6.830716762851559,5.726991760178807,6.443528344604927,7.015851973379017,5.328784509940889,5.066063565499896,6.775591274520452,7.54839114758385,5.72238345271676,5.785067530601085,6.444663142481188,7.011064553432475,5.857194496721376,7.060202409109175,5.494493571996563,6.398430727963091
2H,0.0,0.0,1.6038384665807905,2.0307741240095067,2.240854536310072,3.3054577531244713,3.381243702206002,3.665650147167954,4.615465727191788,5.411635578200521,5.009037433529362,4.936248115239815,4.811826210627558,5.681310521863689,2.805475869501517,2.9739711521965133,3.930780440730368,4.202158436350546,5.027902811405244,4.838217026469036,5.847937507553705,6.234157569575768,6.780601914552155,5.431354351970316,5.997979199111261,6.630917687078235,4.969241292701359,4.866746063364972,6.145909923386864,6.8649059653670115,5.14275110566548,5.185590649727953,5.745671212832742,6.214300160389615,6.179319038904921,7.343629348667461,6.013255710061985,6.95670593793781
3H,0.0,0.0,0.0,2.0055194320286787,2.865390221351804,2.8992771193757054,3.243458248359746,2.7634920937190297,4.312527100843478,5.009912813500979,4.50829754382628,5.113647783284128,5.14839172188302,5.980765697979369,2.4248080720336747,2.2276722599472745,3.7637282538231935,4.2594543691398865,4.795905632445006,4.545150515165486,5.966426596913916,6.379838888553011,6.80611875649104,5.9247298218133535,6.531615309661723,6.96050840531537,5.760204399512782,5.6009790543414635,6.950905429114365,7.645210076628145,6.228245863952409,6.436567884016799,6.812000912838109,7.417578466547527,5.6274113154354195,6.829848650267309,5.163478000132644,6.031595175642485
4C,0.0,0.0,0.0,0.0,1.0952301028541414,1.5490811013255577,2.12275550374674,2.1631118894462653,2.6490294547772346,3.5467888900704065,2.9827785529857853,3.158214911192753,3.162685080905198,4.090095109093313,1.5500659431540786,2.4363125402643586,2.4419363242990486,2.5235367488425378,3.807013330699416,4.006577240679046,4.744680734488944,4.884686325652783,5.734993451669938,4.775704979460181,5.726951730235069,6.314522934263624,4.383664948282515,3.9445304228692626,6.263210011511478,7.159043167288567,5.060360623509142,5.1903222692242466,5.9707355736619965,6.6974193724774755,4.735589534270169,5.9189019784898225,4.455404009583537,5.3722995173253905
5H,0.0,0.0,0.0,0.0,0.0,2.1449061197667603,2.434472287866898,3.0479205025751335,2.8552831997765766,3.795885794897792,3.331180467659085,2.7782497026741138,2.5917403699086243,3.6128312857819047,2.1447374103565853,3.165477236006623,2.5979337004122116,2.3482906432729838,3.952474179400797,4.265475174381162,4.543301053980744,4.585939456877088,5.605465346025857,4.338564531174197,5.349923055814961,6.088939356900625,3.66497834416767,3.148298672497589,5.755075039695068,6.710346734046991,4.22997290349321,4.22478679881128,5.2689832007673605,5.954556333500031,5.067019671572136,6.174162466400018,5.030111086284942,5.95861443764181
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0968530779873242,1.1012907496899749,1.5452393824463873,2.1501690903854045,2.1743265386307815,2.6000330823131366,3.1973394128032373,3.3659937383282577,2.6005008159491108,3.4827610451491866,3.1524544879388827,2.9646124838337236,4.535643910197936,4.954823856093033,5.525822509538645,5.419556624441141,6.494032503098183,5.8432274332061285,6.951322555932637,7.4992342281758075,5.432073922756238,4.75512869406124,7.605596472482437,8.5499164598824,6.2447698847840165,6.2825466284458065,7.294088517530702,8.050314559489411,5.071335343765529,6.219554149900042,4.4957238140955775,5.26406115576323
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7592782810873877,2.1657056836220523,2.4242792358016074,3.0673240228085623,2.8839239248079243,3.675116739569271,3.27481780401482,3.496844965779535,4.334215638128137,4.104138200257585,3.7967267379432603,5.525148997680016,5.92512090205393,6.404332535404227,6.25485795390091,7.417506659114169,6.560659998696861,7.658728810315203,8.297230542488366,5.9566592256619275,5.2364597382160305,8.170138846567871,9.119487767311831,6.598867416554358,6.461652264482156,7.694373590291089,8.347656559605017,6.143017948637566,7.282272567728517,5.590177403548035,6.344084998992542
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1773111806282164,2.49334199594698,2.471880557074826,3.5406999462560305,4.139388385036796,4.295367262017099,2.861418643189462,3.418686900922732,3.5878129013393947,3.651568256496507,4.827587029732539,5.126421119478862,6.029412627695871,6.011073484789168,6.9063096859112205,6.484041534690662,7.515782341946393,7.9441128684426445,6.253099630470415,5.65757195167027,8.240877070886567,9.129268084992443,7.105735363046406,7.228993822151259,8.058899354407224,8.833874360556047,5.136980096832219,6.295352734543457,4.311205469159996,4.994154374242708
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965478017580739,1.0973833263123562,1.5594177898049877,2.406348689887944,2.4069950256067294,3.2244953294475764,4.289152794776993,3.1162221434390687,2.571025234780529,4.366308130517298,5.085847904129323,5.1506607957267425,4.7620449095637785,6.081658363190147,5.70949387483142,6.984018806851714,7.5127387024693855,5.319385514451496,4.4613020912067185,7.784215207443158,8.796248949617896,6.330920073004587,6.3865264071105665,7.501395682697387,8.345852047638347,4.655668476593222,5.652156981324611,4.158523401268618,4.796521737088268
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7723890485155491,2.1675421603955725,3.274511418766001,2.515962323271864,4.227517218157217,5.20635012689539,4.174416629908239,3.6358865587299736,5.3644277980252975,6.093662581595414,6.155818539397227,5.691579815202289,7.0465119252329815,6.774318851889246,8.065551644196704,8.581072121041736,6.358888916066111,5.451916270386851,8.870077920668232,9.887842584181675,7.35059853400219,7.335669835403127,8.555263288678384,9.379418799316099,5.468277142836684,6.399900689160618,4.819111729335328,5.311781292845028
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.188393032005359,2.604870647873445,3.2032543980746206,3.0023893811331366,3.9738378912395236,2.649029398816244,2.285381845946564,3.672216244591487,4.445983129879303,4.56638649151989,4.199189308607101,5.388029125455808,5.376567749094117,6.631882831190582,7.0243272859834756,5.2516677578112185,4.482800071870819,7.589678589661823,8.572030053161317,6.41608709190836,6.646242970030921,7.49894222961693,8.428038451925493,3.6975420122680496,4.657355681082528,3.1370953729478277,3.723234344176798
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2892627760060338,1.239296930398596,3.781051702373519,4.9995069934054746,3.3445196462684152,2.4063426987506937,4.53513699139094,5.376265582775376,4.85124921072962,4.2717647711223945,5.847778879098359,5.189177421207388,6.539552820026027,7.217825396867479,4.521436761854974,3.508122554019303,7.220789822895159,8.288285924380277,5.457571928551848,5.369096774375875,6.7572115421314765,7.558393260080419,5.079153583521964,5.948552953072332,4.975212155893978,5.64580179950955
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2614579608452057,3.395076675407467,4.620016302400014,2.6482427021667845,1.5902768775084248,3.666765400630693,4.541140548742688,3.7106664378299175,3.130188542300329,4.731503349497283,3.9560426892487723,5.325020099933707,6.028777527798417,3.2958535939754317,2.276137835524102,6.025345298644306,7.100953819190107,4.333052647080051,4.3777009668911875,5.614881737727658,6.472728843036844,4.4276134792776345,5.231752883009428,4.652654382285352,5.388523902475102
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.935063652879248,6.144317958180527,4.571463433644394,3.6127677051903575,5.751774101490585,6.599521385110654,5.948002441030451,5.2803249918352915,6.936733843360503,6.1853159217590115,7.534122742336794,8.278583560183048,5.351070540675612,4.289485757399187,8.106138903969088,9.185264059065343,6.127971265075803,5.843736334240559,7.490147375298736,8.198938219491199,6.271750878361612,7.083967022485361,6.143424973521663,6.755561154583291
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2385561384231565,1.3525026775557294,2.070213376294991,2.4445434907007058,2.502037978225244,3.626872442763535,3.9946347443404875,4.4930293561932615,3.882587906657579,4.73952569675344,5.131331533445821,3.9510051804132194,3.746677748051058,5.508602799260328,6.347740603740866,4.842371967153994,5.290067621756508,5.556214949858295,6.420640427291968,3.4000513950876194,4.589458825274114,3.262380392093979,4.2285909844364555
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.290733035195262,3.2130393628410547,2.8254231776667718,2.3924190338859885,4.14991415814173,4.74938940563946,4.821453692717665,4.383107335619813,4.931953326497093,5.136550974588624,4.698674753499016,4.719454474159751,5.676979903064303,6.355328925781248,5.471275292491115,6.023861597593293,5.922558615089636,6.742537159569241,3.6338714384585713,4.781711324792655,3.4146292201638304,4.323151526283098
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0660254464565722,1.4399481613330904,2.053440229780354,2.4638571701392014,2.679897574349358,3.3839210367953965,3.030316778328622,4.11760538362648,4.498424730831284,3.23520390770181,2.940746227519472,5.093568776481119,6.01406695928266,4.405989545740952,4.952052335878257,5.216399033225149,6.198717555642628,2.4880252878163724,3.590923097969942,2.735225493535608,3.6766089112937874
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1778431633447317,2.9993904941732272,2.670039792254088,2.474513489767408,3.6923199501428017,3.1520508626962678,4.438151140459852,4.973744016165538,2.9917374269742796,2.36197004965931,5.333124451384003,6.343011069516556,4.201763958660957,4.582490499424226,5.239198939589805,6.201510872920592,3.076107797124954,4.0440699891683,3.340200929241533,4.192931758557196
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1007730767569588,1.5497854279255463,2.152415514408012,2.156407729777422,2.5654276510809035,3.4397866834358033,3.517286796745683,3.3743188607544634,3.4035733159721953,4.665441032824251,5.476187774081871,4.61222253114706,5.396422450806559,5.151436450045581,6.204849244312864,1.5345758283203945,2.4485555335877462,2.4100355784306,3.226916535767927
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.193317861678755,3.0742696706380275,2.548899000835083,2.8014469330872642,3.2583659935146594,3.173076354396801,3.747653001767605,4.019581054791372,4.4116512141626805,5.075157547495608,4.779122243323439,5.638100313698841,5.062435386614505,6.062601916373183,2.11150233644293,2.940845466068742,2.821045679083201,3.6225886981067092
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096929287490634,1.0943996400884597,1.5141983104133876,2.5306104600015416,2.7225710930440084,2.541172360971213,2.7493358000351757,3.821877906098853,4.686365348496114,3.822519679040547,4.689377407922402,4.330525394858812,5.418826095827953,2.515716946992177,2.8384097519916027,3.6975302330472677,4.349480660341489
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76185297064207,2.1482693092770018,3.3618420589357094,3.672677716496834,2.696683576793199,2.526605072464454,4.53574279207727,5.470863188817042,4.061716740164092,4.763044241812853,4.817667043943628,5.885572837168755,2.778927016331041,3.0114195922514746,3.854683999250211,4.427029889012036
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1570175628659856,2.6657675162981795,2.4446274493218443,3.4010426407257746,3.742166577797673,4.043759343360656,4.731007577460895,4.556449768208472,5.502212901162313,4.820108889809641,5.887804888482883,2.6278601994018316,2.4958033726000752,3.960353849413836,4.432255505106535
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4020251365295615,2.154943398833632,1.4054240186949667,2.1647357392840583,2.4370493766721366,3.4190311757988474,2.428765058347852,3.4096813330779545,2.816373369863241,3.9046727194204904,3.885083747686214,4.3041563440982324,4.950468045808725,5.708187505268498
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089216774929726,2.4150875023811627,3.4055476911991343,1.396649365195726,2.1563685985991863,2.780059019115023,3.8678982819532934,2.4172906882233804,3.405378885246031,4.683013300070498,4.963562434400606,5.7985778740105784,6.517560499849136
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4017941374373595,4.305583564404408,2.154707386497151,2.4779518736948907,3.869269134984697,4.9571098431671325,3.4025475879227502,4.302998692152949,4.512711078125956,4.610484538855728,5.686378554918935,6.303488130605565
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0895328469761034,2.7983453085177064,3.886729843032791,1.3970656131684038,2.149736519475363,2.428684278755322,3.414451490542652,4.758738408560655,5.330243107621038,5.633616380622872,6.458251770623499
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.887787639432395,4.976183509301983,2.15907308297914,2.4739585526407897,3.413656161075775,4.311017759503645,4.655821019703614,5.2976955331570625,5.383597369376295,6.196321122331363
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884124526585421,2.413379017005906,3.4010853393669747,1.396392703351475,2.1594738019662687,6.007189587973948,6.352103114717235,7.0497702146795485,7.820339386907124
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.403234691543982,4.305440716926436,2.160024290563135,2.4921328163549257,6.743392221789121,7.009477783774019,7.800294763752134,8.536058974191995
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878609660406653,1.3974869767167346,2.161518548835574,6.062512164515782,6.6388768889128125,6.911487035561134,7.768097410748686
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1582226880184265,2.490989839104276,6.833026019993906,7.470974019318085,7.577832499255966,8.452390127063161
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0883013167114217,6.6005520389955175,7.081496223025418,7.53959581746895,8.37709474019673
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.669578566874149,8.162150853665482,8.578666005935215,9.431580890851404
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2169163591637735,1.3518134134369197,1.8618460046385614
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2429957005643533,2.2450985575525126
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9758298891926362
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
