 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,C13,H14,C15,H16,H17,C18,H19,H20,C21,H22,H23,C24,O25,O26,H27
N1,0.0,2.0054263692381267,1.9767993245530515,3.1032587492529142,0.08935362933376911,0.19750556831282945,0.00823906507978367,0.03094968942363563,0.013328658933029258,0.23592151894667052,0.05362077346584014,0.033415799443960684,0.006709280104461035,0.00018916743611729903,0.0016044953368160308,0.0003329239902872816,7.412843276766168e-06,0.0008239918992324624,1.812494061670389e-05,4.407758002233919e-05,0.004834729399163976,0.000822055171133762,0.0003729704515962329,0.0007329914499658308,0.0001414538989844491,6.920980086058681e-05,6.19987027894453e-06
H2,0.0,0.0,0.02723044735226332,0.10691434248541964,0.007419553698909898,0.03359394496850954,0.0009113816441261857,0.0029308154324196867,0.0007154554815487213,0.007731098358803701,0.003340924874399742,0.0004168434130580323,0.00012465237797210094,3.3475084653122877e-06,1.905107725452826e-05,5.276940667098273e-06,7.400702675131043e-07,2.6143592336325128e-05,4.007908867009746e-07,7.277738305333514e-07,0.00010539597101200116,2.062682255155046e-05,1.5761978497286222e-05,2.883988889523792e-05,2.7436102428279874e-05,4.615096450555356e-06,8.248622878070933e-07
H3,0.0,0.0,0.0,0.10915097816109609,0.035682851703788376,0.009288308414256985,0.004819041665883761,0.0002251416723058064,0.00017103493331593889,0.020340488231968212,0.055029328033999736,0.0031605931207593363,0.00044764174810518753,4.022415318538641e-05,8.906858522261807e-05,2.7617957771841617e-06,3.5816455001835834e-07,0.0003950023652039558,2.2462552740076802e-06,1.0828584354971582e-05,0.001719520634527627,0.0002964368992306454,0.0001164399615156686,7.072516908535054e-05,2.8179123649829663e-05,6.527891967311739e-06,6.933974432410395e-07
C4,0.0,0.0,0.0,0.0,1.9946855518987445,2.784640781630127,0.08479669771005649,0.08631357278151186,0.09109786007029386,2.685560753405538,0.2803092479764039,0.20622022933531037,0.03494854813129708,0.0020777034321151078,0.0051629952542611435,0.0014344471038303386,3.7551545374991946e-05,0.005239360143133531,0.0001141395790349442,0.00034811325178174535,0.02997510166069825,0.006619845390447132,0.0027533713130474258,0.004651306967022373,0.001244448864931566,0.0008087003078282584,7.194757755346615e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08093890167594864,0.03470738742415014,0.003783375659329291,0.005331905007946114,0.0934953893987478,0.023487649407912037,0.007161731049351916,0.0012964196014062512,6.0771240207868615e-05,0.0005988652399273597,8.014765318753447e-05,3.274585528290075e-06,0.0019146371079954427,0.00023295083108143544,3.861854920073071e-05,0.018882765748730046,0.0035845840172492593,0.004360786216817125,0.00031730694818588034,1.811363954373757e-05,4.684241427743707e-05,7.055816015677507e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0441329130257775,2.1726128524676884,2.0935056223108384,0.2024321799484928,0.041308480672908376,0.024783420468539374,0.003061854424507432,0.00048225140358093554,0.000553462232425847,9.066854652972633e-05,1.186103834094343e-05,0.0007881845302857016,0.00010304759504697891,7.884731058049876e-05,0.00913278504528757,0.008695506604485925,0.0008820608191622004,0.0013369952749419378,0.0009650139562555754,0.0002764022780128439,4.815533723057097e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024201192831830642,0.02454399356837844,0.011109003276428497,0.005904559342894133,0.0012032227759721792,9.309191368900294e-05,3.7681242990306174e-06,3.0067352345231058e-05,8.083939347702795e-06,2.8877950211114722e-06,0.00010241600778337911,2.2515282086965627e-05,4.633446420987397e-06,0.0008490787501300723,0.00042860853412940436,0.00019972201934082,3.2722795140216476e-05,7.047352389455419e-05,8.511002106748045e-06,6.993877263994364e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025719956332374005,0.0073310964427988345,0.001235967985868891,0.0013258494841088542,0.00018498837937941381,3.6387829873696376e-05,0.00018311264306292152,2.8956715676597966e-05,3.2714134139411044e-06,0.00047615663930389296,5.631292943353294e-05,2.8978602849116797e-05,0.005185518938123357,0.009960161698489012,0.00021773461946139605,0.00027516718397579965,0.0013185182947300644,0.00012996845757795583,1.1561111568303417e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03142338949502288,0.006429771368061221,0.003914603534664884,0.0006625416717582766,9.651685143063915e-05,4.488617253994853e-05,8.31003675227926e-06,6.468102444756596e-07,6.61230284428882e-05,1.4802133714297838e-06,8.519125281214457e-06,0.00038600618731043923,0.0004292414761533081,5.9272430009915666e-05,0.000344020761671171,8.550269026319501e-05,8.92761901198913e-05,1.251364984855563e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000531467035916,3.416081456829912,0.2697799472609713,0.019055146388176514,0.03050178772842993,0.0035417164112534483,0.0002323951842111427,0.027673272785499997,0.0001696123947558803,0.0031332784366713273,0.23275325766661206,0.015229894625173435,0.02001610867968706,0.044977491445231305,0.009961201505744394,0.006422547085042862,0.0007439433888237756
