,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13C,14H,15C,16H,17H,18C,19H,20H,21C,22H,23H,24C,25O,26O,27H
1N,0.0,1.0206306385221753,1.021985298365357,1.4641188422469806,2.078877871246133,2.447785843867791,2.708325885224375,3.4152199374522185,2.669597808656615,2.490620301646804,2.8137499994384654,3.68277730262985,4.884133417946101,4.939291973226406,5.991054240938007,6.960396102751273,6.165369298399602,5.799084675749311,6.190058362698801,6.529864257272275,4.351120814137726,4.262582189021142,4.356855932721503,5.488874694497433,5.559036372424671,6.424295685322872,6.9486180114214715
2H,0.0,0.0,1.6168616156153632,2.039967735264983,2.3209444087849618,3.3357568328202727,3.6661976529124,4.198637574298279,3.576604428612011,2.74241907644783,3.028924631913759,3.7910644818440047,4.91639950357631,4.810856883605214,5.943912501447599,6.950886656410138,5.936635847089016,5.8871552256114965,6.439116002291777,6.541365770689081,4.459373061772421,4.575708298839123,4.257806339425649,5.749157791722558,6.010852067866799,6.603937572315967,7.237004861690965
3H,0.0,0.0,0.0,2.013754354230323,2.902027895917285,2.729759774693291,2.5719529170834803,3.7125262864759714,3.115927623427883,2.5497111397958148,2.4101995759063954,3.891503946139427,4.885853244375853,4.830920547061768,6.1741252709870365,7.06028254820024,6.413432113494361,6.161945856235808,6.476915049475052,7.00000832227105,4.8272953268122825,4.797055957716567,4.986516218998699,5.294389546138306,5.388184413873086,6.085948845865996,6.544815039285961
4C,0.0,0.0,0.0,0.0,1.0966096630447768,1.538478351061482,2.1688876851557937,2.1986758756761917,2.1657855726278887,1.5417193726671439,2.413344568934269,2.501751846171741,3.848902732477784,4.181217351944085,4.833837873283338,5.794330280397542,5.150025922795766,4.45655993692652,4.774093880559674,5.212494219979327,3.013171149554507,2.832518097390599,3.213086145014954,4.434183676507907,4.39300073528747,5.5460107648584644,6.061575777895406
5H,0.0,0.0,0.0,0.0,0.0,2.1621526756666123,3.0684949312812506,2.5355341771506756,2.489934716861159,2.17874493102564,3.257237251775828,2.6359355906917323,4.083364462950818,4.488440896170541,4.751268309401128,5.783147178401344,4.940540155766978,4.169288973420742,4.622453814123146,4.73216975670688,2.6334702534487935,2.426372031619632,2.529031729563782,4.905188842505848,4.897189105625731,6.083219364111878,6.670556637724557
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0960575411500844,1.0960131469419983,1.093994240300452,2.5031733698445615,3.194621416021956,3.29756462304328,4.540734520579755,5.085214824803247,5.5036953822919665,6.333824348177114,6.056365509513098,4.890464402882457,4.874104807974413,5.682287521090049,3.6104977779172946,3.007525194426987,4.092753748556724,4.676477901108084,4.230628876831173,5.85867556602474,6.152855128516875
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7685208376781716,1.7780403943425023,2.735948160044602,3.003808548969972,3.7152620661817117,4.735340798442208,5.184399530598897,5.8966671851226975,6.630501067863077,6.51892010005946,5.481166423667646,5.368684453066928,6.381278185872898,4.334478545044294,3.8413648494598687,4.927957082983271,4.597177639211695,4.104712161273677,5.63714984003887,5.813938726182377
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7867877116326052,2.757872705224903,3.5891813668748367,3.111514438366397,4.271337227299671,5.016553304815598,5.0372846589116325,5.787373384326729,5.712611009256077,4.2343276274744435,4.046858755256055,5.006159862570143,3.1459384591192388,2.35802824958324,3.8146778397464223,4.284186939182952,3.6603778383018724,5.5567795976263445,5.795496373607799
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.458671809913995,4.15391079420643,4.24487217362621,5.563239158646868,6.09626605942073,6.43673182093446,7.302812949256234,6.930731904798317,5.692313127231234,5.691654095947763,6.369839927790869,4.349015403296197,3.6236363415643194,4.665904421331294,5.758993309053404,5.2742224135060995,6.952083613311523,7.2355013595353235
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2315618770511039,1.3661459971914276,2.434543726897266,2.691189053717137,3.6579497869858084,4.544516624657338,4.035755189430843,3.6887937150869354,4.034292115221349,4.608295724021503,2.5492875598473415,2.8173852300550997,3.0005764696303743,3.056528935353091,3.297991891514373,4.075404526814909,4.67546192015838
