 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,H24,C25,O26,O27,H28
N1,0.0,1.8579397962424677,1.885478313310185,2.743217898202106,0.08346900241364519,0.1984773218944994,0.01582689044209129,0.008932210192949874,0.03531846800640523,0.0026877010234610532,0.0005527158592564252,0.0027120667153879147,0.0032485157938757225,0.0013538263764966418,0.21640905041072162,0.057160357913850185,0.03413879462386593,0.0022607066756926697,0.007317754671561094,0.00023435219213252534,0.0013127079716717532,0.000276500322522244,3.112452201625704e-05,4.520258151430312e-05,0.0008388207550755755,0.00014078704967093042,9.398193733167748e-05,1.3079675526550538e-05
H2,0.0,0.0,0.026154432227249114,0.10375111750423216,0.008529997436259373,0.0318505139502846,0.0006899971641671776,0.000992788342596418,0.004539442025559004,0.0008392981742000316,5.773246724904979e-05,0.00014671277919764414,0.00019320878079343018,0.00012533976767614696,0.007568415006421136,0.0050792415825859916,0.0005372658283007148,3.650915623198969e-05,0.00017602019554385784,4.804633253696622e-06,1.3289469296573486e-05,2.7737589531895424e-06,1.017047883467015e-06,6.554519027535122e-07,4.0248171118695275e-05,2.9313246979412177e-05,6.4138331367091794e-06,1.1999164746256952e-06
H3,0.0,0.0,0.0,0.10439861713861343,0.033977903579976765,0.007815650632031823,0.0001929796960313812,0.004717101414833724,0.0006559750766067518,7.709497836727586e-05,3.21133970999643e-05,0.0006926837390086593,0.0005337634732702767,0.00017079795767138695,0.025525059109107073,0.07247432219660688,0.004088915700751872,0.0003887362835692798,0.0005645331006465248,3.042206005687831e-05,0.00010679056399820475,1.2854977268217382e-05,4.206449379262622e-06,1.3904283471255496e-05,0.00013789818790710395,5.578697947694611e-05,1.6726772698816283e-05,3.0097092107439494e-07
C4,0.0,0.0,0.0,0.0,2.0599316403788785,2.5788779921477287,0.09330911721056334,0.08181555356640469,0.1475882901355176,0.028752969523184957,0.005099106904876249,0.019058046450284777,0.02986126607246535,0.005315767217001999,2.6140727943995254,0.27112939783471074,0.23067176439662998,0.014702564353684333,0.03756716798592061,0.002060683485351378,0.004209635973012993,0.0014366877894764762,0.00012957722597506383,0.00015814809649850048,0.0064097235841877875,0.001408937586402828,0.0009777503614099015,7.816680949090937e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08193761328127525,0.006050111327323249,0.035127929643437694,0.005591166144863324,0.0003609838294416079,2.001085880554143e-05,0.011349476125345648,0.03106264343172227,0.0018171403404247943,0.09597246936723103,0.023398338598689672,0.012234050900262528,0.004855320429213439,0.0015625474471485656,8.840825260847396e-05,7.489204494981472e-05,4.500057494860599e-06,1.0565397484452177e-05,1.518633075225928e-05,0.000636792912118489,4.0951009130263394e-05,9.419841856161959e-05,2.0249533458249758e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.953114935669147,2.138937455229025,2.556885154077791,0.10030092743148766,0.08575698228479411,0.15965966931845338,0.0290634672802519,0.03791641515500839,0.1749819590676722,0.03344113220422819,0.028265811995804718,0.0007254125917378618,0.003152686760599349,0.0007265169983554642,0.0003215944579461477,4.76021936262061e-05,3.509711211968636e-05,2.290259353432411e-05,0.0014498985298285194,0.00076580269132763,0.0002359920681357236,3.4830660092133314e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021803464823975105,0.0825490387627612,0.006335871489783873,0.03421030481115239,0.006427802321317788,0.0007817405401679967,0.003934043840672308,0.029997288772371178,0.005109603910174787,0.003504001830916259,6.500856954883005e-05,0.0005360211311031815,9.153068859424351e-05,6.0740512577206474e-05,2.3939568212005824e-05,2.8957532147710907e-06,1.593181331016602e-05,0.00031299930355110916,0.00018163651424485394,4.574199147966418e-05,3.9689215669547195e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0848135831169956,0.004102510805075399,0.00591056499653031,0.029543625977838994,0.003224177749791446,0.005025663772924682,0.008355881341576055,0.002857124076994122,0.0008652945364036047,3.670835095292979e-05,0.00014755396996779524,1.3879796702198632e-05,1.4713384811404495e-05,4.279539044027558e-06,4.399051209968974e-07,2.237339478350364e-06,3.916495454703295e-05,5.698807362819469e-05,1.021067346629323e-05,6.86929069404485e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7427466089253023,1.8405574225114651,2.7388375708766866,0.2687846632585278,0.30025446044514764,0.014805326474205405,0.0034285316857208814,0.01863731637682245,0.009698646376919973,0.0016019431637470938,0.0006940025813326756,0.00018353716852322066,1.1559826290863384e-05,5.454548318040153e-05,8.660986590935948e-05,0.0016591422458889504,0.007134205193507048,0.0007362085668001783,0.00015570399587305772
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02497698061702347,0.0837283997274787,0.023563729047740067,0.021002211291736073,0.0019332281688646535,0.0008768775440808341,0.001125691579916488,0.0007016109855315644,0.00012640245457129495,4.4297354108824294e-05,2.1049986241861163e-05,4.472397687083074e-06,5.106436699264805e-06,1.4579606870235295e-05,8.301441853464375e-05,0.00014458550643758894,1.1826967060590832e-05,1.0450587661248179e-05
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08053813168341817,0.012062241398198448,0.02781070309342404,0.005821371909930928,0.0006367174200347936,0.015242659958191629,0.004338331474238233,0.0013175636037530136,0.0007106529751639279,0.00010633349221311761,1.2306092285196968e-06,5.950931849940666e-05,0.00020873175504942942,0.004160709925056905,0.024339215280642645,0.0018274385956340566,0.0001214813006547022
