,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24H,25C,26O,27O,28H
1N,0.0,1.0220602666088179,1.0236974291890464,1.4736719665357962,2.1002349909420728,2.461131375438344,2.613974659830887,2.667510292171083,3.8875036998515338,4.608916056752367,4.261739557984979,4.498180179506405,4.54590193844607,5.307530748062947,2.4883904223632363,2.787661165490606,3.6671164743570888,3.937766026885755,4.878857929431554,5.000648897416704,6.085097290319339,7.001786473870925,6.129501551791505,6.273343490666247,5.40629916506299,5.487270454483072,6.327608320818588,6.805677647284439
2H,0.0,0.0,1.6039474581587374,2.0303986440586517,2.304352937541983,3.332982965991895,3.48896298542617,3.636749635944042,4.63526513266972,5.455289306233505,4.949814436982753,5.023473212751369,4.837533956406746,5.858736060413363,2.7253859552719657,2.9409628109874126,3.8037629286822563,4.145214033331801,4.930640964743713,4.85962944382036,6.107983359378536,6.995274637558987,6.013380250002636,6.44303929309078,5.656152592749354,5.940938237892383,6.4637573115972655,7.046086525007421
3H,0.0,0.0,0.0,2.0055373459839303,2.895562954411954,2.790976635011088,3.143399667527702,2.5970821820464773,4.209551337096837,4.878040535334671,4.39102776848824,5.077577192594729,5.142408283545258,5.965927552316422,2.4946867014266116,2.340465819748652,3.8243259965842786,4.3087977696097335,4.8401167942202505,4.892409195540447,6.20005474787281,7.020885454837064,6.386167967729389,6.441003958850983,5.124263550299962,5.182103926506132,5.9187352799067465,6.308354318812261
4C,0.0,0.0,0.0,0.0,1.0946303575150667,1.5471278652186833,2.13055831025003,2.1573518680898576,2.63476164563004,3.5383065091538617,2.945051328778171,3.165433938764797,3.1477649071733262,4.131546029099968,1.544166801244932,2.437078999250301,2.4402819266684106,2.5325624251836074,3.793168700263404,4.166987454021569,4.849438572831649,5.828735276123478,4.937348163293699,4.906528835677514,4.39714415388308,4.4240754388925385,5.502114001363395,6.010268555510898
5H,0.0,0.0,0.0,0.0,0.0,2.148047673356133,2.4374199143170374,3.0466268640498195,2.8613173425832494,3.8110105429121197,3.31512197783249,2.80768201050589,2.5773478404976298,3.6874107110192402,2.1534753875252646,3.2227584515452343,2.560236249060032,2.3182129468031305,3.9803656698494687,4.358093663898345,4.7636067654762435,5.810522999849527,4.627317473751073,4.80065452310287,4.878973656564147,5.0089681479880666,6.012438043666984,6.620980519141362
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0973868192814138,1.1016469818739862,1.5444516895821998,2.149586820920739,2.170576792185825,2.6022396917756074,3.191321433305173,3.381924361009233,2.5626694008415782,3.3684155684377006,3.2053205910669575,3.0271411010574987,4.483845520290119,5.120521528645193,5.404060199963727,6.378395528896587,5.668745782844171,5.161811822730756,4.727543014392959,4.346151090465411,5.9625954743829785,6.277244720898999
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7632242959915736,2.1725535579988846,2.4431527223751632,3.071415015620212,2.8811470520257623,3.646732161007074,3.2968220169790956,3.4761375394393075,4.266819471542739,4.137249386490302,3.8314785935210556,5.486286556191499,6.084748255963677,6.3356670821188565,7.349554598763888,6.490559688316051,6.062700322067288,5.816581219469039,5.431595586694135,7.049835567181695,7.371576582450117
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174160192134207,2.4821054871429773,2.4706949739873703,3.5409114829104267,4.144342925663602,4.298494981103367,2.819069901513338,3.2448328659229086,3.6687890300616957,3.7389041237420044,4.754745005809446,5.343022880182321,5.842742485469166,6.718436672938716,6.259690157633551,5.637452023052526,4.677719505166877,4.163411238384531,5.812056591343308,5.984722310586915
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965115222607997,1.0970597394482378,1.5595490196432942,2.413760323673981,2.404205881365202,3.142849698062106,4.109690805731858,3.1534904476113192,2.6344759859768465,4.2644296057366615,5.151173310651851,4.815065705570032,5.776860797207266,5.161465415566143,4.28904391291148,4.438013096711295,3.8821098799246148,5.784977059415119,6.056398818855803
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771770323043757,2.1658135959991274,3.2813880845555126,2.501841995428294,4.140673301235029,4.995130482991166,4.213605142926567,3.6982646752697543,5.236027135355241,6.156188070181037,5.7312509211170175,6.640295889063342,6.137778368523108,5.093085923839668,5.21208218398842,4.460993854347837,6.537983740433117,6.681239593578846
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1905573238471177,2.6298776568865487,3.194844559787553,2.8807957315723596,3.7220917078914475,2.688063228273507,2.3652052734149667,3.517129953152935,4.479207818164309,4.081057500703156,4.948802663427418,4.618732339096185,3.5412492733128347,3.4662654696134667,2.8222423051562804,4.812181824802021,5.033164000711333
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2870108159270115,1.2419907134445605,3.740204841422268,4.91675924614728,3.353379669060471,2.424424496800246,4.497279923867567,5.3819060978714495,4.639484826602986,5.6757237717966955,4.703215274746607,4.038248344442829,5.07445992543829,4.7499594357672885,6.426172333697496,6.851974008078717
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2590679812236623,3.3724877615507487,4.5946341651677844,2.64365549352018,1.5788537391421973,3.7027670995845634,4.5175815562226935,3.6608935625254753,4.730528241634966,3.538384600074935,3.1953532040254466,4.594331406737864,4.565978097070952,5.873382333419394,6.445698361132253
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9168076167877,6.085137241918591,4.585428684679787,3.628222787354275,5.718728076908517,6.60551642239412,5.739007984697278,6.754991797299033,5.734162883180976,5.051416891284392,6.2715577507441,5.865659292099584,7.62833284160454,8.01707509910787
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2413234486594844,1.3501164178203577,2.072633193286167,2.4150957110051814,2.7111694600936076,3.7105982821086236,4.568342548901029,3.9651826478544727,3.975119878677226,3.000126631818833,3.28696062527751,4.0066020859425775,4.584638858968824
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2836255641250904,3.2113323577592516,2.7621987589967585,2.718010076651934,4.266747010534453,4.914873088399448,4.639936430998886,4.692426965893048,2.9605635988103938,3.349013753351153,3.625362615592412,4.128418909049942
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0746560065680113,1.4398825612777704,2.0905606630622033,2.4336824738316025,3.3890256999512363,2.6848060784906,2.677248913848389,2.4695772868515524,2.9172897637608313,3.5946306914831765,4.287372841424005
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2038027559878794,2.989615836856758,2.5943725117307213,3.6713449433929766,2.669414425230571,2.485394882996594,3.202031726459697,3.416482933216701,4.427488766134062,5.070957577328855
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09759176168237,1.5387163867208655,2.185368699993929,2.1662200545228214,2.172984040128117,1.5320918811487771,2.460586305745964,2.391984578657005,3.2125432847406272
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1709122039658344,2.5174227443026163,2.504739594970458,3.0773181971688017,2.11683277460413,3.2376897304611325,2.4067584220877163,3.348961429647569
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09579737314486,1.094655498081219,1.0946738546174763,2.498166265841158,3.2404199568598417,3.1734426326404104,3.9415599444870844
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7832230952137516,1.7875604805956646,2.7180145056642715,3.551197950510403,2.9381397444774584,3.6670913159969003
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7690782153296958,3.451724512958326,4.229735293218828,4.08211597501495,4.925385030123773
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.776614916349718,3.113472381962022,3.6903133365312795,4.276290919762881
