 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,C29,H30,C31,N32,H33,C34,C35,H36,C37,H38,C39,H40,C41,H42,C43,O44,O45,H46
N1,0.0,1.9105151957261057,1.8147797755945576,3.008478565947349,0.08563716916761088,0.19606473785707804,0.020328795804474664,0.032755953138343744,0.0032224556207058885,0.0006604965873944213,0.024471581960545344,0.002203009645397991,0.012156839932381702,0.0006611237978764173,0.003422192488738124,0.0010205980086350763,0.00010587269454265247,0.00029900784780689804,0.23420780273927502,0.05585028736525103,0.03690761126816397,0.002144640026348732,0.006929015873038,0.0005153078013652168,0.000962767440764345,0.00022489243239320889,8.324299629247633e-05,6.409055976558387e-05,9.517788275634209e-05,0.00013270496365347384,1.337377895209435e-05,1.4412460343768418e-05,3.2760194368375295e-07,6.8986061182441105e-06,5.913221682946057e-06,1.16935659266737e-06,9.325637884277649e-07,2.8828637255173817e-08,1.3096784120120164e-06,2.2977714397853788e-08,2.4561413374396546e-06,4.240799889032587e-08,0.0008463995111056555,0.00010938367317389619,0.000268737875578004,7.494283520281808e-05
H2,0.0,0.0,0.02775066386294367,0.10749756203507166,0.009452850226723042,0.029699711470629553,0.0006822803597787974,0.003498894217986659,0.0009958321090008937,5.7831663061724825e-05,0.002906059242456571,3.331466549250095e-05,0.0008168281882297013,8.979894302862945e-05,0.00021781872148451953,4.8633590649327374e-05,3.5874995412132904e-06,6.485670804146082e-05,0.0065253387418399145,0.0022696907467731897,0.00039669143876974733,2.940701811060542e-05,0.00015428155012298106,1.5337544828186722e-05,1.879006903326985e-05,1.9775044683978393e-06,3.758717294743974e-06,1.7914625166315368e-05,5.242286775020144e-05,7.415523622289477e-05,4.524878970513235e-06,1.0004465394564122e-05,2.86427551010604e-07,4.470338865525392e-06,1.2077812785449282e-06,1.6137454039721888e-08,1.1264105117536616e-06,3.553033423031593e-10,2.98544666432754e-07,3.869403331080434e-08,6.452987044713865e-07,5.1033591796922906e-08,1.349422402996403e-05,2.4510271591227095e-06,4.509057656254534e-06,1.1365079886083151e-06
H3,0.0,0.0,0.0,0.10431300220507955,0.03192874320871675,0.005165741129745549,0.00014703383218828137,0.0005021201021155886,0.00021243636877743555,2.631095278715634e-05,0.00883403037894448,0.0005321645000919695,0.008792261130671886,4.766686458101965e-05,0.0007963078842573301,0.000431144187151844,8.675942146929572e-06,0.00014569140794384872,0.025214658662058076,0.06200359183120041,0.004208821539198326,0.00046086754806418107,0.0005219142910348751,6.25414164741045e-05,5.330588131557956e-05,5.428741049584573e-06,2.292170474094135e-05,5.605294833954666e-06,3.32921116508178e-06,2.4225722581316944e-06,2.649643709329297e-06,7.715434250377129e-07,2.1993754151239386e-08,6.581892789681021e-07,4.2166917868513565e-07,7.634572529724437e-08,1.5858017221592746e-07,2.319113923121563e-08,1.6984215900350819e-07,1.6166825655972161e-09,2.0252009846899455e-07,6.91421808696191e-10,7.4025936682931e-05,4.343638461878907e-05,1.0599296054736307e-05,2.911732167820702e-06
C4,0.0,0.0,0.0,0.0,1.8768590768962903,2.464232260562337,0.09382021756115666,0.14892056178979982,0.028993907546791764,0.007146308015616665,0.15447168835767766,0.03143118687329505,0.006587162485226061,0.007246773178920085,0.020493165303362815,0.0076167302696450445,0.0005786671019001322,0.0025063648796008753,2.6804223992135263,0.2728264259489735,0.22694014727297285,0.012777890782864065,0.03510247582317508,0.003926975201311023,0.0033657736172875707,0.0007227377504246402,0.0009678591003416948,0.0002709264304542325,0.00020735404989130624,8.482599560921678e-05,5.133190737596771e-05,3.292560720061233e-05,8.575082057760142e-07,2.108770011582939e-05,1.6863140885892136e-05,5.566047754479442e-06,3.43635488495031e-06,2.2794574938700407e-07,4.9615332174679505e-06,9.798030831120741e-08,6.59797980211152e-06,1.0197411981494042e-07,0.003973778365684855,0.00044500948184468536,0.001141173004126847,0.00023812504966191916
H5,0.0,0.0,0.0,0.0,0.0,0.08465380125532751,0.00488219675903645,0.007485703043215608,0.0009808844298204722,0.00010496213701527424,0.02723025783907662,0.001019413790221746,0.0006959874438996483,0.000375242290635569,0.013042426768739013,0.012706806669007698,7.792278456575374e-05,0.0008683189731415464,0.09549844823634768,0.024132685738832538,0.011407496250824822,0.006101380177848448,0.0016774113467930007,0.00032558392102699507,0.00014898512493100036,5.8886515164058295e-06,8.017501623291956e-05,4.3012469430392386e-05,0.00011360567654361553,6.905782584532005e-05,1.1243399610005866e-05,9.143262488464643e-06,4.444125487612638e-07,1.2288717262221027e-05,3.676000415397951e-06,7.564129989034996e-08,1.4230310070306729e-06,7.63943599491057e-08,9.129063900381595e-07,7.266280843687412e-08,4.403842461919716e-06,4.9507959287709014e-08,0.00011518404006682914,0.00014030575650758603,4.5324878350072595e-05,1.4051923883595663e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.943304268405142,2.7942456010671313,0.09314465925687387,0.08286357624483043,2.7593812483315143,0.09049275406089619,0.08670771318694093,0.08375917622420914,0.15743190038642202,0.00520766337426104,0.010061044006607123,0.028249812511492944,0.1708279227284824,0.03370660330276165,0.025532187042479115,0.0006609613039658679,0.0030898384867793782,0.00029996530310927305,0.0008632709445587916,5.6098744046773064e-05,0.00013927166068472552,5.851241842461108e-05,7.525911097278071e-05,1.700146514660439e-05,1.02295762960114e-05,1.4576281125833201e-05,3.545372736502017e-07,3.6621966661987138e-06,2.9012447372578354e-06,7.471067458020286e-07,9.604290092113388e-07,1.0195746713570486e-07,1.7469875824294157e-06,8.812221841125734e-09,8.845856521028095e-07,2.259155995609774e-08,0.0006580672642593766,0.00018578995195166204,0.00018706955456676555,5.4659095377385114e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08468395774946558,0.003814445015267287,0.03608118361495771,0.08476044153013518,0.004552772532480542,0.005080817134660354,0.035037145318234986,0.010647099944705696,0.0001223557523946095,0.005560424455841151,0.0004951024127897163,0.029806673281642437,0.004292244349126673,0.003438833803328656,6.195075655623938e-05,0.0006888026420994731,9.588783239267151e-05,6.352446833957082e-05,4.5125886161123674e-07,3.3791370264157905e-06,8.290673334743204e-06,4.094562672030122e-06,2.9933184957364745e-06,1.9072078369930523e-06,1.7900548998639465e-06,3.42307016065746e-08,2.7773896826843725e-07,1.7055522394393563e-07,1.0461176369602754e-09,9.831803327031707e-08,8.151488151142416e-09,3.6609319598035484e-07,9.673271073040723e-10,6.166710941890585e-08,1.998510690270905e-09,0.0001989820657364305,6.21727960347096e-05,4.576981209225561e-05,9.828652631993506e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8092901619137822,1.9765676325859822,0.1749927748773844,0.011778396359603649,0.030400370899567042,0.008237768862899841,2.757792459553173,0.08325427645885819,0.08316926944624403,0.0914679680001329,0.013741878755646031,0.0030926705343202326,0.015299396540606691,0.004036883450854845,0.0011132109866402728,0.0001281056190668428,0.0006527120318077367,0.00010607227809877884,2.3063358457697802e-05,6.286543953243351e-05,5.211713989913824e-05,1.8635908635822318e-05,6.562565308926294e-06,7.021991434028041e-06,9.671075895667514e-08,3.7375582238041716e-06,2.853869243035767e-06,4.053822519889394e-07,5.735672436169015e-07,4.91187179818553e-09,7.663930719492562e-07,4.271024645063903e-09,1.6558565522489799e-06,4.223722838148092e-08,0.0006173278718856201,0.00149569848590754,0.0001614948598467475,1.6823262853460363e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022906031167041263,0.015312340207053188,0.007439367231274474,0.001003168142407862,0.00022308148326799504,0.08814013367900464,0.03401886796039544,0.004203999414153614,0.005845281832751015,0.0017203025026182317,0.0006935226035227338,0.000689219583966505,0.0001330161552890452,0.00010160540517234473,1.1938706357073059e-05,3.5997134212983894e-05,1.471066869229709e-05,2.576427817313487e-06,3.031355467975061e-06,5.890992675450235e-06,2.4684108066441723e-06,3.0621290814103475e-07,8.024331410450003e-07,6.3697984664656815e-09,1.4141793291955196e-07,1.6852578132997564e-07,3.849284024859401e-08,3.4279360683342475e-08,3.3318747760802125e-10,5.701385186185348e-08,1.1851852832478471e-11,4.083202909122008e-08,3.933971370884137e-09,3.462707550450084e-05,2.257308426301119e-05,1.7746307120480864e-06,1.4985739427153533e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007172832194157763,0.00015713770442826736,0.0002640747894262496,0.003405823792755447,0.08358375300593801,0.005274157282025849,0.034463357335344336,0.003785416201663505,0.0062313891127392385,0.0009017487403866209,0.01803087448497842,0.002855771786349992,0.0010128810369960384,0.00014707132688407398,0.0006547992588372686,3.31085706473111e-05,2.6631730626336392e-05,8.808200962073798e-05,2.1348655901753943e-05,9.36137335494358e-06,3.747336935422396e-06,2.713518716834784e-06,9.631301245427437e-08,4.130677094815738e-06,1.299272889498937e-06,3.022906500671496e-07,4.6275522258554247e-07,7.92553578321531e-10,2.7677944025583656e-07,2.5658508207015984e-08,1.3283755673221265e-06,3.319394537015796e-08,0.0014504741062664195,0.003829591025247714,0.0004888389654937875,9.939895577071312e-06
