,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29C,30H,31C,32N,33H,34C,35C,36H,37C,38H,39C,40H,41C,42H,43C,44O,45O,46H
1N,0.0,1.0201209641314768,1.0212264962560413,1.4671683967671303,2.0788784816349675,2.472929622633495,2.5650117150928993,3.862255880206985,4.612670713886681,4.253690791611494,3.0204022517805225,3.9739517735714283,2.6820338788659686,3.4914907764500036,4.439902791681608,4.237867586501889,4.4962190109678835,5.507552040547704,2.4812564742256082,2.8098870134450844,3.6554777188957766,3.96125512952682,4.901817779708015,5.024594923669068,5.4524936517423335,6.412835405604545,4.9015725241124315,5.914512485909913,5.463273139091494,4.597755398918728,7.2752225552553735,6.594846757181109,6.820878451774559,7.609083259553632,8.41083641411857,8.467854176191006,8.942587119026271,9.368451076447922,9.615920894372291,10.512373091717015,9.85086065934418,10.88487744822057,6.0351706673591,6.143276540049448,7.197921041850207,7.895319091424172
2H,0.0,0.0,1.6156653324509094,2.0407554645699295,2.2722186826130133,3.345058852540492,3.418668462452164,4.592896408931008,5.443964213684491,4.915978934399536,4.006078228381988,4.9817927634228925,3.6683776359150806,4.374932956538931,4.951052976529003,4.539618088557836,5.009064848186906,6.013104968174167,2.774296253333265,3.0869115471142945,3.789551746670231,4.100451802490197,4.985158981262783,5.243311348652535,5.259134056804956,6.258818003512516,4.6425643120562965,5.538602031118832,4.910361571648019,3.9450874567073786,6.89667548369031,5.99080786236281,6.1317392659927155,7.103839521665402,8.12013732818863,8.274287557280015,8.429394208816971,8.790973571810344,9.283913973737175,10.229897257718882,9.41975702060352,10.443123901568692,6.177505367803535,6.322634811880964,7.331236822840075,8.048783843376361
3H,0.0,0.0,0.0,2.018694028935849,2.8898012071724013,2.83900054828065,3.122882179025241,4.273177378479711,4.9396806325294165,4.509799233612132,2.8637097994715335,3.872328995114654,2.3095984449723845,3.1457835089852257,5.10912927412796,4.97327656153359,5.267973874968616,6.132114597625761,2.5028490359158346,2.3600052884765295,3.834449739941324,4.356520402633963,4.880511901550319,4.797457642718653,5.38972122734626,6.248836459659817,4.7167762367658606,6.070494481116286,5.778977250491082,4.949014787323448,7.483426072186991,7.015365670826564,7.330335840711394,7.961322621893181,8.548512826414813,8.497558671176247,9.333858830162631,9.836403640549149,9.820732397019452,10.673941445590657,10.16899216268088,11.229280518459706,6.139429801499639,6.420854562739183,7.185289303141013,7.95505577231503
4C,0.0,0.0,0.0,0.0,1.0967883192611478,1.5605690878903233,2.111000586377224,2.606314048134794,3.522751428256125,2.8796632556459922,2.572706576864693,3.5195228166748707,2.805687885736156,2.882973289284799,3.193700896601736,2.9672456354871066,3.512672246466386,4.206922271077283,1.5425688778122524,2.4245909513711776,2.474898385220856,2.6275259651281715,3.8398444583104006,4.062661868956785,4.682896418400436,5.648768942658264,4.3996426832550855,5.150692330951099,4.875958303962466,4.219567177038705,6.421316863964776,5.987827394382945,6.334116341057928,6.842264282333271,7.464523968013812,7.4921187820079425,8.14244268691558,8.638214934037403,8.652599931230466,9.504674429054523,8.95020327775272,9.97391881969674,4.772460869344817,4.762202328484341,5.99838847889868,6.616551562620532
5H,0.0,0.0,0.0,0.0,0.0,2.1621154195039196,2.429517018591098,2.768324422983608,3.777288699241609,3.1304442506278534,3.495647116056901,4.315988620021699,3.8015740705347403,3.857136961501256,2.7791273438107686,2.271367071100806,3.027935194828851,3.8015062368883963,2.1626244591443236,3.244032032271468,2.57884031956164,2.369145007973892,4.025249586645234,4.51010975886634,4.774293050292822,5.81308212416067,4.629998145151842,4.9210246607441075,4.449422786628774,3.8026333471104907,6.081818503264374,5.388454031409105,5.628314337738181,6.305969844980126,7.200162732559262,7.373675329673504,7.539605342639582,7.939642072097196,8.283281897169921,9.184279123672898,8.431331870960367,9.414934094097973,4.767802655447688,4.556900843264098,6.076377621677154,6.601723816724059
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0991338610433128,1.5436801883131863,2.144882691106623,2.1825960019669863,1.5374568329832239,2.173217411425682,2.1885299028384733,2.1959430753809213,2.601594937866292,2.947471461549818,2.8387472690049527,3.53829546396297,2.575425494500989,3.306266974276956,3.3280470171074468,3.3021534253282336,4.576597966433449,4.611427387677777,5.739779387333391,6.599085731892489,5.585433655934785,6.331187484935671,6.214250238450312,5.671640827859934,7.505009717886225,7.274029336532627,7.6493104683369,8.006140402450967,8.4033551949054,8.329804649877577,9.247674232821696,9.772109246080332,9.575555967090567,10.345701321592719,9.953180404907034,10.95047200809855,5.221808271166157,5.045930077837515,6.409199473486297,6.914582757935278
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1503193453491942,2.502169068361693,3.0682714261293405,2.142733532494959,2.484735415238175,2.476186040675192,3.0742490293012645,2.767928484551545,3.2008551172995694,2.5576278163929373,3.7540977723190583,3.464086451920358,4.18663231246513,4.237573795684561,4.096420422844813,5.568884392151854,5.673301795781738,6.650170378042065,7.5646262351032165,6.452439848794312,7.108832172387986,6.818565145799596,6.180267881189967,8.275554569497038,7.796070738891925,8.047221277459377,8.635363843053907,9.25088485770604,9.257061274271974,9.849190221474332,10.278873877042594,10.376607054867774,11.188398450925844,10.645472450425007,11.620235303682144,6.192188703032966,5.909573765727174,7.423340842484265,7.892664399619529
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985096100058023,1.0987212077424833,2.536503300346689,2.745590958014062,3.496925643914618,2.8397738716722136,1.5350543264866017,2.2071669532521225,2.1845369494046465,2.179047113516648,3.188381476272069,4.107209313935385,3.332419952332467,2.9735486704622565,4.429369369035826,4.565393718733646,5.802541204799987,6.587640079481229,5.936991173650335,6.307031898860527,6.342169284026366,6.028290087392201,7.267717649286096,7.259403586617514,7.6939001732822465,7.7941440491265315,8.010825710903614,7.921369909079164,8.91631130129111,9.468008079326195,9.08823225767797,9.780892421858978,9.496041029724571,10.435722868579095,4.610692718738917,4.163027348520017,5.7869032814927746,6.102351540124864
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7500063274268602,2.6500326007018598,2.3971342006801004,3.6569600418009998,3.0291435696206994,2.148627779866707,3.0859803163001986,2.532513575549559,2.4557525500792012,4.127949366856939,4.898559308406772,4.337119035680885,4.016391417286257,5.312642139601871,5.310783319165669,6.752618644405464,7.4663669273303706,6.889974690244546,7.334267437868235,7.426300885170208,7.12236291057523,8.261421701151908,8.336980665691335,8.775379006045801,8.827211765847984,8.922903911757484,8.768774463736166,9.918425203954909,10.479983268760266,9.9866533303654,10.622148065437008,10.44066888568354,11.359461000293232,5.389264693671293,4.91631140253512,6.459702413081716,6.707220015151301
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.830890258125559,3.1529737750861053,3.8466975139830937,2.6949500394806614,2.167143518118157,2.5421654635577036,3.0859433682081834,2.5144063253791504,2.886563604777625,3.736197363697404,2.7551475494375994,2.492676358060792,3.5944701463015707,3.6661196279188175,5.070806137068303,5.750447030248089,5.3152395761274835,5.696079990755637,5.950597287436344,5.78482796332527,6.603036376212024,6.905994201062041,7.465634867476898,7.284174148127623,7.218701986845451,7.032568093340314,8.402416442487006,9.05263787410273,8.325808476684276,8.954997673742717,8.85809114108689,9.807601458199054,3.660872695650089,3.3129515270826473,4.763028857942705,5.087106284465387
