,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19C,20H,21H,22C,23H,24H,25H,26C,27H,28H,29H,30C,31O,32O,33H
1N,0.0,1.021444800228949,1.0180815262713552,1.4635443457636188,2.0724444633373444,2.5510020897562122,3.4689769316584878,2.8154766487420924,3.3034567071125207,3.809178619520195,2.4805681587924986,3.6085214069663323,2.669533172607341,2.1754161411477853,4.104062693255108,4.6667762546054545,4.8044094734811775,4.566246345823926,4.8809657327694325,3.997873517092322,5.60061510157267,6.294402506095049,6.5938773630103364,6.766941275208562,6.921672904249761,5.720087326433694,5.359553168503595,6.109198580409097,6.663524588426982,4.7361765645578275,4.5746122336414015,5.929518274942616,6.428722388494651
2H,0.0,0.0,1.639318237343545,2.038531200558839,2.9137830249715844,2.670155926996701,3.6831264215025543,2.9703289500626346,2.7944373012741432,3.3968659203079845,2.8425307258381807,3.8679856895147977,3.004537377323691,2.587745928974055,4.3546904606379755,4.942233389013008,4.744056013632578,4.453613602017886,4.560862555247098,3.56481559989325,5.1481398515207415,6.276469627054851,6.685779453435411,6.8049212606370055,6.761732810780047,5.463323458419817,5.249802820579979,5.707122808217757,6.460901096854018,5.184346300890762,5.074787580850274,6.418468162927243,6.981163368513585
3H,0.0,0.0,0.0,2.053193926153139,2.2925310121391003,2.8632230575309374,3.810283313640608,2.729079107921493,3.7702504366713105,4.515497820005532,3.35294834924162,4.42420308910758,3.6086631648944003,3.031931106916971,5.0386045001148805,5.59424979665958,5.785215097884877,5.484999221834145,5.890711263678566,4.988422547191972,6.580386163590685,7.258784860688815,7.4971329014561,7.745123241306114,7.892545465520636,6.72511044108641,6.336191419818941,7.081689076194558,7.6763021410921315,5.5203536091883025,5.224980528903655,6.697535840478253,7.112972877680417
4C,0.0,0.0,0.0,0.0,1.1009125709860654,1.5402933060854593,2.17321424010168,2.1696768344559527,2.8449072516036837,3.0876757082346744,1.5458277246657703,2.42486458009318,2.4365997788200846,2.4923844148552585,3.8253752515479054,4.048721319083209,4.787082682230631,4.883103365895471,4.754594086418388,3.9523805694591094,5.658264816906165,6.217300906409812,6.61839642144213,6.456519557219422,6.944356230860527,5.2154228108420035,4.612691452412008,5.605583274250902,6.15607366746805,4.632452142000047,4.797498312160044,5.614329298043651,6.228256652603083
5H,0.0,0.0,0.0,0.0,0.0,2.1346779672014238,2.458433263755138,2.4581140231633296,3.7817178548379484,4.029623106364338,2.117372319631848,2.8496466594363787,2.921768355468105,2.922451243185347,4.215894851884534,4.367412093880301,5.4108515290666155,5.52509472103686,5.591071938219083,4.895090578095352,6.545871190934072,6.742950906977605,7.0216266832090675,6.920754336188605,7.573243505511864,5.987175640040927,5.277524154262621,6.469175160529349,6.847931253172163,4.736009740242351,4.836033597773827,5.596490490145587,6.10759266145067
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0913927382324993,1.094800708534052,1.8439834001215551,2.391072139868346,2.5309652206786564,2.8182572588818724,3.698745784815082,3.9091540644807865,4.97102769792135,4.993870984096254,5.771020433860305,5.9722430727761475,5.3579099566510475,4.466508144688798,6.2136488151129665,7.201555496527033,7.759688370193502,7.3421823676530575,7.8355292452116885,5.544789851274025,4.901490190197881,5.663292507613641,6.5617586872410865,5.986131601664291,6.273038410330169,6.880529864608748,7.575608530932213
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775595527983185,2.4262244023451247,2.5485273442015925,2.722887884577321,2.5494800741124064,4.051081423543549,4.467682143946577,5.148009371499515,4.938136396019906,6.061007314341888,6.436900748967969,5.630928202376391,4.871194043076838,6.5628503191545935,7.381508726072939,7.972285258559079,7.3601535254914205,8.066712541058909,5.533837309071712,4.734881128740894,5.649786301666356,6.486045404666006,6.180773407728182,6.626689286356589,6.8935019897842835,7.627339873858877
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.379333406096943,3.2872310559006674,3.479483089353878,3.8635163709806726,4.550436485832873,4.580212007733557,5.902018701790818,5.9941715355466245,6.720245127324336,6.816412271903325,6.349006670816598,5.40651315213761,7.15701438396669,8.180967184380169,8.686750493948606,8.372032123272096,8.81248055560726,6.613692494637472,5.9942064826627535,6.6982249196979256,7.641534494169792,6.796315693058145,6.945720915933427,7.73043635169276,8.356670278109554
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3500044195948775,3.33889826393627,3.501493253885402,4.267148700328633,4.510583050353057,5.375280682057283,5.450894540922548,5.69256341307703,5.862962896790321,4.8436827117645525,3.8483487871569158,5.473072668139528,7.130075847208873,7.860222883959955,7.334960656550759,7.528292022708638,5.024940158852274,4.659932936849078,4.822934596329656,6.1133864556459985,6.64552670875731,6.987810684964229,7.610289374221809,8.393496024728945
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9166967588196133,2.7153657865894267,3.8417446255318923,4.359906070662516,4.6667718140353855,4.561582523631805,4.913913392405218,5.301295191568573,3.929899398619547,3.0937812855531037,4.632869828686837,6.2317355764685,7.054718544216753,6.302844147034372,6.622490176814779,3.8240963022293624,3.4126979781964795,3.5964342619579557,4.890780108517804,6.07345479824348,6.6243986743945555,6.897350011293019,7.760610059534213
