 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,C19,H20,H21,C22,H23,H24,H25,C26,H27,H28,H29,C30,O31,O32,H33
N1,0.0,1.6584324818012992,1.6819886403637376,3.035400939337422,0.09103654585423993,0.19297383690603984,0.028055617625369567,0.00819361607023461,0.05049187835505631,0.0008605419387281987,0.18693300418458875,0.037279163069047244,0.08197963249409158,0.1288161465872567,0.010298822138313984,0.0022594577292696094,0.00047514275192842015,0.00010120277002800826,0.0001299833062459177,0.00017315397764350315,1.1344493849319015e-05,0.0001238691701796954,2.968626901078686e-06,2.3801360480857348e-05,1.9640865114189943e-05,0.00025245699002623967,0.00029187395643714975,8.569200304009428e-06,8.172515842064243e-06,0.0010502272373395793,0.0005588546504418923,0.00024623887299887737,4.5754753826954264e-05
H2,0.0,0.0,0.028959807100136237,0.10187566565293094,0.0337175748210885,0.01313670067486672,0.001020894559157659,0.0001819360179504681,0.06191292306129592,0.0003631449630134842,0.006017572946407701,0.0010262347633129831,0.0032547034941119435,0.0018714058121374055,0.00029873551875803095,8.809937671427903e-05,0.00010206452309247105,6.341699597012251e-06,9.607129900535138e-05,0.0003100476328137258,1.5650003643674637e-05,1.4223939519553142e-05,6.758182264920976e-07,4.4479240446371193e-07,1.3324556169536095e-06,2.2588378637111717e-05,6.2933705298195974e-06,1.4918950319575686e-07,8.682766727607927e-06,8.313552765959464e-05,1.1112209467367684e-05,2.3215457751302182e-05,7.252530980661476e-06
H3,0.0,0.0,0.0,0.10836571296282804,0.00897480179280441,0.005850752975228524,0.0003089283783266339,0.0023466224269723668,0.0008347173552747389,7.268207582078468e-05,0.029000988495955005,0.005236958529797331,0.004902565205823883,0.0008373907434131578,0.0005005627187150141,0.0004476178964063493,0.00010050023886709614,3.1428968914060107e-06,1.3268976817193412e-05,1.5283962224721392e-06,1.6061195713401588e-06,1.2967707632594028e-05,5.793355433159064e-07,2.869760531432064e-07,1.8730059094806961e-06,5.260514005200889e-05,7.483105709216176e-05,1.3223712753696049e-06,5.330885533005869e-07,4.676553815929907e-05,3.0942296014635495e-05,1.5717441393503506e-05,9.441229624318481e-06
C4,0.0,0.0,0.0,0.0,1.8616867209979597,2.693335247102506,0.09476553259863141,0.0898484468407712,0.18475106191103868,0.0038552782360155025,2.4911490534403797,0.2835235100244231,0.2259263052727296,0.021717592382779927,0.03723754999894832,0.004316565905264413,0.0036336854203342095,0.0001311540080470852,0.000570510176543193,0.00048754013705920585,9.077520306988163e-06,0.0012099177550663892,3.088905404435849e-05,1.752438362356834e-05,0.00022204056655272808,0.000943785033780481,0.0019155258347813842,9.818760110524849e-06,1.7054424615192687e-05,0.0035803658196087718,0.0005767269347023707,0.0010398445225717062,0.0001978999888706534
H5,0.0,0.0,0.0,0.0,0.0,0.09036401994458487,0.0038195429628586908,0.005412189074005314,0.04304795958462948,0.00018992765664282985,0.10704575258822402,0.023588512614903356,0.017810421634310125,0.00042963523093053624,0.0015598357522704775,2.801952368058913e-05,0.0006427534146596914,1.0449472712670271e-05,0.0001930588339472683,0.00028598370511723203,7.025746866506921e-07,5.719492413824856e-05,2.687897646680426e-07,9.708657309204227e-07,1.2762869884941352e-05,6.36042973596318e-05,4.974563333970394e-05,1.100391049169147e-06,1.5007175768744219e-06,0.000601961053179334,9.066519827838349e-05,0.00013008832484773247,5.777515452987103e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1044247898886375,1.8183465693526244,2.614933532431196,0.051428981351958614,0.1738140142474971,0.050701773885899,0.02919626477903388,0.005458035508008496,0.0048364704587050555,0.00036167293938182965,0.0012238255219140792,2.1649348044938677e-05,0.0002310984413713829,0.0004000396673720097,1.1658485173926536e-05,0.0002983545951496108,7.37580833165552e-06,4.259949286433695e-06,7.225488949891279e-05,0.00010319466715155712,8.072506340894847e-05,1.3927193504459368e-05,5.275055823039665e-06,0.00046485106547963784,9.62288546181439e-05,0.00012232338472831228,2.007746022769652e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026727427148682148,0.08573781660876911,0.007094601803879108,0.010384886654042136,0.02322654434578819,0.0020483428694033634,8.56162074953648e-05,0.0002153469523404894,2.9941808947997473e-05,2.033588898076033e-05,3.1342801034561774e-06,8.016141578415237e-06,1.8822900162751566e-05,2.490760444562312e-07,7.421830507725602e-06,2.4328350445301794e-08,3.661673011468025e-07,1.6773068824971205e-06,2.6301558749830534e-05,1.2643345933316397e-05,1.6289741970876292e-06,3.4445696375229318e-06,1.983085542911489e-05,1.6811441407083016e-05,2.5215527765798385e-06,8.314587600644074e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08379108542235336,0.02376409569287774,0.0259984333981067,0.004397559510819105,0.003697020053838207,0.00019128762495856932,0.0010817820568485015,4.1005442406039094e-05,8.423629225784435e-05,1.1458648829787421e-06,4.62973998260896e-05,9.282513813513305e-05,1.1882675665653153e-07,3.4780332917705437e-05,2.769038831340609e-06,5.583310498380456e-07,1.0739960517369695e-05,2.6463849792435212e-05,2.0186469072536184e-05,6.553539230846894e-06,3.4424257777665446e-06,0.00011687171561747256,2.7547720240272966e-05,3.181896951198748e-05,6.368234231723946e-06
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7282484281250265,0.02781823200856444,0.019942076479612922,0.0036855855034440346,0.00023938959202463028,0.0005547902775784042,5.111339672769777e-05,0.0002881460228936067,5.837952361420484e-06,0.002213905174858366,0.00444135233235754,8.570446981293056e-05,0.00012821070827415126,2.2955240215449813e-05,1.326724199168794e-06,7.0918016965570985e-06,0.0004551778730363387,0.00012290944452852948,0.00010278597814994406,8.649791560866316e-05,0.00011522072183214882,2.457983701711214e-05,2.825168808989753e-05,9.29762071100182e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008244621561933174,0.015821838678905964,0.0019714901560956566,8.962236379916888e-06,0.000164351485228309,8.420667167774454e-06,8.668169963033101e-05,1.5309983139033534e-06,0.0005182031199457704,0.0005134732174425505,2.745396657810595e-05,3.4151753050437605e-05,1.3741799581357128e-05,6.39547192315959e-07,3.9286909363500655e-06,0.00048756404975813794,0.00017768915961724474,0.00011329184618924515,2.7771272958165838e-05,6.0599540808503605e-05,1.2678361701601304e-05,9.54075926418163e-06,3.3089970230548715e-06
