,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30O,31O,32C,33O,34O,35H
1N,0.0,1.0216199001719006,1.0222356802837886,1.4829369255067952,2.0812194736313523,2.464868671229716,2.6068415610569926,2.7592414646575696,3.862274755540013,4.272026111185077,4.109477916559878,4.970425029222175,5.2932579221211,5.913559491328062,5.930174151359532,6.67446879991392,2.4597903925364553,3.118320270178301,3.2329855256118276,3.417509653256956,4.48172322800758,5.0227128496544875,5.560183863603868,5.3922558134703245,6.442070115430333,6.16051828479815,7.146177237024079,6.49151918626059,5.6231020903110736,4.820381412014421,6.361252779194944,4.635878128100003,4.208891394045692,5.846584095447271,6.128884823767289
2H,0.0,0.0,1.6203703326306362,2.037055990301625,2.3547051160243617,3.340562257955373,3.551156749835776,3.674284752944743,4.60431597430427,4.901491546523921,4.72324825942017,5.838469900501826,6.196379020755609,6.772778572824247,6.727436985384473,7.582170853798861,2.5422546648807134,2.793760779628009,3.4720150468722837,3.9088350784082224,4.503460601998285,4.96670807410549,5.747417126063966,5.652678551656262,6.509860668931795,6.520572880721168,7.52279025952394,6.785169959931183,6.202445075240154,5.485326377036797,6.99710835211157,4.379705180396914,3.8870943711236574,5.471794148326105,5.644297469834101
3H,0.0,0.0,0.0,2.0426269361163367,2.9224874325093784,2.693458925376595,2.9561622198329958,2.561359395956389,4.15502581688455,4.440613479908313,4.632401076488195,5.153530750841809,5.568573766259826,5.924291362997856,5.835982967531176,6.645155524635999,2.654229212992667,3.469871138655875,2.9972293857468695,3.0239758186969077,4.1815430531335105,4.914915780974535,5.073045371185785,4.733270206391818,5.95293227087343,5.772294145517744,6.679457018272403,6.259527998344748,5.2559779638793716,4.317718385506446,6.127654203140651,4.260273219877236,3.6984276066454997,5.55934970722387,5.806829236831558
4C,0.0,0.0,0.0,0.0,1.096968153873294,1.5346530716857971,2.13304496774601,2.180285189170549,2.5842645728433924,2.9028961301560128,2.7798242440650576,3.9137297936012954,4.433888199064957,4.834910472214062,4.814674933600554,5.699567368541973,1.5411140632905747,2.414853511949083,2.474438553775248,2.694433043813666,3.8245947121053545,4.158088713389358,4.922598284421988,4.98813270322681,5.857426407771864,5.250054203716982,6.297879759573866,5.412115488068481,4.6691827714878995,4.115396466683746,5.243616806937397,4.410294895052667,4.380400487256701,5.547262779482739,6.044123134087541
5H,0.0,0.0,0.0,0.0,0.0,2.1567026486663163,2.4755469096926905,3.0752760606933465,2.7965187340807254,3.2286981627760913,2.542509686795521,4.152005627084412,4.527042151478657,5.216636864524775,5.313242732517118,6.0859698855379145,2.1090705124761433,2.5132596702244516,3.296159964061121,3.645644460181181,4.518132410816494,4.624934234005214,5.73302108969464,5.930012161957436,6.614429252099554,5.984221146330435,7.062936389921259,5.9757617443140925,5.4398611488430655,5.038450290098776,5.854915399348115,5.081204976395909,5.1271464953513926,6.073452876844171,6.5673810075290255
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.095554602225098,1.0979065363773268,1.5397113897770776,2.185584026102789,2.166924007733466,2.5242693250404358,3.052774077962858,3.4717023228997133,3.606432444185986,4.256533379534765,2.6287302842224225,3.7181618430308263,2.969673834119479,2.6424845009586653,4.395875798072366,4.797674329181072,5.09712629079816,5.058961331543442,6.151755226643709,5.053641759223237,6.011585138323151,5.3078977592441206,4.055358125013357,3.4246825264374823,4.426453127050883,5.290064479984895,5.320321598334139,6.48810776207391,7.0789387803736945
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7633343619083295,2.1567550272295173,3.0726088117400137,2.524911899968573,2.673734386884571,2.727460479326949,3.8232650637061725,4.207078053453037,4.434458113408054,3.5247289641706416,4.513565798657809,3.9973983841866856,3.6597033591809773,5.438554713533211,5.8581719098210625,6.143307559259378,6.021835858898217,7.202613044996093,6.1031725726995925,7.026647566678381,6.3800345415657365,5.012327748922033,4.294838973641789,5.297631794651841,6.222583264519273,6.118625148322149,7.448154527778287,7.9764031290840105
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1565720742841608,2.491689095238179,3.063559700477758,2.788238462270563,3.4323771404467167,3.3893060712627467,3.355078222403315,4.095698808735643,2.9117040207315465,4.127935721503082,2.7734976370463347,2.1245723130851903,4.146312507283351,4.750194722886727,4.576891597366267,4.349624083799555,5.6606836727011585,4.559421366214771,5.421113578536011,5.024084278333949,3.4764060097327922,2.596467058124679,4.019762100468913,5.037599308309294,5.000836885480976,6.30767877374898,6.883630237586715
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093667944926865,1.0985399242269054,1.532080549661454,2.4136592469515796,2.441810771225777,2.6389037717754276,3.353637947612116,3.219839508275192,4.161912259992914,3.4477339525894233,3.1215487316809796,4.674871345818232,4.803842488404042,5.239179510793232,5.434455018128913,6.26701721192812,4.783687383843786,5.716422869383331,4.797693011727906,3.702625895778138,3.5244162752501946,3.650197807132361,5.866750377908827,6.184490026080519,6.902475156121481,7.637169697909501
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775655281218471,2.174877816043682,3.291259411388663,2.514636239926497,2.2843338585822477,3.5233728099202106,2.9798740162332766,3.880549064069561,2.922747017047061,2.6317233279507852,3.9352288878023183,3.9690323004445434,4.391601361918919,4.729758407277607,5.37692862201681,3.809977909612997,4.755489098771262,3.7305859636550447,2.86309777634517,2.9827479271655153,2.8042810256887925,5.2742359945386355,5.770725148792827,6.209549058974873,7.018133751711257
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.129097485651169,2.657979974754372,3.173658038874498,3.4886135241500376,4.025435696950949,3.478371518899947,4.162365865941301,4.034643305514531,3.9421403551215217,5.20723934651063,5.156863139778126,5.965821778874814,6.275674867443715,6.934266651115864,5.546830465805253,6.520969025111811,5.387572744410279,4.620560962562904,4.5580953563855555,4.478300789580004,6.333617679767205,6.686169013656662,7.273816261362919,7.9995455685693955
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2344825021668147,1.3553281254611889,2.108919249120058,2.010427925774573,4.673643278537692,5.677874063858653,4.700339602075409,4.125474454038942,5.889310291385799,6.086818435348033,6.159187897839464,6.233837175096924,7.210460291302185,5.456373107955718,6.209889907659707,5.5565172830872545,4.092793162053667,3.8977552456051847,3.7240574363348546,7.142278717009759,7.42066213796174,8.213192072890267,8.962352077789866
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2824163967463647,3.2158821841035645,2.4792289141489854,5.4721619927185525,6.441078939818566,5.669933228419366,5.119354924836435,6.9491809760367556,7.173156757157568,7.296708621675771,7.301868810757465,8.364253876109663,6.664361868558814,7.411569594119872,6.785577820866519,5.276856856062115,4.952593607130723,4.917250028305257,8.109266138236888,8.275458732951275,9.22695020394898,9.927635596586159
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382249200967966,1.011946926445257,5.290104249212246,6.324912344410473,4.988911220204606,4.278143965445317,5.9684265134999785,6.166644891083719,5.9072711149378625,5.985584437750735,6.912647969067873,4.93818862584857,5.506057417164226,5.068639797067648,3.487683820126357,3.525585122206671,2.832051844700682,7.340785780888487,7.726382086573795,8.348514809980795,9.155177820965289
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7611815977053877,4.9744069427076365,6.00064224510289,4.452850322849247,3.717986310719465,5.257292865914623,5.455805841908433,5.032576127523132,5.155839207852573,5.999607986631044,3.9619819479025287,4.482571890934794,4.118030356805898,2.5253152199196176,2.7803539314847026,1.7975836032965051,6.681101191131075,7.153851506471713,7.62802248486724,8.462412146638874
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.243319800415018,7.305898654511783,5.908327509529653,5.129784068108796,6.881624110419695,7.123956694397475,6.705751072059719,6.70083081841519,7.700358225659385,5.6838028924046125,6.123775748708376,5.873103818629431,4.189746319099087,4.1735352182208905,3.463446888215566,8.239184484810096,8.579859476986426,9.26816067383395,10.064889401174646
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.237731713518415,1.3548799688920914,2.1109893494718825,2.4291022113517147,2.6733619055420226,3.7408779204802407,4.0148774786210595,4.553911578802029,4.268816627403972,5.343051780959789,4.342626561372692,4.130261986725245,3.82122100803921,4.86179086864708,3.041150672600108,3.292686184374998,4.078835139180554,4.659345480203266
