 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,S29,H30,C31,O32,O33,H34
N1,0.0,1.9796469839039021,1.654691527878704,2.9547445425036445,0.09263582011560512,0.20088525446617767,0.01729526624623845,0.008799526594320595,0.033063666278644446,0.005221635446332168,0.0003866806365121489,0.006163144743754151,0.00018264557259106695,0.0009025745992424089,6.534163825144823e-05,0.0012022033131478677,0.00010500212879827053,0.0016882681460001492,4.558816262045795e-06,0.23408209670494812,0.05273553095535011,0.03492487335606659,0.002215737943354168,0.005848510903926685,0.0006372056668926263,0.0010792085023854509,0.00023552715447960892,0.00010001492262268208,0.00012578982015459816,5.9698774870442506e-05,0.0007492959514564662,8.034462397014941e-05,0.00023211456007114079,6.0056055879775805e-05
H2,0.0,0.0,0.02718634649692042,0.10404897200765373,0.0069385872237224255,0.03226814414015233,0.000883538359829128,0.0008355727295530357,0.004653261318363522,0.0008504764787293784,4.488176667405419e-05,0.0009413900415700116,5.7040381745032676e-05,0.00014775597289540254,2.8509659383724184e-05,0.00017918897887536644,3.268903229591835e-05,0.00029561080946616247,5.880956090997813e-07,0.007813533098380399,0.0014658039931615408,0.0008465634465095739,5.321700153748665e-05,0.00018134514517376132,4.510373575294935e-05,5.143753161862552e-05,1.3358586372858028e-05,2.9200069353585434e-06,9.435633955190426e-05,7.138965031816547e-05,1.5133757720109386e-05,2.0650322877235894e-06,7.155330576380514e-06,1.3024186311660912e-06
H3,0.0,0.0,0.0,0.10857494566610493,0.03613893093723397,0.009091984074995452,0.0002065190653819382,0.005440134699751242,0.000783480084245447,0.0005348075317942458,8.053114233397274e-05,8.113234314177653e-05,9.108820587133692e-06,0.0001447809123387156,1.5636782069616828e-05,4.5970757133861895e-05,1.5747514521269323e-06,1.1696525704429916e-05,5.312005064705971e-07,0.018486523771247154,0.03993034505338,0.0032277193449496977,0.0007184860494775513,0.000403835075160619,4.2917033163281104e-05,4.39454161229591e-05,1.833892745439769e-06,1.6230926659810407e-05,1.3104799677976509e-05,7.670918391156079e-06,6.303929081841186e-05,3.466514434879997e-05,7.787277467197207e-06,2.627243472774765e-06
C4,0.0,0.0,0.0,0.0,1.7716858557530966,2.707866103297354,0.09367985674122314,0.08540537295611372,0.16999401218852608,0.03559060045634807,0.0011348205284156254,0.03652084155218824,0.0005749714068763456,0.004160102627927709,0.00011644072882321943,0.004901586046192619,0.00017068762866889742,0.01358882610261461,3.674315033652675e-05,2.6069747272443213,0.2709663668433321,0.22727495803971856,0.01634075621213349,0.03538911320669935,0.003204625330590183,0.003480082996813419,0.000658945987987547,0.0014210593278627393,0.000386467563161616,9.271542479538653e-05,0.004327482329266136,0.0004286470725700098,0.0012109858022043979,0.0002453836860040193
H5,0.0,0.0,0.0,0.0,0.0,0.07965598175889577,0.005170108049625366,0.034307238178544086,0.007635527232355832,0.0044236725547186495,0.001400781218853231,0.000667529747893969,0.00016738601403099018,0.0005607482361653648,2.1808541012413585e-05,0.0005034552515565949,1.0596014090147321e-05,0.00039405716542462166,1.0790182896291967e-05,0.09197995838350437,0.021001432950787935,0.012326292527948146,0.010396523157739646,0.00181699353475695,0.0002688595389235271,0.0002000728660417339,2.419014229482208e-05,7.498535745198431e-05,2.7449579079519282e-05,3.184965109870319e-06,8.181289691511218e-05,0.0001377484097235815,3.112459024956493e-05,1.0305991471337705e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0062169763581403,1.7861925716921538,2.6881426018733308,0.236874736297425,0.014143476098413377,0.24239175852222397,0.014955306262815604,0.03550830140118903,0.002734957888131495,0.03492867402861849,0.002667516943404946,0.020963612505196905,0.0005096365204839692,0.1806693504049656,0.0372256268600774,0.030133827322865958,0.0010715223444480726,0.004133145136689498,0.0004478935768693626,0.0008154946167442806,4.141891159892275e-05,0.00016835127665804084,0.00015766101512720843,4.87177073777989e-05,0.0006142605611348106,7.487863545810325e-05,0.00021735777876857876,6.507153957147072e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02455807407470645,0.09880429109013855,0.016950782841118173,0.004261718080261545,0.02800131427563657,0.0005556740910643843,0.0017005952026053484,4.3362024667148447e-05,0.0029634740720758668,0.0005889290827691962,0.0045640350044686695,2.1771960073246888e-05,0.029077592218066606,0.005419394933893984,0.0032492668206746123,5.831635235375998e-05,0.0008193603838746455,6.019495104836459e-05,5.028581619992423e-05,2.1472617330875465e-06,1.3292687075505683e-06,9.242423424704604e-06,2.1343108924654075e-07,0.0001384966982185265,6.396220861848434e-06,4.529600085056984e-05,1.2630593262841217e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0956614653773491,0.024920187284066087,0.0007170516682311057,0.01779011729476243,0.00677089773816153,0.002839103491437678,0.0007208380558101357,0.0016234421803413834,6.187595468110096e-05,0.0020826120800687686,3.440003403221148e-05,0.011294741679862774,0.010523589953425061,0.0015950239433732971,0.0005578181599974474,0.00014057109393905698,1.83892618978998e-05,3.4739116879123344e-05,7.796128134174296e-07,1.3230800234076412e-05,7.857736358252154e-06,8.503846982144125e-07,2.7611154992612796e-05,8.350197444384477e-06,4.186008293882715e-06,4.307345926601869e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.553364522359569,0.12479911262379573,3.828051433947623,0.12717256333937343,0.325399749846766,0.02604850626936095,0.33214488246350704,0.026364635630757194,0.3002492693928919,0.0040476700707265945,0.02029150544729505,0.005172427458108447,0.006818281662292661,0.002953862820378461,0.0007569986246486471,0.00028849699912569804,0.0002636626968721134,2.8188596241096597e-05,2.2829956008441066e-05,6.928155678984083e-05,2.099475763261971e-05,6.679066887302354e-05,5.941857961366814e-05,1.8572466182628644e-05,3.1089653402815998e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0753902085675486,0.33225663051233933,0.02830683672997658,3.764610958096694,0.12672071824744835,0.3154459771459234,0.0035260364361020535,0.33378828254782084,0.027092834112482755,0.002934605193478601,0.0008893605004528099,0.0015424698533982317,0.0029866282214229267,0.0002515205361045547,7.113810492709316e-05,8.18612138190622e-05,1.2181478179829064e-05,7.103444203404585e-06,1.1157665347136247e-05,3.7629592692933755e-06,2.943066730543009e-05,5.305260109314536e-05,4.6568945589881006e-06,1.233363701835799e-06
