,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29S,30H,31C,32O,33O,34H
1N,0.0,1.0202021079682482,1.0215641329110716,1.4656326554721602,2.0850925619026293,2.4495709704328705,2.598426529839746,2.669098765849393,3.8233587351295246,4.596586335110097,4.416015957949613,4.7256414070004755,4.64653370889946,5.922375263579533,6.648809699361097,6.02411628638362,6.810248446277487,6.5360798884341005,7.603660664623812,2.4872243035334596,2.9092039635857243,3.5641110796126516,3.845103764919443,4.840432478606958,5.106067563911329,5.275755914474781,6.305390573123843,4.779424548370253,5.748530862139679,4.634703882387832,5.963110003766654,6.032314154266686,7.150494727120288,7.8386231444410654
2H,0.0,0.0,1.6259499373145803,2.047504646747377,2.338060716233498,3.343773507069181,3.5126209116788245,3.6299548024120427,4.591541274755062,5.253534501816801,5.0100006356274145,5.473619919852779,5.406814717334789,6.5326809450280665,7.197210831553606,6.712371884712275,7.4868002065786525,7.174523090338221,8.213335990837571,2.742498177191937,3.2063421489754935,3.5786270035815755,3.855568165294738,4.808904099290614,5.2526781704135015,5.010242674806645,6.075137745934735,4.5258753944898125,5.191828881062861,3.9865169797183486,5.912083819738856,5.987302141320666,7.085071024782157,7.764801735455773
3H,0.0,0.0,0.0,2.021923295878627,2.9142187952346674,2.722501969796441,3.0275918251655702,2.51607281250357,4.124935108238736,5.12601024348467,5.105610669024167,4.788736845666556,4.4778000342774025,6.415227974287564,7.2405294168086805,6.149388651956001,6.817358061384772,6.854921038516973,7.925083071643726,2.5699587015361938,2.5249116217096965,3.8333659975829613,4.3333145494751735,4.918809983116214,5.016887355678017,5.226397985168485,6.185058270241901,4.557220640541061,5.913767650835181,4.925906239115729,6.2051842578522765,6.45504282623603,7.286084609893664,8.057328904930609
4C,0.0,0.0,0.0,0.0,1.097614220633367,1.5484823461750286,2.1381378273920366,2.1498034567595625,2.569646925753169,3.34236729712285,3.353688301065452,3.473444650244735,3.5762312594480723,4.5872590133847675,5.359716768945193,4.684680103375724,5.508485070529416,5.145948672954589,6.197117813399901,1.5385038403683637,2.4146818048528647,2.4723022704139814,2.6247297043635953,3.831274661840697,4.0709238395421075,4.6331238086129165,5.626920490498438,4.372783012601777,5.2862877807844715,4.31327181634703,4.796053294351549,4.784079394069833,6.027675377131263,6.656882994784431
5H,0.0,0.0,0.0,0.0,0.0,2.1679681245899887,2.474817705579906,3.0545658245281295,2.8070096876275805,3.105963831878125,2.8822996536417143,3.890880398642777,4.247737894343951,4.305364435235891,4.903552621809444,4.903827089071787,5.820456048378822,5.078040567877795,6.0788226654632735,2.1745364695976876,3.2873386852816466,2.539744316422469,2.2786871151426165,3.989735035441244,4.445536363245617,4.856468495165971,5.878162548740873,4.800172972835712,5.202067337155641,4.1474509357886955,4.664701941136469,4.397933555309567,5.981183482653063,6.48469929575463
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0955235225855993,1.0969129061972918,1.514061277523626,2.535015264670971,2.732371203957443,2.5386523707454485,2.7347992285576534,3.822917227964974,4.68801113419209,3.825467918451906,4.691835086309466,4.3316141641446375,5.41861324613073,2.520337015370614,3.0783020424509395,3.458067174222978,3.5292359013508463,4.648268818473411,4.581549687160758,5.688586153881734,6.564405288727668,5.434822082058492,6.603372809011963,5.753568593083252,5.500604510980608,5.442711609850213,6.670326813447158,7.25903094048944
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7660662421747322,2.1631748187223283,2.7274873675403524,2.549708731488268,3.3699612474056444,3.671090485699242,4.09206814150173,4.79643173994256,4.546261606874731,5.47708090461424,4.838468148686737,5.905590278524614,3.447629525095532,4.036045857887897,4.352450010184136,4.287782944228006,5.635990039066233,5.647545898425506,6.638308694272877,7.5610287285693225,6.36984716240241,7.393076084831837,6.4214854403262525,6.422161509801728,6.235342982205893,7.642058766713147,8.182547300939127
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1523850460401683,3.4050568852023906,3.7403278922801113,2.65800266739399,2.428956922053449,4.568031053505129,5.515805430828258,4.040939482010816,4.7259524892547065,4.8248610661955,5.891944854310131,2.7308897542995467,2.8217407814173194,3.8890912581608745,4.204047186149428,4.891192151767107,4.626873977163318,5.8068650962602835,6.612422094186017,5.389817303202682,6.919495148132635,6.152096711330738,5.926660702814152,6.066496418096504,6.980743192862411,7.660050896601738
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.402896848506764,2.1569295171836607,1.4025978548564506,2.15400602977732,2.43525035914483,3.4162846542832765,2.434740772408038,3.4157858222419235,2.817732690246539,3.9047320165008537,3.040089358453853,3.6999431016896156,3.4980764294475395,3.3566569543431193,4.4734993589158885,4.303982943567284,5.799852949447124,6.544834924762068,5.784574720272566,6.815398035351422,6.156741690470262,4.982104480608203,4.797492775221849,6.088361517673613,6.549826117115723
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088637430232788,2.4094981201231005,3.395604285336584,1.3958986218225518,2.1538917271676246,2.7860059107181057,3.8733848606418055,2.4198437648598135,3.4056794890744695,3.9962278289296065,4.87773692866932,4.118917572025869,3.6264716596204063,5.133705249235589,5.146086633840413,6.537839726967813,7.291618885156587,6.694116570429463,7.3092993671670685,6.6142429665939,5.285648344920806,4.7789037074084515,6.437257958062998,6.712325367807846
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3975077479914533,4.2964697616778595,2.153555444193989,2.4750873845560943,3.874584298290922,4.961943470249954,3.4038458178303252,4.30155518084923,4.329973436395671,5.313619107524201,4.488623480080557,3.8959016907429143,5.675589478326588,5.847646373753741,6.981140640957456,7.827569690043053,7.113381375920765,7.529814726296256,6.682686341271893,5.840307625917575,5.222745486656713,7.077030856133416,7.3292399571760685
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878617890747575,2.787446794131983,3.8746204311632453,1.3967329497118584,2.1542327013528806,2.4208555761070008,3.4070522611778284,3.3556662865124967,3.6887665756663996,3.7043200801532077,3.768014193657319,4.2515443888185285,3.7662527215270374,5.622915065822996,6.17333036813228,5.633388996617964,6.925952568586561,6.515265314284886,4.736054055360422,4.77554064325046,5.613023013945654,6.106014242178865
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8753073079522067,4.962479183693935,2.1565535400734026,2.4791931039898496,3.4056723265016604,4.304596002637456,3.2070089115395137,3.163431856399081,3.779240617630635,4.118919959969461,4.165986355185689,3.491076126252002,5.364398820569903,5.856054803102223,5.212369339126075,6.842407965221707,6.496505895179447,4.918250927200083,5.208294048318816,5.680161763137526,6.304514360152273
