,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27H,28C,29O,30O,31H
1N,0.0,1.0204800798685494,1.02176314162719,1.4615048859735653,2.0783458064274467,2.4637454968810415,2.4556844031885077,2.8704828393618347,3.804403798796064,4.392113114802668,4.051407541389727,4.882537626597114,4.953760311454974,5.7501318706343625,6.405348165565606,6.138642596141893,7.0049255137619735,6.508354429907856,7.839820385538353,8.342141261249497,2.4908374172545042,2.7634631624822528,3.7277730149637307,4.0217511581512575,4.9191458221215,4.97274566528338,5.765437493001899,5.524569224246345,5.369187836607032,6.675318412879198,7.162112702536342
2H,0.0,0.0,1.604971515320482,2.0288031952521814,2.33762329433557,3.3501519568301936,3.4216148861320126,3.7782989423993096,4.565070817893991,5.048920378983467,4.648769792493882,5.616326587483418,5.690373339205593,6.354364708883662,6.944097469763208,6.820094003026241,7.677010301020868,7.141645813105067,8.436412583518102,8.955624860740665,2.678464529460767,2.750122361108788,3.8908707833934604,4.3277734806663775,4.98747773121673,4.850584554515095,5.795493478108069,5.784950749855798,5.8315211478344375,6.834103343066342,7.41419001556106
3H,0.0,0.0,0.0,2.020112809421993,2.9116959097169577,2.735613620333341,2.7910131018344613,2.7369055077601216,4.205012275158576,5.0248124448485365,4.81616455722474,5.103864154933096,4.964185885621291,6.380864554556743,7.127186818090741,6.447655218052168,7.220409538516364,6.9980477467989495,8.355953862870614,8.77293956117083,2.598240731329471,2.496509686575598,3.942836694274357,4.365870161923836,4.943616475551316,4.927337587251682,5.905988407354464,5.317146833461724,5.091657018759408,6.395052674842392,6.788483817129248
4C,0.0,0.0,0.0,0.0,1.097855296328617,1.5587937320532832,2.126097389884396,2.180738473208594,2.6017749918753372,3.3103552071596476,3.247120089275907,3.5921311592823373,3.7394168376245918,4.587613632724436,5.343130198754798,4.798527918153721,5.652194454691177,5.2105586435191995,6.534069332396077,6.993034932320397,1.5452592559934588,2.4263889234073877,2.4827001275021106,2.600342138919058,3.820732977426964,4.124032354684204,4.568206779013999,4.483748525018595,4.333125541830037,5.7316029203924,6.253870918020921
5H,0.0,0.0,0.0,0.0,0.0,2.1655677666806112,2.584646961948734,3.0548317263961104,2.6901667284822826,2.9398184414170743,2.715972437029236,3.79622590074438,4.197574114527676,4.128339962764974,4.733420391325648,4.781338141817706,5.713219839035026,4.922070424054846,6.166968309003946,6.728030838391524,2.1594238148412046,3.164288825001265,2.6744534243971607,2.5851069265488498,4.091781674757386,4.425311469708038,4.624907698985161,5.009936081351623,4.988193047914961,6.244944792883683,6.859880749902987
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0959682576583036,1.097265206160378,1.5162161808376458,2.535830153152561,2.7285818475442265,2.552634355012413,2.7615470990026245,3.8261814275844444,4.699920838569448,3.839349892000586,4.709709909606284,4.340652695851489,5.707216394023733,6.125485537797606,2.5656971510472126,3.4507383936386726,3.140555781778892,2.8801019960356276,4.401564135497138,4.976091948528944,5.102404369809649,4.653221179408999,4.1128264999036,5.9860584859739525,6.316627186876092
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7623393034515613,2.1480367073405233,2.7302577965105392,2.5806820223592264,3.3364222738684624,3.6479044362388873,4.076456560059424,4.801112433353073,4.509854327393436,5.437385474877738,4.808274985143476,6.140201007745754,6.649123241214524,3.4396050579076634,4.201849453631855,4.163051157306012,3.9034553866614536,5.459854704964072,5.968250439351136,6.16584005196338,5.7208310287664705,5.137613578156454,7.042226471356815,7.344264682632556
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.155339786062786,3.417465459853894,3.7560794820979764,2.6634980962332837,2.441726953629832,4.581986805562104,5.53912484597964,4.0499653507934,4.735471856344206,4.8366352256019685,6.189743592268621,6.463274059034308,2.6799500875747255,3.291293145959402,3.3105694073775433,3.2142201218047046,4.319865145120293,4.877396449822753,5.137537507806263,4.2288287577619625,3.5068573353488053,5.510747592691142,5.703375187627782
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4066129805825371,2.1591891636897023,1.40202880309118,2.1558224898834797,2.443537508598702,3.4316904498799996,2.4394765675607357,3.421712872192449,2.824630096392561,4.191643742482703,4.624938709479632,3.3177725994238982,4.416983705403536,3.259317353822076,2.551031104712084,4.461986404110509,5.2790260466693555,4.8776633983883935,4.719237411273644,4.160815235918445,6.061724471567387,6.3904789604806895
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0883763949497494,2.403786317542431,3.39338657815121,1.3910715302930143,2.1647410295173892,2.7806262864380678,3.8699245069387764,2.414194169692853,3.642712711293862,4.328392131543804,4.26221326847212,5.432611391033139,4.125224030325437,3.3070946018107734,5.400090940322964,6.198860708963628,5.636308317564519,5.884560267701939,5.448265627539077,7.204881961382616,7.60792341376829
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.392960699483824,4.2979014226597645,2.1415541263539803,2.4833712124149647,3.8689139362340033,4.958204192071844,3.395331856066143,4.506433429127621,5.278679803453629,4.471031948383831,5.588753709637686,4.572657332536017,3.8928091002880514,5.952151208428454,6.621298290149071,6.250272177481241,6.575150748183597,6.201221506149385,7.90429091015138,8.359254991264992
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0865852368990263,2.7903877576803073,3.876129652969989,1.398165161207508,2.1583023121905764,2.4220594776236752,3.6929338181174467,3.8437973996188273,3.7870814708126828,4.804139603123297,3.3535225899393066,2.5742076233874425,4.18842217118178,5.165288821932818,4.478460269084225,4.1131443449704035,3.420580204955248,5.3796121741464855,5.586090078895448
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8768479996778713,4.962557234822737,2.149795618508859,2.4721167770137424,3.4014363880486433,4.57419776336056,4.553850648257193,3.6140193046487137,4.431367879892977,3.233377531282122,2.706797033523407,3.8048195474897963,4.757628419125147,4.231155440600014,3.3818113741018148,2.4972960171192904,4.60818370854524,4.6948805239324924
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858445900138078,2.418736686398406,3.4079222718234323,1.4008319363764878,2.3664967334989178,3.176550776484682,5.33268992970322,6.537872015453467,4.895564339813029,3.939152459018349,6.000447240112018,6.902720547665247,6.006584934844933,6.45090934318827,6.03664522167821,7.697955694420025,8.08029698336663
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3965239106778755,4.296627194426901,2.1479253251893153,2.5704139367940555,3.5181614224731277,6.185019543232094,7.3994810594894345,5.763482739525202,4.822055012280972,6.890746489329631,7.754533976649601,6.825768022999203,7.448788997855454,7.092706445241686,8.678398738301572,9.099033842975588
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0893180679917718,1.397567538834141,2.4298119963157876,2.45632139351419,4.960973895060266,6.025523600706873,4.261835069373353,3.3424903313515504,4.93123526439944,5.986830945264562,4.927772861213235,4.878309768057488,4.28375431672528,6.012488408931032,6.201190562073368
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1598716102046875,2.6949886125518665,2.302209064495838,5.597505262167777,6.569116549370397,4.77738622921128,3.934676952283768,5.1606039151661305,6.248213909509998,5.057506293288214,4.873513567255471,4.253850293174942,5.845680595022004,5.918622733585468
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3680112424989872,1.9168251724439773,5.631864789179617,6.797743748326496,4.957252136382986,3.9569972167120584,5.796837339110196,6.811208584564889,5.687198895094094,6.016373177555607,5.546531775960191,7.166978578177863,7.453283180273487
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9702231415401191,6.897694185819832,8.064548299812348,6.100736017238135,5.093086257273124,6.803048859167068,7.836674104630567,6.522307448817835,7.010313381928962,6.594292601070174,8.049361390665288,8.3137335253806
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.191401697385747,8.305213560418949,6.308149094431215,5.331416349931196,6.831571903276795,7.899826406942505,6.501596699896568,6.872574430157495,6.430029052897598,7.81264781669331,7.9970638380601216
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2260485799073348,1.374076629932651,2.050602674918364,2.4299838879825253,2.614551782967941,3.3227537119360067,3.1656938202897784,3.3031021281725956,4.313127523546808,4.916860645158195
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2729706008112096,3.14403217556829,2.740003421654286,2.4888848767339624,3.7662545016212974,3.268115511725174,3.522094896306759,4.16581586928919,4.734842440876889
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012988093209067,1.4422356331504764,2.0752185115035537,2.0889050833416682,2.4845902210522226,2.847965894460045,3.6481791088364255,4.35125611206516
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1154600705535755,2.9661110263190915,2.406077163637768,2.934768860302714,3.054201352705374,4.164338026114812,4.785788177906116
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093031474780805,1.095932372716687,1.527338313522697,2.4473833916551846,2.36730377217432,3.2064828496384643
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7665550431537085,2.134871426497192,3.1617307423389067,2.5492034079865435,3.4535799787490418
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1424732900315058,3.0924630535957127,2.6603065112461093,3.5327204796919234
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210143139214671,1.3521266111997525,1.8789491576048156
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2545123259439737,2.292385020495491
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976333967122186
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
