 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,H27,C28,O29,O30,H31
N1,0.0,2.1984158614289857,2.19477035054506,3.5179075243074602,0.09604458751720435,0.19877246265680548,0.03428817212776025,0.0035758435900279384,0.030842508622243484,0.004985171868402027,0.00038716007289352206,0.006639620978798735,0.0002674845500637568,0.0014985692281486301,7.48444258005243e-05,0.002182012933942143,0.00015511146147328958,0.0018584522787836177,0.0009765370641578452,8.300837088182078e-05,0.23997101990580805,0.05069146657823779,0.03484721847453445,0.0022226273197266666,0.008398511238248002,0.0003107702978427662,0.0010922533669845969,0.001205754134980891,0.0008359015017546795,0.0006534551987593396,0.00010033494749417393
H2,0.0,0.0,0.027953171643020136,0.11475555575327512,0.006867872655536678,0.034338026162427315,0.002130426932331453,0.00017368763947200883,0.0043571159805320114,0.0006248972908291517,3.499318033983734e-05,0.0010838744061724137,4.895117533743054e-05,0.00013484042408473673,1.2341792742232016e-05,0.00027313103773562997,3.88736644387766e-05,0.0002039765303009089,0.00011615499037942456,4.805107348460069e-06,0.009573311248508687,0.011233681970267084,0.0011942070875248234,1.889732226678653e-05,0.0002474290841281146,1.5502526775179604e-05,7.89278720914055e-06,3.537616318594061e-05,5.648356242804464e-05,7.780984098271215e-05,1.7914086265502505e-06
H3,0.0,0.0,0.0,0.11249455133418018,0.038519649368038644,0.00803104066819782,0.0006817347013046149,0.002459337048216881,0.0009742665110632487,0.0005192361036508997,6.107798399357378e-05,0.00019983126788414296,1.0566286968938243e-05,0.00017105912488901698,1.2076005005523527e-05,0.00010945856482169614,4.756627098867483e-06,2.737464429602987e-05,7.02903506345498e-05,3.543231232860933e-07,0.01642918106951674,0.037862026906231416,0.0027592368470106265,0.00028866700155938396,0.00045076779053232485,3.205508888837194e-05,5.69398735843496e-05,2.873680566228831e-05,4.37152235293059e-05,7.206448116503505e-05,1.5477079919890002e-06
C4,0.0,0.0,0.0,0.0,2.29914555561007,2.880753278594136,0.09744889975176507,0.080626500157426,0.17362726954677615,0.0347833793528623,0.0018932198267651579,0.035299879002501006,0.0006225502162249263,0.005233731295923999,0.00011048093298704487,0.0059852315495369235,0.0002083259837162288,0.011462739133041161,0.0036097979792016205,4.072634055507507e-05,3.147944188663378,0.2864995686003074,0.21749081699956768,0.012115513533092037,0.03757732570844888,0.003447582390838977,0.0017275045041849069,0.00383781319263532,0.0015187650109870915,0.0017095763962375887,0.00016567017139712537
H5,0.0,0.0,0.0,0.0,0.0,0.07942186803385454,0.0023022268051344774,0.03142409280936187,0.01519353271358792,0.007792250293841119,0.0025055465843140112,0.0014712873460960285,0.00016843066315841426,0.000780411711517548,5.519502963746703e-05,0.0008463629503112635,2.60140012617871e-05,0.0005052117302961623,0.00016586908037619086,1.1591705643798633e-05,0.10139923025411113,0.02792693443111216,0.010222646187903806,0.0020104521040762435,0.0014161912088064277,5.520124929292436e-05,2.4366189196989296e-05,0.0006257100830295848,8.179153791842975e-05,0.00016836465513969667,2.4577749221155187e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1978281337286685,2.32956873083047,3.1439965715043106,0.23985295195618953,0.013516508052342502,0.24420017053914195,0.014043148174484044,0.03877165957212601,0.0024558740625828523,0.037356868376585334,0.002288482834758243,0.0216084886469165,0.0064424867118239165,0.0003183663096391065,0.19084561395702804,0.040078030688649416,0.024541295456969883,0.0031401505654252704,0.0034781494044184152,0.000558078924699057,0.00017252519920574194,0.0017994730576861018,0.001952566586357632,0.0010955698657277024,9.630838864849167e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026737058632883004,0.10445424268686443,0.01841968232304314,0.0033971747749952375,0.029806779506348247,0.00041816065258482027,0.002137276973168678,4.378759517553732e-05,0.003220308824623541,0.0004484036412661929,0.005411645954225941,0.0013724795382822341,4.8431154701322754e-05,0.02798672206280961,0.0040961776652234105,0.004495123276858415,0.0006028975595830932,0.0005523600448820165,0.00016118319114077906,1.995604481463964e-05,0.00031585212206963753,7.732002766258628e-05,0.00015165025835472967,2.0242774379619632e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10229430771358161,0.023674060053655244,0.0007967637145351869,0.016816903054824084,0.006533073542285717,0.0028393532571154845,0.0007428084620328956,0.001428198341491993,6.357228445397212e-05,0.0010150110349194108,0.0002936802955606499,1.3230528367769168e-05,0.01603597272367252,0.0031651899208120504,0.0011921877816116755,5.91921080097535e-05,0.00017968729213180268,2.0407067931049738e-05,2.468095932939285e-05,0.0003090994311911732,0.00160975475196512,0.00020794884028796368,8.782944479701627e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.937292180176142,0.12796038127641318,3.7420742428074094,0.12962518785264288,0.3528215855387896,0.026510023036214747,0.3347917418270952,0.025478482951974746,0.3004230673367895,0.057549826758208675,0.001398025602981856,0.010550163354766856,0.0036371776450158932,0.017662084656617727,0.04630007082970056,0.0025333246339196702,0.0005415191726287905,4.847324645473883e-05,0.0009774425840082812,0.0029594002302306827,0.000875452486884129,4.722199045747999e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.135701971264999,0.339127035222091,0.028366314533281867,4.162428612950245,0.13794658687099548,0.3430203032662321,0.003963527273105227,0.3560356878661885,0.044490575637296956,0.003946222532456134,0.0033345718392322615,0.0024752805312320963,0.0044956687929940675,0.0047829187047848665,0.0013434398416951876,0.00023696797399219705,4.5195816861576255e-05,0.0006607566954668492,0.0013361767910318907,0.0009971356858692743,5.766524598094236e-05
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02848652433914345,0.0016701633282731887,0.14001173321705873,0.008754046682684313,0.0035501754251318074,0.00042607614774192726,0.026564768557013174,0.0030939339963460544,0.001315473790966415,0.00017813785746700894,0.00022891038750683101,6.271925568746006e-05,5.508793795527822e-05,1.5950286557764315e-05,8.816590717497519e-07,3.936521988379127e-07,1.8595213473693306e-05,7.756913866097115e-05,7.661861763397226e-05,7.044254231036717e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2007790701847685,0.350612888663109,0.0038943360060034182,4.065237247573245,0.13280842805056037,0.36929569558510056,0.04875433233593125,0.0027763006236308785,0.003970628706442436,0.0021919073078736848,0.022528726808133823,0.04864647551321,0.002587590765765438,0.0005116571214615062,5.7069933334985556e-05,0.004216839942959433,0.018292404482484405,0.00201260024686839,0.00015060765659469233
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003465747091750515,0.00038988332234835,0.14091015572714016,0.008650091742357091,0.025897524374248304,0.0031151615934423837,0.0002027620351963133,0.00041345064505926565,0.00017108007427912852,0.002106176905540824,0.0017560372571789884,0.0002476120902966672,0.00014012624778136917,5.384199521785149e-07,0.0059227162760437935,0.044691399653827624,0.002176083956082042,5.4640393754024075e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222794889753689,0.33097589254016935,0.027737224624842183,3.6669427038947693,0.31289425257450454,0.034351534422188856,0.001576399086775121,0.00113293764063227,0.003044880169780828,0.0031187623364746786,0.0009030066988804514,8.695056136676094e-05,2.5789066843473485e-05,0.0006439549231647135,0.0009753853094018605,0.0007215565960479869,6.071630757464863e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028116861800489557,0.001950674371464567,0.13821458882884485,0.012584367656809037,0.001262290940438504,1.0816379838907153e-05,1.797108509915546e-05,1.4318616380348814e-05,1.874081904706948e-05,9.477605619645502e-06,2.6239537209704622e-08,5.35052682160142e-08,9.418328232868589e-07,3.2876398340153656e-05,7.1048642489413e-05,3.74964632676722e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1293052054577326,4.013345685570424,0.3300820332565051,0.03140679506852395,0.0012164796552874974,0.0012585503133375406,0.004666460214616003,0.004882795326682232,0.0010192903218997212,0.00012757819301312256,5.5702247559907825e-05,0.0009547288066336923,0.0028174987989574574,0.001080079345967877,7.212231675979286e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13651025586149457,0.012982992311997954,0.01744472737724534,5.2652737936309535e-06,1.526706518062415e-05,2.6000658151614786e-05,5.8463603642033846e-05,1.2803267453787015e-05,1.3641519669427282e-07,8.89055262742744e-08,3.262644190238362e-05,0.0001389650941971965,8.423219608433286e-05,1.5538406898940593e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.549175585266447,0.14669317292311923,0.0012658531002670004,0.0009696965592302653,0.0023618889193253167,0.002014717997128046,0.0007081797785262467,4.411615627231136e-05,7.515132252278178e-06,0.000433178045573579,0.0010016825233328391,0.0008404875484353674,2.886727924045207e-05
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0398613677485966,0.0009834983529810604,0.0007849197704326571,0.0011370308980857974,0.00042661531088838966,0.000813328267796995,9.091217939583007e-05,5.767787657162682e-05,0.0007662812024971932,0.0008338567572522514,0.0006297787090365839,5.5063955267442566e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4711142332979321e-05,5.13057369195824e-05,4.427877339274744e-05,1.24176186644398e-06,3.831774100870877e-05,2.485848926703227e-08,2.021094180904015e-09,1.444289903607121e-05,6.314578152244454e-05,9.282315763115001e-05,4.18831711535006e-08
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.262463482679586,4.185892146119329,0.14201060900568874,0.29776291162047164,0.020462985639086106,0.025742523720926114,0.0415807157322432,0.011972921292289107,0.008568724518001725,0.0011674102866461311
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5508765521367806,0.028914631832549276,0.08064226430657759,0.034620512156104954,0.006174984476609691,0.018844521050475932,0.004320584938899915,0.00307814199714216,0.0007579073685352045
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.046046234187833,3.3479899174997265,0.10932448206071865,0.10893904176263658,0.20633907752341515,0.029088329755672063,0.03251835095960745,0.005394304817978424
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10288532210603218,0.02664568958412672,0.006263496260850765,0.004683283923008652,0.0021285980218039846,0.0009453485060308964,0.0002342912247963458
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257254612107519,2.394146712830228,3.2321349267506694,0.279701532380657,0.23888479243506083,0.05644678218782473
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031822104233961035,0.1170134885836338,0.0316968599411267,0.011753891123853277,0.0005579863912357208
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11533981586458886,0.0322311688195287,0.0110821131106833,0.00017263725592564505
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.183280673060297,4.1371068304678404,0.18276201155893335
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345221499944208,0.06880376335155425
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1134050183310387
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
