 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,N32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,1.7902799653768144,1.697619305200627,3.0461663596699142,0.0912019954900064,0.20109856332200182,0.021971862711808732,0.006886870892464314,0.03544516510748613,0.00698908962299509,0.005211957770976189,0.00017619231657473033,0.000666721566323969,0.2719726989674689,0.0572547215423939,0.04544168524771122,0.002548028300303873,0.005951090365823239,0.0001133717405124024,0.0007952568338383675,0.00014216258865862308,5.563158864574369e-05,0.00045077361583494013,3.798293812473652e-05,0.0004862012065802723,4.566735178569703e-05,8.475290372733646e-06,1.726192769169188e-06,0.00010441282328750578,1.9215080822920783e-05,1.5356234099539456e-05,0.0007355954510002288,2.748411522368599e-05,6.380422868057511e-05,0.000475361040195188,0.002727300060050425,0.0051109410894502535,0.0008913242347880906,0.00021142029257492645
H2,0.0,0.0,0.02790591157204747,0.10905952513302464,0.005761103212996277,0.03310334847748586,0.0013947769433786394,0.0005460487480510867,0.005722859378037626,0.0011920471260828958,0.0011698628240623954,1.068809385840197e-05,0.00011689972142425731,0.009583917370640349,0.000647008424217832,0.0028901889309574935,0.00010773914846518018,0.00038752344049741705,4.244211787174379e-05,0.00011233417636313803,5.754028767901431e-06,7.493364429622673e-06,4.9416341747154924e-05,3.3187742833895584e-06,8.591830755966257e-06,5.225380318774064e-06,1.2186683575610147e-06,8.983456485367469e-07,6.296153305829222e-06,1.2396110746770717e-06,7.895572275984364e-07,2.153300162066607e-05,5.245958079047597e-07,1.9396887162903553e-05,5.070942260543276e-06,0.003027037830306445,0.019045462497258914,0.0013000486637928521,5.753022710552891e-05
H3,0.0,0.0,0.0,0.10419720553305944,0.03684591237292034,0.010091339394894372,0.0003982050907425094,0.0045324929216121745,0.0010988135855579673,0.00019761436922116626,0.0003119681135885788,3.196507422642547e-05,4.5948916356230995e-05,0.013359761304505668,0.016667248499024567,0.0018278251886777452,0.00038349619592503714,0.00017455577642000453,1.768164769599956e-05,7.143564763645305e-05,2.02248792646742e-05,3.6375692769041734e-06,1.8496898736009015e-05,5.964641763389622e-06,1.1117683538230949e-05,6.08074264385472e-06,4.255088195126433e-07,9.59703534197942e-07,8.28122971685552e-06,7.149574787757018e-07,7.086582727300339e-07,0.00011304183554727842,8.34452692943799e-06,1.9440551324301225e-06,3.0508347808932967e-05,7.634686624602427e-05,0.00025478192956540635,2.369873825669444e-05,6.627971116390796e-07
C4,0.0,0.0,0.0,0.0,1.7505870185549115,2.530547334516584,0.09268236693159393,0.08830053024030726,0.18662690695904252,0.035287633042371674,0.03292308558630122,0.0005529892624869248,0.0019060453010197875,2.6779511229150956,0.26759273844427633,0.24267306874579592,0.025052934208941835,0.0357812416628491,0.0019677881355280036,0.00443533348589592,0.0018647653390877483,0.0010058244031634356,0.0007615218232332188,3.459928999260953e-05,0.0004827298073080133,9.802271482273195e-05,1.686860830774073e-05,9.85384455098881e-06,0.00018161808610811514,1.1847136090148425e-05,1.9414186740784878e-05,0.001747489195890392,3.84909292255875e-05,0.00016171052804614394,0.004210053884642906,0.0027370519665434467,0.0013729000439941519,0.0006659826792127094,0.0001415896785460502
H5,0.0,0.0,0.0,0.0,0.0,0.08109292995592621,0.0032429536178408824,0.03384728761684719,0.009711864025681693,0.0007514536083939038,0.0033636018799184653,9.670259859184682e-05,0.00016964217540782478,0.09112908929709085,0.020076781470959593,0.013217756894574939,0.01602520086428405,0.001800932204281569,2.2361383777980137e-05,0.00048344571913983003,6.790904102449424e-05,6.422973093722639e-05,2.5637066596972957e-05,9.385046162435629e-07,6.69001761521848e-06,1.4401447252621047e-05,2.193615510348579e-06,4.555856825128046e-08,2.2421881741285787e-05,4.1803013139940504e-07,3.6682048538683176e-06,0.0003080014476175563,7.157880975494635e-06,5.974627421223566e-05,0.00019624381842375804,0.00012041184619016043,3.510774217574397e-05,4.0955707118484064e-05,9.243198379360607e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9280099461463591,1.8094618532494282,2.8419593929226705,0.2667169469618606,0.23753748435709704,0.016211247986346433,0.04283224250383133,0.1722162849547047,0.03917876039266356,0.029780599524347154,0.0024421493144138884,0.004826193842644155,0.0006093233794157715,0.0007293062721129978,0.00010799275491368832,0.00012061873338942153,0.00018251362981626384,5.941717238222566e-06,0.00016512142623015258,5.0768163174494396e-05,4.407941280426542e-06,1.2042033123549345e-05,0.0002578217177457154,2.0283324437597727e-05,9.628674238570945e-05,0.0014350519795472,0.00010876346385746416,0.0015411314807252108,0.0003263584181083523,0.000659706119080089,0.0003265319554445062,8.495570620434267e-05,6.6519629723371665e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026324981562117822,0.10301871372406124,0.023978955237780486,0.011846402725892324,0.008115244997454418,0.001535931951560432,0.02852966012380498,0.0036625824737041013,0.003549467311513732,0.00012643840481718627,0.0009168494184135234,9.667197667950767e-05,2.6026642355736485e-05,1.169520446708816e-06,8.412086045961331e-06,1.769723139399826e-05,1.0086223469762956e-06,2.376559546735102e-05,3.530936703577403e-06,2.155676521731209e-07,1.8735701916572367e-06,1.3265816811713904e-05,7.396846468665785e-08,1.63283034726458e-05,8.709511749127596e-05,5.2098185483462345e-06,3.8439804604051275e-05,6.910360989365039e-05,4.9004368919858265e-05,3.4285880328610574e-05,1.5498500412269856e-05,2.016566813090037e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11063499265564336,0.015059773198703996,0.027084761512025768,0.0006970234419243493,0.0015792510611398747,0.015627989361910233,0.024939047883442256,0.0024298778173299507,0.0008762504705348562,0.00019863912691886476,6.066472706200976e-05,9.994239898258872e-05,3.38683303118259e-05,1.7540293134388207e-05,1.0047328333429029e-05,7.303713303041803e-07,8.827974447234155e-06,3.0599166312428316e-05,9.471001334304674e-07,1.2172916857400295e-05,0.00015002427663013407,1.1768304160053589e-05,5.216955962339398e-06,0.0005671915337395195,4.694012472472586e-05,0.0011199370132863873,9.113033578023177e-05,1.2307959415869263e-05,8.619050912317405e-06,2.3043154746549277e-06,1.3568523704599045e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219024394974213,3.7857198680562885,0.14077362165729812,0.15119873452869925,0.016270479983215458,0.003984732537671787,0.0022985995418622895,0.00012855777291420623,0.0003315513122308378,2.845036785426025e-05,0.00013168123079071448,1.3830961079541737e-05,5.1518340283607245e-05,0.0006180416055004412,1.2311406734299979e-05,0.0012542493967240276,0.0002380624364726469,2.6370118942686815e-05,5.132265772145317e-05,0.0016808699907532865,0.00012370908881953468,0.0005018643758836205,0.018086485996603868,0.0004870854164699123,0.0354419600542597,0.00042121104979742086,0.00011688561784273244,0.00010611066935911628,1.9203267034390015e-05,4.0843287062442e-06
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5592754544958138,0.030343231896129086,0.02607645812766357,0.01846379546347722,0.00485361903443365,0.0017482611750216995,0.00012567108454508702,0.00023640481354469944,4.746796737564729e-06,0.0002677377436621775,3.0551146141699626e-05,5.966466555817895e-05,0.002282594036229782,4.799375417019469e-05,0.0070764608169862075,0.001325471960982795,0.0001532462045030769,0.00020099161711362168,0.008578022255495421,0.0005971556547174073,0.003132131568807428,0.1396508941536015,0.001977389452801015,0.36942507957377857,0.002579640943544792,0.00015123939346924076,5.3107475338549925e-05,2.623516809888843e-05,4.728103068507572e-06
