 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,N27,C28,H29,C30,H31,N32,H33,C34,O35,O36,H37
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026386562240473088,0.10934327201598304,0.022875845962740504,0.011278360606144844,0.0018688223168388252,0.0034513537733176225,0.0008806115712305385,0.0014768800025064532,0.00014539266504076664,0.006701649671154719,0.001176495740122352,0.01254040519318056,0.0003057131810002556
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09916510547421087,0.01211056217312989,0.04173497285735284,0.0001405482991272411,0.004761042174161956,4.809224750434993e-05,0.007408809603070554,0.0003307800073013567,0.028571250310670093,0.004608084638988097,0.004128699975638472,0.00034802049364679455
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4551166066850736,3.800364650787493,0.1163858113135201,0.549935646758031,0.03621602227305565,0.4914603217768574,0.028953893805482522,0.026589394133750832,0.004336508512182258,0.0032797294777201363,0.00028258362721877983
N27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41976558256486857,0.02616791935459739,4.366361314401105,0.11122321630810106,0.5345608875763346,0.028815901685576795,0.002891255094913836,0.000969249697126362,0.0005773428184895346,4.207647974696638e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.046046602443422,0.6100774524654955,0.02950109115407784,3.3271627968993966,0.10793389925883523,0.006148978787148762,0.0011208968493775645,0.0009037594165651752,0.00011443434404834196
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02989857679518715,0.0008632440559299681,0.0963645234435111,0.004551332334168823,2.3701750345050954e-05,3.602619664810902e-06,5.4358247480901234e-05,6.673386572231266e-06
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8734966704936105,3.495844910465409,0.118051202840883,0.0013994515563362786,0.00023075208107488365,0.00028419422494925517,3.254253463469414e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10358055423941703,0.004655643112358998,9.990191850661745e-06,2.708086161762324e-06,5.607386937889203e-06,2.036153053719403e-06
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7951523708747539,0.0015603285578985604,0.0003337646288601309,0.0001498019611103213,2.076511292437022e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.097354567145217e-05,1.8050737376706927e-05,5.015631409754917e-06,5.868133570174905e-07
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.979469038190431,3.40848978347907,0.16847437796886355
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094702323057687,0.06878567952606729
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6265965266880842
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
