,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27N,28C,29H,30C,31H,32N,33H,34C,35O,36O,37H
1N,0.0,1.0202905194490695,1.0215301571297826,1.4678233119290758,2.0850370278994648,2.444921711309108,2.646861932193525,2.638331979882824,3.8498672447613322,4.597002604358955,4.202992317406984,4.454523460360828,4.663359056989514,5.276521805536126,5.37399580913009,5.886581926775035,2.4822554311437175,2.912955900173337,3.555439096779154,3.7891501329021873,4.798546382296705,4.761747953548378,5.687598778811639,6.597000109421254,5.312266503076495,6.281378004636959,5.744671941464645,7.64009299303326,8.491673850508795,6.888719759433159,7.143651960585628,7.95377795531099,8.91845515882504,5.814544379826118,5.946643951186326,6.918745428675946,7.5772125933879595
2H,0.0,0.0,1.6264001412687912,2.0482202065484785,2.3347370092081214,3.3372968222475317,3.545677167311783,3.6076436173892708,4.620592869686324,5.464793435041645,4.890705689466174,5.037712068084316,5.225446220034466,5.700616341411867,5.762782740043353,6.2065385041254535,2.7353834403490795,3.2135723460687973,3.5635067003319336,3.740916735870918,4.727419486286968,4.686571996524243,5.367377552583674,6.278724330696081,4.8202652926496175,5.977523595216315,5.475879702721087,7.335784419609543,8.17586827204271,6.636077164200436,6.925202121537016,7.674902636987653,8.642930311780331,5.939617521205537,6.223738197714207,6.990451246414087,7.736307924464997
3H,0.0,0.0,0.0,2.021873143923025,2.9124728084013456,2.7221070997822774,3.100697908063366,2.49369853319902,4.126320487935222,4.783342473303046,4.317181119071419,5.010275812019316,5.362553578419537,5.807136994542892,5.773381888693009,6.5214979836832425,2.5596328357451053,2.523197725402759,3.8215982360024343,4.288624877013172,4.876877542500481,4.6200477409286655,5.8904579355561175,6.689648921793271,5.528052954855378,6.68499782792469,6.329171698368473,8.053989383159783,8.825629259582675,7.537906966435489,7.891321300536206,8.508860756394018,9.49565840106833,5.8592411288540935,6.074809878507787,6.84583022536536,7.506437962187551
4C,0.0,0.0,0.0,0.0,1.0972613931805797,1.5415887962708268,2.1399270009334224,2.15069846982377,2.5952191986620226,3.5167468783875857,2.887081153599708,3.1281358331201337,3.568335080754549,3.8432641128582845,3.907458981677753,4.508594796285488,1.5380411198687571,2.416769568418367,2.4687275279082024,2.627612867158456,3.8292623436601905,4.0270556271672335,4.855421260387069,5.80234316858583,4.7344482340452165,5.294702762440193,4.711963105318238,6.6119056895932475,7.486348189761218,5.819473422628802,6.086321988908258,6.874622703413147,7.82344135770692,4.632464277301209,4.602329045501085,5.843978656074112,6.416484180460471
5H,0.0,0.0,0.0,0.0,0.0,2.1599461148103356,2.4376227869937748,3.0512940410062313,2.8667436933480523,3.8399241803788486,3.28978695121661,2.819078769845248,3.0528097389241147,3.445550303200521,3.6892827331889433,3.902381990348201,2.1753526791845066,3.2901735946155592,2.534562497466742,2.2535810353148693,3.9766869654079233,4.4179996659538565,4.7433871312987295,5.782272341603863,4.61162146254795,4.891909512568594,4.07164816422115,6.159012080557564,7.117167381681761,5.069687402468702,5.20899123230672,6.23562279616029,7.147779510534664,4.795222952155962,4.693634478819097,6.0756683718647775,6.641723366981503
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0937447956268627,1.097182931553132,1.5373426521280926,2.152652048360969,2.1858776056888742,2.5447961608409297,2.9853127345681463,3.6018022420478597,3.788610522372677,4.409147497951693,2.5238580836260542,3.0790011627180327,3.462357799038448,3.6166485346521586,4.7060612450181125,4.905637723322109,5.942120603131648,6.82856661455217,6.018197117310592,6.295453969526213,5.67548664425893,7.52498346593054,8.38779947355909,6.650213766151269,6.816661805007898,7.705172860605998,8.598725739438061,5.088096881177148,4.742658277737523,6.307761130093968,6.687865553055292
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7727836965160773,2.163518055397918,2.4732111827985337,3.080319366820482,2.7689917586763704,2.7378772941856817,4.03347678553393,4.451438110633745,4.699778115473126,3.4543238288963187,4.065114200526214,4.331854940347438,4.312289761587805,5.661530130894216,5.910674924146264,6.790563691700309,7.734376346192641,6.795515786793948,7.021302208569639,6.238635048916954,8.235187941544186,9.15681871256041,7.119530151688211,7.135253290518692,8.275703801237663,9.134376891370529,6.084835027674202,5.6782743460076155,7.340123059000959,7.709833763819837
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1583658375725165,2.4575557782641266,2.5013317825552033,3.4807068868821913,3.9917966444014517,4.463616914606847,4.494967310858529,5.348696009481378,2.777097310960504,2.869848084473063,3.943819949091799,4.332574484903439,5.014269219858017,4.987268825011016,6.3698738756114,7.15754128521411,6.431072900076309,6.9273634545715925,6.473190447064608,8.178725312053064,8.967483099406463,7.521421401621893,7.776223171541048,8.49594455080361,9.41353832724492,5.364275726604624,5.108029603381284,6.455244127204323,6.8261538657775125
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097415335161224,1.095880792210587,1.5298334353106817,2.4163683604850577,2.4440624945577545,2.6176620551719583,3.367720872716541,3.031360465623082,3.6519705714321553,3.5048072581018386,3.5442686180848337,4.553506434941556,4.954483520462402,5.830599946775848,6.657137856171753,6.175186630105002,5.977229496513256,5.369223416810028,7.04525725891043,7.8781831464941225,6.1757037192223425,6.319871005416137,7.142985897314684,7.959417579016594,4.483738793828915,3.8148646005733453,5.718022851375638,5.9036044771986225
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.762033842453005,2.124501226758697,2.7486319497537077,3.085852322243132,3.329900462690445,3.9597271966880387,4.018771221287128,4.462730355241261,4.569469732411791,4.632093358280673,5.536210319398666,5.87799605747505,6.860957443122834,7.640917679148867,7.243469012369986,6.996653587986279,6.390903989362553,8.006982144984699,8.81415699233429,7.118187129078608,7.199263556636421,8.065063509764553,8.834268997965163,5.303455629658692,4.522785065280287,6.45870600706263,6.52437397066693
