 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,H32,H33,N34,H35,C36,N37,H38,H39,N40,H41,H42,C43,O44,O45,H46
N1,0.0,1.9129468247590122,1.8604135275583753,3.0118774047448387,0.09046511221593323,0.18342406248749094,0.00976942870983244,0.03924125050016275,0.0008427725933488617,0.042754367356844236,0.0330432686013951,0.0006881197407693218,0.0009324101349459379,0.0037553010253933428,0.004225629592773075,0.0009986375438617578,0.00029585558792732947,0.00018387745765657826,0.25989981528939865,0.04947582304774492,0.04280569740638107,0.0024327249053123223,0.006139147481279347,0.0005889838949590942,0.001794903295620917,3.852617994326568e-05,0.00035811626451431877,0.000301243699067158,0.00042590298185063435,2.058394005011177e-05,0.00015328242510551093,4.248743983836789e-05,0.0001270577206294865,3.139242173073875e-05,2.1854069515159225e-06,6.139064631521807e-05,0.0003390479682693001,0.0006793255979347101,2.7368893541490635e-05,2.8124499603161823e-05,9.999813522787449e-07,1.5732402582901983e-06,0.0005219344116934865,9.428312118982263e-05,0.00017439112243654298,2.948543948211313e-05
H2,0.0,0.0,0.027521534165127592,0.10586250479890291,0.00697142342025292,0.030886265249525424,0.000906363692353418,0.0016492332597697335,6.256613893640406e-05,0.000311029107962435,0.00410210648806264,9.066268223367757e-05,4.4766174918109414e-05,0.0010358258494014283,0.00013559999107637388,8.493270482712312e-05,1.8995312430325484e-05,9.172710244920168e-06,0.0076556832193958035,0.0008741743062602447,0.001268664386287699,5.0150372032931045e-05,0.0002004622865360295,4.89784046528996e-05,9.659232121816963e-05,2.913581494956574e-06,2.956135675979965e-05,0.00012566920488221722,0.0002823071356261586,1.698505804470507e-05,1.960874092021836e-05,9.46233953347253e-06,4.0092124018453745e-06,1.1023956510980426e-06,3.9055514822194937e-08,1.3236469176280963e-06,3.97800129081638e-06,7.713457706337579e-06,1.4920376072424801e-06,4.336186796294328e-07,3.237676771128406e-08,1.1476743555505209e-08,1.8696231624648618e-05,2.4212350639984948e-06,6.6399834832697735e-06,2.1568162140717106e-06
H3,0.0,0.0,0.0,0.10355684134666987,0.036505173198549956,0.009105954477956701,0.006181346533917553,0.0006985593863106931,8.806990871002007e-05,0.00035093491973769986,0.00073347810819413,2.8678377045787684e-05,0.0005042090877385164,6.731464084097638e-05,0.00010013629797744894,4.1671335441861856e-05,9.399233893425674e-07,1.4590076576892486e-05,0.015431063900763431,0.028725833018178215,0.002327120274206118,0.0008009044961148071,0.00033514688757441125,3.4773475192428904e-05,1.7047951501036884e-05,2.050291485033995e-06,6.453593137667468e-07,2.327611237162852e-05,1.5430725997189754e-05,1.255350885465134e-06,6.115402013273652e-05,6.162127220932234e-06,0.00010313662747063468,7.048501487971759e-05,1.7233692386486865e-06,0.0001396902527498467,0.0011907933131977133,0.0007625887508648788,1.0200772148527548e-05,8.950118288142406e-05,3.400679970955167e-07,6.155915834860082e-07,5.042787164943885e-05,2.673896410598786e-05,6.362432862561107e-06,2.002281353830071e-06
C4,0.0,0.0,0.0,0.0,1.9537363020593874,2.6152079012721368,0.0852848397798518,0.16700163305076343,0.006147105484466842,0.01677694356795323,0.16621751952958294,0.006706684440115351,0.009887795843722458,0.03022353557866775,0.03179077025654495,0.0006042698194959062,0.003412167642466768,0.0008218825918935302,2.6757749176654952,0.25652016759462837,0.24114311017633974,0.01937235559688666,0.036299156152553386,0.0028833995232300236,0.00321598216871799,0.00013422299253473824,0.0007817650387327291,0.0009700167976071372,0.0006655324231452653,5.4075898839656134e-05,0.001616971521781141,0.00011560242736563531,0.002040857307677779,0.00015414471483785053,3.03595866312234e-05,0.00012918810465747943,0.0008670772158784895,0.0018992498544929681,4.014658315920627e-05,3.0205528916554814e-05,3.1620088473127694e-06,2.583931571931153e-06,0.0035031212096060804,0.00042677440058003224,0.0010881516141442865,0.0002268421599451731
H5,0.0,0.0,0.0,0.0,0.0,0.0784227519960432,0.03484492034190567,0.011907045726626042,0.004310925060685422,0.00043045344884107273,0.006244791110954218,5.416454433992968e-05,0.0034184266170076416,0.00020875486490856687,0.0012552937071457215,5.611705399188871e-05,2.0321032124570593e-05,0.0003931188252397355,0.10140073976014774,0.020402942243099353,0.01359727420635548,0.013276076620159172,0.0020206730613736568,0.0002818758285472178,0.00010565072076906823,1.1544194712609368e-05,2.778419118465436e-05,5.3496674728759075e-05,1.4811329974051546e-05,3.0328721092320876e-06,0.0001680523142892909,1.3551216904827967e-05,0.0001572052621350295,1.653520418110066e-05,5.615011955839577e-06,2.1674374990343637e-05,0.0001489760378058369,5.1744860941838056e-05,1.3466855770305486e-05,5.705393348098831e-06,1.7163250867202606e-06,9.97706260497111e-07,9.375267638001006e-05,0.00014983636456411542,3.233755120335413e-05,1.0970726438852552e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8981805546570023,2.781973329326249,0.08391636597652408,0.0901486091365038,2.7994383428672998,0.08464998755800801,0.08321352450428332,0.09133031805981928,0.16168501454236733,0.0060901516716522774,0.02904008885932141,0.009647548744818879,0.18333652665255062,0.03094180484371413,0.033335033755026805,0.0013422757590564327,0.0046984659269098394,0.00038457838877636874,0.0007453178886246414,4.316324256925519e-05,6.0919083570531996e-05,0.00028698620127917684,0.0003546954368072175,1.0239363338104823e-05,6.406996227630024e-05,5.051714093595727e-06,6.019454249195366e-05,9.694506132251757e-06,1.2007162867311294e-06,1.5603335155517373e-05,0.00012569431685172106,0.00011299474983372804,9.045491520143223e-06,6.879700092679575e-06,5.544886633179757e-07,2.3735069520913754e-07,0.0008011438104501278,8.8474132216812e-05,0.00027347568063036676,9.287814255576343e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07635643487196031,0.03466030461430214,0.002562241744026972,0.0814073668718629,0.004944034464862579,0.034618141848803186,0.0038693559226827823,0.012413900891360852,0.00011864464512845174,0.0007309426605199842,0.005714495738137204,0.007922855636406156,0.008515153601603154,0.001539033659136546,0.0008091209452329995,0.0001679309317106359,3.0097662322647878e-05,1.7004795608732692e-05,1.265315792364774e-06,3.212056831181087e-06,1.747033290766531e-05,5.5074677447475295e-06,3.635974455296065e-06,2.0062564481282408e-05,1.313445375350497e-06,1.4203488392983132e-05,1.9736542018478076e-06,3.406688737772612e-07,2.8994108094426707e-06,1.8575910909590654e-05,4.948227597778576e-05,4.250857426058019e-06,2.836097067193677e-07,1.9128401085310998e-08,5.269097114179999e-08,1.3368374268685201e-05,1.546296337462394e-05,2.4450071036685728e-06,1.105077591656567e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8171023592773239,1.9714014133439137,0.16153290338462523,0.03161511779528925,0.008297077710452738,0.008175873813294876,2.7686127784973396,0.08405905848875594,0.09120763689013645,0.08493384574658869,0.03017723070563688,0.0063440454590088236,0.004858273666738494,0.0001716311823749539,0.0009915875869787871,8.65051774284753e-05,8.523028207815808e-05,7.411832095516324e-06,1.1019581195315098e-05,3.1090020097546134e-05,2.036085215895156e-05,2.1186320691146676e-06,1.6355340479515257e-05,1.7437897297245541e-06,2.8067998191105836e-05,2.7186806199896996e-06,3.957823359046486e-07,3.3348127390364635e-06,1.4193954518473828e-05,9.825335048341266e-06,1.9292441455487364e-06,1.3068019212858495e-06,6.414277597954765e-08,2.716777736111453e-08,0.00020483491990561098,1.2735230396271335e-05,6.924157590683377e-05,1.9078363710178792e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02439593592695588,0.012684125773662291,0.000861755133231279,0.005130994626649343,0.00023697820939161396,0.08399256499874874,0.004984964126260705,0.004022547192558346,0.03429406518790312,0.0007658610960237233,0.0004864230684732407,4.771948343496035e-05,1.1638120742674118e-05,1.0549795018688357e-05,2.290406160954106e-06,1.0111511294930153e-06,8.778992888203163e-08,1.3250459862668151e-07,2.863390805130095e-06,5.969808014594236e-07,6.384338677722923e-07,4.721089130965694e-06,4.804976019290308e-07,3.477821841846307e-06,3.996389170701775e-07,7.678433555646791e-08,1.687463206945239e-07,2.0015340860268793e-06,2.5489223764996183e-06,6.516182631255418e-07,5.2458637433971944e-08,1.309946773275783e-08,5.478787423740528e-09,1.885681267577155e-06,8.099480133250125e-07,3.602151501524986e-07,2.781529984119402e-08
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028746008357146358,0.0021186221624533985,0.00033972677009508345,0.0011354717685321258,0.08763862550885093,0.03259180081816537,0.005368235651610931,0.004541669469998677,0.0030228922479733633,0.00035366795877089796,0.0003947372493431356,1.385297536593555e-05,9.383807332730143e-05,3.737020909611033e-06,6.335021250469808e-06,1.855466724709487e-07,2.005096181534327e-06,1.8864499247150945e-06,1.5629006386852495e-06,8.602614531838526e-08,9.891363510483586e-07,2.539382568667037e-07,1.702366501321606e-06,1.2173559216233087e-07,8.546804153297671e-09,1.1451949677443451e-07,4.700449349748226e-07,1.1747410588736074e-06,5.4252981884772566e-08,2.579127678092874e-08,4.402131104086493e-09,5.1216326735215034e-09,1.0742658107298908e-05,4.1334262090853e-07,3.3997044409650456e-06,9.871723576360125e-07
