,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30H,31C,32H,33H,34N,35H,36C,37N,38H,39H,40N,41H,42H,43C,44O,45O,46H
1N,0.0,1.0184574470392367,1.0187712170642689,1.4641360770250451,2.076118996181822,2.482119243339923,2.651093667753267,2.9712091687116065,3.494872221034758,2.4805057698759767,3.8421761270704513,4.1598626967825965,4.192041262480521,4.652031649034731,4.269531052826943,5.001336711907957,4.878746292647928,4.318019424919915,2.4708430324207615,2.942618643113916,3.504062583919259,3.743328748932133,4.8166082173879365,5.066863596678586,5.377662844437578,5.464528682900859,6.437221110677357,5.029592349700097,4.033432174045516,5.764381409586345,5.600695207545073,6.640367593007747,5.2083039679696865,5.871297642967163,6.624061817086626,5.513828003317456,4.553633100400886,3.7913652494212946,4.808569135180026,6.472655647864706,7.389000363954363,6.4808133260451655,5.887498808089452,5.901105261464259,7.0819824545437715,7.760519961002907
2H,0.0,0.0,1.642386906528382,2.0632280139113592,2.334169464879833,3.376608952752605,3.6266878290444082,3.834771896695202,4.181245531554573,3.278935719700749,4.608126577708614,4.84954284869979,4.808029875832115,5.504796558825265,5.206088246954523,5.937844641695391,5.742543419574241,5.3081222484645485,2.747694237920214,3.282250824078563,3.5126370343749436,3.7159596603418925,4.773773238673655,5.1918701731451256,5.075795198658734,5.005834335033998,6.165941440220093,4.673972899526707,3.625603518621439,5.260147809429209,5.464473732053496,6.499784018441507,5.266646482933203,5.710459835851208,6.349064485143577,5.490524952933178,4.733091959878707,4.019996243094093,5.1242927684472,6.424184033468238,7.280613200603036,6.500457583837109,5.857432605874834,5.868960509124016,7.059347341706772,7.739435206587223
3H,0.0,0.0,0.0,2.043071952140295,2.9242752400476046,2.767699161349386,2.514828224589894,3.4447908517370616,4.176608196637477,2.989686783449601,4.121908011492497,4.276059367987506,4.685362271273561,4.851870643625379,4.5079328173208735,5.237809012346141,5.197388569314906,4.308296194351505,2.6085204842538707,2.614055385669288,3.8283625153239287,4.292323971872665,4.966943033554909,5.034176213253415,5.453798267937386,5.70338022906902,6.4686229513441615,4.873843858885606,3.8858635699578223,5.62378742669152,5.200755019687017,6.271034004468674,4.772795303440934,5.280780925568177,6.06192258425134,4.745262354871606,3.712263414678568,3.0595157379898112,3.862062175355812,5.629472229033847,6.580946519517899,5.564221256759525,6.199073817780752,6.391121595114775,7.28909345174087,8.047491303169581
4C,0.0,0.0,0.0,0.0,1.0981999248595948,1.5548985302878362,2.1426846271359583,2.539037172295223,2.863724892057812,2.618905737907091,2.557644870567007,2.850630088139525,2.811433260147436,3.5114364913267737,3.9179936761937117,4.3665267844426054,4.694498502952232,4.17168309152802,1.5336344473450516,2.4261297926419556,2.4628895415129595,2.598368771897041,3.8464115110575063,4.0840303245152105,4.755431128697082,4.907602668891655,5.753722525795201,4.786126817650604,3.9854802848894644,5.6744390226371,5.339811508569273,6.270583312128466,4.79359096698788,5.94687248445675,6.7814184727328435,5.779196262715161,4.789782498109349,3.8406435663925214,5.146676299858492,6.921613514370912,7.795899114413418,7.071489505455634,4.726133796782165,4.667710921255593,5.942701328809914,6.555692950793109
5H,0.0,0.0,0.0,0.0,0.0,2.1667607375232123,3.0448085398629083,2.7204716072845097,2.6084154374044815,2.819648738563371,2.853052121277547,3.2946509085030353,2.671161086747785,3.8258420623394778,4.220071086761913,4.61867895036474,4.848622853185285,4.712491235546173,2.1583718759110218,3.2945000168383762,2.5163520838277558,2.2174864732853323,3.9695100880974583,4.440932990506997,4.8746284522446555,4.8080398664208035,5.875264512287727,5.148292566917736,4.390093534156771,5.958014942189583,5.933592456563313,6.804278239539166,5.4827889319173515,6.662553164126784,7.4340609025897075,6.642180646189585,5.752710541316194,4.788844732317132,6.182034274379316,7.808651348931403,8.644273550558738,8.010125055880524,4.568547799200041,4.250372672326505,5.875103471177369,6.36642574345173
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1013874004305926,1.5431890681229965,2.163391408310999,2.154813014531664,1.5376211245174543,2.200805117191432,2.1889049605754423,2.1800930326308725,2.581854575649057,2.890897543420718,3.522979302444897,2.84430209644008,2.5369028880360918,3.081078046132983,3.4949490926245863,3.5859215881488664,4.714201373334907,4.679797912891692,5.876642843503417,6.175052973946554,6.767829990637116,5.964787410294064,5.262004558228622,6.944140107716027,6.231784225136506,7.1093197444532334,5.472708071644343,6.820990252637688,7.745312480793728,6.485125147068704,5.314098864872088,4.414199235343511,5.440401650737054,7.5843595999412425,8.501800375735359,7.628455827781874,5.424770618060253,5.323623005184161,6.546436174697093,7.0948001847088085
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161188999206551,3.061169599126989,2.5557728517876965,2.152322145460316,2.4818951392358817,3.0771850707613138,2.526755710523759,2.7347388121334055,3.101135677576754,3.7448892105147262,2.5503248748696894,2.7872570964294634,2.8634365008770937,3.9714806254796957,4.302151775327081,5.037270369018391,4.805519823110358,6.115441319281487,6.556674012150811,6.97414292873393,5.978806041245921,5.275552111699334,6.972047235169092,6.0056938930435955,6.908076323044237,5.183780516894686,6.418333647527096,7.3729562798093,5.903684395965819,4.645151239483648,3.8545773749535197,4.612704943959372,6.914911760767191,7.859179351755743,6.871861006460137,5.938250405387859,6.03075404544419,6.951617830457909,7.589636587658013
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1004129523093074,1.0947825261146624,2.5547617916961145,3.5176099248240744,2.857902651271042,2.7679680283986623,1.5336934232541306,2.2006525069339404,2.1737427818573396,2.184518212650862,3.8967750399169043,4.523811759263,4.753719814237016,4.620896769117033,6.080444573679666,6.159737750028137,7.199224155156425,7.352818822616112,8.137574242393683,7.286917187217839,6.488356483187915,8.200095133168213,7.666974742590747,8.582057974654601,6.96094223353529,8.172342981247203,9.064143722902937,7.754740396032851,6.561616847937259,5.732107132778295,6.580903352558979,8.762056619096814,9.716778486656118,8.694125257224963,6.662559991231749,6.3545477633252645,7.851707056721085,8.310988561506473
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7600363601619566,2.7239144569149096,3.7691787072808585,2.5834499966651214,2.983504831393099,2.1661896745397247,2.5375082525287995,2.506105237451248,3.0865089768254923,4.216868385133064,5.066869778205505,4.795523264240116,4.430612926818861,6.142464657177804,6.3602721186814115,7.299069912202989,7.328963252281852,8.223778430501099,7.581016652901125,6.823048539760301,8.466923153113255,8.115845258851909,8.985442411772757,7.453742688733765,8.755724757211896,9.621816926452414,8.474314917387133,7.344367018892474,6.44969401972794,7.466714204542706,9.547183101711147,10.474559382739177,9.551404588924383,6.50082235259835,6.00133663230609,7.7308622340721636,8.079081700310681
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.475922168417747,4.329034039106006,3.771241683687277,3.805852016696739,2.158960161145809,3.0891770969355914,2.477954271319715,2.5293110751993697,4.098283100284618,4.680803545761285,5.039729681039714,4.95239185761565,6.4310127511375885,6.585329525839962,7.366939369316254,7.450797398936107,8.372584704217056,7.286125672282587,6.378540177499101,8.114666221605932,7.740943013488934,8.725923152217332,7.137542340314274,8.097080430506546,8.933714908370508,7.613123688257567,6.456599190482419,5.701390972968326,6.451241932802035,8.529536736805637,9.499811793780989,8.394885458644291,7.155197193078541,6.880119834330838,8.387642822860226,8.90123330479682
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964684943029377,1.0981692187360417,1.0938540456966575,3.1904005796249244,2.9347529141808155,4.165362973890622,3.607912190591127,2.923131804310571,3.4982144047469426,3.4497041692415533,3.428857196945593,4.397611745356926,4.253736456612532,5.809924416491091,6.181900883296887,6.536548709075285,6.21644732228663,5.7463855492865,7.259948246672756,6.398958930528678,7.103981609205505,5.5407776816678345,7.232963539952591,8.183228903052955,7.067871337354472,5.957534362930777,5.008927168293499,6.1588864533699965,8.263799675691647,9.11091544916621,8.426779071831223,4.761537814655765,4.605930724541456,5.763163672928293,6.1920327576115
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7771425672386163,1.7600262493807382,4.135268116822963,3.860687082464794,5.16417991007696,4.365810379157365,2.6090587928784057,2.9571518028216497,3.0382188997780544,3.248211743636705,3.688881266447487,3.3510874341970633,5.138305704334282,5.660622003357501,5.76133389962404,5.567880224751799,5.24810132428013,6.6455324358441805,5.594818422677537,6.21430138316376,4.680876224653907,6.5062416591278565,7.465721934204567,6.425928687032087,5.387635422066998,4.443474336348832,5.661445325558627,7.6608708107814945,8.449766413288385,7.911092348268376,4.115432786879735,4.202244851144786,4.9759905839734815,5.479834804775051
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7657238996835614,3.6654400312985387,3.367425637573118,4.473598912726331,4.320111462865775,3.233340780526071,4.084934928292503,3.380359455540915,3.0440725859261413,4.357723645848172,4.4327314670935785,5.792859083371239,6.006644905549421,6.507399065531471,6.419138911048896,5.984765592168,7.41363605623828,6.806954938394841,7.46302733095576,6.040192118529807,7.766706662498716,8.669859605252528,7.747056534192529,6.723118703747553,5.727459783362571,7.028793784633085,8.991606527241547,9.808677094226423,9.218798891448131,4.4213879389564905,4.004583274943951,5.495678517621455,5.786746842929659
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.838982443599505,2.258042419213218,3.807870017137577,3.239020121370823,3.949444952510314,4.360784983365868,4.51869674491499,4.4941892125661065,5.370625065931014,5.108445713116373,6.81504057844863,7.2353045236282645,7.484942012414366,7.202246381783715,6.751204957199312,8.26438741256147,7.252645085414377,7.925647585709607,6.323866601018046,8.03562770414742,9.013454347194436,7.773510927388112,6.599408143188535,5.7199884016247236,6.667122661307945,8.914256847504374,9.775702625426566,9.008652436970124,5.651198848050618,5.480177413821398,6.547778323016563,6.918538896965959
