,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28O,29H,30C,31H,32H,33H,34C,35O,36O,37H
1N,0.0,1.0172964936016142,1.0169346168525535,1.4589624377077919,2.067601731389273,2.4748971389082777,3.392508103692211,2.6788633936089257,3.039953084615575,3.245097073592906,2.972727831744562,4.121875653342231,4.507348959617382,4.402906423855977,4.951848497629468,5.085168827944408,6.005916602067809,5.205051118344909,6.1838170585396055,2.5807682175922597,3.7016340508885692,2.8398836599370454,2.380769848141182,4.251288091080331,4.724213280217644,5.241470599366832,6.198318340216593,5.199111428782033,4.529512160588859,5.618676902113682,6.516353170275446,6.025552276051703,4.936255542158203,4.685609699442105,4.24002437610227,6.017115861806545,6.41551774260786
2H,0.0,0.0,1.6576023969607359,2.069113220634716,2.941589023776162,2.7433550665219624,3.7343450404740257,3.0692167829289554,2.759276011003492,2.7018384801050335,2.5636362570219906,3.752785717390479,4.316421248043717,3.6542022773719607,4.15751319592364,4.489237367292184,5.4237728237143905,4.451107067002677,5.364897119478791,2.8637477934278652,4.030153218767325,2.812450526654108,2.269294492923936,4.208562497187231,4.867748832641722,4.943282082159921,5.938841671112194,4.659483753315656,3.895558468355511,5.331254723750255,6.116892717556487,5.905921913127789,4.613366918747614,4.661516806383908,4.218168312235402,6.003351833039004,6.403870900636134
3H,0.0,0.0,0.0,2.0759847682319057,2.3696564676137113,3.381004206362297,4.187513426434474,3.5822764644417173,4.0094846596291775,4.208259863453702,3.901300195256729,4.990987657282041,5.292638702706138,5.28476222513026,5.77198412861585,5.928622921011333,6.797079247170807,6.0574276219329795,6.993790981630746,2.8572679230702462,3.9990928734804863,2.837244408386106,2.171698512217631,4.086057739686026,4.568487026648489,5.249490574774118,6.098145321843051,5.222314041422408,4.693470017622576,5.868663443547575,6.79970902718822,6.247644468223249,5.3478160159434545,4.2056267822418,3.5841408646413053,5.515449814597029,5.795841304412194
4C,0.0,0.0,0.0,0.0,1.0979909891854531,1.55200801167971,2.148532349044194,2.144642006129257,2.573870310957233,3.387130399445473,3.4247746076939065,3.444889416634914,3.522508473038998,4.622726359736139,5.410108576640776,4.665557512636846,5.475972912677913,5.1541108391422075,6.20569588717592,1.5489424152371045,2.4230573686212122,2.4774522238635415,2.5752154388685224,3.8336184924396894,4.024165539548082,4.833069118771173,5.799822124098604,5.141195026345387,4.524048160340158,4.9091829052534885,5.879952179505313,5.110164973998225,4.1884069272883915,4.649116048277438,4.560113866455017,5.886361917151143,6.46069383022399
5H,0.0,0.0,0.0,0.0,0.0,2.137828407254926,2.41898896922194,2.396722243472796,3.4758636297210015,4.29686424123058,4.1840108370285,4.350346575272278,4.278171248159387,5.6041473094444445,6.360106669057699,5.645372561936655,6.425414746813356,6.178112300838856,7.2445292978375475,2.1056456687431626,2.6546797957732435,3.144885990739699,3.253088193534449,4.3332630090498405,4.305128003673607,5.520027957465618,6.396758440824778,5.986357121870712,5.464408145538779,5.61944246616764,6.648023930658193,5.64536021299608,4.990789545851595,5.032115040426335,4.922734838663694,6.194536301399005,6.72982893856142
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0939683942524745,1.0952055253065531,1.5150656001123979,2.541188577866156,2.737949032255139,2.5371196526095825,2.729001708813005,3.8285546708537126,4.694636349550305,3.825262393514936,4.690103866072372,4.335088559508555,5.422115214802685,2.5374112906025394,2.975980606939616,3.5831803137349802,3.817083976051585,4.895774481718908,5.0526533990474185,5.568288965300571,6.605513652792317,5.822222110983844,5.071139732718723,5.252867079348107,6.093149474204636,5.4589148326523596,4.316064338210643,5.937593252427601,5.949797563216886,7.142435929759595,7.7959453908406005
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729154820309383,2.1516830790956916,3.3973394805854946,3.7254819513653317,2.6659843950368147,2.443280387867826,4.561930131445959,5.506789725643828,4.045263737191298,4.732624650520604,4.824389205720989,5.8910261586552926,2.673754880351615,2.6255407044335897,3.9222161804571023,4.384991593163466,5.045386117473513,4.984603429087629,5.679914590918363,6.662574931915408,6.159413781921771,5.493879308205395,5.146286369288986,5.993853820375057,5.151539183681432,4.2437108200561555,6.234615901033615,6.425142415034975,7.328827706614769,8.061391977874889
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1519196206546733,2.6988626161232157,2.5050129818430285,3.373925527865627,3.6834779525387207,4.070117258761743,4.768685859731957,4.545538157047698,5.481196839607958,4.827980429823436,5.895077783733009,3.4581240567597225,3.929462735753649,4.472295869915897,4.543170673045698,5.838653666334111,5.999591044134083,6.59597571446809,7.6317793149875595,6.7792318305528445,5.998349978384801,6.341693240730286,7.175864689517631,6.54609814376884,5.401224588170268,6.753367714172396,6.622428956871597,7.997485532351785,8.58575777190323
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.403932697849531,2.1552701468640207,1.4039599067205442,2.1538098333928652,2.436827832657499,3.417632831113018,2.436248375968788,3.417050659299027,2.8201646541515166,3.9071869222991666,3.144293592016083,3.654966189924911,3.794299907576732,3.9969512073106306,5.052704900219928,5.425205348238608,5.330513890087912,6.418415430269233,5.3112724037744,4.437702535102224,4.898473097864095,5.533560784455047,5.34222746577095,3.846522192626654,6.154051836402981,6.198598640563907,7.352377362760711,8.024120977852295
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0876922303564809,2.410833556925063,3.3959729328638524,1.3972501674099809,2.154506931059604,2.7872858236323226,3.8745539886087776,2.42156738506997,3.40769303992921,4.186971879105991,4.910996874101645,4.563096650556529,4.481860234138427,5.8768507129621606,6.427325744922705,6.099451873607973,7.190390095275571,5.768544004109894,4.817445921590842,5.847283997095029,6.376157665839527,6.452896400139309,4.823364588304512,6.7739735057444035,6.615718758481285,8.032077409464069,8.59960633560503
