 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,O28,H29,C30,H31,H32,H33,C34,O35,O36,H37
N1,0.0,1.8061028017018437,1.9801830702799958,3.0010602075202075,0.09905161081688407,0.1831007959530747,0.026779060086422724,0.01113726245908242,0.023603299455762367,0.018566890294005295,0.008771953304695157,0.003948901344023051,0.00023776028755884138,0.0037986395329107775,5.621090581975352e-05,0.0024379626572491875,8.971779557387372e-06,0.0020354287043441582,3.9638447063561344e-05,0.20263414105985314,0.04033286097103371,0.05224825296200185,0.07616764246358787,0.00650865175668397,0.001564154066714396,0.0005617350335004878,0.00010680428565124078,8.350626423345164e-05,2.455221567809751e-05,0.0001467902933395132,3.1177903007439944e-05,8.166353838578999e-05,3.748425983141068e-05,0.0012432284689349316,0.0012061792258939719,0.00027576130256345976,2.1126341465116383e-05
H2,0.0,0.0,0.02826379113056765,0.10558652241600464,0.036159925522210035,0.007905706367138388,0.00029047629977441147,0.0001825503795884753,0.01569964103194721,0.027924149507381868,0.0034460170749408547,0.0009119321870784125,8.770877636621321e-06,0.0032507134097381485,5.4247849790023395e-06,0.0025240471075943516,2.3833174487286612e-06,0.0016263194238265166,1.9106761000031725e-06,0.006256080282294851,0.0011769121650055947,0.009682668847281084,0.007537388906558418,0.001084706110945577,0.0005437537055428265,6.202996054172072e-05,1.4410278559306988e-06,2.394996852905784e-05,5.0616081054055684e-05,1.5206396001832267e-05,4.95375616083038e-07,1.735036114558497e-06,5.956706950138724e-06,0.00014045192440681475,8.198405191373048e-05,4.6844140642043897e-05,7.604474672850969e-06
H3,0.0,0.0,0.0,0.10500496075773047,0.006165042601229409,0.03237906955714309,0.0019114011309515622,0.0006443910325169,0.002169348351522715,0.0011834498884125688,0.0002864552366257378,0.00021624188179691917,1.5497297944255806e-05,0.00035002088361968386,8.031747318337779e-07,0.00037622047505070366,7.499013887635186e-07,7.789421553516807e-05,4.836579349465353e-06,0.0050718969153763505,0.0013085633905189908,0.008880741850753937,0.012198755708467512,0.0010001569464921367,5.92204224212356e-05,0.00042273961199268406,5.6763405708259995e-05,3.638045940457246e-05,5.550105703022723e-05,4.431728562614978e-05,5.962355458466462e-06,5.792326120079849e-06,2.8580663211652535e-06,0.0004575545999173647,0.001752377894961965,0.00018652783607808754,1.80717649165274e-05
C4,0.0,0.0,0.0,0.0,1.7528522345075195,2.7239271646673906,0.09106579339415122,0.08915054159009927,0.16688452210486754,0.03587783400870287,0.0011555888050711616,0.035055967855309636,0.000551090513929875,0.0037652081205394733,0.0001751804031659976,0.003881114890973536,0.0001957341418650227,0.013592538819638983,3.077660302364116e-05,2.594159185071551,0.2915211247732274,0.21782551977098796,0.01451450671910648,0.03680729263161009,0.004865063746521514,0.0034613419708797166,0.000859936328307942,0.0004203510003089189,0.00025747926284869216,0.0011932572191287183,0.00012077462956416873,0.00030265455380851236,0.0006032857117390655,0.00348457157228782,0.0003663836443354995,0.001067558683757991,0.00023007432825938867
H5,0.0,0.0,0.0,0.0,0.0,0.09421966909577839,0.005187976926297022,0.006403142575098109,0.024202726305907363,0.003300809892052392,0.0002185550642097578,0.0033019779173157904,7.86340550398279e-05,0.0005911062068655326,4.03275774545353e-05,0.000502258307422343,3.641102538809449e-05,0.0010715677730567252,2.1666746290449623e-06,0.11368220716439392,0.021532355852871166,0.022139517311470347,0.000999812812370493,0.002294391241074223,6.937039037890891e-05,0.00031161635958443235,1.9038667962156808e-06,7.154622458949156e-05,8.691554550166458e-05,0.000191761825939607,7.901625300288373e-06,3.062329465564062e-06,0.0002143326043866356,0.0007802222667756542,2.81150738797864e-05,0.00019372572393272502,7.214070133931827e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.002710912892458,2.010110609538409,2.5742589311330546,0.23404674524130456,0.014101865221511911,0.2371583829548249,0.014444545210542392,0.03514733007528216,0.0025932111474566977,0.03594619623822304,0.002587121198646347,0.02163223542038531,0.0004992091428290824,0.17920980324182767,0.04391838456705312,0.026954264411754997,0.002179579852038316,0.0038970176939448486,0.000519060789307968,0.001155036843640822,0.0001255211787509758,0.0001363340336311275,0.00016409538240269583,0.0002773602320743085,6.8367830774462846e-06,1.9146612723286438e-05,0.00021485100129270407,0.00038295507077781843,0.00012532199070734718,0.00011755192302993767,2.0472897257595157e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025568363768443847,0.09981495465789669,0.02554256509757158,0.0006474096259416751,0.017720724540832178,0.005870530220591252,0.0028096338950199806,0.0006687813528638564,0.0016670673310987816,6.198068282503577e-05,0.0028109674517142746,2.6273964554457407e-05,0.01186561482685744,0.019348386565250064,0.002112027058928878,2.07215843492925e-05,0.00022011549368383676,2.4269174405677774e-05,3.721891825381185e-05,7.308943928752143e-06,4.900079349501318e-06,4.428171347381493e-06,1.71669761108717e-05,4.0854616623065e-07,1.6066510764023434e-06,4.367845773289858e-06,2.5017262608617585e-05,1.897870055778128e-05,3.0508364115000575e-06,6.932781659862997e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0950834348827383,0.017174043480986723,0.0052563675793753095,0.02701083804658322,0.0006332607462311568,0.0016454082485317656,4.9464456017611624e-05,0.0030996763956467888,0.0006466213243305763,0.0036904057057774997,2.3075529943517026e-05,0.027603355316428324,0.0043504145448050036,0.0035894290993935263,0.0002000053892918796,0.000886835686162879,6.538131196087704e-05,0.00012064499501063253,2.1448823953384988e-05,1.3907777363875162e-05,1.2816267549231597e-05,7.123026859690018e-05,2.929490208414265e-06,3.6326826620136643e-06,8.578028783023939e-05,8.564571430214052e-05,4.001275172416108e-06,3.0899431032516134e-05,9.18412714234762e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.682325562020929,0.12244261983892168,3.7275965630006356,0.1234976883474026,0.3269747949039916,0.026243720959541417,0.3301914667225686,0.026275430080764606,0.3005533164852188,0.00393406651799455,0.017493207489908874,0.004675481446550334,0.0030274950149132424,0.00011940548327038503,0.0004502300882470722,7.641562534599355e-05,0.000244159093153673,8.91431149618871e-05,6.631710371796107e-05,0.00017362538036813646,0.001923505764192493,3.115241253515144e-05,3.375849364584127e-05,0.0015407084559950768,7.300700241616442e-05,1.2309577899730084e-05,2.1602969507567016e-05,6.414426290013431e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.038110764328658,0.3276827548547594,0.02790724226579777,3.5913797190532826,0.12676083220273604,0.3129962760311218,0.0034843200138363617,0.33248781539968236,0.026891438758814168,0.0029275693754529375,0.0007898065551560085,0.0003881010967748122,6.533389105489729e-05,7.855929812597418e-05,1.03527314573304e-05,4.8920290250054066e-05,2.3241212581015525e-05,1.339924234179668e-05,1.9221496450949616e-05,0.0004522041292315121,4.95213126305849e-06,8.81615593173457e-06,0.0008172236494590202,1.8509506352598626e-05,2.6367392421400293e-06,5.5324323926242425e-06,1.3575204611537828e-06
