,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20C,21H,22C,23H,24H,25C,26H,27H,28C,29H,30H,31C,32O,33O,34H
1N,0.0,1.020365497528473,1.021830586320254,1.4683535093828486,2.0833141973732987,2.4482886931230574,2.6179528000914587,2.6586745279202817,3.8097967007505043,4.522704445345173,4.855380115172509,5.142078529762114,5.707316789363081,6.608293099836427,5.92203864279355,6.846287853356517,2.4792742995600143,2.875875464646252,3.5853928469427645,4.776653664525617,4.777625261724467,5.846094809563984,6.8345009239821,5.972179786447046,5.6757442261764535,6.1069273803421735,6.388093645591798,4.226255422218457,4.189038883972376,4.166614184635471,5.508896994285121,5.765107408006229,6.338682127681907,6.941152142991163
2H,0.0,0.0,1.6247425721716762,2.047786598947043,2.329823401157796,3.3400461237154735,3.520222544848363,3.6255340415476316,4.577644694742622,5.132455930420778,5.636392393663206,5.956084252272029,6.31379089388836,7.143143108590539,6.6188885839631455,7.533276962204868,2.7439188021697545,3.1930051223764155,3.6050689882573232,4.718880978086264,4.5905815761267625,5.658283173625961,6.68788437903153,5.598053011297633,5.591147254510158,6.189515274937258,6.20662078766189,4.166410319000612,4.326039539014024,3.8717837679978184,5.687954833846916,6.112063855078911,6.460030810666044,7.169954927238194
3H,0.0,0.0,0.0,2.0206791589711313,2.9078862798091154,2.7318740727913804,3.0718777955151806,2.520818365257629,4.105105822429998,5.050410110024802,4.928663201469538,4.997290032203267,6.133990618642647,7.106751388343207,6.127515889970827,6.985834512548282,2.538007900571882,2.459390245179203,3.8095139808283593,4.7851085976626715,4.642665757981992,6.040711614944538,6.953429505707648,6.204844372646142,6.078669303095908,6.457940629281244,6.892358208055888,4.740668796334161,4.796468438537851,4.802946972637471,5.353472576454954,5.671537455381273,6.012780834763954,6.571137013138573
4C,0.0,0.0,0.0,0.0,1.0935487472596876,1.5464809108730637,2.140530517453454,2.1519959781875793,2.5553393797838586,3.19983025747733,3.630012816420453,4.079655928852279,4.32244719685323,5.218218782363838,4.572547330813392,5.497015006697531,1.539990795379976,2.4063492777649076,2.508689158293657,3.8530551141078253,4.1605619890439645,4.845535119908086,5.803148088635387,5.168922856334501,4.471906765890134,4.768890457626118,5.239947315022722,3.0410506305693574,2.8545321889280637,3.258726686787842,4.48156814839469,4.561066784918694,5.512930918391256,6.063092396078395
5H,0.0,0.0,0.0,0.0,0.0,2.1597503548677457,2.4546873971444887,3.0493192497640815,2.8093045639529173,2.948989489731859,4.034482142728373,4.697669222232072,4.1407476892313175,4.877293700063168,4.704642200903962,5.6574720908710505,2.188213126687584,3.291658229133109,2.6180188927109684,4.072567981657414,4.500381491716205,4.7388036878388915,5.754342651607816,4.982709103194993,4.105188704521216,4.491809008554089,4.6930685413739806,2.582829825727908,2.2624877208896756,2.5923104548832487,4.890127058645538,4.9371348304118685,6.029433217836447,6.6261596180397895
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0958898162671562,1.0966901449671882,1.4992992444432809,2.524997109168674,2.5842586228023663,3.0457270336760125,3.588897561100192,4.594211171893004,3.6644375901120165,4.610055272437819,2.520060295245832,3.0659664216771976,3.4888537110105444,4.726179315836039,5.182033055021483,5.76619937175044,6.5972593016520555,6.300317284263367,5.2315179021277425,5.218237631122518,6.048796935100526,3.9518207852557894,3.4203019152463217,4.422862240463672,4.909199895081812,4.632018232913142,5.971728504440213,6.302025122282562
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7693457675420805,2.1493099692971387,2.8162332739399156,3.323836777438595,3.851370413621594,3.9890125769378604,4.901715017164269,4.264628882686036,5.237696512070876,3.451055414384758,4.0297228914969585,4.389261895206007,5.711402469120552,6.1459522772815145,6.664322670257267,7.54314949088128,7.127966672329168,6.009611021321996,6.033098214556737,6.719478417175685,4.646340681631921,4.0017534607942125,4.95545032674321,5.984577188007988,5.689667529950545,7.059612510452107,7.39775763184946
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1302022834592784,3.4080567895001197,2.714898982001772,2.768117123427559,4.275300948456579,5.3372392450625945,4.015810691620386,4.848718916787133,2.7394126100989484,2.814765098845295,3.911679592932388,4.940662635316559,5.258826748183144,6.179225154761616,6.9376742082546485,6.739769035262846,5.866594428808041,5.813457071556475,6.77824021427331,4.681216036058055,4.294196807334571,5.204218737815411,4.920495475273137,4.678109637160402,5.804025943006827,6.053252129134336
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3865798697550162,1.3739677907298766,2.244684702829446,2.154080184592028,3.209092876725057,2.194414911504754,3.1729536348583114,3.018385668812665,3.667542657697989,3.5171178120853153,4.622024986677497,5.340575341657115,5.457841226356492,6.148626125302999,6.185103369109067,4.702993126314638,4.405783449652151,5.509944185501608,3.7129936200147053,2.9648369034188122,4.44916277714151,4.536086465899858,3.930993478162948,5.726287850316845,5.919303354239355
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259111408864351,3.320109779980173,1.3169284481251144,2.1394322199067584,2.2184376088284994,3.185876498709113,3.7559376162942137,4.666506669800782,3.84895341052275,5.009214915288631,5.86679060672945,5.472753278013621,6.16708179825513,6.1748190327038195,4.379820742912589,4.042361281900624,4.969059655486905,3.4866034957475893,2.4773501206510176,4.158220762168457,5.088528064986723,4.430214343099951,6.392883618263433,6.626218319130709
