 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,H23,C24,O25,O26,H27
N1,0.0,1.9588470469611234,1.9706512060619754,2.7456753283726507,0.08986618649566691,0.20245743308411793,0.018439759010266954,0.03856199217857718,0.0018351780982289734,0.017601324559011464,0.006883963064278187,0.000660304771509912,0.0020439115172627975,0.21381368467464965,0.04540180388420379,0.032300324101650485,0.0018945057860402237,0.007141439876148917,0.00025844865497892666,0.001273477282444077,0.0002798791326644734,4.717638389106771e-05,2.2678146521348808e-05,0.000503728017109642,8.734834735563135e-05,0.0001329402887363662,3.629109440572709e-05
H2,0.0,0.0,0.027409194985472896,0.11397227364494122,0.007755200313273258,0.03296415311882672,0.0005698997868590627,0.004878331529160729,0.0001291793311166689,0.0020372713255133457,0.0006713452779771867,0.00012369783926358124,2.257353289980557e-05,0.00984800254742646,0.021957418004800666,0.0017382325486554606,6.397451173945079e-05,0.00027392455339203536,2.6797156280178314e-05,2.3774725837366617e-05,7.744961927347305e-07,9.87729958490391e-07,4.577748605294474e-06,4.206227834324672e-05,2.5756650103958556e-05,7.75390093654682e-06,7.451118286816438e-07
H3,0.0,0.0,0.0,0.10513679835182033,0.03660251139089277,0.0064671324671951025,0.00016107079747018638,0.0009192369251693755,0.0007186793634377242,0.009459560818049662,0.009607081701319853,4.807886748525725e-05,0.0008389671036266311,0.01460841502682042,0.022149796169059655,0.0019880106864730296,0.00015454604872044975,0.00033038526141782043,2.0219176221747404e-05,6.345294856524575e-05,9.680984674798054e-06,2.143446846902819e-06,6.924275485653553e-06,2.4749908408283616e-05,3.869714284787662e-06,2.6320760881937133e-06,8.88359046102849e-07
C4,0.0,0.0,0.0,0.0,1.9044348199369492,2.754589436783362,0.09453585460174208,0.1988979143645646,0.012552331475588652,0.1493573447708687,0.004685708227234464,0.008556543117869797,0.032135911718211396,2.3740515444018624,0.2832481860257743,0.2073987842326152,0.011791724882406873,0.0349386661666701,0.0029419625687627793,0.004229630415798366,0.0014534709109563781,0.0001261275313861887,0.00013039365734623942,0.0039785766411569445,0.000876368558314744,0.0008146831978071284,0.00012546299934756977
H5,0.0,0.0,0.0,0.0,0.0,0.09015936416739212,0.005368229452068052,0.01336130618104181,0.008633702725319825,0.027115735501819116,0.0010107714265483736,0.0004981809584010399,0.001286448128818396,0.10504856082913316,0.02874447889829157,0.011450004005086889,0.0005535157631790799,0.0012780667178393657,7.12187874782888e-05,0.0001354259237442701,9.737513825935906e-06,9.968790814829376e-06,1.4305511086609712e-05,0.0008321506458095485,6.735237915522774e-05,0.00010557286192025561,2.0917023268340884e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7913949373407765,2.5187270134376782,0.10790983964640799,2.675755016652102,0.10164578238354194,0.09224040864159644,0.10060556292569145,0.15898107943763545,0.03740655393781114,0.02244700031509239,0.014614158144415912,0.0024436943629640995,0.0007455362699532175,0.0003295633538384357,3.987808204275467e-05,1.1129801698483988e-05,2.0843483380827976e-05,0.0008323890528117717,0.0012164728761592108,0.00015813863851391052,2.718550324432023e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09361146310948609,0.00949986309199291,0.08578163350089718,0.004060227162791863,0.033706553373530346,0.005464959342529552,0.027636896829553725,0.004429795748058352,0.0036822720201938886,0.005062911909961443,0.00044107505525392554,8.6721655355948e-05,4.5256174901253665e-05,8.867799212497474e-06,8.596518370485029e-07,9.24263671997494e-06,0.00020986892928687162,0.0004304477149128516,4.169888301774893e-05,8.881964355333949e-06
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7872996845542075,0.18792673564665635,0.02990812230070028,0.006543220927959559,0.010532568687978916,0.012673459243145668,0.004099873326456227,0.07160219715830388,0.17235823687013696,0.007747451254966661,0.0015043225174390384,0.0006332696564408519,3.1381118065998415e-05,1.5810573252617033e-05,0.00011191103005869785,0.0002790748266197074,0.0002175390765551538,0.00016039665704205286,5.17668434382168e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03324819339799456,0.0032065812003099214,0.0011211742265513358,0.0006627184056100521,0.0007898747784157445,0.0003685997768632099,0.0019533387254252466,0.002687955625688687,0.00046421276359354113,9.950989224227769e-05,3.366815058358785e-05,3.7655213909193463e-06,2.9201183338045666e-06,7.338722317618007e-06,4.4528250402464664e-05,1.974374077040597e-05,1.8709189956056527e-05,4.555500883851593e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7168671002091562,1.818474714548854,2.1734458566770467,0.020960231276057034,0.00310720825849993,0.007018017708227645,0.0016549479375296272,0.000700723809770612,0.00013996653492676092,0.0001458748357817674,1.1285065223187729e-05,2.1754925844219564e-05,9.467705228249912e-06,0.002767869189802874,0.015051442713981289,0.0013171794223056088,0.00017240028530662865
