,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23H,24C,25O,26O,27H
1N,0.0,1.0195064190819385,1.0207101318722096,1.46002396292099,2.0712873464426083,2.4606066940571734,2.56983920777171,3.725582126234488,3.924356727307162,3.1138382855787192,2.822130766485352,3.577083441197712,4.058812190643085,2.5056620728746477,2.768690096180617,3.7392592882813496,3.9742102188591226,4.939686172042096,5.029200607822776,6.184611890014534,7.072741521033797,6.260127542292245,6.417278449222993,5.376944082504191,5.168896132434357,6.486431676832592,6.9053595598084
2H,0.0,0.0,1.601458380485082,2.0218455527345025,2.312962351355613,3.338948137102479,3.483103566301037,4.458937148604761,4.553048703496682,4.053298530772182,3.76534303212246,4.3760149605905685,5.038457113557761,2.6818540818605845,2.6274544332071796,3.9813370250853266,4.403721333210801,5.059633838035504,4.931769992547859,6.327425824578411,7.1590838929510685,6.308359961370611,6.718522669598631,5.6269727536638685,5.609726967416907,6.611094025389374,7.100861876814839
3H,0.0,0.0,0.0,2.0244634583642123,2.909512991075581,2.7728330973859245,3.0288627856914947,4.11284855729252,4.514786886769975,2.8948690637977346,2.345088994848786,3.235926170151922,3.887127443701707,2.6282906006515465,2.6253602940703438,3.8999137533886734,4.211728245920337,4.929437202309142,5.019977423444295,6.297835741147364,7.103244122377933,6.536084608617355,6.526866588234239,5.0801841135797305,4.750581963629573,6.130387422272598,6.42825592172365
4C,0.0,0.0,0.0,0.0,1.101406328578618,1.5523131638236554,2.1339055545735115,2.470170205225502,2.6929615933138376,2.5855497341316815,2.8411232034418115,2.8704889330707783,3.519173575148773,1.5512427372368656,2.4254699456014808,2.476995130315778,2.565780122055048,3.8315921608259433,4.113886958516741,4.912125684969965,5.8750506751100735,4.959401781989505,5.063974735470176,4.459680124951375,4.333805693807114,5.672135278668059,6.184022181393601
5H,0.0,0.0,0.0,0.0,0.0,2.1399324034602607,2.448940674944196,2.619928216604116,2.434952574419295,3.4871232204094835,3.8388366171821664,3.811458737595733,4.2828784873819465,2.142713365355986,3.0301032021477656,2.7787438196454284,2.7896734137150214,4.160255374100373,4.3731361966394395,5.014830226705039,6.02407021272316,4.820800308996001,5.203127303352633,5.084851599344197,5.127972446036683,6.260611687414258,6.883135781226138
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0980776829783654,1.443540086564904,1.9690474788839654,1.5238676192730636,2.1638730431856232,2.177893801623727,2.153135558709167,2.608485753436709,3.627929709344613,3.0037930835593487,2.575515020044387,4.355707540104581,4.958532946392083,5.224957847730635,6.230918735297784,5.401451021265778,5.043983241101893,4.730080415351791,4.279439865326013,6.062245979424427,6.440136093480157
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082808834484111,2.2486877904691287,2.151876960242322,2.4823145844288903,3.074776036140952,2.4777110378964977,3.5091091641469414,4.441794746027025,4.024372361129167,3.580970735174861,5.414615431051407,5.963810944948613,6.247363031012007,7.276545041740554,6.334784436643003,6.04758498141066,5.821676748057244,5.338840062387239,7.148426435603241,7.512006313443536
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9711906462977897,2.3834686086325934,3.3457037781459267,2.6669716751772445,2.6070350976969547,3.0855975100380864,4.2840455811094325,2.8207315895673872,1.98359191511292,4.0946022017102575,4.881422702860337,4.549310993158146,5.602033849566688,4.6520025791245745,4.162642128595797,4.639416201564167,4.300610485452721,5.9754693180044,6.424982686421306
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2175058070439446,4.074764704737193,3.595368769852442,3.4263371091471515,3.482201646218166,4.691255022756104,3.2370705545462366,2.4483414215461625,4.556999829324293,5.250261770759196,4.873641027495511,5.960544698124043,4.757384689148146,4.543299412231917,5.333156668845342,5.138214875442792,6.6352918265921526,7.170897453167275
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954401562065477,1.0948598836395425,1.0947609620561825,3.117816576786713,3.882914130558407,3.483276435609537,3.136881626682458,4.534069688415109,5.219338135357013,5.5179998529930785,6.393421934837751,5.9715522058987,5.247517414379201,4.39185506931647,3.599755947807297,5.683970681080313,5.836106947609547
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7822350372103697,1.7718957417976722,3.453202189778544,3.936313044540248,4.144626526152031,4.001064186521419,5.149327772313497,5.6802108592659035,6.305858080687919,7.132148318550424,6.76904433146794,6.150997277945525,4.9019731921294865,4.089612498852351,6.104960110842758,6.184685849723675
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.776903470650572,2.815480195284891,3.494409559147108,2.951869446521697,2.7186523691920956,3.7382292517065583,4.479356200090064,4.74921009202278,5.531430548689388,5.35050567971291,4.494595403734966,3.37833913707482,2.514256737420041,4.6485444274099414,4.762097365494205
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.125861151766382,4.953581986197144,4.287784067714283,3.743931608239472,5.291066588895543,6.088008583550326,6.085456071448278,6.957576345604333,6.561226470857072,5.633410804981342,5.071483108466685,4.165727383026445,6.356212673586408,6.431907231757794
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227270282128099,1.3679441194056896,2.0312488815637737,2.43965248532069,2.610286950239995,3.7307167248335817,4.574407402221424,3.9164444574483377,4.09495812120504,3.1114878442748233,3.271035149842638,4.2220409804048264,4.813730698470966
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2794814260454963,3.139828568576805,2.7721789247434336,2.5170180897852816,4.235584499658802,4.869398350983063,4.480812487443909,4.797957085329751,3.2059678910302534,3.4957417999294353,4.031109678567398,4.584755973211254
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.018542382572721,1.4475804072156302,2.0648124203441043,2.4572233018810556,3.4022494946500665,2.7021936632812134,2.7422590395351145,2.4641386869858044,2.8257246079084113,3.6305621476965246,4.324915591617231
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.138812250467252,2.971182046088035,2.671132886455811,3.7146623099332468,2.8867913484249605,2.5542726893453813,2.9599831315347567,3.0524425306886798,4.215386276005409,4.825856084859436
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093953330476488,1.5369517805353428,2.1759667429518323,2.167991962462997,2.184183177829595,1.533597730080879,2.4525727615966564,2.379960315238449,3.216362013096013
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1666779637535316,2.5062195393326494,2.5023223234833165,3.0825507726619965,2.123351643929166,3.1715625626071624,2.513182041482551,3.427021160113283
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0934366907407729,1.0944902937462062,1.096831357834701,2.5188216653520796,3.39942967127841,3.0067180191335487,3.8437653477688656
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7790977445673766,1.7750706366793079,2.746515057991519,3.758351569416086,2.712849974650622,3.534557683732564
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7777495869667266,3.469409257924402,4.346482222056066,3.9611238754551086,4.853849512901062
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7943694266390127,3.3416744158210285,3.4609858980467947,4.120237255521138
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210304698489498,1.3540675152957553,1.8786857350879391
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2525700081358315,2.285428972364658
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763799078261374
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
