 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,S23,H24,C25,O26,O27,H28
N1,0.0,1.993479493852551,1.765862887337739,2.6376955680805856,0.08342291090154452,0.20020046696102856,0.007331797272255525,0.09763312191015668,0.2014120198238485,0.030851053358451314,0.0009341084999150429,0.003971098074999624,0.0009578201935678265,0.2221992567930477,0.05763746991313794,0.03377230999045458,0.002425199314206372,0.00672565943112699,0.00033994662738578985,0.0015297526311581489,3.287739788848665e-05,0.00027477396383157604,0.00012566687168985569,1.6426988465712e-05,0.00048407838608177656,8.699047081023314e-05,7.119125506734048e-05,1.1618672948410236e-05
H2,0.0,0.0,0.02877066987525434,0.10362355039253579,0.009232013306605946,0.028867758721818904,0.0005859353356549857,0.0036476730339021213,0.0013091607242428083,0.00342619500702257,1.7622147425733203e-05,0.0009991250423566633,0.0001018357723776564,0.005673799937564339,0.0015114312287994869,0.0003782621767672856,4.03065617886611e-05,0.0001307849039572373,1.620005048996731e-06,2.063869335244828e-05,4.3674400829196713e-07,3.340967982934373e-06,1.289456385067389e-05,1.7830074428015763e-06,2.8858726710878635e-05,6.128987796838459e-06,6.112604019836709e-06,1.5966756785612546e-06
H3,0.0,0.0,0.0,0.10404754930141902,0.03228270232583652,0.0060501236683701,0.003124670750465741,0.0017048817395798332,0.0015734895047216924,0.000750582796615773,0.0003828678691968346,0.0001911229636069045,1.519219804202443e-05,0.02749756495256761,0.06795090473557608,0.0048068349390154586,0.0005346663965093423,0.0006109636953602893,6.574888094723619e-05,0.00010197257496458167,2.0781254215895828e-05,1.4886723792129075e-05,1.3524862594427312e-05,3.7381744948383755e-06,3.0680224500589937e-05,5.775722223044788e-06,4.115908415758263e-06,5.595569940730627e-08
C4,0.0,0.0,0.0,0.0,1.9244051091664813,2.5441058312999076,0.08447486664906312,0.2172367718279085,0.034604306652606054,0.16157353547031725,0.01152028017003226,0.03173673340873728,0.004011771656184271,2.677121692278973,0.2800318987951184,0.2236481789909304,0.015555453123427432,0.03398790363240772,0.004641264568265968,0.004233628542472334,0.000116588481626545,0.00128333837027661,0.00048172081013433954,4.753738772178551e-05,0.003121767345622223,0.0005997134566878559,0.0007750570798648049,0.00015130541242147633
H5,0.0,0.0,0.0,0.0,0.0,0.07768418451615156,0.0359594408814663,0.009894727451095875,0.001451795221405261,0.011076949689666105,0.006065510452787803,0.0005829630481180015,5.3011705830829925e-05,0.09510667492586,0.023861610040746384,0.0115035035036124,0.007837995706460932,0.0018794836320012998,0.00016414804762399093,5.989087371705004e-05,6.794034139501193e-06,7.4802088974035286e-06,7.888832407432211e-05,5.7075211477020105e-06,0.00034484870365547593,1.9356309647444725e-05,8.595626614182894e-05,2.346438136968665e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9087300666009361,3.0955721721000495,0.11811443555075296,2.471886377850535,0.0886796693898515,0.10166154576125153,0.09978754945849588,0.178676043804541,0.037112159022073446,0.024839814308484753,0.0011275296223913767,0.0030677685699469492,0.00037253405250381455,0.000318400252314055,4.637068944823852e-06,4.201470514297867e-05,0.00018798914736255223,2.8931081406335935e-05,0.0013326042005357697,0.0009286936232542897,0.00028458455418081674,7.508318553617332e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10878176799173234,0.007034566947805354,0.0859127697337847,0.03695900839328292,0.004781584586351473,0.004231107148468416,0.01076197311982341,0.006118089848105579,0.001315781666954674,0.00033847850347346053,0.00013656641441706086,8.237219245366134e-06,3.023988955019874e-05,1.7782219128292809e-06,3.969517618607199e-06,1.1384488843302343e-05,1.769335857604304e-06,3.637082844454298e-05,1.4876886220815955e-05,7.5635901974902e-06,9.471591577714378e-07
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5085224414100944,0.20203016754918962,0.009044783118782096,0.011229268005904403,0.028730166043678618,0.04020405875793928,0.00961656260966625,0.005548867948871453,0.00027704453364618686,0.0009225894562644027,0.0001560384238902257,8.179928462066777e-05,3.493163017287415e-06,1.809013535047921e-05,3.801816366278549e-05,5.150800860942439e-06,0.0004228725998197125,0.0004046190297536459,0.00010284580607394789,2.229393680974745e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333706984026985,0.000678688363205282,0.0007472672478476827,0.0024228604792553288,0.005516145628313152,0.0012179426917419134,0.0007851622972118166,2.865219684111686e-05,0.00016339412701227296,1.0797214417435086e-05,1.7026558440713657e-05,2.5201135844810096e-08,4.12198741939207e-06,3.367660401321082e-06,3.5664071695862276e-07,4.1664965730436876e-05,5.9735104695035623e-05,1.455166687613918e-05,3.974407270845859e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9602595136513454,1.8354770439604444,2.118443405887094,0.013565651522645494,0.002849796711912364,0.011804663610235216,0.007958099707468858,0.0011084571897588824,0.00030336590567803245,0.0002114169183977943,1.4041618714877302e-05,1.6638351014175434e-05,0.00010555125597896953,1.525185314643629e-05,0.0027150597470470272,0.013697379991709377,0.0011773076289169626,0.0001625300476164604
