,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20H,21C,22O,23O,24H
1N,0.0,1.0214890955178157,1.0188353766515974,1.4757542296696422,2.0828777458169054,2.4815659338273233,3.427936429050933,2.7990016491479492,3.1737602602750092,2.621250242941161,2.470458316645343,3.179411291050528,3.2088580969117992,3.104855989360153,4.301627426194056,4.736989607018046,5.525219512155639,6.376093398402833,5.90390047473045,5.510975938225835,4.243387301446695,3.5398556147298232,5.514685586546716,5.710371895293541
2H,0.0,0.0,1.6198843602816868,2.0540565281088723,2.901849095093843,2.927563173005824,3.818821087114251,3.4637836655861993,3.0916744919108208,2.5061073506310163,2.531746506416556,3.322177719613601,2.87390135999542,2.6572424217907553,3.7758718255513255,4.371756065236347,4.9363086686296365,5.732622364753421,5.46427299384334,4.823801692778858,3.491803444748782,2.6566875050442844,4.766673971530567,4.900965859618029
3H,0.0,0.0,0.0,2.042624245250897,2.2375279037588878,3.3235864605880745,4.181143411621217,3.550279619941002,4.187706033308535,3.6031116962339227,2.758635334041845,3.075170523709703,3.7163498282100886,3.8318317830979796,4.620114033123018,4.8803689914262485,5.992397434615912,6.744252298792572,6.417936883830934,6.10338706088757,4.404213175126765,3.6933293561782117,5.555177358682962,5.671682546782036
4C,0.0,0.0,0.0,0.0,1.0952059131691865,1.5414488818432377,2.1847495198226667,2.1542015835372874,2.8870705932075738,2.9861562771616295,1.5393173163850855,2.4071426771227658,2.4805108077259206,2.5669812944508967,3.7929832738354716,4.087317747430657,4.945270539132884,5.880345756871228,5.073085917782683,5.085926733648753,4.2591961530110725,3.9509840433269967,5.537387309791998,5.969923439250001
5H,0.0,0.0,0.0,0.0,0.0,2.1242551654343202,2.5528426066651857,2.336276056883061,3.7892674603564767,3.860035605147795,2.101504899608806,2.484412769977501,3.311439236721427,3.5732525603354577,4.534845284971528,4.602024377649146,5.753102465256572,6.6481433624827435,5.787245019915384,6.020169084350883,5.044890447850864,4.793041882868855,6.241690216244372,6.679037565012978
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0947182442910788,1.092853993025686,1.848124738684681,2.3902108326846743,2.6336730677564897,3.682408489924882,3.0117636622087605,2.685498048931406,4.4596303537230595,4.921051847735442,5.231937781315917,6.284441455408154,5.172408941905448,5.170613182730092,5.143277120375672,4.870850053587588,6.462457020760313,6.956690937741279
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770287712094379,2.384033185292244,3.3002297220997012,2.8028086588993033,3.7621753477816013,3.0450075002721113,2.855139594458515,4.444451668900261,4.79609928280424,5.039569173993837,6.103476099777945,4.755629787511623,5.079179496807712,5.417059521864629,5.379665558019199,6.666649954133621,7.285328473797802
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4104764474647036,2.625690683635751,3.5190682600369034,4.43204807436183,4.072388452287574,3.747186570849162,5.516021736474214,5.934518939556284,6.32424396528445,7.37488066921135,6.2511594991269,6.239095292727674,6.115749404166361,5.731567017065393,7.444438760090422,7.8826225963501
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35065793560192,3.612277881906147,4.8269906633756525,3.3103039189489807,2.461700458279121,4.570250302884767,5.363600922635378,4.968144307462801,6.019195854869917,5.049024556752224,4.522650015868175,5.065475622569589,4.677223154703751,6.375089477717723,6.7913949230639705
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9569322178565,5.0930993570463094,3.8829703488867735,3.092493882575368,5.071608672287575,5.879557570976014,5.689044850547887,6.6675185627654585,5.973713626364322,5.2179213448678885,5.1918418097199455,4.503483121367916,6.512367363893248,6.748243153837051
