 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,H20,C21,O22,O23,H24
N1,0.0,1.8931102355943605,1.9173746881044185,2.974878215550152,0.08845193529271633,0.1910429543218627,0.028895840476824808,0.006339483111409638,0.05321183810498106,0.025845793386488625,0.24645762808070987,0.05716698211167084,0.03469714688322022,0.0014658608414053198,0.004458362302906582,0.00037643723947566876,0.000615339732021547,8.579645501460842e-05,5.5020381274584196e-05,1.0127234786994066e-05,0.003620775860757347,0.010651762718200106,0.0012207818662567788,0.0002581629306663835
H2,0.0,0.0,0.028184074757623412,0.09885854397250482,0.029228334276558687,0.005594442440933545,9.144043825881631e-05,8.593753075869515e-05,0.013478092775282002,0.002935382683392662,0.019559795373867872,0.0014013606151016544,0.009615257837639613,0.0015494168039320577,0.0012087673047386227,0.00012490041814938735,0.000403995043297245,2.6769446923813334e-05,1.0662214927625868e-05,5.737389022542061e-06,0.006854751534754677,0.04220865075873692,0.002686113058246953,0.0001413859830363684
H3,0.0,0.0,0.0,0.10503486672800011,0.010772707442756158,0.02982512970628126,0.0012686029404924692,0.00016261916763937734,0.004163566655032924,0.0005875067841001336,0.006435108876168494,0.0056626873428337055,0.0006843142657492196,7.613569519704377e-05,7.650838795347781e-05,7.566136769776577e-06,8.936058945807623e-06,2.79396980662483e-07,1.7688545737026828e-06,1.9162553166474083e-06,0.0001012652170016004,0.0002852703445241911,3.281046949188404e-05,1.9668387711835322e-06
C4,0.0,0.0,0.0,0.0,2.06791561462283,2.7496995536335604,0.08581430686121783,0.09832233008241209,0.17293771383366632,0.0069138775369737004,2.669074473213807,0.2928157027796525,0.20889619269613732,0.011115937962604572,0.034357205224532894,0.004280686725570582,0.004807447198273057,0.0015314921017692829,0.00013460012425370316,0.00013274321578671255,0.0021172313306675183,0.001642908040225377,0.0005072188514370357,0.0001144866652362797
H5,0.0,0.0,0.0,0.0,0.0,0.09808339342631778,0.002069612751525618,0.008391558889694783,0.03907081086096553,0.00018063499231080193,0.10945989327474348,0.021059966909590888,0.02101421292470118,0.0016632523116313358,0.002936178812402712,0.00015720552941478338,0.000890488861390426,0.00016435656383140262,2.3995809941723678e-05,1.7981157755864174e-05,0.00021433947281734866,0.00021576401190248617,1.7119771318796495e-05,4.580521473229737e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.045220911199781,2.085374598441051,2.8544891187470376,0.051318482389710374,0.15121863535251096,0.03754272994856027,0.019324184352620927,0.008304426030267709,0.0028729390359983065,0.0004567745976501447,0.000351068759348358,4.625197465268904e-05,2.3505429480152884e-05,3.799899255430006e-05,0.0007300072905216393,0.00017563801731651507,0.00014503608079330377,3.6131346931811414e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026483602118502647,0.08447532670429458,0.025217247915355845,0.008527791284062669,0.0014346647412494251,0.0033043172995641523,0.00024500191989584863,0.00021318855708152284,1.2474499184733645e-05,3.174250618376284e-05,4.660887735985497e-06,6.332547367815522e-06,2.0511583103122177e-06,0.00017932713915103093,5.679188014551251e-05,2.894644228634835e-05,1.0389872190375016e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08732809887017612,0.004537798781486968,0.02544858573204989,0.0037575485798977404,0.0030369599984463314,0.0014998960393803884,0.00034214416821143345,9.047594928923708e-05,0.00010093143857092812,3.0225925461202507e-05,6.540300367952057e-06,2.114489916649198e-05,0.00016363818238929184,2.4636747117279256e-05,2.736431160255126e-05,7.3821629593684435e-06
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9887465621714882,0.012833041055651903,0.004404079730563178,0.06449554443580512,0.1734275074999021,0.006396043452855327,0.001835409208155947,0.0005522359535910515,6.181631643054075e-05,1.7006326035184927e-05,0.0002101302370235425,0.00042184020211750994,0.0005486162778828921,0.00013438662531960882,2.653231931570854e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008422577409641363,0.0005722057326564833,0.001003082634880581,0.0008628845408402697,9.077595316853149e-05,1.3453792128581554e-05,2.3115227082870504e-05,7.970707185389614e-07,1.117915794379698e-06,3.3596799031698765e-06,2.543338061800071e-05,2.1846823791138448e-05,9.222952871423828e-06,2.445590434385636e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.589089390048015,3.4755831755654563,0.13113741020987713,0.274832767852111,0.020635669993146033,0.034355250953101046,0.0042429286060921,0.0009738278985813587,0.0009432523249051084,0.04246995991890201,0.013768323362578883,0.007912504054688407,0.0012618082724215052
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5314941079238498,0.025506038059254,0.0748893028604362,0.04293421364744421,0.00821265824954398,0.001121775261145208,0.000595483027708954,0.0012338961467881493,0.014482501403968048,0.003287300561062391,0.002625579258777433,0.0007220778314441789
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6232807535648517,2.937634772575904,0.09968186847609595,0.17982034222114948,0.027597879924334823,0.009312336631307705,0.006979891296520879,0.2010766241697586,0.03640669030812986,0.029633792640465353,0.005198257878919477
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09596201530001858,0.02988680081528927,0.010278147533836157,0.0003287424938036576,0.00018317327154204754,0.004465581824977249,0.0058354357072089025,0.007654571883747852,0.0009609418307874318,0.00010577649088894248
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8523074420438728,2.5938657491650896,0.09468569949512351,0.09462323179927501,0.08732464551172314,2.5949640923697483,0.27117743698391894,0.21402731512791787,0.054660024681826735
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08653589673405548,0.004439456607490788,0.005531423697013205,0.03263809461789258,0.11110372214897413,0.030188631142820443,0.010616330490373804,0.0003432729955994418
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172828875848621,1.9019536408760398,1.935536456754967,0.18834411939840742,0.040840215088936496,0.029704825578884347,0.002145438948570777
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026573629122902398,0.02455239956675026,0.0076740514615971644,0.0012949233863391862,0.011897376439485408,0.00029261940762825844
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024165832716630975,0.03078227049583737,0.005297929148780689,0.0045237699873729165,0.00033194989130769237
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009249190807114838,0.0014786279415905934,0.0007484196921967445,0.00019866260252987544
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.191270546552851,3.5598978658733262,0.17043738213547976
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5114241123160558,0.06622120842533796
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.661069750240963
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
