 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,H37,C38,H39,C40,H41,C42,O43,H44,C45,O46,O47,H48
N1,0.0,1.925983356586673,1.9494883068203932,2.990722176971581,0.10429014150648841,0.17295601951398998,0.01717437519285081,0.0030652494532881214,0.032136915066108176,0.001647631462439958,0.0009486933987349344,0.005751848038964752,0.000948085743546212,0.0002119862487747204,0.0003932822502225597,3.0027058836701315e-05,0.00010956259639594013,3.828486995580138e-05,4.1324315639856835e-05,8.27235804856663e-07,4.456410311104442e-05,5.393547375387442e-07,4.026201507745242e-06,0.19017928081166874,0.03713643217633768,0.0865325999341222,0.1399853762250488,0.011071351298693854,0.0026637190291576296,0.0008372442950000114,8.293615891841188e-05,0.00012798193905383393,9.496729003408144e-05,9.690509825285853e-05,8.873879628534809e-05,5.27012191365861e-05,1.9495261258661856e-05,3.981637901810664e-05,2.664706506116943e-06,2.701391760676075e-05,2.6198888436468337e-07,1.6038380293736942e-05,2.8783702894288887e-06,4.384019645087278e-07,0.0007893161158889217,0.0006519392145897529,0.00019910628559474675,2.070791363217861e-05
H2,0.0,0.0,0.029819893549705156,0.10480788722031631,0.0029905547117599074,0.023387110586219784,0.014903378429411696,0.0001614938551435241,0.001733491990458913,0.0005634514730377127,6.186061739232862e-05,0.00025156591593689104,4.3665944215565133e-05,4.62709709176945e-05,1.4836191643996521e-05,2.708418572749949e-06,6.462619253522206e-06,7.3837353261607674e-06,8.626273431788789e-06,3.893873554705607e-07,2.461995107672088e-06,6.025012533328322e-08,2.3844946084317087e-07,0.02852502978524929,0.005642874264220055,0.005016395250208916,0.001245046328331556,0.0005726603992424195,0.0005055658783115202,3.964405498169121e-05,2.303680683546361e-06,6.263891608959682e-06,3.492769227286807e-06,1.3467803352540386e-06,1.7103173921562131e-07,1.2573938288684694e-05,3.0278127116645237e-06,5.205038306366205e-06,7.063717766264688e-08,3.950952938702734e-06,1.615067612981136e-08,1.7431109473609041e-06,5.261337134854216e-07,3.681822136059054e-08,7.552407701227892e-05,2.9661706800299115e-05,1.0794411009595883e-05,8.113948830601458e-07
H3,0.0,0.0,0.0,0.10620157639963734,0.009214232773651299,0.029301064341739846,0.0011682729326114583,0.00020843206585086094,0.003582806267184546,4.299054140766145e-05,1.3128930170136499e-05,0.0010378484472397531,0.00022783383897673204,8.868494198699395e-05,4.964908353100039e-05,7.81900453628026e-06,1.6304398033017975e-05,5.2214790350335605e-06,7.26366713932336e-06,8.110520965942669e-08,7.852755091186658e-06,4.667699005089787e-08,6.538226133834257e-07,0.004319467604794958,0.0011200911511261014,0.004079730400825099,0.005195109536815012,0.00037102677115807836,5.858714214479477e-05,0.00014701048698240182,2.14124620057099e-06,2.093511500977918e-05,1.913004712472688e-05,9.073390152547489e-06,4.658798852030799e-06,5.55421727355121e-06,1.5943158748754627e-07,5.1112896045646394e-06,5.48600083360995e-07,2.203080356477649e-06,4.034988987378085e-08,2.238201077697788e-06,2.0143751222612138e-07,7.467491736079523e-09,0.00014544332938681848,0.000518274987711953,5.9427270834633283e-05,7.374563887552199e-06
C4,0.0,0.0,0.0,0.0,1.9768518649263926,2.6701176738356693,0.08169570352276767,0.07906121584625869,0.16958982470056744,0.011832165260648786,0.0069889369041789,0.03213489458366764,0.0031978775040413243,0.0014690717284371324,0.0019227236089072453,0.00025958735158315704,0.00052683342742052,0.0001551621167546896,7.868665908805639e-05,1.362845886054842e-05,0.00017073794430730316,2.332075824451607e-06,2.2386484194503176e-05,2.5101650992726285,0.28139882262301674,0.2291769416325419,0.02153807649364714,0.037924267975564474,0.005429511037059798,0.003511505089740685,8.413128030793082e-05,0.0009391864578793818,0.0005170027211406913,0.0002641909422847477,2.8712201756375677e-05,0.00036053945927827513,2.7089740349595104e-05,0.00037288981895219897,2.838270437566237e-05,5.250701318254558e-05,9.59056679183945e-07,0.0001521927409163515,2.3785656582939185e-05,1.0800450760406477e-06,0.0035829338580002645,0.00033350127475618996,0.001125594025112045,0.00023432759337727038
H5,0.0,0.0,0.0,0.0,0.0,0.0811013121308195,0.00151595931366022,0.0305025542100954,0.021141033648714114,0.001630573646914879,0.005247647827822055,0.002101486147934706,2.9094453909639384e-05,0.00030973655795607513,0.0004299829823610768,0.0001273118681905938,0.00010704383669524198,3.4429353566345355e-05,1.0396490485176102e-05,1.1136147008983244e-06,3.60943351277454e-05,1.5940478337306274e-07,3.454586361195666e-06,0.10360605610476625,0.01653131859115997,0.02404213105975095,0.004776763569975362,0.002647799561615427,3.632308455236988e-05,0.00023305744356205693,2.8748699860692284e-06,2.3959134793916093e-06,0.00012546024717940973,0.00014515073984178173,2.65585730878648e-05,3.452644820456374e-05,1.0677769404221493e-06,0.00013241760319748774,1.2994107581487668e-05,5.024649602614062e-06,1.0272823969259548e-07,4.402278837289941e-05,4.169887113825155e-06,2.714220928012878e-07,0.0011897440672197224,6.961619331968816e-05,0.00025290800720623174,8.42494263457727e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.003471155608098,1.9714195226243367,2.8024211119480267,0.08345032075701952,0.08436861815236141,0.16353378323805381,0.02492570098749558,0.018255466329368697,0.010552334266750313,0.0014882391477426538,0.002241616416620712,0.0016701281359734477,0.0020885393137977104,6.0555308005638686e-05,0.0006459188416108735,1.240323435613977e-05,4.499366200849675e-05,0.1888534772419723,0.039629250314051775,0.030209768334390305,0.0010936582424490027,0.0035355073296779033,0.0002460375683807081,0.0014125522766802456,1.1841918190702572e-05,0.00018623586557964256,0.0005586255774319426,0.0028998685025618393,5.712852100980825e-05,0.0004310189899738581,2.3447777600660302e-06,0.003986362723214218,0.00017029043385319298,0.00021635382074404463,1.9166403141257504e-06,0.001406432734332233,0.00016448777674282072,8.776733949278359e-06,0.0005283830626336139,6.762179637331833e-05,0.00010595487326164887,1.986505582829423e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024732712989140593,0.08657907723511071,0.02932338709952753,0.00813753331465561,0.006097903429677087,7.297637366532328e-05,0.0040215913323502495,0.0005121399395133786,7.870527079445466e-05,0.0002705837838128389,0.0004312165750179897,0.0010892108632105657,2.1630336140665563e-05,2.224362444080974e-05,2.702230938345096e-06,2.3983247412484587e-06,0.025267479189095443,0.006534181733678257,0.0029948388356355604,3.7800158785072924e-05,0.0006975303349829876,8.096018544634376e-05,0.0001930343918468136,1.3268932277377132e-06,4.7263243793116416e-05,2.1080448672661234e-05,7.117255968691616e-05,1.7517839281389058e-06,9.57960217229381e-06,1.1457257103053564e-06,0.0001271644316362952,4.8652909809820954e-06,1.4920361819381611e-06,2.7957257175970085e-08,2.7647054919421876e-05,4.485142653276597e-06,3.56118941891026e-07,3.132208907552503e-05,2.865449659994468e-06,9.143794021060359e-06,1.1725503432646889e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08043609865834822,0.0031496949716245393,0.032331866279746935,0.009966874016581473,0.0010733815701136074,0.0008003861006711244,0.0033397250243873966,0.0011787723652636473,0.0003942019207185954,0.0002872965975772024,5.508978965740319e-05,6.262811793167344e-06,0.00024351945755651805,1.1852922252142406e-05,2.0491867074978742e-05,0.018919662802310944,0.002111405366910346,0.0027465964701796075,0.00012254909953046678,0.0004514279926521869,2.009421400028799e-05,0.00011961262381809945,3.388861702591228e-06,3.131593118865794e-05,0.000465578220387064,0.007036805835483495,7.90348401038532e-05,0.000713404761209957,2.5052658889634927e-06,0.012035466578362741,0.00027426537214880753,0.0003102076101118012,5.416382270251319e-06,0.002256619690528705,0.0005143096097310895,1.0135169775660202e-05,0.00010917889420136717,6.245967760776239e-06,2.7935531525913326e-05,1.0330487143495048e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9683826579995254,1.8372161601574777,2.725003527705843,0.08342228457667678,0.08085170140029774,0.1740325683792515,0.004334042321170628,0.034139671509600955,0.012873100046629254,0.012409600895266215,0.00032191919241675304,0.010713636332800036,0.00015409456092030371,0.00103285572786449,0.016573810812748613,0.03662448610258022,0.004322544943738099,0.0004628837414827336,0.0006329111787003461,0.00016788378904331047,0.0001244671886757448,1.2355756022097708e-05,2.1393670014080435e-05,8.284783850855126e-05,0.00028068667930349067,9.558637282580662e-06,5.861802155629481e-05,1.078833821388514e-06,0.0003311242533219072,2.145239432782553e-05,9.11529244929099e-05,1.568742620228214e-05,0.0001533090822019717,0.00021938317227557236,2.004803356769891e-05,9.407402374456142e-05,2.8567409627797136e-05,1.4406876209960284e-05,2.6968852741005023e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026839736743631937,0.09020489855537672,0.0012849695731202981,0.029334882638080817,0.012347452345312648,0.00019304057998459356,0.002768648161818321,0.0044831106966509715,0.008639352473250206,0.00015406384793092975,0.001270809870169698,1.5329979062173038e-05,0.00010042958484590692,0.011696938990379158,0.06661093442417398,0.0027996860287233805,5.9623943334363716e-05,0.00027375858244105267,6.077105473578648e-05,3.1995894864245145e-05,1.1830082143671206e-05,4.051659223902604e-06,7.3859720406410645e-06,1.038000952613416e-05,2.5694312788537843e-07,2.3662004817959215e-05,1.9829406361360213e-07,6.464446314802252e-06,5.066387043228815e-08,3.299951366519949e-05,1.1158298380831155e-06,8.130484556945206e-06,1.6396506047344772e-05,9.459194854066766e-07,2.6289212154306796e-05,1.587636940258985e-05,3.0304769076394678e-06,5.117913710606103e-07
