,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34C,35H,36C,37H,38C,39H,40C,41H,42C,43O,44H,45C,46O,47O,48H
1N,0.0,1.017560406754363,1.0190081775588795,1.4669685443411067,2.1493953563018606,2.4855421976932193,2.5705780247615397,2.883763697357469,3.815302330825183,4.110142966415198,4.0196653065392205,5.058042426221736,5.893108304249193,5.067714642403692,5.745326394189329,5.748070128224018,6.709528430810095,7.0512785270637455,6.482170571941541,7.94131286755557,7.650589404723984,7.626462831271927,8.3137276842937,2.4831197762394828,3.6305710481650233,2.646019294155251,2.1104782205711756,4.066000685920924,4.615763026345656,4.89616940957951,4.845871903264719,5.922180345304231,4.987489881116746,4.7168412083520606,4.428556768709364,5.822847125205451,6.361481297584777,5.3061373710744855,5.487286517667789,6.3237719538805655,7.166162097878832,6.064112819329068,6.905491710781666,7.259966778793948,4.627885650993339,4.289697161882879,5.949795645720603,6.422065096666886
2H,0.0,0.0,1.6330205385437349,2.063244624215197,2.591221658338347,2.569549286164284,2.2076942626414593,3.05978093038513,3.9082365139256066,4.447077292865334,3.981125626924562,5.007046543583526,5.8007580314330704,4.826796180447499,5.856922635432175,5.8505203827525145,6.938408218157814,7.305567718251182,6.726818925686246,8.246313367484232,7.929526916749874,7.8842658995824815,8.671648283881316,3.3566371473001833,4.43096475886098,3.6090494163082756,3.0287866974526505,5.031120700065483,5.586984644240363,5.73709830654441,5.614654018944262,6.794652562946414,5.688500134808259,5.208205888010846,4.853663620098422,6.523426892701379,7.152473419019114,5.61900363991632,5.611407939054552,6.872069721545262,7.714763051137407,6.432459962578631,7.12911395380733,7.390082258730811,5.60922085702901,5.21349568185168,6.940199502914546,7.394576324740697
3H,0.0,0.0,0.0,2.057992779933275,2.3390145209369013,3.351267148552713,3.4468560964837494,3.841674312593711,4.514858456143718,4.697019102049178,4.565096881285006,5.8704793879341635,6.628013438673322,5.951000405929936,6.602117853496774,6.672551063708918,7.487823167320653,7.7096553702820865,7.0670005699663365,8.558029152523032,8.456402445987006,8.489029637955484,9.061482472164098,2.864110166889958,3.9683171878614876,2.910532157325675,2.3348273144305005,4.2189630968269505,4.767618197532343,5.248298188800077,5.169311438413684,6.200313636878149,5.589654525630537,5.479391575850047,5.149890482515448,6.439950569013068,6.856377821944954,6.197718337384056,6.435130264477678,7.074151833208437,7.895186913114193,6.937396150532037,7.835245422619593,8.224915106650805,4.462356867726439,3.922782729780414,5.777414803529994,6.121074275972489
4C,0.0,0.0,0.0,0.0,1.1021778556764161,1.5494515904420993,2.1713097561625894,2.173657839068509,2.559880671308818,2.678517104206588,2.8621287728876097,3.9467251553857245,4.733202805308588,4.2150917025562835,4.606535594817884,4.779223358782492,5.439373731265948,5.663747851691619,5.064248653499748,6.526924388414332,6.44519219851776,6.551796295450543,7.05286643507722,1.5438920820992763,2.421123733118887,2.440152579980036,2.4974869448615302,3.820081337408571,4.036204901049643,4.756948746083606,5.028365867831829,5.724016012790637,4.619065604645809,4.545712443676121,4.6037902171188385,5.127435691174196,5.592378726234593,4.952055429992047,5.295018890287641,5.503358256229244,6.204769185663227,5.392180804089096,6.144670469094785,6.650753960446496,4.6981983674742205,4.687908056681957,5.894754342157885,6.5135791993222405
5H,0.0,0.0,0.0,0.0,0.0,2.1591488336625067,2.6605675502211357,3.039616129676988,2.593082870272921,2.618148631472883,2.504233423659361,4.115143327430275,4.685665146018693,4.511532542023482,4.957497226995885,5.329771996141553,5.663434016176873,5.628853980761285,4.876427173533311,6.44573981446439,6.78490622064174,7.042628214317186,7.329050235410191,2.1249345604499115,2.630889664183665,3.1910548511356254,3.3317531947732943,4.465246721477921,4.506783584853665,5.593623625631124,5.94014499163902,6.484061528874357,5.528649539039123,5.579296315213337,5.688666568619206,5.890271960053764,6.226018786805602,5.940997484087693,6.303322908312018,6.245498186393733,6.826435559867477,6.238978709615974,6.900303658451858,7.4671949662795685,5.200150563942345,5.142313485627387,6.333732597923324,6.899832307285819
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0995600615157113,1.0978796416566292,1.5377486308626764,2.1518938398329572,2.1572511875438147,2.584098810280373,3.49032665861596,2.699584033928187,3.329046403780519,3.4698570342137023,4.372097446531688,4.780160514898133,4.300882494366863,5.738355414618273,5.409727738236852,5.464387768019729,6.157495545019086,2.506928398835939,3.0152832280571102,3.432557853722496,3.5380496129280563,4.7052160012500295,4.854273875262364,5.277312902229329,5.580071649098049,6.269428194996928,4.68394470097243,4.309489713475653,4.507518153915231,5.021660662417644,5.675745102952503,4.266699113228134,4.436267621577397,4.9998969864054565,5.650779134751454,4.605225327833803,5.07516205897159,5.518734435664381,5.847517135505444,5.979641836153592,6.986250160682779,7.70385409415274
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.762870649743905,2.159274392454906,3.047349699831797,2.417614349835311,2.895232121565599,3.7101401047132194,2.621781437769683,3.874152712469607,3.957605009478667,5.05006005090167,5.479441227180271,4.9887744651918675,6.472268344963069,6.106011292342859,6.1083295449055175,6.9312950999634,3.435889120292891,4.073566512947163,4.204693645259194,4.075188345826737,5.555752892200365,5.8261179594509995,6.0686613208683875,6.217733272042982,7.1090484382917865,5.4877254884358395,4.8969657164278475,4.91844908418373,5.945065493125551,6.672400457201454,4.770415086168946,4.696469605829106,5.858343810142629,6.541225799394354,5.26495594571269,5.606035032594856,5.897058749213596,6.593097016930579,6.569364832845291,7.805391619562984,8.464707956853022
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.187084508553249,2.6062511111729987,3.072122261336655,2.769212205290623,3.8283851841484107,2.792120866738247,3.047755735806928,2.88351009604124,4.136328987797412,4.823134616772234,4.558993286152775,5.760790527301894,4.962031491389873,4.836946997337983,5.74326381352006,2.59948487854328,3.1102389871522798,3.2392585894766053,3.378386164021249,4.35799609292199,4.574689531505333,4.622199506359431,4.908938306435522,5.619240847951937,3.829683229864381,3.304111523134485,3.57524213589301,4.2092336990320804,4.995079939594736,3.172756878675441,3.3609128285057515,4.122077336045326,4.870607455865733,3.597660960208385,4.157044519957562,4.5593360383891195,5.635093551939745,5.889968628893498,6.721084348277681,7.494968248062192
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964950146161418,1.0981981236917653,1.5395696670568126,2.18738843351826,2.186171878316432,2.5336517694322374,3.1096691047219744,3.357460951995947,3.4669733307264887,2.8658872200015253,4.426595824880223,4.59076169880616,4.9015605332562595,5.277378297325031,3.2028628926830267,3.1216797232713516,4.413657121559796,4.765847225467934,5.509774013235085,5.3607327476454545,6.156063980366189,6.662197031432292,7.029252942444802,5.436512940221024,5.2529967173451935,5.685055908073377,5.3866308363139295,5.906164535858616,4.984396973353034,5.237647309665529,5.137471066359085,5.5127844276283255,4.900126833871046,5.088219253830071,5.670765679471358,6.7253425300190885,6.9985288063750986,7.726096275852156,8.495679708701216
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7647606247839445,2.1799382471503734,2.6841066110942235,3.070118999793683,2.6678403160096322,3.313315295876328,3.103681979156781,3.0306714655405935,2.389639957598999,3.883319109222774,4.2845052857860875,4.708382099430089,4.803984868499875,2.805934978744001,2.340118130129283,4.098034741207088,4.660639327530612,5.001269094512616,4.662707601752993,5.740594312938575,6.3934950052587425,6.505650862389447,5.089562524714094,5.18861412576763,5.7462261051966745,4.862351070801334,5.213457354322522,5.043823471123883,5.509772583673824,4.716046255762305,4.988324897064421,4.780487441065686,5.0932175848831855,5.817009280753218,6.233528776612738,6.640989248536763,7.109376408293584,7.907886867255635
