 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,H33,C34,O35,O36,H37
N1,0.0,1.8116099478113243,1.8738641247575853,3.0789992211715265,0.09646472562604702,0.2041583754411122,0.0277274240010017,0.004844716968339435,0.033129154162597665,0.001922940471421053,0.001760222686398527,0.0040650884284818,7.696954003266754e-05,0.0002314372710202628,0.0009671232793532075,4.404152496362279e-05,0.00027946449100815784,0.00017663630110560657,5.671441347920858e-05,5.636774395134658e-06,9.015905586895467e-05,4.951416424425759e-06,1.1540997382986085e-05,0.2151796067985668,0.040102321040311986,0.054605787605506204,0.07497414371046951,0.006558956455941123,0.00094562687002131,0.0008654401704596831,3.937805411191597e-05,0.00014128635254317956,9.286770824545876e-05,0.0013280611046113666,0.001009672882933188,0.00026544371921735643,1.78462591624573e-05
H2,0.0,0.0,0.028163847383992913,0.10495666322204877,0.0055223781505904235,0.03240382564921107,0.0017482358185203495,0.00023670201643088973,0.004501571770399004,0.00010297291884353577,0.0005542687302664273,0.0005226838119023469,5.477645837803635e-06,4.864878576116283e-05,0.0002006383265287237,1.4805366965742195e-05,5.985549493126019e-05,2.0040818057953658e-05,1.399571040394676e-06,2.1246915160588742e-07,1.984132456767096e-05,9.594769294629657e-07,2.6718773107337057e-06,0.005584832516791427,0.0012178800984136151,0.008381875987892529,0.008687074752215196,0.0008042977165469978,2.9679358031442504e-05,0.0004470512348507816,5.812047049857938e-06,8.333949084482484e-05,6.209698725445634e-06,0.00015935444787895658,0.00043266502981931243,5.091387761824162e-05,4.90584847190334e-06
H3,0.0,0.0,0.0,0.09988609136828097,0.03584059982449839,0.01116016736934422,0.0008567313007912247,0.003712807395461315,0.0010715590655387963,0.0007177487278116068,9.311692319236009e-05,9.544484596346603e-05,1.0097876476322654e-05,8.214228337966034e-06,3.375040548958541e-05,8.198732757147553e-07,1.1185464049434657e-05,3.728030883221045e-06,1.547923940736773e-05,2.2156852685917272e-07,4.129946279074481e-06,1.3143094834688895e-07,9.305071424492439e-08,0.005598909695819887,0.0010064780278881136,0.008003420523804872,0.009535821047197857,0.0009861137081073057,0.00046006177361634926,6.624448674852346e-05,2.4761768453895883e-05,8.551985018367958e-06,8.221838054600639e-06,9.434238453420729e-05,5.178171940989351e-05,3.0330752854079712e-05,2.271002936593547e-06
C4,0.0,0.0,0.0,0.0,1.9561163334969673,2.6720499995568328,0.09867599872884969,0.07802823783017465,0.1546431536864388,0.021414144503258514,0.01827082121066881,0.009302035069219727,0.0005287762159864595,0.0006839330509575969,0.001569147693742723,0.00012726124869988364,0.0004428279121687362,0.0006548597879758589,0.0007138019757818581,3.573028138037504e-05,0.0001086733767914072,6.61806873902826e-06,1.4592334190655087e-05,2.4483870836651347,0.26759384376937967,0.2346424800649522,0.015104015324689968,0.03938029134836116,0.002606028484857581,0.0033164952469470488,9.381421732568285e-05,0.0008475121885000991,0.0008295460748559691,0.004332115126247066,0.00038983012097752734,0.0013171539480242023,0.0002669416809349956
H5,0.0,0.0,0.0,0.0,0.0,0.07896421859766667,0.00368655457049738,0.03216127385667278,0.013470349704149731,0.008725684367081765,0.00044692201457063874,0.0007801626123853378,0.0003098560498282499,0.00019875431497795581,6.136892605179689e-05,3.842916625362847e-06,3.516337918951784e-05,0.00011503670589219084,0.00024262821313758565,3.4913370985378833e-06,1.0686772018542179e-05,4.581646320112043e-07,4.01253167581217e-07,0.11198339509438315,0.01661999702210537,0.027299110620560896,0.0016465824969256193,0.0026806465583617545,0.0003051602996742009,0.0006965248200382357,3.1734791757109804e-05,4.690131248707985e-05,0.00014245702541337835,0.0006913465861533297,2.5817817150830535e-05,0.0001950083264395941,6.828815973958235e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8597298455986526,2.0845194200792223,2.692084403526221,0.07791634965920635,0.08991543195643903,0.17499502575348183,0.004760260519607429,0.009275180953469353,0.03274186115304428,0.00073946543324932,0.005376963945237095,0.0018223787839592442,0.0005347255522978323,2.656380023258187e-05,0.0017106850816177577,0.00010239606255468825,0.00021148983595387083,0.177660899006372,0.028152257379767537,0.031596724633439516,0.0018445282839507637,0.003809293863540786,0.0005385894707018446,0.0011478665849843778,2.4553196124710297e-05,0.00023806978054863315,6.338774803649194e-05,0.0003893360782419586,8.161153742908267e-05,0.00013824881678523027,2.112397110287656e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025189750774754938,0.09687817172098945,0.0013309444041091911,0.01304843102176112,0.020705095225383552,0.00010300205654290018,0.0004927117477842025,0.0027709657683328004,0.00015279924299860248,0.0005753737238471945,0.00022235648638402328,7.761880743495375e-05,1.2224764283086387e-06,0.000159617482128116,2.0111371963782432e-05,3.783364756793084e-05,0.02917134082421957,0.004512876476189587,0.0038037458256522383,0.00014137951423398576,0.0008269000008760408,7.670506791535026e-05,0.00011826487489086102,1.5213338411257382e-06,3.885357518229604e-05,1.0992144170218765e-05,9.13419962238482e-05,3.2766169488773755e-06,3.0199729841751122e-05,7.372654106108101e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07652309513817235,0.02536200876759831,0.0018388262199777738,0.0215232541979149,0.0027125466173547608,0.001606511087647533,0.0018320246898920756,0.00012074646686000001,0.0005832602319466584,0.00023685125309236277,3.474834422267925e-05,2.3297102337727082e-05,0.00010401542086757587,3.078178661963804e-06,1.2853244285793153e-05,0.01037072579465459,0.0008028867065472678,0.001777524869512881,3.6757309021195894e-05,0.0003169122913035949,4.670198287715088e-05,7.89021144642632e-05,1.115463406753392e-05,2.5881262395444082e-06,1.4502065618593463e-05,5.048225577763965e-05,2.7298625758787054e-06,1.7597656340351264e-05,5.413102722062746e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.049852607161225,1.8261828134731513,2.757730078128674,0.08072330428787133,0.07759628597659474,0.1788061060274458,0.004293234948941627,0.03576091137339185,0.012586799521424705,0.004949846082196729,0.0003114164901769634,0.01012762546856058,0.0003733511121118971,0.00047602634816368283,0.010084516173371028,0.01760208545964284,0.0027444302476068716,0.00017834212493217372,0.0003713443053675325,4.2611274253534503e-05,0.00011001245577782481,1.1887012361100346e-06,1.5636625266268744e-05,7.841525706075991e-05,4.329879011746862e-05,2.053143158287085e-05,7.844024042968911e-06,1.3246125896149152e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025182801207761285,0.08411454864687284,0.030531070235419788,0.0030750932738419223,0.009890066948939125,9.134250484343909e-05,0.0041978698787230595,0.006164868326316686,0.0037641267793229183,9.068585326543754e-05,0.001194414774471353,2.8317788558052115e-05,9.5226988657382e-05,0.0017641538650121635,0.0057724982804358005,0.0006542160816540576,1.8066119802817582e-05,5.4468094615733875e-05,1.3040655051144157e-05,1.4527982297507513e-05,5.864371042108019e-07,2.3411694933805904e-06,5.519468693204743e-06,9.744469122052735e-06,3.390250380763682e-06,1.982213573725744e-06,2.1087285384524534e-07
