,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30O,31N,32H,33H,34C,35O,36O,37H
1N,0.0,1.019858059656875,1.0213874767583726,1.4594425783716534,2.0752150130306997,2.4677621174715503,2.487139189065101,3.3532679069795504,3.2970417698038963,3.0216097693159183,4.132828707944748,4.218024042936815,4.3531553059493335,5.334404143227892,5.611706602114822,6.096897783960159,2.5150511244221865,2.797900332646942,3.7125419709268286,3.9413705552280804,4.986649563262956,4.995050237008855,5.852986292677807,6.0440861751755115,6.854586124033416,5.634662130404157,4.68116831646073,6.431818670714615,6.21760820244956,7.442161273830321,5.534653751604373,4.5451285136983355,6.214558295421047,5.9622164446810775,5.986620667013217,7.1253191458752445,7.7583531231970735
2H,0.0,0.0,1.6125954615220255,2.0354242065664367,2.296038399910347,3.3487206768770434,3.492906903220789,4.165796779501822,4.075250936260508,3.7023148527187093,4.998346370508145,4.7759495151878575,4.772388946074336,5.850291178356781,6.187297837522662,6.521136126197417,2.7727184707697163,2.889586144022723,3.945940018989626,4.2613283370958115,5.151635776591096,5.1629428591269635,5.772815402633577,5.955201039666908,6.800313865088728,5.3089509111026,4.274575462224323,6.004333746826775,5.899264115603128,7.116583569453686,5.251751719430993,4.325790636632941,5.967623817605046,6.308197974368546,6.464215351715515,7.4284374440778675,8.140882346770818
3H,0.0,0.0,0.0,2.021065003653319,2.900813006011038,2.7972891130639894,2.4986442844601084,3.5316206055315784,3.903840083403086,3.762866039265914,4.594256812758421,4.9463313331536165,5.044370241624372,6.119851535762505,6.376265749721305,6.910437564490042,2.598547800422447,2.4832434601608355,3.9188427707167603,4.330120396640244,5.015465776389608,4.805451602082605,5.991273591323529,6.353382908950015,6.9136923955338885,5.739679228832773,4.859984945544482,6.627954033429383,6.077972013565302,7.280783798098034,5.210671824975747,4.200928426726897,5.758067413227869,5.991293245763957,6.11305985149309,7.048158815809379,7.697939095108199
4C,0.0,0.0,0.0,0.0,1.0949245127875027,1.5535488063513279,2.1594725593775785,2.1973604208266098,2.560294619292775,2.7281412179772246,3.5064426254510748,3.1592062898894437,3.0556241950106333,4.432449779917513,4.907033186883693,5.105539969039797,1.5431791951153044,2.4278199543683594,2.4390070142285443,2.512173613255336,3.8252142556716437,4.050676742225304,4.77662224988638,4.868200775498803,5.776435304392189,4.875581854393063,4.043109033708031,5.695635999876075,5.656154855342389,6.856041109622638,5.206670834002886,4.256770961328873,5.984752647298633,4.662636451516569,4.597169600447838,5.902322284020818,6.4827717482146365
5H,0.0,0.0,0.0,0.0,0.0,2.1611286966841368,2.9949804312452137,2.749650492940995,2.563543303765349,2.6030989089232266,3.6452150683224653,2.699684450746334,2.4911335917096635,3.8730968519464657,4.447303169692431,4.426704554353546,2.12953372158103,3.1425407262311227,2.6022464368340685,2.403724854293645,4.037862478758178,4.496044426381205,4.7191657081132385,4.579782054367651,5.7776835041516055,4.810419352133079,3.9371746447477696,5.467038853719063,5.833774307401598,7.010896673747383,5.600134897606105,4.735717917641859,6.476991346385996,4.879685265217742,4.7544746832604625,6.166182675858502,6.735759469883444
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0960114737932494,1.094552649779503,1.5296301946348103,2.1643785330295358,2.1761301307770395,2.5364174820693886,2.811639631334731,3.7686446576796886,4.102256306928566,4.57699202680374,2.5454552470530563,3.4467402795983326,3.0460774605206025,2.8034278739378435,4.329895805044137,4.587559432399662,5.5479644072097205,5.5916102123229,6.438644603089982,5.988602748785203,5.3117140835459615,6.854235443292948,6.738680585343096,7.886070606438583,6.290391071454606,5.345022395394411,6.985832328181141,4.685917124815515,4.2767103120343855,5.951307638591558,6.326906736827116
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7651207668415736,2.1552268670393033,2.5495329561944584,2.4286732318245847,3.4700514265120965,3.8879543478655836,4.571566812991753,4.715798119216602,5.460098514231258,3.0751957537410535,3.655712003866354,3.824152617088018,3.76453178479094,4.9933525912968975,5.038017974552541,6.3011701709018775,6.477303284803575,7.149539708134394,6.650556115924631,5.959833614306924,7.580134914178969,7.21122084021506,8.363917779679852,6.574850426270754,5.5898714799752725,7.155892985730608,5.351168740891029,4.997112366035251,6.523519432920546,6.891332800283612
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150399229745695,3.0597237604678904,2.555959883795858,2.7083047837058025,2.6931725624413327,3.966268972804416,4.425282948004923,4.649003485660903,2.5597532501620326,3.4998239740271435,2.649323953948041,2.349875143187811,3.722029588437254,4.024665859651892,5.064319868194687,5.132981830077109,5.843619151857518,5.75021887583099,5.252952752257403,6.647298488766725,6.472760548093667,7.544466133077822,6.122757034328871,5.251261769931923,6.790233794325631,3.7965116789303752,3.2880874794616455,5.037056858564953,5.329439033103758
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09905970883514,1.0985708302235095,1.5308001227711727,2.4355270406128313,2.444631857025939,2.6121419117363858,3.3769919715986836,3.808134188018955,4.828305156496594,4.07560751804913,3.503488963274095,5.414509502769461,5.870595559935485,6.476635509092094,6.282309300342836,7.397440676953192,6.979592091767083,6.267983004956284,7.7152941349034245,7.926908686684336,9.067388727002312,7.609971879092844,6.687571209411787,8.373469384903506,5.619756177424815,4.977950335562597,6.940479600520533,7.206257292066072
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7607290078227453,2.1560944381171976,3.099681270065029,2.759042165777094,2.7172424317240274,3.7040421851964047,4.200259958212102,5.12106201532251,4.682669895298479,4.199999309358363,6.099075119748451,6.514547471463257,7.051636209830227,6.84784739631576,8.039322453952007,7.352871511115718,6.52198964098682,8.038772711709779,8.307722087875952,9.488062908374069,7.932463197605166,6.984279907148275,8.708449417707872,6.4968908622837995,5.9523708416016605,7.8277226010662835,8.16554753617195
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151732146404519,3.172304474292588,2.655831273915663,2.5193705673474627,3.6205405855242265,4.663084202784329,5.621843160253995,4.889527284038626,4.300633598670314,6.127409860141629,6.540459275355837,7.296629036012853,7.121989732387478,8.15053746442755,7.907301080872832,7.250336655959479,8.678969062429196,8.79619381370258,9.915584957882817,8.439107558838126,7.509687779767684,9.14676288783796,6.12159583314914,5.3444078041703955,7.391530325921361,7.538719800644333
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2303523166887682,1.3617893390364473,2.08527279463025,2.047752192206434,4.119150591953075,5.310351328453246,3.9274484296270296,3.0733589731882547,5.182152223505898,5.8910502262255875,6.013432021380141,5.5802071236251924,6.9098199529366635,6.672315677715828,6.060641706505127,7.259911710340516,7.829366287130539,8.896464239012204,7.777984034557869,6.963021313726872,8.631883381936927,5.256755363736165,4.513627585261324,6.590105686039156,6.798809096120675
