 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,O30,N31,H32,H33,C34,O35,O36,H37
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9561952152860815,2.0176476756652284,2.810546033825364,0.08183478288073753,0.09487879881900718,0.1821963290064545,0.04309905059277694,0.03007566582574167,0.0004983607910451493,0.002268240161336754,0.19043520038819628,0.041650067967919174,0.032758098070476985,0.002204450452375273
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025533540753291284,0.08843018371144695,0.0024760860257595496,0.007618643363239697,0.027121555480033255,0.0049196147373478105,0.0034524461696676667,0.0001367185390879211,0.0009616274413517534,0.007361265601875999,0.0010382817517748943,0.0008395838197279293,0.00019668679039153147
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08327825382244725,0.03328039241950442,0.002830673498985803,0.015055669275022776,0.010426319985061161,0.0020368198997181564,6.054931626953142e-05,5.217894358433561e-05,0.011983737519630333,0.002029380649748669,0.017583900502553762,0.0003620693339108083
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039233207235264,2.1348180684330136,2.736635100656545,0.29391004680002103,0.23029724913871236,0.013573230541879755,0.0454998037206108,0.03161633302378056,0.007748049246682973,0.005068644452375121,0.0004240033815263722
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02594097468310852,0.09034464931996333,0.02515978810210917,0.010623549622108763,0.004892350617913266,0.0013479631272397263,0.00121980545166811,0.00029713551569843233,0.0004570876923519762,0.00018263051031586208
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1061305362971614,0.019916199812166635,0.0239931334352933,0.0010696741956277567,0.0012386263309349665,0.003926682851946861,0.0013924491077844658,0.000258384132538092,4.123730656302449e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.524786925036122,3.562602786597675,0.1324157391163343,0.14597324560442249,0.002002564495793835,0.0007533501975415802,0.00030224643314558097,3.449915993303243e-05
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5629844879904158,0.02696260069024603,0.029751121878644038,0.0007895345248398467,0.00022318031128277377,0.00013337491768745935,2.2896085816737077e-05
N31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5597190949704522,1.9549090214111864,0.0016798242499305727,0.0006834207610002252,0.00018544638161094307,1.8993564531277762e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040915564697671325,0.00031837471701545716,0.00019077555838464821,9.542371899506907e-05,1.0936303142194959e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.134665479471611e-05,5.160421485794764e-06,6.998007063163669e-06,2.330218774382331e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.164611868404919,3.426698101962243,0.17265790925594504
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5136242165452368,0.06660674724350535
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.749361668205457
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
